시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
"06/24,14:56","121,500","121,500","120,900","121,000","121,300.00","122,315.00","125,783.33","1,470","180,330,500"
"06/24,14:55","121,600","121,900","121,500","121,500","121,260.00","122,435.00","125,852.50","2,355","286,776,700"
"06/24,14:54","121,200","121,800","121,100","121,800","121,240.00","122,565.00","125,915.00","3,057","370,739,600"
"06/24,14:53","121,100","121,200","121,000","121,100","121,120.00","122,665.00","125,971.67",757,"91,684,500"
"06/24,14:52","120,900","121,300","120,700","121,100","121,200.00","122,775.00","126,041.67","2,851","345,085,700"
"06/24,14:51","121,400","121,400","120,700","120,800","121,580.00","122,860.00","126,110.00","5,040","610,442,700"
"06/24,14:50","121,200","121,500","121,000","121,400","122,080.00","122,985.00","126,175.00","2,844","344,848,700"
"06/24,14:49","121,600","121,900","121,200","121,200","122,380.00","123,095.00","126,242.50","6,656","808,671,800"
"06/24,14:48","123,100","123,100","121,500","121,500","122,760.00","123,235.00","126,308.33","4,527","553,663,300"
"06/24,14:47","123,300","123,300","123,000","123,000","123,000.00","123,345.00","126,386.67",415,"51,088,100"
"06/24,14:46","122,900","123,300","122,900","123,300","123,040.00","123,355.00","126,456.67",826,"101,673,300"
"06/24,14:45","123,200","123,200","122,700","122,900","123,100.00","123,330.00","126,516.67","1,424","174,963,500"
"06/24,14:44","122,700","123,400","122,700","123,100","123,220.00","123,370.00","126,588.33",669,"82,276,400"
"06/24,14:43","123,200","123,300","122,700","122,700","123,280.00","123,420.00","126,656.67","1,427","175,537,000"
"06/24,14:42","123,600","123,600","123,200","123,200","123,320.00","123,515.00","126,735.83","1,358","167,570,800"
"06/24,14:41","123,400","123,700","123,400","123,600","123,340.00","123,620.00","126,805.83",927,"114,546,800"
"06/24,14:40","123,400","123,500","123,200","123,500","123,300.00","123,740.00","126,877.50",561,"69,233,600"
"06/24,14:39","122,900","123,400","122,800","123,400","123,420.00","123,875.00","126,949.17",956,"117,645,800"
"06/24,14:38","123,300","123,300","122,900","122,900","123,500.00","124,005.00","127,022.50","1,118","137,658,800"
"06/24,14:37","123,400","123,500","123,200","123,300","123,580.00","124,160.00","127,105.00",834,"102,889,000"
"06/24,14:36","123,900","124,000","123,200","123,400","123,480.00","124,275.00","127,180.00","1,132","139,987,900"
"06/24,14:35","123,800","124,200","123,800","124,100","123,460.00","124,405.00","127,237.50","1,793","222,260,400"
"06/24,14:34","123,500","123,800","123,400","123,800","123,360.00","124,515.00","127,282.50","1,019","126,005,700"
"06/24,14:33","122,800","123,500","122,700","123,300","123,400.00","124,640.00","127,323.33","1,747","214,731,400"
"06/24,14:32","123,200","123,300","122,800","122,800","123,480.00","124,785.00","127,370.00","1,314","161,633,200"
"06/24,14:31","123,600","123,600","122,800","123,300","123,560.00","124,965.00","127,413.33","2,534","312,025,700"
"06/24,14:30","124,000","124,100","123,600","123,600","123,460.00","125,105.00","127,450.83",719,"88,941,600"
"06/24,14:29","123,700","124,500","123,600","124,000","123,480.00","125,215.00","127,483.33","2,700","335,017,400"
"06/24,14:28","123,300","123,800","123,100","123,700","123,500.00","125,305.00","127,514.17","1,806","222,961,800"
"06/24,14:27","122,800","123,800","122,700","123,200","123,680.00","125,410.00","127,551.67","4,422","544,559,000"
"06/24,14:26","123,700","123,800","122,700","122,800","124,100.00","125,555.00","127,595.00","4,145","510,700,000"
"06/24,14:25","124,200","124,200","123,200","123,700","124,740.00","125,655.00","127,635.00","7,708","952,071,200"
"06/24,14:24","124,500","124,800","124,100","124,100","125,240.00","125,705.00","127,671.67","2,080","258,730,800"
"06/24,14:23","125,400","125,400","124,200","124,600","125,620.00","125,715.00","127,703.33","4,520","562,877,800"
"06/24,14:22","126,000","126,100","125,300","125,300","125,900.00","125,710.00","127,726.67",971,"122,064,200"
"06/24,14:21","126,200","126,300","126,000","126,000","125,960.00","125,670.00","127,750.00",442,"55,742,900"
"06/24,14:20","126,000","126,200","125,900","126,200","125,960.00","125,630.00","127,766.67",719,"90,681,100"
"06/24,14:19","126,000","126,000","125,900","126,000","125,980.00","125,595.00","127,785.83",232,"29,224,700"
"06/24,14:18","125,700","126,000","125,700","126,000","126,040.00","125,580.00","127,805.00",380,"47,809,700"
"06/24,14:17","126,000","126,000","125,500","125,600","126,080.00","125,565.00","127,816.67","1,063","133,717,100"
"06/24,14:16","126,300","126,400","125,800","126,000","126,240.00","125,565.00","127,824.17","1,328","167,560,200"
"06/24,14:15","126,200","126,400","126,200","126,300","126,260.00","125,540.00","127,830.83",604,"76,287,300"
"06/24,14:14","126,100","126,300","126,000","126,300","126,160.00","125,515.00","127,835.83",533,"67,218,100"
