시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
"06/24,14:27","4,080","4,090","4,075","4,080","4,080.00","4,062.25","3,980.04","163,192","666,156,190"
"06/24,14:26","4,095","4,115","4,065","4,085","4,082.00","4,057.75","3,978.25","648,571","2,657,922,320"
"06/24,14:25","4,065","4,095","4,065","4,095","4,083.00","4,053.00","3,976.46","203,464","830,262,670"
"06/24,14:24","4,075","4,075","4,060","4,070","4,079.00","4,047.75","3,974.33","277,905","1,129,616,610"
"06/24,14:23","4,090","4,090","4,070","4,070","4,081.00","4,044.50","3,972.25","154,384","629,610,835"
"06/24,14:22","4,085","4,090","4,070","4,090","4,087.00","4,040.50","3,970.33","239,617","977,834,120"
"06/24,14:21","4,070","4,095","4,065","4,090","4,089.00","4,035.00","3,968.00","239,328","976,808,530"
"06/24,14:20","4,085","4,100","4,070","4,075","4,088.00","4,028.25","3,965.75","506,605","2,069,174,565"
"06/24,14:19","4,090","4,095","4,075","4,080","4,086.00","4,023.25","3,963.63","856,573","3,500,661,020"
"06/24,14:17","4,100","4,100","4,090","4,100","4,079.00","4,017.00","3,961.46","422,891","1,733,247,275"
"06/24,14:16","4,090","4,100","4,065","4,100","4,062.00","4,011.25","3,959.25","781,120","3,193,977,015"
"06/24,14:15","4,065","4,090","4,065","4,085","4,047.00","4,005.50","3,956.96","770,581","3,142,470,040"
"06/24,14:14","4,040","4,070","4,030","4,065","4,037.00","4,001.25","3,954.67","392,710","1,591,461,500"
"06/24,14:13","4,015","4,050","4,015","4,045","4,027.00","3,997.50","3,952.71","339,507","1,370,813,260"
"06/24,14:12","4,030","4,030","4,010","4,015","4,020.00","3,994.50","3,951.08","201,530","810,237,775"
"06/24,14:11","4,030","4,045","4,025","4,025","4,020.00","3,993.50","3,949.79","303,228","1,223,707,720"
"06/24,14:10","4,015","4,035","4,010","4,035","4,013.00","3,992.50","3,948.42","259,213","1,043,585,980"
"06/24,14:09","4,005","4,025","4,005","4,015","4,004.00","3,991.00","3,946.67","103,272","414,745,980"
"06/24,14:08","4,015","4,040","4,000","4,010","3,999.00","3,991.75","3,945.21","497,154","2,001,331,895"
"06/24,14:07","3,990","4,015","3,985","4,015","3,998.00","3,993.25","3,943.71","175,796","703,347,040"
"06/24,14:06","3,985","3,990","3,970","3,990","3,993.00","3,993.50","3,942.08","72,129","286,735,940"
"06/24,14:05","3,995","4,000","3,980","3,990","3,991.00","3,995.00","3,940.29","72,955","291,148,660"
"06/24,14:04","4,005","4,010","3,990","3,990","3,984.00","3,997.00","3,938.33","168,550","674,681,815"
"06/24,14:03","3,990","4,015","3,985","4,005","3,981.00","3,997.50","3,936.29","319,529","1,279,160,710"
"06/24,14:02","3,975","3,990","3,970","3,990","3,971.00","3,996.75","3,934.29","96,641","384,804,850"
"06/24,14:01","3,955","3,980","3,950","3,980","3,970.00","3,997.25","3,932.29","96,685","383,612,790"
"06/24,14:00","3,975","3,980","3,950","3,955","3,971.00","3,997.50","3,930.58","143,299","567,845,605"
"06/24,13:59","3,955","3,980","3,955","3,975","3,980.00","3,999.25","3,928.83","141,105","560,297,950"
"06/24,13:58","3,985","3,990","3,955","3,955","3,983.00","4,001.00","3,926.63","299,160","1,187,701,140"
"06/24,13:57","3,990","3,995","3,985","3,985","3,989.00","4,001.75","3,924.71","53,921","214,971,615"
"06/24,13:56","4,000","4,005","3,985","3,985","3,991.00","4,001.50","3,922.58","205,377","821,510,085"
"06/24,13:55","3,990","4,000","3,985","4,000","3,995.00","4,001.50","3,920.67","82,361","328,848,070"
"06/24,13:54","3,990","3,995","3,980","3,990","3,996.00","4,000.25","3,918.75","115,724","461,121,230"
"06/24,13:53","4,000","4,005","3,980","3,985","4,004.00","4,000.00","3,916.96","184,708","736,954,850"
"06/24,13:52","4,000","4,005","3,980","3,995","4,015.00","4,000.00","3,915.13","247,849","989,161,870"
"06/24,13:51","4,010","4,015","4,000","4,005","4,020.00","3,997.50","3,913.25","168,793","676,388,370"
"06/24,13:50","4,030","4,035","4,005","4,005","4,023.00","3,995.25","3,911.50","209,664","842,434,060"
"06/24,13:49","4,040","4,045","4,020","4,030","4,028.00","3,992.00","3,909.83","231,107","931,766,590"
