시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
"06/24,13:55","11,610","11,640","11,610","11,630","11,610.00","11,619.00","11,507.58",403,"4,682,940"
"06/24,13:54","11,630","11,670","11,600","11,600","11,598.00","11,615.00","11,508.42","12,377","144,173,690"
"06/24,13:53","11,600","11,660","11,590","11,640","11,596.00","11,615.00","11,509.67","9,373","109,030,590"
"06/24,13:52","11,590","11,600","11,580","11,590","11,584.00","11,611.00","11,510.33","1,629","18,882,240"
"06/24,13:51","11,560","11,590","11,560","11,590","11,584.00","11,614.00","11,511.08","6,499","75,186,470"
"06/24,13:50","11,590","11,590","11,560","11,570","11,596.00","11,615.00","11,512.00","5,708","66,038,480"
"06/24,13:49","11,590","11,610","11,550","11,590","11,614.00","11,622.00","11,513.17","11,180","129,416,400"
"06/24,13:48","11,580","11,620","11,570","11,580","11,622.00","11,625.00","11,514.25","9,114","105,688,770"
"06/24,13:47","11,650","11,650","11,550","11,590","11,638.00","11,631.50","11,515.75","18,172","210,771,960"
"06/24,13:46","11,670","11,720","11,650","11,650","11,646.00","11,634.50","11,517.00","25,435","297,352,610"
"06/24,13:45","11,630","11,700","11,620","11,660","11,650.00","11,637.00","11,517.08","13,266","154,890,030"
"06/24,13:44","11,650","11,680","11,610","11,630","11,640.00","11,627.50","11,517.00","6,075","70,809,340"
"06/24,13:43","11,630","11,660","11,590","11,660","11,642.00","11,615.00","11,517.25","12,572","146,055,560"
"06/24,13:42","11,670","11,680","11,630","11,630","11,644.00","11,602.00","11,517.17","12,391","144,286,870"
"06/24,13:41","11,610","11,670","11,610","11,670","11,638.00","11,592.00","11,517.50","7,546","87,937,030"
"06/24,13:40","11,630","11,660","11,610","11,610","11,620.00","11,579.00","11,517.58","7,473","86,906,240"
"06/24,13:39","11,680","11,680","11,590","11,640","11,608.00","11,566.00","11,518.00","15,645","182,186,200"
"06/24,13:38","11,600","11,730","11,600","11,670","11,600.00","11,552.50","11,518.58","39,044","456,136,790"
"06/24,13:37","11,580","11,600","11,530","11,600","11,578.00","11,538.50","11,518.92","12,995","150,132,080"
"06/24,13:36","11,560","11,590","11,550","11,580","11,588.00","11,527.50","11,519.67","7,191","83,181,380"
"06/24,13:35","11,600","11,600","11,550","11,550","11,594.00","11,518.50","11,520.75","10,559","122,128,000"
"06/24,13:34","11,570","11,660","11,540","11,600","11,626.00","11,512.50","11,521.58","17,125","198,501,970"
"06/24,13:33","11,650","11,660","11,560","11,560","11,636.00","11,504.50","11,521.67","21,543","250,150,020"
"06/24,13:32","11,600","11,660","11,600","11,650","11,666.00","11,499.00","11,522.50","21,153","245,904,910"
"06/24,13:31","11,710","11,730","11,550","11,610","11,666.00","11,490.00","11,522.50","65,579","763,421,040"
"06/24,13:30","11,660","11,730","11,650","11,710","11,684.00","11,482.50","11,522.83","30,034","351,490,980"
"06/24,13:29","11,720","11,780","11,650","11,650","11,636.00","11,471.00","11,522.75","70,207","822,596,330"
"06/24,13:28","11,650","11,760","11,650","11,710","11,582.00","11,461.50","11,522.92","115,014","1,348,139,890"
"06/24,13:27","11,700","11,700","11,620","11,650","11,520.00","11,449.50","11,522.50","56,104","653,670,160"
"06/24,13:26","11,460","11,700","11,460","11,700","11,476.00","11,441.50","11,522.92","88,613","1,027,350,600"
"06/24,13:25","11,380","11,470","11,380","11,470","11,418.00","11,431.00","11,523.42","7,423","84,926,840"
"06/24,13:24","11,400","11,410","11,380","11,380","11,394.00","11,434.50","11,526.00","1,489","16,974,370"
"06/24,13:23","11,420","11,430","11,390","11,400","11,392.00","11,444.50","11,529.25","2,079","23,715,480"
"06/24,13:22","11,410","11,440","11,400","11,430","11,390.00","11,448.50","11,532.75","6,676","76,279,130"
"06/24,13:21","11,350","11,420","11,340","11,410","11,380.00","11,450.00","11,536.33","7,585","86,198,350"
"06/24,13:20","11,360","11,380","11,350","11,350","11,378.00","11,454.00","11,539.75","7,983","90,676,700"
"06/24,13:19","11,390","11,390","11,360","11,370","11,394.00","11,460.00","11,543.42","5,042","57,349,320"
"06/24,13:18","11,380","11,390","11,360","11,390","11,408.00","11,467.50","11,547.08","6,723","76,447,360"
"06/24,13:17","11,400","11,400","11,360","11,380","11,420.00","11,468.50","11,550.50","16,588","188,703,010"
"06/24,13:16","11,430","11,430","11,390","11,400","11,438.00","11,471.00","11,554.00","5,914","67,446,590"
"06/24,13:15","11,440","11,440","11,410","11,430","11,450.00","11,473.50","11,556.92","4,235","48,395,200"
"06/24,13:14","11,450","11,450","11,400","11,440","11,460.00","11,473.50","11,559.75","14,519","165,814,170"
"06/24,13:13","11,470","11,480","11,450","11,450","11,464.00","11,470.50","11,563.08","3,956","45,308,390"
"06/24,13:12","11,470","11,480","11,450","11,470","11,468.00","11,466.50","11,566.08","2,958","33,903,610"
"06/24,13:11","11,480","11,490","11,430","11,460","11,472.00","11,461.50","11,569.08","4,818","55,169,470"
"06/24,13:10","11,450","11,530","11,430","11,480","11,478.00","11,458.50","11,571.92","17,661","202,613,760"
"06/24,13:09","11,470","11,470","11,440","11,460","11,490.00","11,451.50","11,574.50","7,181","82,250,150"
"06/24,13:08","11,480","11,490","11,460","11,470","11,514.00","11,447.00","11,577.67","6,122","70,251,930"
"06/24,13:07","11,510","11,510","11,460","11,490","11,516.00","11,443.00","11,580.17","6,861","78,746,310"
"06/24,13:06","11,550","11,550","11,490","11,490","11,510.00","11,438.50","11,583.17","14,874","171,298,440"
"06/24,13:05","11,570","11,580","11,530","11,540","11,510.00","11,437.50","11,586.83","23,600","272,727,760"
"06/24,13:04","11,450","11,580","11,450","11,580","11,496.00","11,432.00","11,590.00","28,505","328,985,250"
"06/24,13:03","11,480","11,480","11,440","11,480","11,484.00","11,421.00","11,592.58","3,442","39,409,080"
"06/24,13:02","11,500","11,500","11,460","11,460","11,470.00","11,416.50","11,596.58","5,758","66,056,330"
"06/24,13:01","11,480","11,500","11,460","11,490","11,464.00","11,412.50","11,602.00","5,933","68,082,880"
"06/24,13:00","11,510","11,520","11,470","11,470","11,456.00","11,408.00","11,606.33","15,196","174,753,270"
"06/24,12:59","11,410","11,520","11,410","11,520","11,448.00","11,407.50","11,610.67","24,402","280,215,960"
"06/24,12:58","11,430","11,440","11,410","11,410","11,420.00","11,405.00","11,614.33","7,596","86,757,070"
"06/24,12:57","11,440","11,450","11,430","11,430","11,412.00","11,406.50","11,618.33","10,259","117,340,980"
"06/24,12:56","11,420","11,470","11,420","11,450","11,400.00","11,404.00","11,622.58","10,671","122,132,860"
"06/24,12:55","11,380","11,450","11,380","11,430","11,390.00","11,401.50","11,624.83","4,814","54,964,150"
"06/24,12:54","11,370","11,400","11,370","11,380","11,372.00","11,399.50","11,627.08","1,505","17,126,180"
"06/24,12:53","11,360","11,410","11,360","11,370","11,370.00","11,402.00","11,629.50","3,111","35,369,600"
"06/24,12:52","11,390","11,400","11,360","11,370","11,374.00","11,401.00","11,632.25","2,484","28,253,620"
"06/24,12:51","11,350","11,410","11,340","11,400","11,380.00","11,402.00","11,634.92","8,696","98,882,480"
"06/24,12:50","11,370","11,380","11,340","11,340","11,394.00","11,398.00","11,637.25","9,402","106,779,050"
"06/24,12:49","11,400","11,400","11,370","11,370","11,412.00","11,400.50","11,639.58","8,907","101,433,450"
"06/24,12:48","11,410","11,410","11,380","11,390","11,410.00","11,401.50","11,642.00","9,202","104,898,180"
"06/24,12:47","11,460","11,470","11,370","11,400","11,410.00","11,402.50","11,644.08","16,070","183,665,720"
"06/24,12:46","11,420","11,480","11,420","11,470","11,406.00","11,400.50","11,645.83","16,212","185,802,990"
"06/24,12:45","11,350","11,430","11,350","11,430","11,392.00","11,397.50","11,648.17","10,015","114,057,270"
"06/24,12:44","11,380","11,390","11,350","11,360","11,398.00","11,399.00","11,651.42","8,235","93,565,010"
"06/24,12:43","11,390","11,390","11,360","11,390","11,420.00","11,407.00","11,654.33","7,990","90,890,080"
"06/24,12:42","11,410","11,410","11,380","11,380","11,430.00","11,411.50","11,656.25","8,474","96,546,830"
"06/24,12:41","11,460","11,460","11,400","11,400","11,430.00","11,416.50","11,658.08","11,317","129,396,960"
"06/24,12:40","11,480","11,480","11,440","11,460","11,430.00","11,421.00","11,660.00","10,271","117,685,080"
"06/24,12:39","11,450","11,480","11,430","11,470","11,416.00","11,424.00","11,661.50","16,388","187,691,110"
"06/24,12:38","11,370","11,450","11,360","11,440","11,408.00","11,423.50","11,662.67","16,203","184,627,770"
"06/24,12:37","11,410","11,420","11,380","11,380","11,390.00","11,422.00","11,663.83","9,952","113,345,810"
"06/24,12:36","11,390","11,420","11,380","11,400","11,392.00","11,425.50","11,665.08","6,942","79,096,770"
"06/24,12:35","11,430","11,450","11,390","11,390","11,376.00","11,428.00","11,666.25","12,461","142,379,950"
"06/24,12:34","11,350","11,440","11,340","11,430","11,376.00","11,432.50","11,667.67","11,166","127,051,550"
"06/24,12:33","11,380","11,380","11,350","11,350","11,368.00","11,434.50","11,669.25","5,549","63,039,310"
"06/24,12:32","11,330","11,400","11,330","11,390","11,380.00","11,438.50","11,671.33","9,426","107,113,980"
"06/24,12:31","11,390","11,390","11,320","11,320","11,374.00","11,440.00","11,672.50","36,510","413,952,290"
"06/24,12:30","11,380","11,420","11,380","11,390","11,392.00","11,443.00","11,674.50","5,090","58,013,860"
"06/24,12:29","11,410","11,420","11,380","11,390","11,406.00","11,450.00","11,676.00","8,047","91,678,360"
"06/24,12:28","11,360","11,420","11,360","11,410","11,432.00","11,459.00","11,677.83","12,897","146,848,280"
"06/24,12:27","11,420","11,420","11,360","11,360","11,446.00","11,470.00","11,678.67","16,025","182,589,500"
"06/24,12:26","11,460","11,470","11,400","11,410","11,470.00","11,483.50","11,680.75","8,582","98,101,270"
"06/24,12:25","11,530","11,530","11,460","11,460","11,486.00","11,494.50","11,681.92","8,066","92,775,470"
"06/24,12:24","11,480","11,520","11,480","11,520","11,498.00","11,506.00","11,683.58","5,870","67,537,570"
"06/24,12:23","11,490","11,510","11,480","11,480","11,486.00","11,515.50","11,684.58","4,885","56,153,650"
"06/24,12:22","11,490","11,490","11,460","11,480","11,472.00","11,526.50","11,686.17","2,411","27,672,130"
"06/24,12:21","11,510","11,520","11,470","11,490","11,466.00","11,537.00","11,688.92","10,706","123,113,060"
"06/24,12:20","11,450","11,520","11,440","11,520","11,458.00","11,547.00","11,691.33","10,913","125,336,220"
"06/24,12:19","11,420","11,460","11,410","11,460","11,450.00","11,556.00","11,693.67","6,674","76,296,830"
"06/24,12:18","11,460","11,470","11,410","11,410","11,452.00","11,566.50","11,695.67","11,298","129,298,520"
"06/24,12:17","11,450","11,470","11,440","11,450","11,456.00","11,580.00","11,697.75","4,156","47,611,120"
"06/24,12:16","11,480","11,480","11,430","11,450","11,450.00","11,592.00","11,699.67","9,640","110,433,550"
"06/24,12:15","11,470","11,510","11,460","11,480","11,436.00","11,605.00","11,702.17","21,029","241,490,630"
"06/24,12:14","11,440","11,480","11,430","11,470","11,446.00","11,617.50","11,704.33","17,865","204,599,400"
"06/24,12:13","11,410","11,430","11,350","11,430","11,466.00","11,631.50","11,707.33","27,507","313,156,480"
"06/24,12:12","11,380","11,480","11,380","11,420","11,506.00","11,646.00","11,709.67","40,185","459,802,620"
"06/24,12:11","11,540","11,540","11,320","11,380","11,548.00","11,659.00","11,712.42","96,126","1,100,449,600"
"06/24,12:10","11,550","11,570","11,520","11,530","11,598.00","11,675.00","11,714.92","16,027","184,974,480"
"06/24,12:09","11,620","11,630","11,520","11,570","11,630.00","11,684.00","11,715.25","52,977","612,610,590"
"06/24,12:08","11,630","11,640","11,620","11,630","11,658.00","11,691.50","11,715.00","4,367","50,758,440"
"06/24,12:07","11,630","11,670","11,620","11,630","11,672.00","11,698.00","11,715.08","2,841","33,072,790"
"06/24,12:06","11,680","11,680","11,620","11,630","11,684.00","11,703.50","11,715.33","9,578","111,587,310"
"06/24,12:05","11,710","11,720","11,690","11,690","11,696.00","11,705.00","11,714.83","3,799","44,450,990"
"06/24,12:04","11,700","11,710","11,680","11,710","11,698.00","11,703.00","11,713.92","2,134","24,968,310"
"06/24,12:03","11,690","11,700","11,670","11,700","11,690.00","11,700.50","11,712.50","2,221","25,952,490"
