시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"22,600","26,150","22,300","24,200","21,950.00","20,440.50","12,844.58","14,013,333","345,181,713,500"
2024-06-18,"21,000","22,250","20,900","21,800","21,280.00","20,228.00","12,695.17","1,997,832","43,412,856,250"
2024-06-17,"20,500","21,400","20,300","20,650","21,280.00","20,083.00","12,566.08","711,178","14,808,114,650"
2024-06-14,"22,250","22,350","20,550","20,950","21,400.00","20,030.00","12,444.83","1,342,208","28,422,074,550"
2024-06-13,"21,800","22,800","20,900","22,150","21,270.00","19,916.00","12,323.50","3,673,954","80,672,340,950"
2024-06-12,"21,850","21,900","20,500","20,850","21,280.00","19,685.50","12,190.50","1,213,603","25,472,041,500"
2024-06-11,"21,400","22,050","20,500","21,800","21,270.00","19,487.00","12,065.92","1,685,214","36,255,917,000"
2024-06-10,"19,900","21,400","19,430","21,250","20,872.00","19,262.00","11,931.67","2,177,703","44,993,944,100"
2024-06-07,"22,100","22,850","20,300","20,300","20,822.00","19,132.00","11,801.67","3,114,940","67,499,526,650"
2024-06-05,"23,350","25,800","20,800","22,200","20,388.00","19,122.00","11,679.25","16,288,078","384,590,200,300"
2024-06-04,"19,820","22,450","19,230","20,800","19,414.00","19,022.00","11,541.42","6,830,927","147,068,432,320"
2024-06-03,"20,850","21,550","19,150","19,810","18,826.00","18,969.50","11,414.75","2,959,768","59,567,161,310"
2024-05-31,"18,130","21,950","17,750","21,000","18,658.00","18,941.50","11,298.08","9,467,483","192,097,182,840"
2024-05-30,"17,000","18,240","16,400","18,130","18,292.00","18,891.50","11,171.25","1,084,780","18,800,318,010"
2024-05-29,"18,200","19,600","17,110","17,330","18,626.00","19,037.50","11,069.92","2,943,857","54,295,157,270"
2024-05-28,"18,870","18,960","17,760","17,860","19,118.00","19,141.00","10,974.75","1,027,691","18,707,359,160"
2024-05-27,"19,170","19,440","18,370","18,970","19,536.00","19,194.50","10,876.17","955,754","18,048,697,810"
2024-05-24,"19,840","20,100","18,020","19,170","19,522.00","19,211.50","10,769.17","1,909,847","35,943,522,420"
2024-05-23,"20,800","21,200","19,350","19,800","19,606.00","19,194.50","10,660.08","2,410,649","49,085,650,060"
2024-05-22,"19,600","20,700","19,380","19,790","19,380.00","19,156.00","10,545.67","1,460,502","29,308,825,310"
2024-05-21,"19,560","21,500","19,420","19,950","18,930.00","19,221.50","10,432.33","4,420,380","90,260,218,650"
2024-05-20,"19,910","20,100","18,280","18,900","18,316.00","19,439.00","10,317.42","1,348,774","25,694,025,580"
2024-05-17,"18,710","19,940","18,400","19,590","17,996.00","19,506.50","10,211.08","1,802,597","34,616,476,820"
2024-05-16,"18,200","20,000","17,930","18,670","17,808.00","19,480.50","10,097.50","3,139,851","60,499,722,230"
2024-05-14,"16,870","17,680","16,500","17,540","18,094.00","19,679.50","9,992.50","1,081,828","18,647,200,800"
2024-05-13,"17,580","17,840","16,630","16,880","18,626.00","19,749.50","9,897.00","1,203,495","20,560,033,150"
2024-05-10,"18,650","18,790","17,050","17,300","19,200.00","19,784.50","9,804.25","1,963,547","34,476,581,550"
2024-05-09,"20,150","20,650","18,650","18,650","19,590.00","19,704.50","9,707.25","1,584,445","30,792,531,550"
2024-05-08,"19,950","21,000","19,620","20,100","19,860.00","19,524.00","9,604.83","1,534,523","31,184,451,760"
2024-05-07,"20,900","22,750","19,860","20,200","20,050.00","19,289.00","9,492.67","3,552,717","75,369,909,000"
2024-05-03,"19,620","19,860","18,330","19,750","19,890.00","19,086.00","9,379.58","1,280,861","24,304,173,560"
2024-05-02,"19,590","19,590","18,870","19,250","19,726.00","18,783.50","9,270.67","872,363","16,642,800,670"
2024-04-30,"21,200","21,250","19,500","20,000","19,738.00","18,406.50","9,167.33","1,019,251","20,546,948,030"
2024-04-29,"19,640","21,450","19,400","21,050","19,504.00","18,017.00","9,057.50","2,070,304","42,587,618,270"
2024-04-26,"19,680","19,800","18,620","19,400","19,100.00","17,602.00","8,938.42","1,149,851","22,055,128,470"
2024-04-25,"18,820","19,880","18,250","18,930","19,440.00","17,198.00","8,831.25","1,306,622","25,065,450,430"
2024-04-24,"19,500","20,250","19,110","19,310","20,514.00","16,779.50","8,726.83","2,444,912","48,295,186,900"
2024-04-23,"19,290","19,430","18,120","18,830","20,702.00","16,293.00","8,620.67","1,645,460","30,865,331,450"
2024-04-22,"19,680","19,990","18,100","19,030","20,750.00","15,823.50","8,518.42","3,221,665","60,734,512,030"
2024-04-19,"23,200","23,500","20,250","21,100","21,474.00","15,352.00","8,414.17","4,161,927","89,408,650,300"
2024-04-18,"20,250","25,350","19,560","24,300","21,042.00","14,787.50","8,296.67","11,572,662","266,220,691,710"
2024-04-17,"19,420","21,400","19,230","20,250","19,698.00","14,065.00","8,152.75","7,875,618","160,814,955,710"
2024-04-16,"22,050","22,100","18,580","19,070","18,788.00","13,542.00","8,040.67","5,706,280","113,607,437,370"
2024-04-15,"18,950","23,150","18,750","22,650","17,982.00","13,112.00","7,937.83","14,379,849","311,879,697,160"
2024-04-12,"17,750","20,100","17,640","18,940","16,532.00","12,498.50","7,808.25","12,491,407","239,756,512,920"
2024-04-11,"15,300","18,470","15,150","17,580","15,972.00","12,075.00","7,713.33","18,159,550","318,109,109,520"
2024-04-09,"14,910","16,420","14,170","15,700","15,196.00","11,746.00","7,629.17","5,655,466","87,773,473,060"
2024-04-08,"15,420","15,500","14,310","15,040","14,398.00","11,501.00","7,559.00","2,458,661","36,529,658,060"
2024-04-05,"15,750","16,780","15,400","15,400","13,832.00","11,269.00","7,496.17","4,821,262","77,515,856,080"
2024-04-04,"13,550","17,200","13,350","16,140","13,302.00","11,088.50","7,430.33","20,731,904","323,269,542,510"
2024-04-03,"11,460","13,730","10,940","13,700","12,338.00","10,901.00","7,354.25","6,361,484","80,324,661,430"
2024-04-02,"12,450","12,520","11,450","11,710","11,710.00","10,819.50","7,296.33","1,996,420","23,574,812,900"
2024-04-01,"13,250","13,250","12,210","12,210","11,284.00","10,821.00","7,257.67","2,263,231","28,825,029,930"
2024-03-29,"11,430","14,030","11,430","12,750","10,730.00","10,662.50","7,212.58","16,512,882","216,705,581,410"
2024-03-28,"10,550","11,840","10,480","11,320","10,100.00","10,461.00","7,163.75","5,185,746","58,549,609,210"
2024-03-27,"9,820","10,790","9,660","10,560","9,798.00","10,317.50","7,129.83","2,920,150","30,229,302,160"
2024-03-26,"9,400","9,690","9,240","9,580","9,656.00","10,207.00","7,101.92","760,224","7,211,262,710"
2024-03-25,"9,600","9,680","9,320","9,440","9,698.00","10,152.50","7,082.83","484,782","4,598,626,190"
2024-03-22,"9,930","9,980","9,360","9,600","9,904.00","10,119.00","7,069.25","631,742","6,075,345,360"
2024-03-21,"10,070","10,840","9,780","9,810","10,060.00","10,068.50","7,050.50","1,670,356","17,182,231,980"
2024-03-20,"9,790","10,340","9,380","9,850","10,192.00","9,973.00","7,030.50","1,519,795","14,987,977,180"
2024-03-19,"10,620","11,000","9,470","9,790","10,422.00","9,877.50","7,010.58","3,107,641","31,311,158,750"
2024-03-18,"10,380","11,000","10,360","10,470","10,624.00","9,746.00","6,997.58","1,412,110","15,040,218,500"
2024-03-15,"10,180","10,580","9,910","10,380","10,610.00","9,534.50","6,984.50","986,751","10,139,642,620"
2024-03-14,"11,030","11,040","10,370","10,470","10,892.00","9,325.50","6,962.33","954,855","10,122,339,630"
2024-03-13,"10,950","11,440","10,730","11,000","11,276.00","9,112.00","6,935.08","1,897,310","21,021,881,770"
2024-03-12,"10,370","10,940","10,190","10,800","11,490.00","8,870.00","6,904.08","1,791,964","18,958,940,950"
2024-03-11,"11,410","11,500","10,290","10,400","11,678.00","8,630.00","6,875.83","2,602,758","27,763,966,490"
2024-03-08,"12,100","12,410","11,600","11,790","11,406.00","8,403.50","6,851.25","1,494,597","17,987,307,670"
2024-03-07,"11,950","12,550","11,910","12,390","10,792.00","8,114.50","6,816.25","2,782,365","33,948,281,040"
2024-03-06,"11,440","12,500","11,210","12,070","10,004.00","7,795.00","6,776.08","7,766,821","91,965,504,260"
2024-03-05,"9,250","11,750","9,040","11,740","9,260.00","7,494.00","6,741.83","12,937,156","138,597,758,600"
2024-03-04,"8,840","9,250","8,830","9,040","8,610.00","7,206.00","6,710.75","825,749","7,495,911,990"
2024-02-29,"8,620","9,070","8,390","8,720","8,556.00","7,054.00","6,702.08","978,435","8,580,175,340"
2024-02-28,"8,320","9,290","8,150","8,450","8,530.00","6,929.50","6,694.00","1,976,769","17,430,605,920"
2024-02-27,"8,420","8,510","8,150","8,350","8,420.00","6,824.00","6,688.50","769,445","6,400,363,990"
2024-02-26,"8,710","8,900","8,320","8,490","8,338.00","6,729.50","6,683.75","802,787","6,833,923,250"
2024-02-23,"8,670","8,950","8,160","8,770","8,072.00","6,630.50","6,678.17","1,250,767","10,821,493,150"
2024-02-22,"8,310","8,720","7,990","8,590","7,566.00","6,517.00","6,668.50","2,721,533","22,872,119,020"
2024-02-21,"8,260","8,260","7,800","7,900","7,088.00","6,407.00","6,656.92","1,591,798","12,733,085,020"
2024-02-20,"7,190","8,190","7,140","7,940","6,748.00","6,334.00","6,649.75","6,634,679","52,200,934,270"
2024-02-19,"6,200","7,240","6,170","7,160","6,392.00","6,247.00","6,643.58","2,772,060","19,122,786,370"
2024-02-16,"6,230","6,330","6,150","6,240","6,160.00","6,185.50","6,645.00","131,836","824,404,170"
2024-02-15,"6,240","6,270","6,120","6,200","6,086.00","6,169.00","6,654.67","93,376","575,355,320"
2024-02-14,"6,100","6,300","6,060","6,200","6,048.00","6,160.00","6,661.58","163,241","1,011,517,640"
2024-02-13,"6,070","6,270","6,020","6,160","6,008.00","6,156.50","6,669.50","193,114","1,191,136,590"
2024-02-08,"5,870","6,060","5,870","6,000","5,986.00","6,159.00","6,678.83","60,245","361,497,180"
2024-02-07,"6,010","6,040","5,800","5,870","5,982.00","6,176.50","6,691.83","137,010","808,963,330"
2024-02-06,"6,030","6,050","5,890","6,010","6,008.00","6,205.00","6,705.75","93,751","557,975,040"
2024-02-05,"6,110","6,110","5,960","6,000","6,052.00","6,230.00","6,720.17","61,917","370,946,200"
2024-02-02,"5,980","6,140","5,980","6,050","6,120.00","6,251.00","6,733.42","109,298","664,257,990"
2024-02-01,"5,950","6,040","5,900","5,980","6,202.00","6,269.50","6,748.67","120,412","716,888,360"
2024-01-31,"6,280","6,280","5,970","6,000","6,308.00","6,296.00","6,764.50","146,569","887,295,210"
2024-01-30,"6,320","6,410","6,150","6,230","6,408.00","6,324.50","6,780.00","107,199","670,751,530"
2024-01-29,"6,470","6,510","6,300","6,340","6,440.00","6,348.50","6,793.58","165,255","1,053,369,270"
2024-01-26,"6,470","6,570","6,400","6,460","6,460.00","6,346.50","6,806.42","130,783","845,561,490"
2024-01-25,"6,530","6,680","6,440","6,510","6,408.00","6,341.50","6,817.75","432,876","2,840,609,350"
2024-01-24,"6,410","6,570","6,350","6,500","6,292.00","6,326.50","6,830.17","189,818","1,226,673,280"
2024-01-23,"6,440","6,450","6,330","6,390","6,174.00","6,321.50","6,840.00","87,409","557,943,580"
2024-01-22,"6,290","6,530","6,280","6,440","6,100.00","6,319.50","6,847.83","358,582","2,300,226,020"
2024-01-19,"6,050","6,240","6,030","6,200","6,038.00","6,311.00","6,858.08","147,518","909,832,660"
2024-01-18,"5,860","5,990","5,790","5,930","6,040.00","6,314.50","6,869.83","59,495","350,793,340"
2024-01-17,"6,030","6,080","5,630","5,910","6,124.00","6,333.50","6,885.33","98,084","580,797,490"
2024-01-16,"6,130","6,190","5,960","6,020","6,230.00","6,343.00","6,901.92","78,438","473,640,940"
2024-01-15,"6,220","6,260","6,110","6,130","6,328.00","6,361.50","6,918.92","79,517","489,884,370"
2024-01-12,"6,350","6,360","6,130","6,210","6,386.00","6,364.50","6,936.92","137,565","853,390,470"
2024-01-11,"6,450","6,470","6,340","6,350","6,428.00","6,349.00","6,954.33","109,511","699,390,960"
2024-01-10,"6,470","6,500","6,360","6,440","6,460.00","6,316.00","6,968.08","152,390","977,780,260"
2024-01-09,"6,510","6,660","6,350","6,510","6,486.00","6,276.50","6,978.58","229,578","1,501,108,900"
2024-01-08,"6,460","6,560","6,390","6,420","6,526.00","6,231.50","6,987.08","166,160","1,073,820,550"
2024-01-05,"6,510","6,570","6,400","6,420","6,502.00","6,193.50","6,995.58","155,968","1,008,473,400"
