시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"30,350","37,350","30,150","37,350","33,090.00","27,260.00","22,557.08","8,613,239","296,254,350,400"
2024-06-18,"30,200","30,250","28,400","28,750","32,790.00","26,510.00","22,505.83","1,650,678","48,028,266,300"
2024-06-17,"33,200","33,300","29,300","29,950","33,260.00","26,102.50","22,538.75","2,479,228","75,642,508,900"
2024-06-14,"36,000","36,100","32,800","33,400","32,640.00","25,617.50","22,523.33","1,704,729","57,521,131,050"
2024-06-13,"35,650","38,450","34,550","36,000","31,610.00","24,908.00","22,474.17","2,414,222","87,002,218,600"
2024-06-12,"31,200","37,250","31,000","35,850","29,240.00","24,073.00","22,405.00","4,659,084","158,642,415,950"
2024-06-11,"27,150","31,600","26,750","31,100","27,110.00","23,190.50","22,352.50","3,475,397","104,222,633,750"
2024-06-10,"28,650","28,900","26,800","26,850","25,830.00","22,558.50","22,337.50","1,223,773","33,801,972,650"
2024-06-07,"25,400","29,350","25,350","28,250","25,060.00","22,185.50","22,354.58","5,947,353","165,230,871,350"
2024-06-05,"25,500","26,700","24,000","24,150","24,000.00","21,583.00","22,339.17","897,983","22,544,863,400"
2024-06-04,"25,000","26,600","24,350","25,200","24,050.00","21,165.50","22,322.50","1,297,653","33,140,542,700"
2024-06-03,"23,000","25,400","23,000","24,700","23,600.00","20,667.50","22,254.58","1,138,554","27,941,207,250"
2024-05-31,"22,600","23,700","22,600","23,000","23,260.00","20,212.00","22,192.17","366,120","8,469,458,450"
2024-05-30,"24,400","24,400","22,400","22,950","23,210.00","19,816.00","22,143.42","758,607","17,652,561,950"
2024-05-29,"23,400","24,450","23,300","24,400","23,100.00","19,426.00","22,089.50","1,012,393","24,271,455,300"
2024-05-28,"23,200","23,800","22,650","22,950","22,660.00","18,976.00","22,022.08","465,114","10,767,361,200"
2024-05-27,"22,750","24,150","22,550","23,000","22,540.00","18,607.50","21,969.67","689,278","16,134,354,150"
2024-05-24,"22,200","23,500","22,000","22,750","22,060.00","18,237.50","21,915.83","731,572","16,807,449,050"
2024-05-23,"21,800","23,150","21,600","22,400","21,560.00","17,863.00","21,875.08","703,773","15,874,015,250"
2024-05-22,"22,750","23,650","21,800","22,200","20,922.00","17,511.50","21,837.17","1,508,023","34,351,200,500"
2024-05-21,"20,850","22,500","20,400","22,350","20,342.00","17,161.00","21,788.67","1,496,372","32,345,544,000"
2024-05-20,"20,100","21,550","19,670","20,600","19,512.00","16,836.00","21,733.67","1,396,200","28,958,805,850"
2024-05-17,"19,120","20,600","18,890","20,250","19,084.00","16,598.00","21,690.33","1,490,636","29,797,494,490"
2024-05-16,"19,690","19,870","18,850","19,210","18,912.00","16,363.50","21,645.08","832,321","16,124,749,820"
2024-05-14,"18,200","20,200","18,020","19,300","18,310.00","16,202.00","21,606.75","2,848,328","55,542,438,090"
2024-05-13,"18,460","18,570","17,690","18,200","17,610.00","16,040.50","21,553.33","638,607","11,496,871,750"
2024-05-10,"19,390","19,610","18,290","18,460","17,018.00","15,942.00","21,503.08","1,109,798","21,129,366,650"
2024-05-09,"16,890","19,900","16,700","19,390","16,444.00","15,839.00","21,448.83","5,188,581","97,210,405,740"
2024-05-08,"15,800","16,460","15,610","16,200","15,582.00","15,698.50","21,387.92","283,941","4,557,206,190"
2024-05-07,"15,300","15,900","15,130","15,800","15,372.00","15,733.00","21,354.00","198,213","3,104,934,030"
2024-05-03,"15,620","15,650","15,130","15,240","15,292.00","15,804.00","21,338.08","240,408","3,695,386,130"
2024-05-02,"15,440","16,250","15,260","15,590","15,360.00","15,913.00","21,322.58","490,032","7,735,774,640"
2024-04-30,"15,020","15,180","14,750","15,080","15,362.00","16,025.00","21,302.67","203,843","3,052,356,740"
2024-04-29,"15,400","15,690","15,060","15,150","15,398.00","16,201.50","21,287.00","252,420","3,863,360,630"
2024-04-26,"16,170","17,780","14,660","15,400","15,442.00","16,318.50","21,265.67","1,478,143","23,829,453,980"
2024-04-25,"15,710","15,800","15,350","15,580","15,400.00","16,444.00","21,241.50","120,681","1,879,702,070"
2024-04-24,"15,490","15,630","15,300","15,600","15,454.00","16,575.00","21,215.00","105,358","1,637,421,430"
2024-04-23,"15,380","15,650","15,200","15,260","15,502.00","16,711.50","21,192.83","88,997","1,369,354,610"
2024-04-22,"15,260","15,800","15,160","15,370","15,562.00","16,827.00","21,159.75","94,086","1,447,738,620"
2024-04-19,"15,700","15,800","14,900","15,190","15,684.00","16,933.00","21,127.92","180,043","2,752,902,700"
2024-04-18,"15,650","16,300","15,630","15,850","15,860.00","17,074.50","21,100.92","154,167","2,456,049,530"
2024-04-17,"15,930","16,980","15,830","15,840","15,936.00","17,200.00","21,068.17","446,436","7,318,023,000"
2024-04-16,"15,980","16,250","15,510","15,560","16,048.00","17,304.50","21,030.25","199,273","3,125,770,440"
2024-04-15,"15,840","16,070","15,560","15,980","16,252.00","17,566.50","20,996.58","131,740","2,087,911,380"
2024-04-12,"16,280","16,400","16,000","16,070","16,434.00","17,752.50","20,962.58","103,475","1,666,791,060"
2024-04-11,"16,110","16,300","15,950","16,230","16,664.00","17,979.00","20,931.50","96,107","1,548,581,670"
2024-04-09,"16,500","16,750","16,240","16,400","16,902.00","18,192.50","20,894.00","161,282","2,637,897,360"
2024-04-08,"16,990","17,100","16,400","16,580","17,188.00","18,371.50","20,853.83","148,236","2,456,703,640"
2024-04-05,"17,060","17,200","16,620","16,890","17,594.00","18,547.50","20,814.67","170,414","2,875,146,370"
2024-04-04,"17,740","17,750","17,020","17,220","17,714.00","18,653.00","20,771.00","124,078","2,140,188,840"
2024-04-03,"17,830","18,140","17,200","17,420","17,852.00","18,788.00","20,723.25","123,015","2,173,734,200"
2024-04-02,"18,580","18,590","17,730","17,830","18,008.00","18,927.00","20,668.92","167,644","3,016,488,740"
2024-04-01,"17,600","18,740","17,590","18,610","18,108.00","19,068.00","20,613.58","263,309","4,798,201,930"
2024-03-29,"17,860","18,010","17,380","17,490","17,900.00","19,207.50","20,550.17","155,743","2,732,893,720"
2024-03-28,"18,180","18,180","17,830","17,910","17,900.00","19,508.00","20,497.75","117,361","2,108,131,790"
2024-03-27,"18,260","18,550","18,040","18,200","17,922.00","19,802.50","20,443.67","125,635","2,290,144,790"
2024-03-26,"17,520","18,590","17,340","18,330","17,954.00","20,062.50","20,385.17","265,705","4,827,711,870"
2024-03-25,"17,490","17,800","17,200","17,570","17,874.00","20,386.00","20,327.50","175,902","3,081,603,910"
2024-03-22,"18,020","18,080","17,190","17,490","18,520.00","20,805.00","20,278.25","306,456","5,417,746,540"
2024-03-21,"18,360","18,500","18,010","18,020","18,962.00","21,180.50","20,229.50","181,908","3,313,377,200"
2024-03-20,"18,140","18,430","17,850","18,360","19,478.00","21,522.00","20,179.33","289,397","5,247,907,650"
2024-03-19,"20,800","21,200","17,810","17,930","19,906.00","21,829.00","20,125.33","1,053,963","19,763,132,320"
2024-03-18,"19,720","21,300","19,680","20,800","20,316.00","22,047.50","20,076.17","340,675","6,975,945,990"
2024-03-15,"20,850","21,500","19,700","19,700","20,176.00","22,085.00","20,005.17","315,508","6,412,656,070"
2024-03-14,"20,600","21,550","20,200","20,600","20,036.00","22,195.00","19,943.83","297,235","6,187,023,350"
2024-03-13,"19,950","20,600","19,710","20,500","19,900.00","22,197.50","19,873.42","168,447","3,392,790,050"
2024-03-12,"20,150","20,600","19,980","19,980","19,840.00","22,220.00","19,805.00","231,372","4,687,717,740"
2024-03-11,"19,270","20,500","19,010","20,100","19,974.00","22,291.00","19,743.67","359,141","7,074,651,730"
2024-03-08,"20,050","20,200","18,940","19,000","20,234.00","22,321.00","19,684.17","634,395","12,249,224,540"
2024-03-07,"20,200","20,550","19,600","19,920","21,134.00","22,403.50","19,636.83","352,453","7,017,635,650"
2024-03-06,"20,400","20,650","19,850","20,200","21,910.00","22,480.00","19,585.83","428,468","8,628,353,880"
2024-03-05,"21,150","21,400","20,500","20,650","22,550.00","22,545.00","19,529.58","432,201","9,019,398,900"
2024-03-04,"23,200","23,300","21,000","21,400","23,380.00","22,595.00","19,472.08","872,374","18,888,535,800"
2024-02-29,"24,450","24,750","22,450","23,500","24,290.00","22,647.50","19,404.25","455,491","10,754,532,400"
2024-02-28,"23,550","24,300","23,000","23,800","24,590.00","22,642.50","19,321.42","370,133","8,754,899,500"
2024-02-27,"24,150","25,000","22,950","23,400","24,800.00","22,640.00","19,242.33","465,066","10,861,607,950"
2024-02-26,"25,900","25,900","24,050","24,800","25,020.00","22,670.00","19,157.67","542,914","13,398,056,100"
2024-02-23,"25,000","26,500","24,000","25,950","24,520.00","22,685.00","19,058.50","787,349","20,019,981,700"
2024-02-22,"24,550","26,000","23,850","25,000","23,640.00","22,712.50","18,950.17","920,382","23,171,537,650"
2024-02-21,"24,500","25,350","23,650","24,850","23,020.00","22,837.50","18,853.17","1,069,785","26,338,887,350"
2024-02-20,"23,100","24,800","22,750","24,500","22,180.00","22,955.00","18,751.08","2,025,863","48,095,890,950"
2024-02-19,"21,650","22,750","21,350","22,300","21,470.00","23,045.00","18,653.25","470,264","10,465,164,300"
2024-02-16,"22,200","22,200","21,150","21,550","21,290.00","23,290.00","18,574.92","267,048","5,731,284,650"
2024-02-15,"20,900","22,700","20,600","21,900","21,120.00","23,577.50","18,497.17","622,197","13,560,513,900"
2024-02-14,"20,550","20,900","19,900","20,650","20,870.00","23,900.00","18,424.83","405,917","8,193,857,610"
2024-02-13,"21,400","21,450","19,990","20,950","21,030.00","24,392.50","18,364.08","563,672","11,550,335,030"
2024-02-08,"20,700","22,300","20,550","21,400","21,140.00","24,897.50","18,300.58","606,958","13,185,581,800"
2024-02-07,"20,750","20,950","19,990","20,700","21,190.00","25,375.00","18,234.67","370,805","7,526,470,600"
2024-02-06,"21,250","21,400","20,500","20,650","21,540.00","25,930.00","18,169.75","364,645","7,566,115,100"
2024-02-05,"22,550","23,450","21,200","21,450","22,090.00","26,337.50","18,098.00","681,795","15,142,189,700"
2024-02-02,"21,750","22,850","21,300","21,500","22,550.00","26,602.50","18,017.33","387,916","8,499,443,500"
2024-02-01,"22,400","22,650","21,250","21,650","23,050.00","27,047.50","17,939.33","399,639","8,664,746,350"
2024-01-31,"23,200","23,600","22,300","22,450","23,740.00","27,370.00","17,861.42","289,162","6,573,789,700"
2024-01-30,"23,850","24,200","23,000","23,400","24,550.00","27,617.50","17,775.08","280,457","6,565,468,450"
2024-01-29,"23,850","24,750","23,350","23,750","25,370.00","27,847.50","17,683.08","340,380","8,165,967,250"
2024-01-26,"24,950","25,000","23,750","24,000","26,060.00","28,060.00","17,591.67","475,082","11,496,584,050"
2024-01-25,"26,500","26,550","25,100","25,100","26,520.00","28,295.00","17,497.33","431,376","11,066,262,950"
2024-01-24,"27,500","28,000","26,200","26,500","26,940.00","28,592.50","17,393.75","297,656","7,924,650,650"
2024-01-23,"27,200","28,300","26,300","27,500","27,100.00","28,905.00","17,273.83","430,584","11,874,300,750"
2024-01-22,"26,550","27,650","25,950","27,200","27,270.00","29,167.50","17,142.83","520,441","14,010,143,400"
2024-01-19,"27,200","27,600","25,700","26,300","27,930.00","29,370.00","17,017.75","646,269","17,130,380,900"
2024-01-18,"27,250","28,650","26,100","27,200","28,880.00","29,615.00","16,903.33","767,036","21,050,781,500"
2024-01-17,"27,950","28,150","26,700","27,300","29,630.00","29,890.00","16,787.67","636,021","17,338,232,800"
2024-01-16,"30,500","31,100","27,250","28,350","30,530.00","29,930.00","16,672.08","1,221,630","35,041,262,000"
2024-01-15,"31,250","32,100","29,050","30,500","30,620.00","29,887.50","16,550.00","717,623","21,677,552,600"
2024-01-12,"30,750","31,350","29,750","31,050","29,870.00","29,747.50","16,420.25","453,559","13,898,005,050"
2024-01-11,"31,150","31,650","29,800","30,950","29,740.00","29,672.50","16,284.08","983,480","30,147,479,200"
2024-01-10,"28,400","32,200","27,650","31,800","29,170.00","29,590.00","16,158.58","1,837,877","55,358,977,600"
2024-01-09,"27,100","29,400","25,700","28,800","28,290.00","29,445.00","16,024.83","1,761,350","48,843,648,600"
2024-01-08,"30,400","30,400","25,650","26,750","28,130.00","29,325.00","15,922.08","2,105,539","57,717,787,950"
2024-01-05,"28,950","30,500","28,250","30,400","28,380.00","29,095.00","15,835.25","1,643,579","48,730,655,300"
2024-01-04,"27,150","28,900","26,950","28,100","28,040.00","28,427.50","15,717.83","573,740","16,186,831,550"
2024-01-03,"27,750","27,800","26,200","27,400","28,630.00","27,883.00","15,610.83","666,324","18,037,364,250"
2024-01-02,"28,600","28,750","27,350","28,000","29,700.00","27,370.50","15,507.58","459,541","12,836,623,000"
2023-12-28,"28,600","29,500","27,700","28,000","30,650.00","26,794.50","15,395.00","677,816","19,384,831,300"
2023-12-27,"30,850","31,550","27,500","28,700","31,300.00","26,210.00","15,290.83","1,772,925","51,658,835,550"
2023-12-26,"34,000","34,350","29,700","31,050","31,800.00","25,608.00","15,170.17","1,203,911","37,821,509,950"
2023-12-22,"32,250","33,950","31,750","32,750","32,130.00","24,882.50","15,027.67","1,095,279","36,326,856,350"
2023-12-21,"30,850","33,700","30,450","32,750","31,200.00","24,138.00","14,885.17","1,523,886","49,205,252,700"
2023-12-20,"31,200","33,750","30,700","31,250","30,150.00","23,393.00","14,741.83","1,688,954","54,573,729,700"
2023-12-19,"32,150","32,300","29,700","31,200","29,440.00","22,649.50","14,609.67","1,568,301","48,479,719,400"
2023-12-18,"28,850","33,150","27,250","32,700","29,110.00","21,877.00","14,448.33","2,473,184","75,212,537,950"
2023-12-15,"28,000","28,200","26,450","28,100","28,430.00","21,012.00","14,257.33","706,343","19,254,799,550"
2023-12-14,"27,600","28,450","26,400","27,500","28,590.00","20,348.00","14,092.08","774,428","21,129,324,350"
2023-12-13,"29,050","29,400","26,900","27,700","28,370.00","19,703.50","13,931.67","1,172,165","32,614,420,650"
2023-12-12,"29,200","30,550","28,000","29,550","27,260.00","18,963.00","13,771.33","1,435,018","41,823,724,650"
2023-12-11,"27,500","31,400","26,850","29,300","24,760.00","18,094.00","13,595.17","4,212,213","124,436,821,600"
2023-12-08,"27,000","31,600","25,900","28,900","22,342.00","17,226.50","13,422.58","9,829,824","283,947,146,400"
2023-12-07,"28,750","28,750","25,400","26,400","19,992.00","16,385.50","13,252.92","14,390,452","390,722,227,950"
2023-12-06,"22,150","22,150","22,150","22,150","18,008.00","15,672.00","13,105.25","638,726","14,147,745,200"
2023-12-05,"17,200","17,420","16,840","17,050","16,840.00","15,259.00","12,994.08","150,403","2,604,579,360"
2023-12-04,"17,190","17,330","16,700","17,210","16,762.00","15,075.50","12,925.25","94,404","1,611,992,260"
2023-12-01,"16,510","17,680","16,400","17,150","16,628.00","14,875.00","12,855.92","284,118","4,877,833,940"
2023-11-30,"16,260","16,930","16,260","16,480","16,770.00","14,677.50","12,785.83","100,946","1,675,176,740"
2023-11-29,"16,660","17,000","16,200","16,310","17,044.00","14,483.00","12,722.83","188,536","3,126,544,760"
2023-11-28,"16,470","17,100","16,440","16,660","17,058.00","14,292.50","12,662.08","163,120","2,748,246,430"
2023-11-27,"17,700","17,770","16,070","16,540","16,876.00","14,079.50","12,597.33","371,982","6,188,830,110"
2023-11-24,"17,710","18,110","17,540","17,860","16,648.00","13,899.50","12,531.75","260,566","4,650,694,800"
2023-11-23,"16,250","18,380","16,250","17,850","16,040.00","13,571.00","12,453.50","1,074,486","19,032,000,600"
2023-11-22,"15,750","16,480","15,600","16,380","15,392.00","13,256.00","12,375.92","385,356","6,211,793,370"
2023-11-21,"15,400","15,970","15,180","15,750","14,694.00","13,034.50","12,310.50","345,683","5,389,572,000"
2023-11-20,"15,040","15,710","14,650","15,400","13,978.00","12,843.00","12,251.00","499,671","7,625,386,610"
2023-11-17,"14,590","15,050","14,400","14,820","13,288.00","12,637.50","12,194.42","487,953","7,193,569,890"
2023-11-16,"12,820","14,980","12,800","14,610","12,740.00","12,472.50","12,143.33","1,332,534","18,981,476,920"
2023-11-15,"12,240","13,030","12,240","12,890","12,244.00","12,337.00","12,093.92","223,391","2,846,464,830"
2023-11-14,"12,000","12,190","12,000","12,170","12,444.00","12,309.50","12,058.92","52,104","630,780,840"
2023-11-13,"12,080","12,310","11,800","11,950","12,686.00","12,287.50","12,027.75","68,800","827,503,350"
2023-11-10,"12,200","12,580","11,800","12,080","12,936.00","12,269.00","11,998.00","133,503","1,621,690,110"
2023-11-09,"12,970","12,970","11,710","12,130","13,160.00","12,259.00","11,966.75","455,070","5,506,969,370"
2023-11-08,"13,400","13,920","13,240","13,890","13,252.00","12,235.00","11,935.08","252,422","3,437,107,610"
2023-11-07,"13,050","13,450","13,000","13,380","12,974.00","12,115.00","11,889.33","164,630","2,177,302,200"
2023-11-06,"13,210","13,260","12,770","13,200","12,778.00","11,991.00","11,849.25","216,410","2,829,292,050"
2023-11-03,"12,590","13,380","12,520","13,200","12,726.00","11,890.50","11,812.58","393,098","5,150,469,950"
2023-11-02,"12,420","12,700","12,400","12,590","12,344.00","11,780.50","11,773.92","148,816","1,867,271,340"
2023-11-01,"12,400","12,840","12,310","12,500","12,136.00","11,711.00","11,739.92","185,960","2,336,877,560"
2023-10-31,"12,810","13,220","12,360","12,400","12,026.00","11,657.00","11,706.67","456,097","5,819,749,820"
2023-10-30,"11,310","14,080","11,310","12,940","11,930.00","11,596.00","11,675.00","3,497,273","45,665,745,190"
2023-10-27,"11,550","11,740","11,280","11,290","11,600.00","11,519.50","11,639.83","50,674","579,431,650"
2023-10-26,"11,720","11,850","11,440","11,550","11,646.00","11,538.00","11,619.42","45,093","523,628,790"
2023-10-25,"11,930","12,330","11,930","11,950","11,716.00","11,542.50","11,597.33","49,324","598,917,980"
2023-10-24,"11,290","11,930","11,240","11,920","11,794.00","11,545.00","11,572.50","37,706","436,318,390"
2023-10-23,"11,250","11,600","11,160","11,290","11,756.00","11,543.00","11,549.00","43,711","493,553,690"
2023-10-20,"11,770","11,890","11,490","11,520","11,814.00","11,580.00","11,532.17","45,336","527,205,350"
2023-10-19,"12,240","12,350","11,780","11,900","11,886.00","11,618.00","11,515.00","61,396","738,939,120"
2023-10-18,"11,840","12,340","11,700","12,340","11,836.00","11,640.00","11,495.50","87,578","1,059,498,840"
2023-10-17,"11,800","11,940","11,630","11,730","11,666.00","11,630.50","11,474.92","23,826","280,770,980"
2023-10-16,"12,070","12,070","11,400","11,580","11,500.00","11,658.50","11,459.08","54,610","632,022,790"
2023-10-13,"11,450","11,900","11,450","11,880","11,422.00","11,710.50","11,444.67","38,730","451,906,340"
2023-10-12,"11,410","11,870","11,400","11,650","11,246.00","11,764.50","11,429.75","60,170","702,750,210"
2023-10-11,"10,920","12,340","10,910","11,490","11,156.00","11,848.00","11,414.92","313,649","3,696,275,120"
2023-10-10,"11,300","11,600","10,900","10,900","11,142.00","11,963.50","11,401.58","72,199","807,491,920"
2023-10-06,"11,010","11,300","11,010","11,190","11,198.00","12,091.00","11,390.33","29,037","325,594,930"
2023-10-05,"11,200","11,900","10,990","11,000","11,242.00","12,219.00","11,376.08","104,178","1,176,352,910"
2023-10-04,"11,260","11,260","10,880","11,200","11,374.00","12,332.00","11,365.83","76,936","851,906,420"
2023-09-27,"11,070","11,760","11,000","11,420","11,462.00","12,450.00","11,354.83","75,832","859,790,400"
2023-09-26,"11,410","11,490","11,130","11,180","11,578.00","12,594.50","11,342.75","49,890","560,101,470"
2023-09-25,"11,530","11,800","11,410","11,410","11,718.00","12,697.50","11,330.92","50,911","586,634,380"
2023-09-22,"11,440","12,000","11,400","11,660","11,842.00","12,772.00","11,315.33","57,576","672,769,970"
2023-09-21,"11,800","12,050","11,640","11,640","11,966.00","12,836.50","11,297.75","61,994","727,842,290"
2023-09-20,"11,880","12,650","11,790","12,000","12,106.00","12,922.50","11,280.33","92,194","1,116,297,310"
2023-09-19,"12,010","12,040","11,740","11,880","12,136.00","12,952.50","11,259.75","73,967","877,059,070"
2023-09-18,"12,260","12,360","11,980","12,030","12,218.00","12,996.50","11,240.92","73,562","889,828,190"
2023-09-15,"12,340","12,550","12,250","12,280","12,336.00","13,040.00","11,219.00","64,819","802,581,660"
2023-09-14,"12,170","12,490","12,170","12,340","12,472.00","13,037.00","11,197.08","56,238","692,255,590"
2023-09-13,"12,290","12,900","12,100","12,150","12,668.00","13,081.00","11,174.50","137,709","1,702,003,140"
2023-09-12,"12,710","12,810","12,250","12,290","12,998.00","13,141.50","11,153.83","139,462","1,736,453,130"
2023-09-11,"13,000","13,500","12,450","12,620","13,230.00","13,193.50","11,133.08","334,272","4,295,002,700"
2023-09-08,"13,340","14,350","12,800","12,960","13,456.00","13,237.00","11,109.75","529,974","7,127,842,010"
2023-09-07,"13,650","13,830","13,190","13,320","13,516.00","13,234.50","11,082.58","173,606","2,338,359,350"
2023-09-06,"13,470","14,290","13,470","13,800","13,564.00","13,170.50","11,051.08","333,046","4,650,309,980"
2023-09-05,"13,850","13,970","13,420","13,450","13,666.00","13,069.00","11,015.83","152,173","2,069,508,150"
2023-09-04,"13,250","14,100","13,200","13,750","13,624.00","13,003.50","10,982.42","344,794","4,726,952,700"
2023-09-01,"13,630","13,990","13,250","13,260","13,454.00","12,931.00","10,950.50","279,669","3,797,640,970"
2023-08-31,"14,230","14,250","13,510","13,560","13,392.00","12,872.50","10,923.67","493,712","6,761,538,850"
2023-08-30,"13,300","15,990","12,860","14,310","13,352.00","12,812.50","10,896.08","5,019,162","74,637,559,210"
2023-08-29,"12,900","13,270","12,850","13,240","13,010.00","12,736.00","10,861.83","87,592","1,148,377,700"
2023-08-28,"13,080","13,570","12,810","12,900","12,914.00","12,708.00","10,837.50","134,896","1,777,836,680"
2023-08-25,"13,120","13,320","12,880","12,950","12,914.00","12,696.50","10,816.33","107,859","1,402,212,420"
2023-08-24,"12,600","13,360","12,560","13,360","12,768.00","12,654.50","10,795.00","224,540","2,936,583,180"
2023-08-23,"12,650","12,910","12,510","12,600","12,740.00","12,575.50","10,770.83","90,098","1,143,781,180"
2023-08-22,"12,870","13,120","12,650","12,760","12,892.00","12,555.00","10,752.50","92,064","1,182,739,900"
2023-08-21,"12,400","13,400","12,000","12,900","13,006.00","12,545.50","10,732.08","225,764","2,930,232,690"
2023-08-18,"12,810","13,020","12,180","12,220","13,124.00","12,566.50","10,713.67","229,213","2,853,306,760"
2023-08-17,"13,250","13,250","12,600","13,220","13,262.00","12,627.00","10,702.83","207,547","2,674,580,780"
