시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"15,310","17,600","14,030","16,150","12,264.00","12,315.50","6,011.71","13,334,111","213,101,836,450"
2024-06-18,"11,000","13,650","10,860","13,650","11,202.00","12,306.50","5,912.96","5,953,652","73,706,096,400"
2024-06-17,"10,470","11,100","10,280","10,500","10,702.00","12,238.50","5,833.38","994,390","10,635,731,140"
2024-06-14,"10,520","10,930","10,180","10,500","10,968.00","12,328.00","5,780.54","1,226,362","12,940,828,300"
2024-06-13,"10,840","11,160","10,220","10,520","11,266.00","12,276.00","5,727.63","1,882,107","19,918,370,460"
2024-06-12,"10,950","12,040","10,720","10,840","11,740.00","12,129.50","5,675.13","1,990,914","22,565,377,850"
2024-06-11,"11,610","11,860","11,060","11,150","12,260.00","11,899.50","5,625.21","1,327,694","14,981,041,240"
2024-06-10,"11,860","12,440","11,570","11,830","12,830.00","11,671.00","5,572.79","1,191,384","14,286,403,690"
2024-06-07,"12,890","12,890","11,780","11,990","12,940.00","11,344.00","5,517.04","1,531,964","18,539,767,730"
2024-06-05,"13,180","13,180","12,680","12,890","13,022.00","11,006.00","5,477.21","1,110,136","14,349,637,310"
2024-06-04,"13,750","13,790","12,890","13,440","12,854.00","10,587.25","5,455.54","2,153,053","28,538,049,550"
2024-06-03,"12,250","14,000","12,150","14,000","12,626.00","10,133.75","5,435.63","4,005,717","52,543,883,790"
2024-05-31,"12,420","12,680","12,000","12,380","12,368.00","9,636.00","5,398.13","1,415,321","17,397,162,350"
2024-05-30,"12,050","12,920","11,960","12,400","12,292.00","9,229.25","5,374.21","3,902,183","48,835,121,900"
2024-05-29,"11,910","12,400","11,270","12,050","12,194.00","8,815.00","5,339.96","2,728,143","31,987,579,750"
2024-05-28,"12,800","13,100","11,660","12,300","12,404.00","8,414.75","5,323.04","3,837,393","47,356,057,580"
2024-05-27,"12,270","13,610","11,890","12,710","13,138.00","8,001.00","5,310.13","7,026,673","90,758,810,640"
