시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"81,100","82,500","80,500","81,200","79,460.00","76,965.00","76,587.50","23,778,740","1,934,162,301,800"
2024-06-18,"78,700","80,200","78,600","79,800","78,520.00","76,825.00","76,522.50","18,207,598","1,451,893,499,146"
2024-06-17,"79,200","79,500","78,000","78,100","77,600.00","76,780.00","76,465.00","16,123,051","1,267,630,623,100"
2024-06-14,"79,700","80,500","79,000","79,600","77,120.00","76,745.00","76,425.00","22,926,612","1,830,283,253,527"
2024-06-13,"78,400","79,000","77,800","78,600","76,660.00","76,675.00","76,370.83","33,763,804","2,648,772,985,232"
2024-06-12,"75,300","77,100","75,200","76,500","76,420.00","76,660.00","76,322.50","19,246,724","1,460,415,323,135"
2024-06-11,"75,900","76,000","75,100","75,200","76,180.00","76,755.00","76,297.50","16,971,176","1,280,831,574,634"
2024-06-10,"76,100","76,600","75,600","75,700","76,280.00","76,955.00","76,279.17","14,598,755","1,109,351,578,979"
2024-06-07,"78,400","78,600","77,100","77,300","75,840.00","77,155.00","76,253.33","21,189,348","1,645,298,001,774"
2024-06-05,"78,000","78,000","76,800","77,400","75,080.00","77,355.00","76,205.00","23,177,968","1,794,236,853,400"
2024-06-04,"74,900","76,100","74,900","75,300","74,640.00","77,550.00","76,157.50","14,098,053","1,065,751,349,301"
2024-06-03,"74,400","76,400","74,200","75,700","75,100.00","77,665.00","76,123.33","15,706,268","1,186,657,003,206"
2024-05-31,"74,500","74,700","73,500","73,500","75,400.00","77,780.00","76,097.50","26,198,776","1,935,963,757,832"
2024-05-30,"74,800","75,200","73,500","73,500","75,880.00","77,980.00","76,085.00","28,551,272","2,117,784,497,387"
2024-05-29,"77,700","78,200","75,200","75,200","76,840.00","78,140.00","76,079.17","30,244,876","2,312,008,038,097"
2024-05-28,"76,500","78,000","76,200","77,600","77,340.00","78,215.00","76,058.33","18,539,072","1,436,714,901,191"
2024-05-27,"75,300","78,200","74,000","77,200","77,500.00","78,150.00","76,017.50","43,825,200","3,306,633,382,624"
2024-05-24,"76,800","77,000","75,700","75,900","77,840.00","78,220.00","75,968.33","27,891,278","2,127,292,051,700"
2024-05-23,"77,700","79,100","77,100","78,300","78,140.00","78,200.00","75,933.33","18,728,088","1,462,378,998,195"
2024-05-22,"78,100","78,700","77,300","77,700","78,120.00","78,090.00","75,884.17","19,521,506","1,522,590,061,360"
2024-05-21,"78,500","79,000","78,200","78,400","78,240.00","78,085.00","75,843.33","13,690,583","1,074,830,521,150"
2024-05-20,"78,100","79,100","77,900","78,900","78,240.00","78,145.00","75,796.67","19,456,784","1,528,019,966,672"
