시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"56,600","56,900","54,000","54,600","53,060.00","50,160.00","37,586.67","3,283,085","182,127,321,800"
2024-06-18,"53,900","58,200","53,400","56,100","51,810.00","50,080.00","37,396.67","10,318,726","582,128,495,000"
2024-06-17,"51,100","54,200","50,800","52,400","50,180.00","49,835.00","37,190.42","3,502,092","185,294,258,500"
2024-06-14,"51,500","52,000","48,650","51,400","49,460.00","49,680.00","37,003.33","3,863,128","195,554,210,350"
2024-06-13,"50,400","54,000","49,650","50,800","48,680.00","49,650.00","36,826.67","7,955,006","409,001,090,900"
2024-06-12,"48,500","49,250","47,700","48,350","48,310.00","49,247.50","36,652.50","1,188,337","57,573,362,650"
2024-06-11,"49,150","49,350","46,600","47,950","48,250.00","48,895.00","36,492.08","1,739,374","82,976,426,200"
2024-06-10,"47,550","49,650","47,500","48,800","48,290.00","48,552.50","36,335.83","1,967,143","96,156,318,850"
2024-06-07,"49,100","50,900","47,500","47,500","48,130.00","48,270.00","36,170.83","3,227,956","159,419,935,800"
2024-06-05,"48,900","49,850","48,100","48,950","48,330.00","47,965.00","35,999.17","1,911,365","93,500,459,700"
2024-06-04,"48,500","49,500","47,750","48,050","48,330.00","47,537.50","35,814.17","1,561,478","75,764,779,400"
2024-06-03,"48,350","49,550","45,950","48,150","48,620.00","47,085.00","35,635.00","2,055,924","97,722,538,150"
2024-05-31,"48,100","48,850","47,100","48,000","49,070.00","46,697.50","35,467.08","1,621,226","77,848,773,350"
2024-05-30,"48,200","50,400","48,050","48,500","49,530.00","46,300.00","35,308.33","1,843,709","90,722,379,050"
2024-05-29,"50,900","51,100","48,300","48,950","50,250.00","45,792.50","35,157.08","2,009,057","99,520,373,750"
2024-05-28,"50,700","50,900","48,650","49,500","50,940.00","45,252.50","34,997.50","2,313,343","114,731,681,700"
2024-05-27,"51,200","53,100","50,100","50,400","51,640.00","44,607.50","34,837.92","2,716,930","139,695,678,000"
2024-05-24,"51,800","53,300","49,750","50,300","51,800.00","43,942.50","34,662.08","2,832,971","144,573,058,550"
2024-05-23,"54,500","54,900","51,400","52,100","51,600.00","43,192.50","34,488.33","3,834,364","203,263,640,100"
