시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"189,500","196,600","188,500","194,100","198,820.00","200,560.00","244,318.33","717,763","138,034,381,700"
2024-06-18,"201,000","203,000","191,300","191,600","201,900.00","201,030.00","245,350.83","710,704","139,037,663,000"
2024-06-17,"195,300","201,000","193,800","198,900","206,280.00","202,100.00","246,437.50","547,470","108,082,783,300"
2024-06-14,"209,000","209,000","199,600","200,500","209,600.00","202,780.00","247,430.00","699,689","141,371,397,800"
2024-06-13,"213,500","214,500","206,000","209,000","213,900.00","203,555.00","248,425.83","777,900","162,548,495,500"
2024-06-12,"211,500","215,500","205,500","209,500","212,700.00","203,630.00","249,284.17","543,357","113,759,659,000"
2024-06-11,"216,500","221,500","211,500","213,500","209,040.00","203,680.00","250,280.00","625,302","135,288,650,000"
2024-06-10,"219,000","221,500","209,000","215,500","203,940.00","203,880.00","251,159.17","949,785","205,018,620,500"
2024-06-07,"208,000","224,000","202,000","222,000","199,100.00","204,130.00","251,971.67","1,568,844","336,240,101,500"
2024-06-05,"191,500","208,000","190,400","203,000","191,860.00","204,180.00","252,634.17","1,100,996","221,310,960,000"
2024-06-04,"187,100","194,600","187,000","191,200","188,760.00","205,180.00","253,450.83","706,551","135,828,594,700"
2024-06-03,"189,400","192,000","187,500","188,000","190,240.00","206,920.00","254,428.33","582,389","110,393,407,800"
2024-05-31,"186,300","191,300","181,500","191,300","194,340.00","209,170.00","255,553.33","1,058,322","197,684,941,300"
2024-05-30,"185,300","190,400","184,000","185,800","195,320.00","211,530.00","256,292.50","751,107","140,500,079,100"
2024-05-29,"196,300","197,300","187,500","187,500","198,660.00","214,190.00","257,027.50","1,007,809","192,022,859,600"
2024-05-28,"207,000","207,000","198,500","198,600","201,960.00","216,615.00","257,710.83","682,776","137,073,314,100"
2024-05-27,"196,800","209,500","193,600","208,500","202,940.00","218,385.00","258,093.33","929,113","186,488,627,100"
2024-05-24,"199,900","201,500","195,800","196,200","203,840.00","220,235.00","258,364.17","595,244","118,039,520,900"
2024-05-23,"202,000","205,000","199,800","202,500","207,100.00","222,100.00","258,754.17","366,376","74,036,149,500"
2024-05-22,"206,500","209,000","203,000","204,000","209,800.00","223,975.00","259,095.83","308,921","63,270,386,000"
2024-05-21,"211,500","212,000","202,500","203,500","211,100.00","225,150.00","259,391.67","560,921","115,024,649,000"
2024-05-20,"214,000","215,000","210,500","213,000","212,500.00","226,425.00","259,741.67","267,962","56,907,053,000"
