시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"206,500","208,500","191,400","194,500","197,940.00","206,685.00","118,115.83","653,865","128,827,830,100"
2024-06-18,"210,000","213,500","199,700","201,500","196,520.00","207,060.00","117,100.83","480,657","98,662,093,600"
2024-06-17,"202,500","208,500","189,500","206,500","195,180.00","207,560.00","116,035.00","578,161","115,762,790,600"
2024-06-14,"189,300","206,000","188,800","199,000","192,820.00","206,835.00","114,922.50","983,510","194,454,366,000"
2024-06-13,"190,000","195,000","187,800","188,200","190,300.00","206,740.00","113,860.83","592,125","113,216,543,600"
2024-06-12,"194,200","194,700","186,700","187,400","190,700.00","205,855.00","112,881.67","520,821","98,185,022,700"
2024-06-11,"198,300","199,500","188,300","194,800","194,620.00","205,145.00","111,913.33","483,031","93,448,014,100"
2024-06-10,"184,000","198,800","182,700","194,700","198,260.00","204,305.00","110,882.50","827,657","159,089,783,400"
2024-06-07,"187,000","192,500","185,000","186,400","202,020.00","203,130.00","109,847.50","635,531","119,399,432,100"
2024-06-05,"205,000","205,000","187,300","190,200","209,140.00","202,055.00","108,883.33","1,123,352","216,445,715,900"
2024-06-04,"209,500","216,000","204,000","207,000","217,400.00","200,785.00","107,904.17","437,117","90,894,592,500"
2024-06-03,"212,500","216,500","206,500","213,000","222,200.00","198,425.00","106,783.33","510,606","108,069,567,000"
2024-05-31,"222,000","224,500","213,500","213,500","224,800.00","196,150.00","105,631.67","564,884","123,070,483,500"
2024-05-30,"227,500","234,000","220,000","222,000","228,300.00","194,305.00","104,478.33","426,809","96,295,454,000"
2024-05-29,"236,500","244,000","228,000","231,500","226,400.00","191,870.00","103,259.17","609,819","143,214,153,000"
2024-05-28,"227,000","233,500","223,500","231,000","220,700.00","188,490.00","101,961.67","548,760","125,695,279,000"
2024-05-27,"235,000","239,000","221,500","226,000","214,900.00","184,555.00","100,669.17","1,057,839","244,266,074,000"
2024-05-24,"208,500","235,500","206,000","231,000","212,000.00","181,085.00","99,420.00","1,526,256","334,944,303,500"
2024-05-23,"197,000","212,500","191,600","212,500","204,200.00","177,195.00","98,135.00","941,675","190,737,470,300"
2024-05-22,"210,500","216,000","202,000","203,000","201,120.00","174,500.00","96,986.67","929,217","193,927,009,500"
2024-05-21,"211,500","219,000","200,000","202,000","194,620.00","172,700.00","95,923.33","790,415","164,664,993,500"
2024-05-20,"194,100","225,000","194,000","211,500","188,860.00","170,350.00","94,829.17","1,861,629","396,792,811,700"
2024-05-17,"194,500","198,600","183,500","192,000","182,160.00","166,930.00","93,657.50","982,773","187,998,232,300"
2024-05-16,"173,100","199,000","169,700","197,100","178,000.00","163,980.00","92,637.50","1,820,219","338,723,821,600"
2024-05-14,"173,500","173,600","166,000","170,500","171,560.00","161,315.00","91,568.33","409,522","69,577,944,200"
2024-05-13,"179,600","183,200","167,000","173,200","170,420.00","159,775.00","90,709.17","837,616","147,398,658,200"
2024-05-10,"174,400","179,300","168,800","178,000","167,740.00","157,490.00","89,814.17","734,760","128,123,101,400"
2024-05-09,"164,500","174,000","163,300","171,200","165,640.00","154,785.00","88,871.67","827,018","140,704,100,400"
2024-05-08,"165,200","167,200","160,500","164,900","166,720.00","152,395.00","87,992.50","482,254","79,088,365,300"
2024-05-07,"163,000","171,300","162,900","164,800","168,400.00","150,080.00","87,175.83","793,865","132,526,641,000"
2024-05-03,"168,600","171,500","159,100","159,800","168,220.00","147,140.00","86,361.67","753,376","123,891,007,700"
2024-05-02,"173,100","175,800","166,500","167,500","166,720.00","143,800.00","85,600.83","784,395","132,843,210,000"
2024-04-30,"174,400","180,500","169,700","176,600","164,540.00","140,295.00","84,801.67","999,676","176,197,455,500"
2024-04-29,"166,700","179,200","161,000","173,300","159,860.00","136,365.00","83,880.83","2,171,261","374,606,617,400"
2024-04-26,"156,200","171,700","155,300","163,900","156,920.00","132,590.00","82,991.67","2,104,509","347,757,699,800"
2024-04-25,"153,400","160,900","150,900","152,300","157,540.00","129,315.00","82,155.00","817,766","126,411,734,700"
2024-04-24,"155,000","159,900","151,100","156,600","158,080.00","126,640.00","81,419.17","1,182,050","183,320,158,500"
2024-04-23,"162,000","164,400","148,000","153,200","155,380.00","123,520.00","80,709.17","1,985,834","306,603,728,400"
2024-04-22,"167,100","178,300","152,000","158,600","151,340.00","120,495.00","80,024.17","1,847,273","298,113,020,500"
2024-04-19,"157,100","170,000","146,500","167,000","148,380.00","117,205.00","79,302.50","2,393,092","383,001,823,700"
2024-04-18,"145,900","161,100","143,400","155,000","142,920.00","113,485.00","78,537.50","1,830,052","281,886,708,000"
2024-04-17,"133,000","144,700","133,000","143,100","137,420.00","110,255.00","77,870.83","1,375,685","194,678,815,400"
2024-04-16,"140,900","146,700","131,600","133,000","133,580.00","107,690.00","77,294.17","1,045,247","142,453,911,200"
2024-04-15,"139,300","146,800","135,100","143,800","131,660.00","105,575.00","76,833.33","1,075,984","152,472,761,000"
2024-04-12,"131,000","157,700","129,100","139,700","126,620.00","102,710.00","76,304.17","3,442,843","497,098,795,700"
2024-04-11,"120,500","130,600","120,100","127,500","119,880.00","100,065.00","75,834.17","705,890","88,687,095,800"
2024-04-09,"122,800","127,800","120,100","123,900","112,980.00","97,955.00","75,477.50","802,833","99,794,040,600"
2024-04-08,"115,800","129,200","113,900","123,400","107,680.00","95,815.00","75,147.50","1,175,582","143,235,678,300"
2024-04-05,"106,300","120,000","105,500","118,600","102,600.00","93,700.00","74,826.67","2,164,501","249,839,922,200"
2024-04-04,"94,400","106,800","94,400","106,000","98,440.00","91,730.00","74,557.50","1,014,061","103,179,958,700"
2024-04-03,"96,200","96,300","92,300","93,000","96,920.00","90,270.00","74,385.83","392,116","36,742,532,600"
2024-04-02,"98,800","98,900","94,900","97,400","98,080.00","89,575.00","74,319.17","287,622","27,827,326,500"
2024-04-01,"98,700","100,100","94,100","98,000","97,440.00","88,595.00","74,225.00","332,261","32,336,431,700"
2024-03-29,"99,000","101,200","96,600","97,800","96,380.00","87,130.00","74,159.17","360,834","35,840,844,900"
2024-03-28,"99,300","101,700","97,000","98,400","95,380.00","85,445.00","74,092.50","390,105","38,790,983,800"
2024-03-27,"94,500","99,900","93,400","98,800","94,220.00","83,760.00","74,050.83","624,327","61,161,162,500"
2024-03-26,"93,600","94,600","91,600","94,200","92,540.00","81,980.00","73,999.17","282,660","26,390,134,600"
2024-03-25,"93,800","94,600","91,600","92,700","92,060.00","80,655.00","74,000.00","210,726","19,549,167,200"
2024-03-22,"94,000","95,800","91,600","92,800","91,660.00","79,410.00","74,067.50","322,813","30,084,927,600"
2024-03-21,"90,700","93,500","87,600","92,600","90,400.00","78,220.00","74,144.17","566,910","51,340,700,700"
2024-03-20,"91,800","92,400","89,600","90,400","89,240.00","77,045.00","74,215.83","302,052","27,359,936,300"
2024-03-19,"90,100","91,900","88,700","91,800","88,220.00","76,010.00","74,308.33","387,823","35,013,527,800"
2024-03-18,"87,900","91,500","87,300","90,700","86,080.00","74,855.00","74,387.50","630,067","56,682,245,400"
2024-03-15,"87,100","88,800","84,600","86,500","84,160.00","73,745.00","74,437.50","451,642","39,277,860,800"
2024-03-14,"87,900","91,500","85,400","86,800","82,700.00","72,840.00","74,518.33","1,005,282","89,048,389,500"
2024-03-13,"81,100","87,500","80,900","85,300","80,700.00","71,830.00","74,576.67","1,077,115","91,947,402,600"
2024-03-12,"81,000","82,000","79,600","81,100","79,460.00","70,920.00","74,654.17","451,830","36,413,094,000"
2024-03-11,"79,200","86,000","78,000","81,100","78,800.00","70,175.00","74,778.33","1,414,827","117,624,563,800"
2024-03-08,"77,900","82,000","77,400","79,200","76,320.00","69,470.00","74,875.00","779,759","61,837,791,800"
2024-03-07,"80,300","80,400","76,400","76,800","73,300.00","68,785.00","74,985.83","569,556","44,420,684,000"
2024-03-06,"78,600","79,300","76,400","79,100","70,880.00","68,365.00","75,137.50","874,120","68,318,309,400"
2024-03-05,"71,600","80,500","70,800","77,800","67,700.00","67,855.00","75,280.00","3,241,015","249,209,128,700"
2024-03-04,"64,900","68,900","64,600","68,700","65,680.00","67,350.00","75,420.83","371,849","24,984,344,800"
2024-02-29,"64,300","65,300","63,500","64,100","65,500.00","67,435.00","75,641.67","136,031","8,715,154,400"
2024-02-28,"63,300","65,100","63,100","64,700","66,480.00","67,570.00","75,939.17","116,144","7,470,255,300"
2024-02-27,"67,800","68,200","63,200","63,200","67,360.00","67,730.00","76,202.50","351,081","22,800,148,300"
2024-02-26,"67,400","68,600","67,400","67,700","68,660.00","68,000.00","76,475.00","75,468","5,135,755,300"
