시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"7,560","8,490","7,280","7,390","7,298.00","6,377.50","4,523.88","14,964,759","118,768,373,190"
2024-06-18,"6,900","7,220","6,660","6,880","7,314.00","6,330.00","4,493.96","3,772,727","26,533,908,310"
2024-06-17,"7,270","7,290","6,880","6,950","7,244.00","6,319.00","4,468.67","1,690,556","11,925,685,670"
2024-06-14,"7,710","7,760","7,360","7,400","7,224.00","6,300.50","4,442.92","2,038,250","15,372,374,050"
2024-06-13,"7,890","8,680","7,650","7,870","6,798.00","6,278.00","4,413.08","16,377,422","135,614,788,110"
2024-06-12,"7,280","8,120","6,720","7,470","6,302.00","6,229.50","4,378.54","40,558,764","308,514,228,760"
2024-06-11,"6,700","7,480","6,220","6,530","5,906.00","6,247.00","4,347.92","20,340,096","139,675,968,400"
2024-06-10,"5,220","6,850","5,180","6,850","5,724.00","6,328.00","4,323.96","9,868,482","62,670,507,400"
2024-06-07,"5,380","5,430","5,190","5,270","5,448.00","6,380.00","4,296.71","286,755","1,506,770,800"
2024-06-05,"5,460","5,490","5,270","5,390","5,504.00","6,496.50","4,283.29","294,904","1,572,614,310"
2024-06-04,"5,590","5,600","5,360","5,490","5,586.00","6,579.50","4,269.29","319,192","1,746,305,240"
2024-06-03,"5,530","5,660","5,480","5,620","5,714.00","6,625.50","4,253.67","370,207","2,069,077,970"
2024-05-31,"5,550","5,640","5,400","5,470","5,830.00","6,661.00","4,237.63","506,727","2,789,990,870"
2024-05-30,"5,760","5,800","5,440","5,550","6,016.00","6,701.50","4,225.50","806,554","4,480,932,260"
2024-05-29,"6,200","6,240","5,710","5,800","6,190.00","6,745.00","4,213.00","1,018,867","5,969,679,100"
2024-05-28,"6,200","6,310","5,980","6,130","6,324.00","6,709.50","4,197.17","1,078,939","6,615,357,300"
2024-05-27,"6,530","6,530","6,080","6,200","6,386.00","6,605.00","4,180.42","684,097","4,252,068,820"
2024-05-24,"6,400","6,550","6,170","6,400","6,478.00","6,504.75","4,162.67","1,195,818","7,622,457,860"
2024-05-23,"6,520","6,570","6,130","6,420","6,514.00","6,383.50","4,144.04","767,029","4,874,543,670"
2024-05-22,"6,450","6,690","6,340","6,470","6,620.00","6,260.00","4,117.25","934,279","6,080,619,770"
2024-05-21,"6,700","6,980","6,310","6,440","6,706.00","6,136.50","4,090.33","1,265,241","8,335,008,830"
2024-05-20,"6,640","6,880","6,580","6,660","6,982.00","6,022.50","4,063.50","1,278,793","8,616,250,600"
2024-05-17,"6,880","6,900","6,510","6,580","7,280.00","5,887.50","4,035.17","1,124,569","7,506,251,210"
2024-05-16,"6,980","7,090","6,740","6,950","7,542.00","5,756.50","4,007.17","1,539,034","10,636,384,120"
2024-05-14,"7,820","8,120","6,670","6,900","7,672.00","5,621.25","3,976.67","3,591,024","25,648,889,820"
2024-05-13,"7,790","8,370","7,700","7,820","7,702.00","5,490.75","3,946.88","1,266,383","10,062,744,510"
2024-05-10,"8,220","8,220","8,050","8,150","7,420.00","5,310.75","3,908.83","824,179","6,711,234,630"
2024-05-09,"7,490","7,900","7,450","7,890","7,056.00","5,117.25","3,867.79","1,020,990","7,845,940,340"
2024-05-08,"7,080","9,150","6,990","7,600","6,734.00","4,936.00","3,829.71","15,370,980","127,689,802,790"
2024-05-07,"6,500","7,430","6,250","7,050","6,498.00","4,767.75","3,794.00","11,172,901","77,811,117,850"
