시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"150,500","164,700","148,200","163,800","135,700.00","121,765.00","93,879.17","5,094,076","796,683,425,900"
2024-06-18,"120,900","149,500","120,800","141,500","128,700.00","119,350.00","93,083.33","3,317,004","450,646,501,300"
2024-06-17,"126,200","129,900","120,200","121,800","125,100.00","117,955.00","92,463.33","1,226,310","151,973,744,100"
2024-06-14,"127,800","129,600","123,000","123,000","125,040.00","117,480.00","92,005.83","461,485","58,056,166,300"
2024-06-13,"132,300","134,900","126,000","128,400","125,840.00","116,880.00","91,542.50","972,067","127,484,615,800"
2024-06-12,"124,400","130,500","122,400","128,800","125,060.00","116,045.00","91,029.17","755,760","96,872,556,900"
2024-06-11,"122,000","130,900","118,600","123,500","124,600.00","115,195.00","90,530.83","1,062,574","132,672,424,700"
2024-06-10,"126,300","127,400","118,900","121,500","124,660.00","114,725.00","90,059.17","572,242","69,993,121,800"
2024-06-07,"124,000","128,900","122,300","127,000","124,220.00","114,230.00","89,617.50","647,701","81,215,226,200"
2024-06-05,"126,500","126,500","122,700","124,500","119,420.00","113,480.00","89,131.67","386,230","48,131,414,200"
2024-06-04,"124,800","128,500","122,800","126,500","114,700.00","113,105.00","88,671.67","972,468","122,385,676,900"
2024-06-03,"117,800","124,800","115,500","123,800","110,500.00","112,610.00","88,200.83","1,162,397","140,449,647,800"
2024-05-31,"107,200","120,400","105,400","119,300","107,160.00","112,045.00","87,785.00","1,773,703","200,290,902,400"
2024-05-30,"99,800","104,000","99,200","103,000","106,200.00","111,310.00","87,410.00","384,386","39,174,156,300"
2024-05-29,"105,500","105,800","100,500","100,900","108,300.00","111,440.00","87,145.00","629,990","64,306,947,300"
2024-05-28,"107,200","109,900","104,900","105,500","111,600.00","111,725.00","86,904.17","555,815","59,407,888,000"
2024-05-27,"112,600","113,200","107,100","107,100","113,600.00","111,685.00","86,614.17","836,650","91,480,532,300"
2024-05-24,"111,400","115,400","107,100","114,500","114,900.00","111,755.00","86,261.67","674,623","75,246,655,600"
2024-05-23,"116,300","117,800","112,800","113,500","114,460.00","111,115.00","85,865.00","457,708","52,629,261,100"
2024-05-22,"119,700","122,400","117,000","117,400","113,960.00","110,450.00","85,498.33","1,012,550","120,950,230,300"
2024-05-21,"114,500","116,300","112,600","115,500","112,820.00","109,715.00","85,088.33","511,763","58,564,009,700"
2024-05-20,"111,300","114,900","110,400","113,600","112,080.00","109,135.00","84,722.50","549,316","61,943,387,500"
2024-05-17,"107,200","116,800","105,500","112,300","112,180.00","108,225.00","84,302.50","1,317,598","148,794,243,900"
2024-05-16,"113,300","118,000","110,500","111,000","112,040.00","107,465.00","83,880.00","948,662","108,339,575,600"
2024-05-14,"111,900","114,700","111,500","111,700","112,240.00","107,050.00","83,518.33","383,561","43,458,005,000"
2024-05-13,"116,000","117,600","108,400","111,800","113,300.00","106,755.00","83,160.00","684,283","76,748,595,400"
2024-05-10,"112,200","116,700","110,900","114,100","114,260.00","106,035.00","82,785.83","578,144","65,833,045,800"
2024-05-09,"112,000","115,300","110,900","111,600","113,940.00","105,565.00","82,367.50","522,539","58,904,563,100"
2024-05-08,"117,100","117,100","108,800","112,000","112,540.00","105,160.00","81,994.17","884,500","98,777,804,500"
2024-05-07,"119,700","120,800","114,400","117,000","111,260.00","105,180.00","81,642.50","653,702","76,848,013,300"
2024-05-03,"111,800","121,100","111,000","116,600","109,180.00","104,900.00","81,278.33","1,511,501","177,735,345,200"
2024-05-02,"104,300","114,300","103,100","112,500","106,800.00","104,540.00","80,902.50","1,420,146","157,021,033,300"
2024-04-30,"104,700","107,000","103,600","104,600","106,000.00","104,690.00","80,574.17","380,874","40,002,212,300"
2024-04-29,"107,200","108,600","103,400","105,600","105,420.00","106,495.00","80,270.00","480,793","50,671,654,800"
2024-04-26,"107,100","110,500","105,200","106,600","104,340.00","108,245.00","79,966.67","860,094","92,690,865,000"
2024-04-25,"107,500","109,200","103,300","104,700","103,560.00","109,785.00","79,604.17","610,537","64,595,716,500"
2024-04-24,"102,100","110,800","100,200","108,500","103,400.00","111,580.00","79,243.33","1,157,709","123,471,624,700"
2024-04-23,"100,600","103,400","99,300","101,700","100,780.00","113,175.00","78,869.17","597,164","60,840,698,400"
2024-04-22,"105,100","106,900","99,800","100,200","99,860.00","113,645.00","78,558.33","906,728","93,369,618,500"
2024-04-19,"102,900","105,200","98,400","102,700","100,360.00","112,910.00","78,258.33","926,519","94,244,702,100"
2024-04-18,"95,500","108,600","95,400","103,900","100,980.00","112,130.00","77,950.00","1,728,395","179,566,533,600"
2024-04-17,"97,800","98,800","95,400","95,400","99,680.00","111,245.00","77,641.67","543,316","52,607,728,200"
2024-04-16,"100,000","100,400","96,100","97,100","101,540.00","110,875.00","77,395.00","951,180","93,052,591,800"
2024-04-15,"104,600","106,900","101,500","102,700","102,820.00","110,345.00","77,133.33","667,073","69,109,805,300"
2024-04-12,"98,400","108,200","98,200","105,800","104,760.00","109,100.00","76,843.33","2,000,953","209,344,469,000"
2024-04-11,"101,300","103,000","97,000","97,400","105,880.00","107,805.00","76,555.83","1,218,299","120,581,897,400"
2024-04-09,"102,900","109,300","101,800","104,700","108,280.00","106,935.00","76,380.83","1,561,977","165,066,600,400"
2024-04-08,"108,900","111,100","103,400","103,500","110,440.00","105,610.00","76,153.33","1,353,134","144,407,304,900"
2024-04-05,"107,500","114,500","98,900","112,400","117,880.00","104,470.00","75,950.83","4,346,370","463,600,028,700"
2024-04-04,"111,500","116,100","104,600","111,400","123,520.00","102,915.00","75,670.00","4,023,260","444,341,553,500"
2024-04-03,"111,500","116,900","107,300","109,400","128,720.00","101,160.00","75,374.17","2,960,369","327,884,544,500"
2024-04-02,"136,900","137,500","112,000","115,500","134,960.00","99,545.00","75,093.33","7,050,722","838,800,331,500"
2024-04-01,"146,500","151,200","138,300","140,700","139,940.00","97,590.00","74,770.83","2,503,713","363,464,696,800"
2024-03-29,"136,600","142,300","135,100","140,600","134,020.00","94,345.00","74,219.17","1,486,563","208,792,849,400"
2024-03-28,"139,100","148,700","135,900","137,400","123,000.00","90,895.00","73,662.50","2,949,002","419,027,375,500"
2024-03-27,"141,200","147,300","135,700","140,600","112,940.00","87,885.00","73,157.50","3,928,762","555,261,815,700"
2024-03-26,"118,100","143,400","117,000","140,400","102,060.00","84,325.00","72,625.83","10,118,894","1,330,342,850,700"
2024-03-25,"103,000","111,100","102,700","111,100","91,580.00","80,975.00","72,118.33","2,676,089","290,414,689,000"
2024-03-22,"87,500","91,900","78,800","85,500","86,660.00","79,095.00","71,854.17","1,511,659","130,385,433,400"
2024-03-21,"86,700","88,600","86,000","87,100","85,120.00","78,285.00","71,810.83","356,295","31,102,204,400"
2024-03-20,"87,100","88,400","84,700","86,200","83,680.00","77,280.00","71,818.33","401,211","34,621,562,500"
2024-03-19,"85,300","89,000","83,900","88,000","82,440.00","76,380.00","71,876.67","829,416","71,747,871,200"
2024-03-18,"79,400","87,700","77,800","86,500","80,480.00","75,470.00","71,919.17","1,226,331","102,764,832,400"
2024-03-15,"80,300","80,800","77,500","77,800","79,320.00","74,685.00","71,940.83","354,579","27,960,494,200"
2024-03-14,"80,500","84,300","78,800","79,900","80,020.00","74,305.00","72,023.33","713,352","57,880,412,500"
2024-03-13,"77,500","82,800","77,500","80,000","79,300.00","73,820.00","72,083.33","679,751","54,522,235,500"
2024-03-12,"80,100","81,400","77,000","78,200","78,720.00","73,260.00","72,170.83","365,981","28,671,373,300"
2024-03-11,"83,000","83,500","79,600","80,700","78,360.00","72,590.00","72,291.67","464,053","37,618,513,500"
2024-03-08,"76,300","81,800","74,500","81,300","77,380.00","71,675.00","72,423.33","718,218","56,836,270,300"
2024-03-07,"78,500","80,500","75,800","76,300","75,440.00","70,740.00","72,540.83","567,556","44,475,991,500"
2024-03-06,"77,200","80,000","75,100","77,100","75,620.00","70,055.00","72,710.00","639,478","49,753,350,300"
2024-03-05,"76,000","77,500","74,600","76,400","74,080.00","69,475.00","72,844.17","391,621","29,826,579,800"
