시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"53,600","62,600","53,600","61,200","56,880.00","43,902.50","32,430.33","1,678,009","100,302,739,200"
2024-06-18,"53,800","55,000","51,800","54,100","54,700.00","42,630.00","32,088.67","721,647","38,377,411,500"
2024-06-17,"55,400","58,900","54,200","54,300","54,340.00","41,767.50","31,812.00","555,155","30,955,680,800"
2024-06-14,"57,700","58,700","54,400","57,100","53,680.00","40,930.00","31,533.25","836,153","47,442,438,300"
2024-06-13,"50,100","59,800","49,850","57,700","50,520.00","39,980.00","31,219.17","2,647,092","149,103,840,800"
2024-06-12,"56,000","59,600","49,100","50,300","46,800.00","39,025.00","30,899.92","2,257,688","120,201,481,400"
2024-06-11,"51,000","52,500","50,500","52,300","44,410.00","38,387.50","30,649.08","1,086,998","56,082,674,100"
2024-06-10,"42,000","53,600","41,850","51,000","41,030.00","37,645.00","30,382.83","4,160,061","206,309,803,700"
2024-06-07,"40,100","43,300","39,850","41,300","37,990.00","37,020.00","30,130.75","815,808","34,259,695,850"
2024-06-05,"38,650","40,350","38,500","39,100","36,840.00","36,905.00","29,940.25","441,289","17,343,346,300"
2024-06-04,"36,500","39,000","36,300","38,350","36,250.00","36,930.00","29,775.00","812,419","30,905,091,750"
2024-06-03,"35,850","37,700","35,150","35,400","35,890.00","37,100.00","29,618.33","357,343","12,831,174,150"
2024-05-31,"35,100","36,600","34,800","35,800","35,910.00","37,555.00","29,484.58","250,253","8,909,100,150"
2024-05-30,"36,200","36,950","34,950","35,550","35,690.00","37,807.50","29,329.33","234,447","8,305,323,950"
2024-05-29,"36,000","37,900","34,600","36,150","35,870.00","38,050.00","29,172.83","596,490","21,512,069,700"
2024-05-28,"35,450","37,350","34,400","36,550","35,680.00","38,177.50","29,008.42","353,359","12,876,906,350"
2024-05-27,"34,650","36,000","33,000","35,500","35,520.00","38,370.00","28,844.17","674,491","23,009,072,600"
2024-05-24,"35,900","36,250","34,600","34,700","35,790.00","38,650.00","28,688.58","327,054","11,549,406,650"
2024-05-23,"35,000","36,700","34,300","36,450","36,360.00","38,780.00","28,542.58","315,649","11,223,441,350"
2024-05-22,"35,000","36,450","34,050","35,200","36,690.00","38,785.00","28,382.58","600,480","21,066,899,900"
2024-05-21,"36,800","37,200","35,000","35,750","37,370.00","38,822.50","28,235.50","427,069","15,223,900,450"
2024-05-20,"37,000","38,250","36,600","36,850","37,730.00","38,940.00","28,087.00","213,111","7,934,481,700"
2024-05-17,"37,800","38,500","36,500","37,550","37,850.00","39,002.50","27,931.25","403,619","15,093,953,100"
2024-05-16,"38,850","39,650","38,050","38,100","38,040.00","39,132.50","27,767.67","281,608","10,859,437,350"
2024-05-14,"37,950","39,150","37,200","38,600","38,220.00","39,252.50","27,606.83","319,105","12,181,649,500"
2024-05-13,"37,950","39,050","37,300","37,550","38,420.00","39,327.50","27,437.33","371,561","14,156,193,600"
2024-05-10,"38,150","38,400","36,600","37,450","39,260.00","39,485.00","27,273.83","657,448","24,423,894,950"
2024-05-09,"39,150","40,400","38,350","38,500","40,670.00","39,615.00","27,105.08","524,075","20,625,948,300"
2024-05-08,"40,250","40,250","38,500","39,000","41,140.00","39,562.50","26,929.58","353,235","13,873,836,200"
2024-05-07,"41,050","41,550","39,500","39,600","41,420.00","39,520.00","26,756.50","696,891","27,927,415,050"
2024-05-03,"43,550","43,600","41,350","41,750","41,240.00","39,425.00","26,581.08","1,039,886","43,988,378,675"
2024-05-02,"41,400","45,200","41,300","44,500","40,970.00","39,305.00","26,390.75","1,326,990","58,655,541,500"
2024-04-30,"40,600","42,550","39,200","40,850","40,290.00","39,025.00","26,184.08","613,495","25,333,681,200"
2024-04-29,"39,250","40,700","38,300","40,400","39,580.00","38,947.50","25,995.25","373,683","14,839,734,400"
2024-04-26,"39,550","40,200","38,500","38,700","38,810.00","38,950.00","25,808.58","301,217","11,783,786,250"
2024-04-25,"40,600","40,850","39,150","40,400","38,260.00","39,215.00","25,630.58","371,619","14,878,086,250"
2024-04-24,"38,600","41,600","37,600","41,100","37,800.00","39,195.00","25,448.50","762,946","30,599,592,350"
2024-04-23,"36,600","38,200","36,450","37,300","37,200.00","39,257.50","25,264.25","233,408","8,742,198,350"
2024-04-22,"35,500","36,800","33,900","36,550","37,770.00","39,407.50","25,110.58","575,545","20,428,992,250"
2024-04-19,"38,350","38,500","35,500","35,950","38,560.00","39,370.00","24,961.42","507,835","18,468,034,250"
2024-04-18,"37,950","39,400","37,850","38,100","39,390.00","39,397.50","24,821.67","358,228","13,795,556,900"
2024-04-17,"40,600","41,350","37,850","38,100","39,910.00","39,242.50","24,667.50","459,676","18,040,992,250"
2024-04-16,"39,850","41,650","38,200","40,150","40,300.00","39,062.50","24,492.42","635,614","25,321,893,600"
2024-04-15,"41,550","43,250","40,300","40,500","39,760.00","38,780.00","24,312.33","1,593,370","63,875,620,858"
2024-04-12,"41,250","41,650","39,700","40,100","39,290.00","38,385.00","24,134.42","378,548","15,361,880,600"
2024-04-11,"40,500","42,500","39,450","40,700","38,810.00","37,932.50","23,959.83","689,452","28,528,710,550"
2024-04-09,"38,250","41,500","37,950","40,050","38,540.00","37,507.50","23,770.50","892,724","35,470,216,900"
2024-04-08,"38,200","40,450","36,150","37,450","38,310.00","37,150.00","23,588.50","686,365","26,302,893,100"
2024-04-05,"36,750","38,800","36,350","38,150","38,680.00","36,907.50","23,408.75","371,410","13,952,595,250"
2024-04-04,"39,100","39,950","37,400","37,700","39,140.00","36,625.00","23,224.17","564,983","21,850,935,450"
2024-04-03,"38,000","41,750","37,600","39,350","40,400.00","36,412.50","23,037.83","945,170","37,402,337,850"
2024-04-02,"38,900","40,350","38,250","38,900","40,530.00","36,192.50","22,837.00","574,270","22,636,361,500"
2024-04-01,"40,450","41,350","38,800","39,300","41,220.00","36,127.50","22,639.00","549,687","21,715,652,750"
2024-03-29,"44,000","44,150","40,450","40,450","41,420.00","36,095.00","22,434.67","863,509","36,473,408,650"
