시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"26,700","29,900","26,600","27,150","25,950.00","25,030.00","22,461.00","3,055,702","86,272,910,900"
2024-06-18,"25,700","26,400","25,650","26,250","25,440.00","24,927.50","22,395.17","428,950","11,194,428,850"
2024-06-17,"26,000","26,000","25,050","25,500","24,920.00","24,845.00","22,337.42","273,425","6,955,028,250"
2024-06-14,"25,900","25,950","24,950","25,700","24,720.00","24,790.00","22,286.75","315,867","8,033,333,250"
2024-06-13,"25,050","25,800","24,850","25,150","24,530.00","24,717.50","22,235.75","394,684","9,968,318,400"
2024-06-12,"24,800","25,700","24,300","24,600","24,590.00","24,670.00","22,189.50","591,270","14,743,027,400"
2024-06-11,"24,100","24,400","23,050","23,650","24,730.00","24,640.00","22,147.08","464,597","10,915,494,100"
2024-06-10,"25,000","25,050","24,150","24,500","25,120.00","24,602.50","22,109.00","319,374","7,792,606,200"
2024-06-07,"25,350","25,600","24,600","24,750","25,360.00","24,555.00","22,060.75","321,047","8,008,693,800"
2024-06-05,"25,550","26,350","25,150","25,450","25,370.00","24,510.00","22,010.83","375,333","9,723,944,000"
2024-06-04,"26,000","26,550","25,250","25,300","25,120.00","24,437.50","21,957.50","313,210","8,058,615,750"
2024-06-03,"26,150","26,600","25,400","25,600","24,760.00","24,360.00","21,905.67","451,115","11,700,220,100"
2024-05-31,"24,750","26,300","24,650","25,700","24,430.00","24,180.00","21,858.00","694,258","17,792,150,250"
2024-05-30,"24,000","25,400","23,950","24,800","24,150.00","23,962.50","21,811.33","433,567","10,811,081,750"
2024-05-29,"23,300","24,700","23,200","24,200","24,340.00","23,750.00","21,774.67","349,661","8,453,564,700"
2024-05-28,"24,200","24,250","23,250","23,500","24,460.00","23,557.50","21,743.00","287,080","6,761,544,650"
2024-05-27,"24,000","24,450","23,450","23,950","24,780.00","23,410.00","21,716.75","277,957","6,632,978,250"
2024-05-24,"25,000","25,500","22,750","24,300","24,910.00","23,267.50","21,682.58","607,953","15,003,548,950"
2024-05-23,"25,050","25,750","25,050","25,750","24,930.00","23,087.50","21,643.42","451,541","11,504,792,200"
2024-05-22,"25,150","25,400","24,700","24,800","24,630.00","22,832.50","21,593.25","305,278","7,635,659,900"
2024-05-21,"24,800","25,450","24,550","25,100","24,510.00","22,627.50","21,554.92","385,030","9,682,342,100"
2024-05-20,"25,050","25,600","24,450","24,600","24,290.00","22,440.00","21,513.67","556,247","13,879,332,600"
2024-05-17,"24,750","24,750","23,900","24,400","23,950.00","22,252.50","21,471.67","259,230","6,320,496,600"
2024-05-16,"24,400","25,200","24,200","24,250","23,780.00","22,097.50","21,425.75","459,279","11,333,319,400"
2024-05-14,"23,900","24,450","23,550","24,200","23,700.00","21,970.00","21,384.58","290,132","6,968,887,150"
2024-05-13,"22,900","24,500","22,750","24,000","23,660.00","21,847.50","21,342.50","479,346","11,378,323,550"
2024-05-10,"23,600","23,700","22,700","22,900","23,610.00","21,712.50","21,301.50","421,582","9,687,595,600"
2024-05-09,"24,100","24,200","23,400","23,550","23,430.00","21,642.50","21,270.25","176,088","4,178,707,000"
2024-05-08,"24,000","24,150","23,400","23,850","22,990.00","21,552.50","21,234.83","248,178","5,893,867,400"
2024-05-07,"24,100","24,600","23,900","24,000","22,330.00","21,450.00","21,196.75","531,616","12,883,527,950"
