시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"2,390","2,650","2,105","2,530","2,084.00","1,857.25","1,771.00","34,672,744","85,667,835,640"
2024-06-18,"1,939","2,120","1,909","2,040","1,978.00","1,811.80","1,764.06","2,612,983","5,335,259,877"
2024-06-17,"1,900","1,964","1,851","1,939","1,994.00","1,791.50","1,761.27","447,944","859,400,463"
2024-06-14,"2,025","2,030","1,903","1,906","2,054.20","1,777.15","1,759.46","828,274","1,608,944,288"
2024-06-13,"1,971","2,165","1,970","2,005","2,079.00","1,765.45","1,757.83","2,551,003","5,291,770,914"
2024-06-12,"2,065","2,135","2,000","2,000","2,108.00","1,748.65","1,755.49","1,201,976","2,465,618,707"
2024-06-11,"2,155","2,200","2,055","2,120","2,038.80","1,731.80","1,753.04","2,831,964","6,017,684,110"
2024-06-10,"2,030","2,450","1,972","2,240","1,940.20","1,709.10","1,749.54","28,001,560","64,229,790,072"
2024-06-07,"2,465","2,685","1,996","2,030","1,817.40","1,680.60","1,745.15","23,856,110","57,805,044,548"
2024-06-05,"1,654","2,150","1,642","2,150","1,737.80","1,663.00","1,742.43","9,927,508","20,421,763,418"
2024-06-04,"1,629","1,654","1,540","1,654","1,628.20","1,639.45","1,738.71","114,264","185,953,871"
2024-06-03,"1,626","1,642","1,612","1,627","1,619.40","1,641.25","1,738.93","41,097","66,845,156"
2024-05-31,"1,610","1,632","1,610","1,626","1,615.40","1,644.80","1,739.32","26,304","42,582,349"
2024-05-30,"1,660","1,670","1,620","1,632","1,611.60","1,647.50","1,739.76","64,736","106,077,422"
2024-05-29,"1,606","1,612","1,592","1,602","1,607.20","1,649.85","1,740.19","63,585","102,433,166"
2024-05-28,"1,607","1,619","1,607","1,610","1,608.80","1,653.90","1,740.64","20,054","32,326,183"
2024-05-27,"1,607","1,645","1,601","1,607","1,611.00","1,658.35","1,741.32","20,266","32,600,932"
2024-05-24,"1,608","1,618","1,600","1,607","1,616.40","1,664.85","1,741.66","27,017","43,330,544"
2024-05-23,"1,607","1,625","1,605","1,610","1,625.40","1,672.35","1,742.41","17,393","27,997,655"
2024-05-22,"1,621","1,621","1,601","1,610","1,637.80","1,678.30","1,743.00","33,237","53,369,540"
2024-05-21,"1,632","1,644","1,610","1,621","1,649.60","1,686.20","1,743.36","21,899","35,542,765"
2024-05-20,"1,653","1,654","1,632","1,634","1,658.00","1,693.75","1,743.38","22,177","36,339,766"
2024-05-17,"1,674","1,674","1,600","1,652","1,664.40","1,700.40","1,743.18","83,592","136,749,617"
2024-05-16,"1,668","1,674","1,665","1,672","1,668.00","1,705.05","1,742.75","15,080","25,178,130"
2024-05-14,"1,658","1,674","1,658","1,669","1,669.20","1,711.05","1,742.31","30,954","51,649,304"
2024-05-13,"1,665","1,675","1,655","1,663","1,671.20","1,716.85","1,741.75","15,514","25,766,634"
2024-05-10,"1,680","1,680","1,665","1,666","1,676.60","1,721.95","1,741.18","26,685","44,571,792"
2024-05-09,"1,679","1,679","1,665","1,670","1,683.00","1,727.85","1,740.54","27,279","45,529,312"
2024-05-08,"1,680","1,680","1,665","1,678","1,685.00","1,734.00","1,740.35","42,961","71,719,525"
2024-05-07,"1,709","1,709","1,679","1,679","1,685.20","1,740.20","1,740.33","51,960","87,466,357"
2024-05-03,"1,729","1,729","1,686","1,690","1,686.00","1,746.35","1,740.35","1,362,079","2,302,000,949"
2024-05-02,"1,748","1,748","1,680","1,698","1,687.80","1,752.10","1,740.31","26,672","45,282,147"
2024-04-30,"1,679","1,685","1,678","1,680","1,695.60","1,757.15","1,740.24","26,489","44,508,979"
2024-04-29,"1,678","1,684","1,675","1,679","1,711.00","1,764.10","1,740.45","35,985","60,463,936"
2024-04-26,"1,710","1,710","1,678","1,683","1,721.00","1,770.95","1,740.29","52,832","89,171,864"
