시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"38,800","41,350","38,600","41,150","39,160.00","40,782.50","46,309.58","2,082,228","83,491,471,600"
2024-06-18,"39,400","39,850","38,300","38,450","38,980.00","40,845.00","46,346.25","906,690","35,331,643,050"
2024-06-17,"37,750","39,450","37,750","38,950","39,290.00","41,012.50","46,409.58","858,674","33,409,849,300"
2024-06-14,"38,950","39,000","37,350","38,050","39,540.00","41,127.50","46,468.75","1,691,473","64,334,917,850"
2024-06-13,"40,950","41,150","38,200","39,200","39,890.00","41,285.00","46,557.08","2,325,880","92,035,446,150"
2024-06-12,"40,050","40,600","39,750","40,250","40,020.00","41,167.50","46,595.42","763,936","30,637,318,650"
2024-06-11,"40,250","41,650","39,950","40,000","40,040.00","40,995.00","46,631.67","1,045,431","42,456,189,050"
2024-06-10,"39,900","40,300","39,500","40,200","40,320.00","40,797.50","46,665.00","573,310","22,972,110,450"
2024-06-07,"40,200","40,500","39,750","39,800","40,790.00","40,650.00","46,705.83","864,533","34,554,073,750"
2024-06-05,"40,800","41,000","39,800","39,850","41,280.00","40,625.00","46,750.00","994,591","39,899,415,800"
2024-06-04,"41,650","42,300","40,250","40,350","42,020.00","40,557.50","46,806.67","1,175,642","48,185,775,000"
2024-06-03,"43,000","43,050","40,600","41,400","42,990.00","40,452.50","46,836.25","1,616,063","65,977,824,300"
2024-05-31,"42,000","43,450","41,700","42,550","43,170.00","40,317.50","46,877.50","971,328","41,327,951,400"
2024-05-30,"43,050","44,300","42,100","42,250","42,420.00","40,167.50","46,917.50","1,079,224","46,333,160,050"
2024-05-29,"45,550","45,600","43,400","43,550","42,320.00","40,065.00","46,952.08","1,884,473","83,095,715,750"
2024-05-28,"42,250","45,400","41,900","45,200","41,930.00","39,822.50","46,946.67","4,846,019","215,338,009,900"
2024-05-27,"38,500","42,400","38,500","42,300","41,370.00","39,577.50","46,912.92","2,556,627","104,317,064,200"
2024-05-24,"41,050","41,550","38,550","38,800","41,270.00","39,580.00","46,875.83","2,050,186","81,410,399,150"
2024-05-23,"42,200","42,250","41,450","41,750","41,760.00","39,745.00","46,852.50","1,373,738","57,502,034,800"
2024-05-22,"42,600","42,600","40,800","41,600","41,650.00","39,845.00","46,802.50","1,271,367","52,821,039,200"
2024-05-21,"42,350","43,450","41,550","42,400","40,700.00","39,962.50","46,761.25","2,211,402","93,836,826,700"
2024-05-20,"41,800","42,450","40,600","41,800","39,580.00","40,042.50","46,712.92","1,768,373","73,199,694,550"
2024-05-17,"41,200","43,100","39,500","41,250","38,430.00","40,072.50","46,674.58","3,760,185","154,891,499,400"
2024-05-16,"38,300","41,650","37,650","41,200","37,630.00","40,060.00","46,639.58","4,874,325","193,486,956,700"
2024-05-14,"36,800","37,150","36,350","36,850","37,250.00","40,180.00","46,608.33","814,142","30,093,423,750"
2024-05-13,"36,800","37,000","36,050","36,800","37,580.00","40,485.00","46,614.58","1,080,311","39,430,256,000"
2024-05-10,"37,100","37,350","35,650","36,050","37,870.00","40,772.50","46,608.75","1,928,856","69,915,335,050"
2024-05-09,"39,150","39,200","37,050","37,250","38,400.00","41,187.50","46,606.67","1,746,733","65,820,348,100"
2024-05-08,"38,200","39,300","37,350","39,300","38,860.00","41,607.50","46,614.58","2,000,070","76,620,523,450"
2024-05-07,"38,850","39,350","38,150","38,500","39,040.00","41,977.50","46,597.92","1,101,464","42,584,722,700"
2024-05-03,"39,100","39,350","37,950","38,250","39,080.00","42,460.00","46,580.42","1,148,222","44,056,573,400"
2024-05-02,"38,800","39,450","38,500","38,700","39,490.00","42,992.50","46,570.00","952,409","36,992,606,800"
2024-04-30,"40,500","40,500","39,250","39,550","40,220.00","43,667.50","46,567.50","849,893","33,870,892,200"
2024-04-29,"39,100","40,500","39,050","40,200","40,730.00","44,265.00","46,535.42","1,942,061","77,332,343,000"
2024-04-26,"40,750","40,950","38,400","38,700","41,440.00","44,910.00","46,494.58","3,301,439","127,440,556,500"
2024-04-25,"41,500","42,100","40,100","40,300","42,490.00","45,650.00","46,445.00","1,354,309","55,439,654,800"
2024-04-24,"43,000","43,700","42,300","42,350","43,230.00","46,210.00","46,368.75","1,213,213","52,142,300,650"
2024-04-23,"44,700","44,750","42,100","42,100","43,240.00","46,687.50","46,299.58","1,038,501","44,723,977,250"
2024-04-22,"43,150","44,750","43,000","43,750","43,020.00","47,287.50","46,232.92","1,301,970","57,143,578,850"
2024-04-19,"43,100","44,250","41,300","43,950","42,990.00","47,735.00","46,139.58","1,788,642","76,494,197,600"
2024-04-18,"41,800","44,300","41,500","44,000","42,790.00","48,167.50","46,085.00","1,492,749","64,753,998,600"
2024-04-17,"41,150","44,200","40,450","42,400","42,500.00","48,537.50","46,012.08","2,565,009","109,270,122,800"
2024-04-16,"46,000","48,450","40,300","41,000","42,890.00","49,007.50","45,937.50","8,114,615","361,741,284,300"
2024-04-15,"42,200","44,150","41,850","43,600","43,820.00","49,607.50","45,873.75","1,716,502","74,518,896,300"
2024-04-12,"43,750","44,300","42,450","42,950","44,440.00","50,037.50","45,787.50","2,410,842","104,360,145,550"
2024-04-11,"43,100","43,500","42,050","42,550","45,480.00","50,495.00","45,721.67","2,770,331","116,714,801,305"
2024-04-09,"45,650","46,400","44,150","44,350","46,750.00","51,067.50","45,661.25","1,465,890","65,850,078,250"
2024-04-08,"46,650","47,650","45,550","45,650","48,320.00","51,625.00","45,575.83","1,090,576","50,239,990,650"
2024-04-05,"46,750","47,350","45,850","46,700","49,490.00","52,037.50","45,488.75","1,637,221","75,981,590,350"
2024-04-04,"49,250","49,850","47,400","48,150","50,770.00","52,442.50","45,373.33","1,911,752","92,191,565,950"
2024-04-03,"50,900","51,900","47,700","48,900","51,840.00","52,880.00","45,237.50","2,308,512","114,217,911,550"
2024-04-02,"52,000","54,300","51,200","52,200","52,360.00","53,335.00","45,085.42","1,766,309","93,170,015,800"
2024-04-01,"53,700","55,100","51,200","51,500","52,300.00","53,510.00","44,915.42","1,883,641","99,446,749,800"
2024-03-29,"53,000","54,500","51,600","53,100","52,820.00","53,735.00","44,747.08","1,821,358","96,690,901,900"
2024-03-28,"51,200","55,300","51,200","53,500","52,740.00","53,650.00","44,567.08","3,582,895","191,488,377,700"
2024-03-27,"52,100","52,400","48,550","51,500","52,560.00","53,595.00","44,372.50","2,413,791","122,093,382,950"
2024-03-26,"54,400","55,000","51,800","51,900","52,540.00","53,675.00","44,199.58","1,897,098","100,025,690,800"
