시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"62,800","63,500","61,500","63,400","63,060.00","59,315.00","76,872.92","1,228,216","76,575,052,500"
2024-06-18,"63,000","64,400","62,300","62,800","62,500.00","58,570.00","76,754.58","1,117,297","70,543,557,400"
2024-06-17,"61,500","63,600","61,000","63,200","61,640.00","57,780.00","76,597.92","1,209,337","75,429,865,600"
2024-06-14,"64,200","65,200","61,500","62,300","60,840.00","57,975.00","76,434.17","2,459,429","154,680,549,400"
2024-06-13,"62,500","67,000","61,500","63,600","60,300.00","59,650.00","76,252.08","5,693,263","369,104,676,500"
2024-06-12,"58,200","60,800","58,100","60,600","59,500.00","61,200.00","76,011.25","1,618,488","95,924,483,800"
2024-06-11,"59,200","59,500","58,100","58,500","58,940.00","63,070.00","75,796.67","1,289,052","75,768,809,600"
2024-06-10,"58,900","59,900","58,200","59,200","58,700.00","65,195.00","75,592.92","1,303,429","77,000,655,900"
2024-06-07,"60,200","60,900","57,900","59,600","59,100.00","67,515.00","75,377.50","2,660,882","157,399,617,400"
2024-06-05,"58,500","60,700","56,800","59,600","59,480.00","69,880.00","75,145.42","2,820,122","166,091,019,900"
2024-06-04,"56,000","59,200","54,700","57,800","60,780.00","72,105.00","74,922.08","4,909,559","279,767,455,700"
2024-06-03,"59,700","60,800","57,000","57,300","62,160.00","74,335.00","74,714.58","3,740,662","217,740,989,100"
2024-05-31,"62,500","64,800","58,300","61,200","61,940.00","76,795.00","74,510.42","5,754,591","355,182,703,900"
2024-05-30,"65,800","66,600","61,200","61,500","59,840.00","79,295.00","74,264.58","5,062,564","323,444,391,700"
2024-05-29,"63,000","66,900","62,600","66,100","57,280.00","81,690.00","74,017.92","6,560,217","424,579,536,000"
2024-05-28,"56,700","67,600","55,700","64,700","53,920.00","83,890.00","73,733.33","17,559,460","1,092,277,073,936"
2024-05-27,"51,500","57,000","50,300","56,200","50,680.00","86,135.00","73,465.42","8,121,396","436,991,896,100"
2024-05-24,"47,350","51,300","47,300","50,700","48,840.00","88,750.00","73,265.83","5,655,935","280,980,298,450"
2024-05-23,"49,500","57,400","48,700","48,700","52,120.00","91,550.00","73,109.58","14,556,424","760,523,066,950"
2024-05-22,"49,250","49,600","47,250","49,300","61,540.00","94,430.00","72,969.58","6,976,093","340,136,945,700"
2024-05-21,"46,800","49,750","45,150","48,500","70,600.00","96,965.00","72,817.92","21,085,468","1,004,936,160,284"
2024-05-20,"47,000","49,150","47,000","47,000","80,500.00","99,405.00","72,674.17","16,852,798","799,111,891,850"
2024-05-17,"67,100","67,100","67,100","67,100","91,300.00","101,715.00","72,541.67","617,840","41,557,887,100"
2024-05-16,"98,000","106,900","93,700","95,800","99,000.00","103,115.00","72,239.17","5,372,076","532,163,700,600"
2024-05-14,"100,000","101,100","94,500","94,600","101,220.00","103,250.00","71,700.83","2,145,049","209,986,859,800"
2024-05-13,"99,600","102,000","97,100","98,000","103,120.00","103,170.00","71,166.67","1,820,213","181,015,487,800"
2024-05-10,"105,600","106,200","101,000","101,000","104,000.00","102,795.00","70,601.67","1,638,737","169,455,923,200"
2024-05-09,"106,700","111,000","103,500","105,600","105,100.00","102,345.00","70,007.08","1,864,854","200,092,669,000"
2024-05-08,"104,100","107,000","100,600","106,900","106,220.00","101,710.00","69,380.42","1,492,323","154,380,722,900"
2024-05-07,"103,900","107,900","103,400","104,100","106,720.00","100,670.00","68,745.00","1,284,318","135,137,995,200"
2024-05-03,"105,100","106,900","102,400","102,400","107,920.00","100,035.00","68,144.17","1,540,761","161,006,636,800"
2024-05-02,"111,200","112,400","106,200","106,500","109,360.00","99,765.00","67,564.17","1,420,543","154,930,559,300"
2024-04-30,"107,100","114,300","107,000","111,200","109,760.00","99,470.00","66,955.00","2,081,958","231,851,326,000"
2024-04-29,"110,100","110,500","106,300","109,400","108,860.00","99,130.00","66,271.67","1,177,733","127,687,392,700"
2024-04-26,"109,600","111,700","100,100","110,100","108,240.00","98,920.00","65,607.08","2,387,462","258,143,372,500"
2024-04-25,"107,300","112,600","107,000","109,600","106,220.00","98,900.00","64,932.08","1,700,986","187,306,844,900"
2024-04-24,"107,600","109,500","105,400","108,500","103,760.00","98,900.00","64,260.00","1,229,934","132,121,816,100"
2024-04-23,"106,400","109,000","104,300","106,700","100,700.00","99,515.00","63,598.33","1,400,682","150,113,713,500"
2024-04-22,"103,200","109,300","101,800","106,300","98,380.00","100,120.00","62,952.92","3,046,455","323,232,229,800"
2024-04-19,"97,300","100,000","93,000","100,000","96,820.00","100,395.00","62,307.92","2,060,066","199,449,842,500"
2024-04-18,"92,900","98,500","91,600","97,300","95,420.00","101,030.00","61,715.83","1,486,658","142,613,458,100"
2024-04-17,"97,900","98,300","91,200","93,200","94,060.00","101,355.00","61,151.67","1,771,610","166,549,650,700"
2024-04-16,"97,700","99,200","92,700","95,100","93,820.00","101,835.00","60,613.33","1,702,377","162,248,970,900"
2024-04-15,"92,000","99,900","90,300","98,500","93,380.00","102,130.00","60,058.75","2,489,447","239,448,298,800"
