시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"3,960","4,635","3,845","4,165","3,896.00","3,940.50","3,354.38","17,508,360","75,653,364,900"
2024-06-18,"3,830","3,995","3,795","3,895","3,833.00","3,944.75","3,347.08","1,078,831","4,215,051,655"
2024-06-17,"3,820","3,895","3,765","3,810","3,865.00","3,948.75","3,342.21","711,512","2,720,679,730"
2024-06-14,"3,845","3,860","3,765","3,790","3,947.00","3,949.25","3,337.83","617,930","2,348,897,700"
2024-06-13,"3,825","3,965","3,760","3,820","4,042.00","3,959.50","3,333.50","1,177,818","4,537,711,270"
2024-06-12,"3,990","4,050","3,840","3,850","4,238.00","3,973.75","3,328.54","975,055","3,823,958,760"
2024-06-11,"4,135","4,145","3,995","4,055","4,315.00","3,977.25","3,323.71","1,303,900","5,280,747,835"
2024-06-10,"4,175","4,375","4,050","4,220","4,341.00","3,960.00","3,317.13","2,843,186","11,931,028,455"
2024-06-07,"4,660","4,785","4,215","4,265","4,195.00","3,939.50","3,309.21","5,513,747","24,646,293,920"
2024-06-05,"4,160","5,330","4,005","4,800","4,048.00","3,887.25","3,300.29","31,535,850","150,523,647,485"
2024-06-04,"4,500","4,945","4,120","4,235","3,809.00","3,806.50","3,287.21","18,695,856","87,284,323,840"
2024-06-03,"3,480","4,345","3,480","4,185","3,704.00","3,755.50","3,278.58","17,682,012","72,657,073,935"
2024-05-31,"3,505","3,675","3,485","3,490","3,620.00","3,709.50","3,270.58","657,950","2,334,141,245"
2024-05-30,"3,590","3,615","3,505","3,530","3,687.00","3,701.75","3,268.54","352,083","1,246,501,175"
2024-05-29,"3,685","3,720","3,600","3,605","3,751.00","3,693.50","3,266.58","462,532","1,682,536,585"
2024-05-28,"3,770","3,795","3,660","3,710","3,819.00","3,677.25","3,263.63","539,556","2,008,124,530"
2024-05-27,"3,810","3,830","3,670","3,765","3,927.00","3,657.50","3,259.63","685,763","2,564,847,935"
2024-05-24,"3,750","3,955","3,750","3,825","3,969.00","3,638.75","3,255.04","529,181","2,041,546,765"
2024-05-23,"3,855","3,940","3,730","3,850","3,968.00","3,618.25","3,250.42","964,951","3,715,756,625"
2024-05-22,"4,070","4,100","3,940","3,945","3,997.00","3,588.75","3,246.08","1,582,020","6,371,408,285"
2024-05-21,"3,920","4,295","3,860","4,250","4,029.00","3,562.75","3,240.88","7,060,980","29,124,237,460"
2024-05-20,"3,820","4,245","3,760","3,975","3,963.00","3,521.75","3,232.96","5,784,750","23,228,295,055"
2024-05-17,"3,940","3,945","3,780","3,820","3,910.00","3,468.25","3,227.00","1,324,056","5,086,340,580"
2024-05-16,"4,105","4,170","3,985","3,995","3,908.00","3,422.75","3,222.04","1,945,633","7,852,799,710"
2024-05-14,"4,530","4,825","4,065","4,105","3,753.00","3,375.00","3,216.21","18,805,740","85,427,328,480"
2024-05-13,"3,635","3,945","3,585","3,920","3,569.00","3,318.25","3,209.38","8,823,455","34,313,870,055"
2024-05-10,"3,775","3,905","3,550","3,710","3,428.00","3,270.00","3,203.46","4,270,347","16,095,864,535"
2024-05-09,"3,285","4,100","3,280","3,810","3,339.00","3,234.50","3,198.63","25,729,338","98,720,136,785"
2024-05-08,"3,165","3,225","3,160","3,220","3,244.00","3,195.00","3,193.33","315,335","1,022,497,640"
2024-05-07,"3,200","3,200","3,070","3,185","3,273.00","3,186.00","3,193.79","389,820","1,228,681,740"
2024-05-03,"3,275","3,280","3,210","3,215","3,292.00","3,179.00","3,195.00","373,872","1,209,112,345"
2024-05-02,"3,305","3,370","3,215","3,265","3,312.00","3,169.75","3,196.54","453,920","1,486,657,610"
2024-04-30,"3,305","3,455","3,265","3,335","3,337.00","3,159.00","3,198.25","933,031","3,151,461,445"
2024-04-29,"3,255","3,445","3,255","3,365","3,353.00","3,146.50","3,198.71","861,778","2,898,847,100"
2024-04-26,"3,305","3,330","3,235","3,280","3,332.00","3,131.75","3,199.17","586,524","1,921,678,785"
2024-04-25,"3,365","3,525","3,300","3,315","3,361.00","3,122.75","3,198.79","1,716,122","5,866,233,670"
2024-04-24,"3,380","3,440","3,315","3,390","3,384.00","3,111.00","3,198.25","1,107,599","3,746,746,060"
2024-04-23,"3,400","3,715","3,345","3,415","3,287.00","3,097.75","3,198.00","10,714,897","37,831,242,670"
2024-04-22,"3,425","3,520","3,230","3,260","3,186.00","3,081.00","3,196.42","3,795,885","12,844,983,185"
2024-04-19,"3,395","3,775","3,225","3,425","3,142.00","3,074.25","3,196.04","9,695,810","34,231,616,865"
2024-04-18,"3,360","3,775","3,320","3,430","3,051.00","3,059.75","3,196.00","16,742,255","61,162,999,245"
2024-04-17,"2,910","2,960","2,905","2,905","2,956.00","3,046.00","3,196.54","38,794","113,278,915"
2024-04-16,"3,020","3,020","2,910","2,910","2,975.00","3,058.50","3,200.13","83,302","245,253,575"
2024-04-15,"2,925","3,105","2,900","3,040","2,997.00","3,069.50","3,204.63","226,771","680,696,355"
2024-04-12,"2,955","2,990","2,940","2,970","2,997.00","3,074.50","3,209.58","47,324","140,190,995"
2024-04-11,"2,995","2,995","2,920","2,955","3,012.00","3,079.50","3,215.92","76,720","226,959,615"
2024-04-09,"3,010","3,050","2,990","3,000","3,027.00","3,085.25","3,221.88","69,731","209,917,395"
2024-04-08,"3,040","3,175","3,010","3,020","3,037.00","3,088.00","3,226.33","288,136","886,213,545"
2024-04-05,"3,030","3,050","3,020","3,040","3,050.00","3,089.25","3,230.92","51,305","155,604,160"
2024-04-04,"3,025","3,055","3,020","3,045","3,056.00","3,089.25","3,236.83","45,847","138,950,025"
2024-04-03,"3,055","3,070","3,025","3,030","3,067.00","3,088.50","3,241.83","68,553","208,299,040"
2024-04-02,"3,085","3,095","3,040","3,050","3,077.00","3,090.25","3,246.13","78,210","238,981,940"
2024-04-01,"3,070","3,090","3,060","3,085","3,092.00","3,091.00","3,250.25","59,257","182,161,650"
2024-03-29,"3,115","3,145","3,065","3,070","3,091.00","3,092.25","3,252.92","40,656","125,564,590"
2024-03-28,"3,085","3,110","3,075","3,100","3,102.00","3,094.25","3,255.92","66,430","205,368,280"
2024-03-27,"3,125","3,140","3,080","3,080","3,109.00","3,095.50","3,260.13","70,887","219,400,555"
2024-03-26,"3,085","3,155","3,060","3,125","3,124.00","3,097.25","3,263.63","185,516","576,660,895"
2024-03-25,"3,120","3,135","3,080","3,080","3,130.00","3,097.75","3,267.21","65,040","201,440,115"
2024-03-22,"3,120","3,155","3,105","3,125","3,140.00","3,101.50","3,272.38","55,615","174,145,785"
2024-03-21,"3,195","3,195","3,130","3,135","3,143.00","3,106.00","3,277.13","94,944","299,239,575"
