시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"14,520","15,780","14,220","14,660","14,428.00","14,367.00","11,959.50","4,713,826","70,977,277,240"
2024-06-18,"14,150","15,930","14,010","14,360","14,520.00","14,293.50","11,908.17","6,886,969","104,048,824,260"
2024-06-17,"14,350","14,530","13,800","13,800","14,804.00","14,256.00","11,854.83","643,224","9,087,874,240"
2024-06-14,"14,800","14,940","14,260","14,420","15,328.00","14,177.50","11,804.42","760,879","11,039,032,220"
2024-06-13,"15,100","15,420","14,870","14,900","15,678.00","14,076.00","11,748.25","1,436,151","21,786,132,520"
2024-06-12,"15,510","16,070","14,850","15,120","16,198.00","13,958.50","11,688.33","1,512,950","23,178,408,500"
2024-06-11,"16,650","16,950","15,780","15,780","17,022.00","13,840.50","11,628.67","1,953,648","31,773,307,590"
2024-06-10,"15,790","17,000","15,760","16,420","17,116.00","13,722.00","11,564.17","3,625,872","59,595,769,200"
2024-06-07,"17,190","20,300","16,170","16,170","16,332.00","13,534.00","11,494.00","25,594,184","473,586,261,480"
2024-06-05,"19,000","20,350","16,630","17,500","15,572.00","13,362.00","11,424.33","11,881,687","216,019,385,370"
2024-06-04,"17,520","20,950","17,510","19,240","14,638.00","13,177.50","11,345.50","24,948,824","489,654,197,180"
2024-06-03,"12,510","16,250","12,510","16,250","13,216.00","12,900.00","11,251.83","15,726,169","241,831,929,270"
2024-05-31,"12,100","12,900","12,080","12,500","12,334.00","12,722.00","11,184.58","801,708","9,999,045,160"
2024-05-30,"13,240","13,640","12,350","12,370","12,290.00","12,746.50","11,149.50","2,733,409","35,857,363,410"
2024-05-29,"12,800","13,900","12,570","12,830","12,270.00","12,795.50","11,116.08","8,527,851","113,735,881,650"
2024-05-28,"11,840","12,240","11,840","12,130","12,204.00","12,906.50","11,077.00","556,106","6,749,410,400"
2024-05-27,"12,330","12,560","11,740","11,840","12,416.00","13,059.50","11,043.67","614,514","7,427,899,140"
2024-05-24,"12,250","12,570","12,240","12,280","12,770.00","13,243.50","11,012.42","479,252","5,921,040,730"
2024-05-23,"12,250","12,480","12,240","12,270","12,760.00","13,383.00","10,979.33","389,371","4,793,855,040"
2024-05-22,"12,910","12,980","12,420","12,500","12,784.00","13,500.00","10,944.92","981,790","12,401,850,140"
2024-05-21,"13,000","13,530","12,850","13,190","12,794.00","13,727.50","10,910.33","2,072,172","27,344,478,040"
2024-05-20,"12,470","14,500","12,330","13,610","12,708.00","13,777.50","10,873.17","15,882,242","219,248,768,130"
2024-05-17,"12,400","12,850","12,230","12,230","12,668.00","13,857.00","10,832.33","922,408","11,559,336,710"
2024-05-16,"12,500","12,600","12,290","12,390","12,754.00","14,070.50","10,800.17","507,570","6,297,750,840"
2024-05-14,"12,910","12,950","12,420","12,550","12,822.00","14,286.00","10,770.58","569,188","7,187,152,420"
2024-05-13,"12,840","13,190","12,650","12,760","13,074.00","14,436.00","10,743.75","949,286","12,229,915,130"
2024-05-10,"12,680","13,850","12,680","13,410","13,260.00","14,568.50","10,715.75","3,804,105","51,023,970,170"
2024-05-09,"12,920","13,070","12,530","12,660","13,116.00","14,643.00","10,682.67","900,828","11,536,763,500"
2024-05-08,"13,440","13,500","12,730","12,730","13,182.00","14,794.00","10,655.08","1,333,915","17,475,112,740"
