시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"74,900","76,300","69,900","71,600","71,240.00","70,325.00","41,549.92","955,452","69,975,324,500"
2024-06-18,"74,200","74,300","71,700","72,400","70,600.00","70,115.00","41,124.50","548,423","40,070,040,800"
2024-06-17,"70,000","73,900","67,200","73,400","70,560.00","69,985.00","40,696.17","899,379","64,564,824,300"
2024-06-14,"69,400","71,500","68,800","70,000","70,000.00","69,705.00","40,255.75","720,237","50,582,599,400"
2024-06-13,"68,700","70,800","68,600","68,800","68,440.00","69,570.00","39,838.08","807,651","56,098,027,000"
2024-06-12,"73,100","74,100","67,700","68,400","67,320.00","69,480.00","39,426.08","1,147,487","79,901,023,800"
2024-06-11,"68,900","75,600","66,000","72,200","67,180.00","69,635.00","39,022.75","2,177,742","156,591,074,700"
2024-06-10,"61,100","72,700","60,800","70,600","67,380.00","69,770.00","38,588.17","1,701,813","114,042,176,800"
2024-06-07,"62,000","64,200","61,400","62,200","67,960.00","69,650.00","38,159.50","605,505","37,945,436,100"
2024-06-05,"66,300","66,800","62,000","63,200","69,660.00","69,895.00","37,802.00","1,042,527","66,338,424,800"
2024-06-04,"72,500","74,400","67,000","67,700","71,800.00","70,020.00","37,440.08","856,905","59,573,438,200"
2024-06-03,"74,500","74,900","72,200","73,200","73,580.00","69,820.00","37,035.25","463,811","34,149,694,500"
2024-05-31,"70,300","73,500","68,100","73,500","73,340.00","69,420.00","36,591.17","983,681","70,208,256,500"
2024-05-30,"73,000","74,600","70,500","70,700","73,040.00","68,850.00","36,155.33","571,910","41,543,724,100"
2024-05-29,"78,100","78,900","72,500","73,900","72,580.00","68,440.00","35,740.75","1,114,957","83,659,733,800"
2024-05-28,"72,200","77,600","71,800","76,600","70,940.00","67,865.00","35,301.17","1,477,406","111,609,430,000"
2024-05-27,"72,700","74,300","70,000","72,000","69,100.00","67,115.00","34,844.50","1,018,062","73,805,610,300"
2024-05-24,"67,400","74,400","67,100","72,000","68,660.00","66,590.00","34,428.25","2,346,633","168,766,655,800"
2024-05-23,"65,100","69,400","62,300","68,400","67,820.00","65,580.00","34,017.42","1,175,688","78,375,861,100"
2024-05-22,"68,000","68,800","65,400","65,700","67,600.00","64,517.50","33,628.67","630,813","42,046,390,400"
2024-05-21,"70,900","71,700","67,100","67,400","67,860.00","63,742.50","33,268.25","756,385","51,991,647,800"
2024-05-20,"69,000","73,400","68,500","69,800","68,680.00","62,947.50","32,887.83","1,563,427","111,079,823,400"
2024-05-17,"67,100","69,700","65,000","67,800","69,700.00","61,792.50","32,487.83","1,030,549","69,786,900,900"
2024-05-16,"67,800","70,400","65,000","67,300","69,780.00","60,612.50","32,105.33","1,408,422","95,463,274,800"
2024-05-14,"73,000","73,300","65,500","67,000","69,740.00","59,745.00","31,732.83","1,655,415","112,965,166,700"
2024-05-13,"75,800","80,700","68,300","71,500","69,480.00","58,935.00","31,361.17","3,196,414","236,886,628,500"
2024-05-10,"70,100","77,200","68,800","74,900","67,920.00","57,925.00","30,959.08","2,872,041","210,861,752,200"
2024-05-09,"67,100","70,200","66,100","68,200","65,980.00","56,630.00","30,523.67","1,201,197","82,532,243,200"
2024-05-08,"66,000","75,500","65,400","67,100","64,760.00","55,620.00","30,158.67","3,773,409","265,139,416,700"
2024-05-07,"65,000","67,400","63,700","65,700","63,840.00","54,690.00","29,791.17","1,294,120","85,373,514,000"
2024-05-03,"65,500","65,800","62,300","63,700","63,180.00","54,055.00","29,434.92","1,020,052","65,249,779,200"
2024-05-02,"60,800","67,900","60,700","65,200","62,760.00","53,267.50","29,089.92","2,764,414","181,391,121,100"
2024-04-30,"62,500","66,900","60,600","62,100","62,020.00","52,445.00","28,729.08","2,397,448","152,873,866,000"
2024-04-29,"63,400","64,300","61,000","62,500","59,960.00","51,662.50","28,393.25","1,492,202","93,221,765,800"
2024-04-26,"62,600","66,700","61,800","62,400","56,890.00","50,722.50","28,054.92","2,812,316","179,183,018,500"
2024-04-25,"60,100","64,700","59,500","61,600","54,450.00","49,592.50","27,714.08","4,322,708","268,652,749,800"
2024-04-24,"53,000","62,000","51,100","61,500","52,430.00","48,407.50","27,375.75","5,348,733","299,495,046,500"
2024-04-23,"48,150","53,000","44,600","51,800","49,470.00","47,055.00","27,043.25","3,234,169","159,635,890,500"
2024-04-22,"49,050","50,800","46,350","47,150","47,950.00","46,127.50","26,789.08","1,088,560","51,957,001,300"
2024-04-19,"51,100","51,800","46,500","50,200","48,510.00","45,425.00","26,576.17","1,904,608","93,427,887,400"
2024-04-18,"46,900","52,600","46,350","51,500","48,630.00","44,587.50","26,343.67","2,204,776","110,236,060,000"
2024-04-17,"44,650","48,400","43,650","46,700","48,590.00","43,672.50","26,102.83","2,029,371","93,732,716,250"
2024-04-16,"48,700","49,100","42,550","44,200","49,050.00","42,965.00","25,894.50","2,139,511","95,764,195,500"
2024-04-15,"50,000","52,000","47,000","49,950","49,810.00","42,450.00","25,723.67","1,532,731","74,694,402,800"
2024-04-12,"52,600","56,500","48,700","50,800","49,520.00","41,575.00","25,504.92","2,742,707","144,364,930,750"
2024-04-11,"48,350","51,700","47,100","51,300","49,960.00","40,660.00","25,298.25","1,303,265","65,096,440,450"
2024-04-09,"48,200","51,000","48,100","49,000","49,290.00","39,670.00","25,089.08","1,391,924","69,024,553,250"
2024-04-08,"47,450","52,100","47,050","48,000","49,240.00","38,770.00","24,889.92","1,848,198","91,223,277,700"
2024-04-05,"52,400","54,200","46,850","48,500","48,930.00","37,930.00","24,702.83","2,515,368","126,241,936,950"
2024-04-04,"48,550","55,500","48,400","53,000","47,970.00","37,132.50","24,507.83","3,370,262","178,441,960,050"
2024-04-03,"47,800","51,300","46,250","47,950","45,330.00","35,950.00","24,273.67","2,146,074","105,296,393,500"
2024-04-02,"46,450","49,700","43,500","48,750","43,320.00","35,087.50","24,077.00","2,679,778","125,710,838,900"
2024-04-01,"43,200","48,450","42,800","46,450","40,460.00","34,015.00","23,874.08","3,769,217","173,991,331,700"
2024-03-29,"41,300","49,450","40,200","43,700","37,820.00","33,052.50","23,686.17","9,717,004","438,128,627,800"
2024-03-28,"37,900","40,050","36,650","39,800","35,700.00","31,915.00","23,519.92","1,563,945","60,346,575,150"
2024-03-27,"34,650","39,300","33,800","37,900","34,430.00","30,972.50","23,390.33","3,803,803","141,229,114,800"
2024-03-26,"33,600","34,450","33,000","34,450","33,490.00","30,152.50","23,265.75","845,100","28,612,382,100"
2024-03-25,"33,150","33,800","32,450","33,250","33,110.00","29,550.00","23,169.50","542,381","18,013,911,000"
2024-03-22,"34,850","35,350","32,600","33,100","33,240.00","28,992.50","23,094.50","969,554","32,628,918,000"
2024-03-21,"33,100","34,000","32,550","33,450","33,110.00","28,427.50","23,013.25","825,454","27,573,183,800"
2024-03-20,"32,850","34,900","32,250","33,200","32,920.00","27,832.50","22,928.67","1,092,774","36,464,256,800"
2024-03-19,"33,500","33,550","32,400","32,550","32,580.00","27,255.00","22,851.58","618,319","20,333,948,900"
2024-03-18,"33,150","34,500","32,600","33,900","32,270.00","26,647.50","22,785.33","1,461,630","49,458,089,950"
2024-03-15,"31,800","33,500","31,500","32,450","31,730.00","25,987.50","22,708.67","1,013,019","33,077,797,300"
2024-03-14,"32,100","35,950","31,300","32,500","31,750.00","25,435.00","22,640.33","3,562,339","119,081,160,800"
2024-03-13,"30,850","33,050","30,600","31,500","31,120.00","24,845.00","22,560.75","1,375,088","44,043,578,150"
2024-03-12,"31,400","31,850","30,250","31,000","30,960.00","24,310.00","22,496.58","898,553","27,913,697,600"
2024-03-11,"32,350","33,800","30,800","31,200","30,220.00","23,770.00","22,449.50","1,345,507","43,212,964,900"
2024-03-08,"30,300","33,850","30,050","32,550","29,420.00","23,232.50","22,394.08","3,911,304","125,532,485,250"
2024-03-07,"29,850","30,750","29,000","29,350","27,100.00","22,675.00","22,323.25","1,041,525","30,973,710,000"
2024-03-06,"28,150","31,900","27,300","30,700","25,420.00","22,332.50","22,287.42","7,851,418","234,233,082,700"
2024-03-05,"27,200","27,900","25,700","27,300","23,580.00","21,887.50","22,243.67","2,574,584","69,485,465,450"
2024-03-04,"21,750","27,200","21,750","27,200","22,600.00","21,540.00","22,232.42","5,746,788","149,308,673,550"
2024-02-29,"20,900","21,400","20,750","20,950","21,580.00","21,197.50","22,219.50","127,138","2,674,349,550"
2024-02-28,"21,500","21,500","20,600","20,950","21,750.00","21,175.00","22,263.67","293,368","6,107,910,500"
2024-02-27,"22,250","22,300","21,250","21,500","21,870.00","21,185.00","22,306.58","229,888","4,962,583,100"
2024-02-26,"22,300","23,100","22,150","22,400","21,900.00","21,210.00","22,341.58","445,915","10,115,595,000"
2024-02-23,"21,850","22,100","21,500","22,100","21,500.00","21,235.00","22,375.75","212,598","4,638,681,150"
2024-02-22,"21,600","21,950","21,300","21,800","21,220.00","21,260.00","22,402.42","156,165","3,385,940,950"
2024-02-21,"21,400","22,000","21,400","21,550","21,140.00","21,287.50","22,423.25","207,548","4,506,491,550"
2024-02-20,"20,450","21,750","20,450","21,650","20,970.00","21,290.00","22,443.25","364,551","7,728,457,450"
2024-02-19,"20,700","20,850","20,250","20,400","20,800.00","21,310.00","22,470.33","145,700","2,973,249,750"
2024-02-16,"21,600","21,600","20,650","20,700","20,760.00","21,412.50","22,502.00","156,932","3,276,958,550"
2024-02-15,"20,900","21,550","20,700","21,400","20,710.00","21,442.50","22,525.75","256,317","5,445,136,550"
2024-02-14,"20,400","20,850","20,250","20,700","20,710.00","21,472.50","22,538.25","101,626","2,093,499,400"
2024-02-13,"20,350","20,950","20,200","20,800","21,070.00","21,585.00","22,559.50","179,699","3,707,120,650"
2024-02-08,"20,400","20,600","20,000","20,200","21,270.00","21,675.00","22,587.00","322,448","6,538,544,400"
2024-02-07,"21,500","21,550","20,350","20,450","21,300.00","21,777.50","22,622.83","323,259","6,706,678,900"
2024-02-06,"22,600","22,650","20,300","21,400","21,280.00","21,870.00","22,639.50","964,338","20,375,466,650"
2024-02-05,"21,900","22,500","21,600","22,500","21,100.00","21,910.00","22,651.58","441,488","9,870,757,650"
2024-02-02,"20,350","21,850","20,350","21,800","20,830.00","21,892.50","22,660.75","312,301","6,692,900,650"
2024-02-01,"20,350","21,000","19,860","20,350","20,870.00","21,922.50","22,655.75","292,681","5,937,308,500"
2024-01-31,"20,300","20,950","20,150","20,350","21,380.00","22,017.50","22,658.67","174,650","3,584,124,500"
2024-01-30,"21,200","21,400","20,200","20,500","21,830.00","22,102.50","22,659.50","273,528","5,619,304,900"
2024-01-29,"21,800","22,000","21,000","21,150","22,200.00","22,097.50","22,669.50","191,518","4,109,838,950"
2024-01-26,"22,900","22,950","21,850","22,000","22,290.00","22,042.50","22,667.83","293,834","6,523,492,300"
2024-01-25,"22,650","23,000","22,050","22,900","22,300.00","21,932.50","22,659.08","196,468","4,445,243,350"
2024-01-24,"22,300","22,650","22,000","22,600","22,210.00","21,777.00","22,633.50","174,851","3,905,336,950"
2024-01-23,"21,800","22,500","21,600","22,350","21,950.00","21,652.00","22,602.75","228,979","5,074,504,750"
2024-01-22,"22,250","22,250","21,500","21,600","21,880.00","21,564.50","22,576.25","186,179","4,049,872,600"
2024-01-19,"22,700","22,700","22,000","22,050","22,150.00","21,522.00","22,572.50","198,401","4,430,501,400"
2024-01-18,"21,350","22,750","21,350","22,450","22,260.00","21,447.00","22,555.25","452,564","10,052,217,900"
2024-01-17,"22,200","22,200","21,150","21,300","22,220.00","21,374.50","22,534.50","322,982","6,934,402,950"
2024-01-16,"22,950","23,000","21,600","22,000","22,420.00","21,337.00","22,524.92","375,961","8,365,194,400"
2024-01-15,"23,050","23,400","22,750","22,950","22,460.00","21,231.00","22,512.00","313,099","7,223,848,700"
2024-01-12,"22,300","23,250","22,050","22,600","22,300.00","21,051.50","22,484.92","396,526","9,057,857,700"
2024-01-11,"22,100","22,500","22,050","22,250","22,260.00","20,921.50","22,461.50","162,402","3,611,295,000"
2024-01-10,"22,250","22,500","21,900","22,300","22,260.00","20,811.50","22,446.92","124,357","2,757,692,700"
2024-01-09,"22,400","22,500","22,000","22,200","22,210.00","20,654.50","22,432.33","182,979","4,058,961,200"
2024-01-08,"22,550","22,800","22,100","22,150","21,850.00","20,509.50","22,423.58","287,845","6,449,397,600"
2024-01-05,"22,250","22,850","21,850","22,400","21,430.00","20,390.50","22,419.42","302,206","6,786,098,250"
2024-01-04,"22,500","22,800","21,800","22,250","20,910.00","20,226.50","22,403.58","567,382","12,657,319,650"
2024-01-03,"20,400","23,000","20,000","22,050","20,418.00","20,109.50","22,387.75","1,535,699","34,103,092,700"
2024-01-02,"20,350","20,500","19,960","20,400","20,028.00","20,067.00","22,369.00","149,443","3,013,262,390"
