시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"3,695","3,930","3,545","3,565","3,585.00","3,731.25","2,148.03","18,710,178","69,695,248,575"
2024-06-18,"3,425","3,650","3,335","3,545","3,539.00","3,764.25","2,127.71","6,606,865","23,591,343,145"
2024-06-17,"3,725","3,730","3,505","3,560","3,501.00","3,809.00","2,107.60","6,159,866","22,092,844,495"
2024-06-14,"3,540","3,725","3,500","3,620","3,487.00","3,850.25","2,087.31","13,506,013","48,879,399,950"
2024-06-13,"3,470","3,930","3,405","3,635","3,442.00","3,914.75","2,066.47","77,509,536","289,814,007,175"
2024-06-12,"3,355","3,410","3,295","3,335","3,396.00","3,975.00","2,045.60","5,698,663","19,083,288,570"
2024-06-11,"3,465","3,470","3,300","3,355","3,430.00","4,052.50","2,027.31","6,374,934","21,388,456,385"
2024-06-10,"3,355","3,540","3,285","3,490","3,479.00","4,113.75","2,008.84","16,155,270","55,393,174,260"
2024-06-07,"3,460","3,550","3,350","3,395","3,500.00","4,149.50","1,989.26","7,142,608","24,521,590,205"
2024-06-05,"3,480","3,495","3,365","3,405","3,563.00","4,182.25","1,970.52","6,654,554","22,730,438,640"
2024-06-04,"3,555","3,575","3,475","3,505","3,700.00","4,220.50","1,951.64","6,189,009","21,716,128,875"
2024-06-03,"3,550","3,635","3,510","3,600","3,859.00","4,205.75","1,931.81","8,061,279","28,763,474,235"
2024-05-31,"3,690","3,735","3,540","3,595","4,009.00","4,195.75","1,911.28","11,584,842","41,873,322,695"
2024-05-30,"3,995","4,070","3,700","3,710","4,178.00","4,179.75","1,890.83","10,749,149","41,386,118,925"
2024-05-29,"4,385","4,460","4,090","4,090","4,235.00","4,154.00","1,869.50","10,821,046","46,020,454,945"
2024-05-28,"4,425","4,430","4,215","4,300","4,244.00","4,092.00","1,844.93","11,518,231","49,607,111,975"
2024-05-27,"4,445","4,455","4,220","4,350","4,229.00","3,986.75","1,818.67","17,702,572","76,641,871,855"
2024-05-24,"3,900","4,545","3,850","4,440","4,247.00","3,888.00","1,792.01","63,272,484","273,054,934,940"
2024-05-23,"4,170","4,335","3,920","3,995","4,236.00","3,789.75","1,764.56","17,043,460","69,205,948,110"
2024-05-22,"4,375","4,555","4,110","4,135","4,419.00","3,708.50","1,740.73","22,567,982","97,708,306,505"
2024-05-21,"4,490","4,540","4,135","4,225","4,560.00","3,630.00","1,715.71","17,224,460","73,764,961,595"
2024-05-20,"4,460","4,550","4,245","4,440","4,692.00","3,548.75","1,689.89","25,055,108","111,020,593,760"
2024-05-17,"4,710","4,720","4,325","4,385","4,720.00","3,449.25","1,662.26","23,005,588","103,690,337,425"
2024-05-16,"5,020","5,070","4,720","4,910","4,684.00","3,350.50","1,635.02","21,431,170","104,800,198,490"
2024-05-14,"4,990","5,260","4,690","4,840","4,512.00","3,239.50","1,603.50","34,151,904","168,260,559,580"
2024-05-13,"4,705","5,450","4,540","4,885","4,378.00","3,116.75","1,572.12","117,444,688","583,299,424,915"
2024-05-10,"4,280","4,900","4,100","4,580","4,043.00","2,987.00","1,540.21","104,333,088","477,461,028,450"
