시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"38,200","40,000","35,950","36,450","37,590.00","32,960.00","20,729.67","1,793,059","67,543,992,050"
2024-06-18,"37,600","38,800","36,650","38,400","37,300.00","32,510.00","20,567.50","1,073,364","40,403,585,700"
2024-06-17,"37,200","37,600","35,850","37,500","36,370.00","31,915.00","20,388.00","1,063,218","39,232,773,350"
2024-06-14,"38,000","38,800","36,500","37,600","35,760.00","31,370.00","20,207.00","1,407,039","52,725,750,000"
2024-06-13,"35,500","39,000","34,750","38,000","35,170.00","30,767.50","20,025.17","3,400,891","127,875,155,550"
2024-06-12,"34,150","36,000","33,750","35,000","34,530.00","30,142.50","19,840.50","1,648,540","57,663,143,100"
2024-06-11,"34,750","35,400","33,050","33,750","34,150.00","29,592.50","19,683.58","1,332,128","45,206,515,550"
2024-06-10,"34,100","36,450","34,000","34,450","34,180.00","29,175.00","19,541.67","1,431,110","50,207,049,300"
2024-06-07,"35,200","35,550","34,100","34,650","33,670.00","28,552.50","19,393.50","1,432,480","50,071,364,650"
2024-06-05,"32,400","34,850","31,650","34,800","33,040.00","27,865.00","19,237.58","2,214,131","74,293,893,800"
2024-06-04,"33,900","36,100","32,750","33,100","32,280.00","27,175.00","19,085.75","2,425,743","83,505,009,450"
2024-06-03,"33,000","35,700","32,100","33,900","31,560.00","26,590.00","18,941.42","3,651,363","123,785,498,400"
2024-05-31,"31,350","32,850","30,650","31,900","30,180.00","25,970.00","18,796.42","1,860,359","59,244,762,750"
2024-05-30,"31,000","32,400","30,100","31,500","29,200.00","25,480.00","18,662.75","2,081,322","64,814,769,350"
2024-05-29,"29,550","31,450","29,100","31,000","28,370.00","24,977.50","18,551.00","2,444,201","74,457,096,900"
2024-05-28,"27,400","30,150","27,350","29,500","27,440.00","24,512.50","18,445.17","4,516,208","130,814,017,550"
2024-05-27,"27,450","27,650","26,250","27,000","27,030.00","24,100.00","18,346.42","1,152,107","31,197,370,750"
2024-05-24,"27,350","28,400","26,900","27,000","26,930.00","23,865.00","18,268.50","1,183,259","32,485,700,900"
2024-05-23,"26,100","27,750","25,850","27,350","26,850.00","23,627.50","18,192.92","1,190,912","32,333,258,550"
2024-05-22,"27,300","28,150","26,350","26,350","26,490.00","23,302.50","18,116.75","1,332,301","35,922,771,500"
2024-05-21,"26,500","28,900","26,100","27,450","26,320.00","23,030.00","18,054.75","3,521,781","98,053,640,150"
2024-05-20,"26,300","27,200","25,500","26,500","25,630.00","22,695.00","17,994.75","1,362,231","36,202,562,500"
2024-05-17,"26,700","27,700","25,700","26,600","25,410.00","22,346.00","17,948.92","4,464,960","119,139,152,100"
2024-05-16,"25,550","26,150","24,850","25,550","24,490.00","21,951.00","17,900.58","2,550,879","65,600,648,150"
2024-05-14,"26,700","28,600","24,600","25,500","23,560.00","21,654.50","17,866.00","7,836,617","207,009,256,950"
2024-05-13,"25,100","25,950","23,400","24,000","22,660.00","21,417.00","17,822.67","3,569,780","87,139,271,350"
2024-05-10,"22,600","25,900","22,200","25,400","22,140.00","21,219.50","17,782.67","6,214,999","151,658,521,650"
2024-05-09,"20,900","22,450","20,900","22,000","21,360.00","20,930.00","17,725.58","1,726,831","37,948,339,500"
2024-05-08,"20,950","21,700","20,900","20,900","21,380.00","20,815.00","17,705.08","520,008","10,990,704,100"
2024-05-07,"21,400","21,600","20,800","21,000","21,490.00","20,822.50","17,690.17","866,663","18,296,784,650"
