시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"42,500","42,800","41,800","42,800","43,010.00","43,970.00","51,633.75","1,425,328","60,286,451,500"
2024-06-18,"42,500","43,000","42,200","42,300","43,060.00","44,127.50","51,725.42","871,491","37,053,958,650"
2024-06-17,"43,500","43,750","42,150","42,400","43,230.00","44,315.00","51,822.08","1,321,022","56,392,984,500"
2024-06-14,"43,250","44,200","43,050","43,900","43,370.00","44,517.50","51,926.25","1,154,685","50,416,898,750"
2024-06-13,"43,350","44,100","43,150","43,650","43,440.00","44,662.50","52,012.92","2,477,617","108,059,222,050"
2024-06-12,"43,150","43,600","42,750","43,050","43,620.00","44,812.50","52,073.33","1,047,526","45,090,176,300"
2024-06-11,"43,350","43,850","43,000","43,150","43,930.00","45,010.00","52,146.25","707,905","30,719,783,400"
2024-06-10,"43,700","43,800","42,950","43,100","44,160.00","45,242.50","52,220.83","913,040","39,483,424,900"
2024-06-07,"44,600","45,150","44,150","44,250","44,200.00","45,517.50","52,292.50","922,538","41,043,145,150"
2024-06-05,"44,900","44,950","44,150","44,550","44,080.00","45,795.00","52,344.58","652,883","29,118,037,150"
2024-06-04,"43,900","44,950","43,850","44,600","43,920.00","46,052.50","52,394.17","710,096","31,532,891,200"
2024-06-03,"43,350","45,150","43,300","44,300","44,020.00","46,282.50","52,445.83","904,573","40,168,204,650"
2024-05-31,"44,050","44,350","43,000","43,300","44,330.00","46,482.50","52,500.00","2,172,503","94,273,846,700"
2024-05-30,"43,300","44,050","43,100","43,650","44,560.00","46,747.50","52,553.33","798,465","34,809,094,300"
2024-05-29,"44,650","44,950","43,700","43,750","44,920.00","46,990.00","52,610.42","1,439,203","63,394,856,800"
2024-05-28,"46,000","46,050","45,100","45,100","45,330.00","47,167.50","52,666.67","734,989","33,373,464,850"
2024-05-27,"44,600","46,600","44,550","45,850","45,500.00","47,282.50","52,716.67","1,500,538","68,766,192,400"
2024-05-24,"45,050","45,250","44,400","44,450","45,540.00","47,395.00","52,750.00","1,280,352","57,077,924,400"
2024-05-23,"45,800","45,950","45,250","45,450","45,940.00","47,547.50","52,800.42","894,733","40,759,972,250"
