시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"169,400","170,900","166,000","167,100","174,720.00","167,575.00","174,173.33","316,338","53,013,888,400"
2024-06-18,"175,000","178,200","167,100","169,000","178,960.00","166,790.00","174,245.00","594,896","101,132,038,800"
2024-06-17,"176,100","181,500","170,900","176,900","181,440.00","166,155.00","174,290.83","460,220","81,209,140,600"
2024-06-14,"183,300","185,800","171,300","177,300","183,780.00","165,155.00","174,296.67","443,251","79,483,740,400"
2024-06-13,"187,000","191,900","183,300","183,300","184,720.00","164,460.00","174,269.17","542,803","101,518,057,000"
2024-06-12,"182,300","191,400","180,100","188,300","180,860.00","163,435.00","174,175.00","669,143","125,425,706,100"
2024-06-11,"191,300","195,700","181,200","181,400","176,420.00","162,110.00","174,035.00","824,979","153,322,309,465"
2024-06-10,"184,300","194,700","180,200","188,600","175,900.00","161,215.00","173,946.67","1,615,800","306,392,365,800"
2024-06-07,"166,400","186,300","166,400","182,000","173,420.00","159,785.00","173,798.33","1,847,930","329,319,061,600"
2024-06-05,"168,400","171,000","161,500","164,000","168,640.00","158,925.00","173,695.83","548,064","90,248,763,700"
2024-06-04,"175,400","178,300","166,100","166,100","164,780.00","158,970.00","173,736.67","1,050,117","178,702,178,400"
2024-06-03,"176,200","192,900","176,000","178,800","161,360.00","158,690.00","173,756.67","2,907,456","537,388,650,900"
2024-05-31,"164,500","180,900","157,000","176,200","155,660.00","157,850.00","173,660.83","3,630,128","615,032,388,700"
2024-05-30,"143,300","167,700","143,200","158,100","150,180.00","157,340.00","173,569.17","1,335,950","211,827,284,000"
2024-05-29,"148,100","149,400","144,400","144,700","148,580.00","157,880.00","173,615.00","273,090","39,702,737,400"
2024-05-28,"150,300","150,800","148,600","149,000","149,940.00","158,815.00","173,781.67","122,461","18,279,901,200"
2024-05-27,"148,900","150,800","148,900","150,300","150,420.00","159,430.00","173,928.33","89,644","13,430,101,000"
2024-05-24,"149,300","151,500","148,500","148,800","151,620.00","160,015.00","174,024.17","126,956","18,971,376,500"
2024-05-23,"150,500","152,000","149,600","150,100","153,240.00","160,610.00","174,123.33","155,096","23,337,780,100"
2024-05-22,"151,500","152,800","150,600","151,500","155,900.00","161,210.00","174,233.33","115,261","17,482,695,700"
2024-05-21,"155,100","155,900","150,900","151,400","158,160.00","161,410.00","174,333.33","200,165","30,581,700,700"
2024-05-20,"156,800","158,500","155,400","156,300","160,240.00","161,680.00","174,438.33","120,933","18,945,315,100"
2024-05-17,"163,100","163,800","156,900","156,900","161,680.00","161,715.00","174,500.00","256,782","40,593,183,400"
2024-05-16,"164,900","166,800","163,100","163,400","162,300.00","161,870.00","174,550.83","130,682","21,505,543,400"
2024-05-14,"162,200","163,300","161,500","162,800","162,580.00","161,945.00","174,560.83","78,090","12,684,699,800"
2024-05-13,"164,100","164,100","161,100","161,800","163,000.00","161,875.00","174,569.17","74,390","12,046,076,600"
2024-05-10,"161,500","164,000","161,400","163,500","162,740.00","161,915.00","174,542.50","80,778","13,172,429,800"
2024-05-09,"164,800","165,000","160,000","160,000","162,440.00","162,075.00","174,476.67","151,160","24,409,596,300"
2024-05-08,"165,200","165,700","163,000","164,800","163,640.00","162,660.00","174,473.33","72,644","11,910,105,700"
2024-05-07,"161,800","164,900","160,400","164,900","164,460.00","163,205.00","174,430.00","122,740","20,032,839,200"
2024-05-03,"162,600","162,700","160,200","160,500","164,160.00","163,920.00","174,388.33","93,507","15,046,422,000"
2024-05-02,"164,800","166,500","160,900","162,000","164,320.00","164,670.00","174,383.33","107,561","17,539,439,400"
2024-04-30,"167,400","169,500","166,000","166,000","164,320.00","165,470.00","174,373.33","113,834","19,024,906,100"
2024-04-29,"168,500","169,800","164,400","168,900","163,260.00","166,020.00","174,285.83","112,819","19,005,872,500"
2024-04-26,"162,200","164,500","160,400","163,400","161,900.00","166,505.00","174,119.17","56,165","9,168,625,400"
2024-04-25,"160,400","165,600","160,300","161,300","160,320.00","167,465.00","173,965.00","99,545","16,180,523,900"
2024-04-24,"162,500","164,200","161,500","162,000","159,420.00","168,660.00","173,804.17","97,195","15,786,481,900"
2024-04-23,"163,700","164,000","160,700","160,700","158,420.00","169,980.00","173,649.17","82,638","13,394,790,700"
2024-04-22,"158,800","164,500","156,600","162,100","158,280.00","171,340.00","173,472.50","150,373","24,311,025,800"
2024-04-19,"155,100","157,500","153,400","155,500","158,840.00","172,795.00","173,295.00","118,931","18,435,400,800"
2024-04-18,"157,000","159,400","156,300","156,800","160,020.00","174,570.00","173,190.83","113,415","17,833,062,900"
2024-04-17,"160,100","162,400","156,400","157,000","161,180.00","175,880.00","173,065.00","217,062","33,859,541,260"
2024-04-16,"163,000","163,800","159,800","160,000","163,120.00","177,165.00","172,936.67","118,532","19,093,713,300"
2024-04-15,"160,600","166,900","159,500","164,900","165,460.00","178,375.00","172,813.33","99,908","16,343,430,800"
2024-04-12,"161,000","163,600","159,100","161,400","167,620.00","179,495.00","172,683.33","124,502","20,085,743,700"
2024-04-11,"161,500","164,500","160,200","162,600","171,180.00","180,870.00","172,587.50","239,818","38,956,545,000"
2024-04-09,"171,900","172,700","166,200","166,700","173,760.00","181,700.00","172,499.17","152,537","25,727,943,200"
2024-04-08,"175,200","175,700","171,000","171,700","176,020.00","182,385.00","172,375.00","132,535","22,858,348,300"
2024-04-05,"176,500","179,200","175,400","175,700","177,080.00","183,020.00","172,223.33","81,260","14,357,825,100"
2024-04-04,"177,800","181,600","176,400","179,200","177,660.00","183,720.00","172,085.00","133,828","24,000,336,000"
2024-04-03,"176,600","177,700","174,400","175,500","178,340.00","184,355.00","171,819.17","121,539","21,362,637,100"
2024-04-02,"175,200","178,700","175,100","178,000","180,280.00","185,050.00","171,505.00","108,193","19,161,163,900"
2024-04-01,"179,900","180,000","174,400","177,000","182,360.00","185,800.00","171,145.83","184,373","32,498,851,300"
2024-03-29,"181,000","182,200","178,300","178,600","184,540.00","186,610.00","170,804.17","157,851","28,323,880,500"
2024-03-28,"186,000","187,200","182,600","182,600","187,060.00","187,270.00","170,472.50","117,312","21,589,030,800"
2024-03-27,"186,500","188,900","185,100","185,200","188,740.00","187,820.00","170,169.17","92,587","17,280,890,200"
2024-03-26,"190,000","191,700","188,200","188,400","188,300.00","187,835.00","169,844.17","95,394","18,077,559,400"
2024-03-25,"191,500","192,600","187,500","187,900","187,160.00","187,925.00","169,520.00","84,198","15,912,189,800"
2024-03-22,"189,000","196,600","189,000","191,200","186,420.00","188,730.00","169,198.33","138,851","26,719,507,600"
2024-03-21,"186,700","191,500","184,800","191,000","185,640.00","189,395.00","168,854.17","196,151","37,179,745,600"
2024-03-20,"185,000","186,700","182,900","183,000","185,220.00","189,870.00","168,534.17","92,703","17,130,742,900"
2024-03-19,"182,400","185,300","182,300","182,700","184,460.00","190,670.00","168,267.50","99,398","18,248,125,300"
2024-03-18,"189,300","189,300","183,700","184,200","184,000.00","191,910.00","167,997.50","102,543","18,942,048,900"
2024-03-15,"188,900","192,700","187,000","187,300","184,040.00","192,400.00","167,728.33","204,573","38,683,390,700"
2024-03-14,"180,400","191,400","180,200","188,900","184,520.00","192,370.00","167,399.17","313,186","58,890,446,500"
2024-03-13,"181,000","181,300","178,300","179,200","185,120.00","192,360.00","167,046.67","185,342","33,233,489,900"
2024-03-12,"186,200","186,200","178,300","180,400","187,160.00","193,175.00","166,770.83","254,731","45,982,039,500"
2024-03-11,"187,700","189,500","184,100","184,400","189,680.00","193,955.00","166,495.00","124,410","23,184,439,400"
2024-03-08,"193,400","194,700","188,700","189,700","191,440.00","194,620.00","166,182.50","117,141","22,329,308,500"
2024-03-07,"190,200","195,600","187,800","191,900","191,860.00","194,760.00","165,818.33","162,483","31,126,052,100"
2024-03-06,"192,800","193,000","187,300","189,400","192,200.00","194,825.00","165,455.00","171,256","32,516,851,800"
2024-03-05,"191,300","199,100","191,200","193,000","191,420.00","195,195.00","165,120.83","204,672","40,054,134,100"
2024-03-04,"192,400","194,500","190,000","193,200","190,860.00","195,395.00","164,768.33","162,199","31,176,760,400"
2024-02-29,"194,500","196,700","188,800","191,800","193,020.00","194,910.00","164,402.50","372,756","71,298,040,900"
2024-02-28,"185,500","195,800","183,600","193,600","195,560.00","194,050.00","164,008.33","205,607","39,272,045,000"
2024-02-27,"188,800","189,300","181,600","185,500","196,940.00","193,175.00","163,610.00","253,583","46,848,898,900"
2024-02-26,"199,800","199,900","187,200","190,200","199,640.00","191,910.00","163,269.17","436,018","83,211,567,300"
2024-02-23,"206,500","212,000","201,000","204,000","203,100.00","190,440.00","162,888.33","260,652","53,774,616,000"
2024-02-22,"202,500","205,500","199,900","204,500","201,100.00","188,140.00","162,375.83","145,844","29,639,040,300"
2024-02-21,"198,900","207,000","195,700","200,500","197,540.00","185,860.00","161,865.00","191,406","38,360,590,200"
2024-02-20,"208,000","208,500","195,600","199,000","195,180.00","183,660.00","161,376.67","246,579","49,239,390,600"
2024-02-19,"195,800","209,500","195,500","207,500","194,480.00","181,400.00","160,901.67","487,914","100,408,631,300"
2024-02-16,"188,200","194,300","186,100","194,000","192,180.00","178,585.00","160,340.00","190,210","36,243,240,900"
2024-02-15,"191,100","191,100","185,300","186,700","192,920.00","176,535.00","159,880.00","160,922","30,059,460,000"
2024-02-14,"192,000","195,400","188,300","188,700","194,080.00","175,110.00","159,503.33","220,967","42,042,988,800"
2024-02-13,"195,900","199,500","194,700","195,500","194,980.00","173,750.00","159,126.67","189,920","37,410,406,800"
2024-02-08,"194,400","198,600","191,900","196,000","195,240.00","172,145.00","158,735.00","275,862","54,069,704,000"
2024-02-07,"193,000","198,200","191,800","197,700","195,440.00","170,535.00","158,360.83","281,077","55,226,188,900"
2024-02-06,"193,700","198,300","191,200","192,500","192,600.00","168,870.00","157,973.33","217,600","42,221,690,400"
2024-02-05,"195,600","197,900","188,800","193,200","189,020.00","167,690.00","157,635.83","341,217","65,834,796,000"
2024-02-02,"195,600","199,500","189,800","196,800","185,600.00","166,355.00","157,301.67","570,909","111,297,199,600"
2024-02-01,"182,600","198,300","180,900","197,000","178,280.00","165,035.00","156,946.67","984,636","189,008,994,100"
2024-01-31,"173,800","184,800","170,800","183,500","171,040.00","163,760.00","156,600.83","415,821","74,772,129,500"
2024-01-30,"179,200","179,800","173,200","174,600","165,940.00","163,425.00","156,367.50","316,103","55,946,653,100"
2024-01-29,"160,200","180,000","160,000","176,100","162,800.00","163,720.00","156,205.83","548,505","95,965,765,100"
2024-01-26,"159,100","161,200","159,000","160,200","158,880.00","163,815.00","156,051.67","65,350","10,466,588,900"
2024-01-25,"158,000","160,800","155,700","160,800","157,600.00","164,615.00","155,990.00","64,633","10,262,891,200"
2024-01-24,"158,000","159,200","155,300","158,000","155,680.00","165,325.00","155,905.83","65,762","10,357,589,600"
2024-01-23,"158,300","159,200","155,300","158,900","154,680.00","166,100.00","155,825.83","60,468","9,544,160,100"
2024-01-22,"154,600","157,900","154,100","156,500","154,540.00","166,920.00","155,720.00","68,134","10,669,581,200"
2024-01-19,"152,000","154,500","151,100","153,800","155,540.00","167,955.00","155,651.67","97,363","14,837,911,800"
2024-01-18,"152,500","154,500","150,300","151,200","157,460.00","169,050.00","155,605.00","120,898","18,337,765,800"
2024-01-17,"158,000","158,000","152,800","153,000","159,980.00","170,215.00","155,580.00","140,177","21,678,459,400"
2024-01-16,"160,100","161,900","157,800","158,200","162,260.00","171,445.00","155,536.67","97,604","15,516,503,200"
2024-01-15,"164,000","164,000","160,500","161,500","164,400.00","172,235.00","155,443.33","81,963","13,254,506,800"
2024-01-12,"164,100","165,200","162,000","163,400","165,400.00","172,760.00","155,327.50","66,053","10,764,288,771"
2024-01-11,"165,200","165,500","163,000","163,800","166,800.00","173,165.00","155,200.00","92,997","15,239,819,800"
2024-01-10,"168,500","170,300","163,900","164,400","168,340.00","173,515.00","155,080.00","112,195","18,632,792,200"
2024-01-09,"168,400","170,300","167,700","168,900","170,820.00","173,835.00","154,939.17","87,406","14,787,238,600"
2024-01-08,"171,300","171,300","166,500","166,500","173,140.00","173,875.00","154,765.83","93,810","15,725,894,900"
2024-01-05,"170,100","171,900","169,200","170,400","175,440.00","173,995.00","154,587.50","113,701","19,333,575,200"
2024-01-04,"175,900","176,000","168,800","171,500","176,600.00","173,900.00","154,360.00","204,489","34,908,126,700"
2024-01-03,"179,500","179,900","176,600","176,800","177,300.00","173,690.00","154,099.17","105,686","18,776,131,400"
2024-01-02,"176,900","180,600","176,900","180,500","176,640.00","173,110.00","153,821.67","119,328","21,362,664,700"
2023-12-28,"176,500","178,000","175,300","178,000","175,600.00","172,265.00","153,544.17","101,232","17,915,031,900"
2023-12-27,"174,300","177,300","173,300","176,200","175,440.00","171,600.00","153,291.67","93,612","16,379,412,900"
2023-12-26,"175,200","176,100","173,500","175,000","175,340.00","171,120.00","153,070.83","101,768","17,780,317,700"
2023-12-22,"175,400","176,300","173,000","173,500","175,240.00","170,460.00","152,851.67","99,700","17,345,092,100"
2023-12-21,"176,000","177,600","174,200","175,300","176,060.00","169,820.00","152,641.67","90,934","15,962,717,400"
2023-12-20,"176,000","178,200","175,800","177,200","175,800.00","169,220.00","152,456.67","111,449","19,800,599,500"
2023-12-19,"174,200","176,700","174,200","175,700","174,760.00","168,535.00","152,272.50","89,769","15,802,800,000"
2023-12-18,"177,500","177,500","174,500","174,500","173,920.00","167,950.00","152,071.67","98,657","17,339,934,900"
