시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"77,800","78,900","77,500","78,900","79,300.00","78,460.00","67,544.17","665,872","52,190,134,600"
2024-06-18,"79,000","79,300","77,300","77,400","79,340.00","78,595.00","67,320.00","1,034,489","80,334,187,100"
2024-06-17,"79,600","80,500","78,000","78,300","79,540.00","78,805.00","67,112.50","955,490","75,203,208,700"
2024-06-14,"80,400","81,300","79,500","80,900","79,560.00","78,895.00","66,903.33","1,578,329","127,076,685,263"
2024-06-13,"80,300","81,900","80,100","81,000","79,300.00","78,900.00","66,661.67","2,214,075","179,308,309,616"
2024-06-12,"77,700","79,400","77,200","79,100","78,580.00","78,830.00","66,415.83","694,678","54,643,013,100"
2024-06-11,"79,200","79,900","78,400","78,400","78,280.00","78,955.00","66,190.83","753,820","59,512,691,200"
2024-06-10,"77,900","79,700","77,400","78,400","78,460.00","79,000.00","65,967.50","679,182","53,375,723,700"
2024-06-07,"78,900","80,200","77,200","79,600","78,660.00","78,910.00","65,745.83","1,168,578","92,101,928,700"
2024-06-05,"77,600","78,200","75,800","77,400","78,480.00","78,815.00","65,510.83","807,918","62,305,421,000"
2024-06-04,"78,600","79,300","76,900","77,600","78,620.00","78,640.00","65,299.17","1,025,937","79,674,808,627"
2024-06-03,"78,900","80,000","78,500","79,300","78,520.00","78,445.00","65,081.67","769,784","61,016,095,900"
2024-05-31,"79,900","81,500","78,700","79,400","77,920.00","78,095.00","64,850.00","3,330,077","265,797,108,831"
2024-05-30,"78,800","80,500","77,800","78,700","77,420.00","77,905.00","64,620.83","1,263,670","99,524,213,018"
2024-05-29,"76,300","79,700","76,200","78,100","77,140.00","77,800.00","64,401.67","1,356,462","105,803,099,737"
2024-05-28,"75,800","77,300","75,600","77,100","77,340.00","77,695.00","64,181.67","832,984","63,783,700,284"
2024-05-27,"76,900","78,200","76,000","76,300","78,240.00","77,305.00","63,975.83","929,166","71,346,736,000"
2024-05-24,"76,100","77,100","75,500","76,900","79,300.00","76,935.00","63,776.67","925,189","70,707,498,000"
2024-05-23,"78,000","79,000","76,900","77,300","79,940.00","76,600.00","63,583.33","925,094","71,843,032,400"
2024-05-22,"81,600","82,200","79,100","79,100","80,680.00","76,210.00","63,391.67","917,205","73,377,787,400"
2024-05-21,"80,500","82,400","80,400","81,600","80,780.00","75,440.00","63,186.67","716,670","58,320,301,300"
2024-05-20,"80,000","83,400","80,000","81,600","80,780.00","74,560.00","62,957.50","1,065,223","86,967,622,550"
