시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"21,950","23,650","21,950","23,050","22,080.00","23,765.00","18,364.83","2,184,992","50,443,329,600"
2024-06-18,"21,950","22,600","21,600","21,850","21,970.00","23,937.50","18,263.25","532,680","11,683,114,150"
2024-06-17,"21,250","22,700","21,100","22,000","22,000.00","24,175.00","18,165.58","1,258,797","27,775,415,700"
2024-06-14,"22,100","22,250","21,050","21,400","22,130.00","24,480.00","18,065.25","773,807","16,525,971,400"
2024-06-13,"22,800","22,850","22,000","22,100","22,260.00","24,815.00","17,970.00","673,280","14,982,065,100"
2024-06-12,"22,350","23,200","22,000","22,500","22,280.00","25,105.00","17,870.17","1,149,151","26,076,327,350"
2024-06-11,"23,000","23,050","21,950","22,000","22,380.00","25,417.50","17,766.83","779,940","17,439,184,450"
2024-06-10,"21,950","23,050","21,800","22,650","22,780.00","25,760.00","17,667.83","1,215,849","27,537,947,350"
2024-06-07,"22,350","22,500","22,000","22,050","23,210.00","26,195.00","17,562.83","650,047","14,418,689,700"
2024-06-05,"23,400","23,500","22,000","22,200","23,720.00","26,730.00","17,462.17","1,169,649","26,298,563,850"
2024-06-04,"23,800","23,850","22,750","23,000","24,460.00","27,237.50","17,358.50","1,139,695","26,338,340,200"
2024-06-03,"25,250","25,450","23,650","24,000","25,170.00","27,612.50","17,246.58","1,121,358","27,172,183,750"
2024-05-31,"24,650","25,550","24,200","24,800","25,760.00","27,960.00","17,128.42","899,570","22,390,216,950"
2024-05-30,"25,900","26,750","24,450","24,600","26,040.00","28,220.00","17,004.50","1,396,738","35,139,472,050"
2024-05-29,"26,900","28,150","25,750","25,900","26,290.00","28,582.50","16,883.42","2,487,610","67,642,870,850"
2024-05-28,"27,050","27,550","26,200","26,550","26,240.00","28,632.50","16,751.58","1,110,386","29,706,372,900"
2024-05-27,"26,000","27,600","25,700","26,950","26,230.00","28,735.00","16,614.50","2,085,597","56,352,115,700"
2024-05-24,"28,250","29,750","26,000","26,200","26,160.00","28,807.50","16,474.08","5,333,714","148,643,851,300"
2024-05-23,"25,900","26,600","25,200","25,850","26,540.00","29,112.50","16,338.17","1,024,877","26,646,701,900"
2024-05-22,"26,350","26,950","25,650","25,650","26,990.00","29,340.00","16,205.42","1,214,338","31,869,322,900"
