시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"4,330","5,370","4,250","4,870","4,393.00","4,265.00","3,895.71","10,058,661","49,915,633,730"
2024-06-18,"4,220","4,485","4,135","4,310","4,285.00","4,215.50","3,884.83","299,358","1,297,332,430"
2024-06-17,"4,200","4,305","4,125","4,220","4,330.00","4,195.00","3,878.50","150,753","638,997,840"
2024-06-14,"4,360","4,360","4,180","4,205","4,413.00","4,175.25","3,872.88","165,903","701,150,045"
2024-06-13,"4,290","4,535","4,285","4,360","4,438.00","4,159.00","3,867.38","268,263","1,187,825,200"
2024-06-12,"4,435","4,520","4,330","4,330","4,580.00","4,136.00","3,860.75","291,570","1,285,251,055"
2024-06-11,"4,510","4,695","4,355","4,535","4,700.00","4,113.25","3,854.42","640,510","2,884,652,290"
2024-06-10,"4,240","5,180","4,150","4,635","4,760.00","4,075.75","3,846.21","5,086,122","24,513,278,195"
2024-06-07,"4,830","4,910","4,300","4,330","4,589.00","4,033.25","3,837.08","1,613,411","7,375,854,485"
2024-06-05,"4,840","5,980","4,600","5,070","4,481.00","4,004.00","3,830.25","10,014,204","53,624,321,085"
2024-06-04,"5,040","5,980","4,715","4,930","4,225.00","3,937.25","3,817.50","7,862,587","43,447,033,205"
2024-06-03,"3,755","4,895","3,755","4,835","4,018.00","3,876.75","3,805.54","9,138,165","41,032,357,100"
2024-05-31,"3,745","3,810","3,745","3,780","3,828.00","3,820.75","3,794.42","20,913","78,782,145"
2024-05-30,"3,800","3,825","3,725","3,790","3,837.00","3,819.00","3,792.17","67,881","256,627,135"
2024-05-29,"3,860","3,895","3,790","3,790","3,851.00","3,815.25","3,789.79","58,346","223,540,270"
2024-05-28,"3,995","3,995","3,850","3,895","3,862.00","3,811.00","3,787.38","63,545","247,211,145"
2024-05-27,"3,875","4,075","3,830","3,885","3,859.00","3,802.00","3,784.08","233,934","919,188,200"
2024-05-24,"3,830","3,855","3,815","3,825","3,862.00","3,793.75","3,780.83","31,048","118,735,480"
2024-05-23,"3,865","3,870","3,815","3,860","3,862.00","3,788.25","3,778.79","25,952","99,586,255"
2024-05-22,"3,870","3,880","3,825","3,845","3,866.00","3,781.50","3,776.63","47,203","181,614,990"
2024-05-21,"3,940","3,940","3,855","3,880","3,877.00","3,777.75","3,774.38","66,837","258,868,255"
2024-05-20,"3,845","3,930","3,805","3,900","3,876.00","3,778.75","3,771.96","104,628","406,925,800"
2024-05-17,"3,880","3,880","3,805","3,825","3,853.00","3,766.25","3,769.29","68,909","263,718,535"
2024-05-16,"3,945","3,965","3,850","3,880","3,845.00","3,759.00","3,766.88","105,560","409,713,285"
2024-05-14,"4,090","4,145","3,865","3,900","3,818.00","3,751.00","3,764.29","929,603","3,728,573,195"
2024-05-13,"3,795","3,900","3,795","3,875","3,785.00","3,744.00","3,760.92","230,866","900,214,885"
2024-05-10,"3,780","3,835","3,755","3,785","3,754.00","3,737.75","3,757.33","104,224","394,284,345"
2024-05-09,"3,795","4,085","3,750","3,785","3,740.00","3,736.00","3,754.08","986,710","3,845,143,325"
2024-05-08,"3,710","3,770","3,710","3,745","3,732.00","3,734.50","3,751.33","49,674","185,843,810"
2024-05-07,"3,720","3,750","3,710","3,735","3,726.00","3,735.75","3,749.50","32,383","120,556,815"
2024-05-03,"3,720","3,740","3,700","3,720","3,720.00","3,741.75","3,747.92","48,227","179,193,650"
2024-05-02,"3,775","3,775","3,710","3,715","3,719.00","3,745.25","3,746.54","62,744","233,615,745"
2024-04-30,"3,715","3,775","3,700","3,745","3,720.00","3,749.00","3,745.33","54,423","203,274,010"
2024-04-29,"3,735","3,745","3,705","3,715","3,714.00","3,751.50","3,743.92","73,548","274,218,715"
2024-04-26,"3,730","3,735","3,685","3,705","3,716.00","3,753.50","3,742.46","70,888","262,849,840"
2024-04-25,"3,705","3,765","3,705","3,715","3,729.00","3,756.00","3,740.58","77,780","289,574,530"
2024-04-24,"3,710","3,770","3,700","3,720","3,766.00","3,762.00","3,738.83","118,356","440,912,260"
2024-04-23,"3,780","3,865","3,715","3,715","3,752.00","3,765.25","3,737.33","359,217","1,357,814,020"
2024-04-22,"3,750","3,790","3,720","3,725","3,745.00","3,771.75","3,735.63","251,636","941,791,935"
2024-04-19,"3,900","4,170","3,735","3,770","3,744.00","3,780.50","3,733.46","1,257,281","4,955,032,625"
2024-04-18,"3,845","4,675","3,825","3,900","3,742.00","3,783.00","3,732.13","9,268,317","40,284,086,090"
2024-04-17,"3,670","3,740","3,650","3,650","3,712.00","3,779.00","3,729.04","28,154","103,105,755"
2024-04-16,"3,720","3,780","3,670","3,680","3,732.00","3,789.75","3,727.00","35,347","131,335,760"
2024-04-15,"3,755","3,780","3,715","3,720","3,747.00","3,794.75","3,724.54","33,891","126,398,410"
2024-04-12,"3,740","3,785","3,740","3,760","3,757.00","3,795.75","3,722.58","13,610","51,173,045"
2024-04-11,"3,680","3,850","3,675","3,750","3,776.00","3,792.50","3,721.67","38,465","143,875,465"
2024-04-09,"3,755","3,850","3,740","3,750","3,784.00","3,789.00","3,720.54","36,040","135,285,945"
2024-04-08,"3,820","3,860","3,750","3,755","3,792.00","3,788.25","3,719.21","33,628","127,128,005"
2024-04-05,"3,855","3,875","3,760","3,770","3,800.00","3,787.50","3,718.21","28,989","109,940,765"
2024-04-04,"3,790","3,920","3,790","3,855","3,797.00","3,788.25","3,717.42","48,398","185,893,310"
2024-04-03,"3,775","3,865","3,735","3,790","3,777.00","3,783.50","3,715.29","29,540","112,036,795"
2024-04-02,"3,770","3,815","3,710","3,790","3,786.00","3,786.00","3,713.25","33,167","124,477,595"
2024-04-01,"3,730","3,840","3,730","3,795","3,785.00","3,790.50","3,711.46","35,318","132,678,920"
2024-03-29,"3,755","3,805","3,750","3,755","3,795.00","3,799.00","3,708.79","31,981","120,312,810"
2024-03-28,"3,835","3,870","3,750","3,755","3,824.00","3,805.50","3,706.17","33,110","125,217,135"
2024-03-27,"3,760","3,860","3,745","3,835","3,837.00","3,809.50","3,704.88","37,746","143,830,810"
2024-03-26,"3,845","3,845","3,710","3,785","3,834.00","3,808.00","3,702.21","36,226","137,329,990"
2024-03-25,"3,945","3,945","3,830","3,845","3,850.00","3,813.25","3,701.29","49,704","192,021,980"
2024-03-22,"3,820","4,120","3,820","3,900","3,837.00","3,811.00","3,699.92","366,243","1,442,944,930"
2024-03-21,"3,820","3,905","3,780","3,820","3,805.00","3,812.75","3,698.50","36,396","140,048,565"
2024-03-20,"3,870","3,900","3,810","3,820","3,780.00","3,818.75","3,698.88","27,772","106,491,740"
2024-03-19,"3,800","3,880","3,795","3,865","3,752.00","3,827.50","3,699.54","51,952","199,765,600"
2024-03-18,"3,740","3,835","3,730","3,780","3,726.00","3,835.50","3,700.96","46,724","176,821,905"
2024-03-15,"3,680","3,765","3,660","3,740","3,718.00","3,849.25","3,703.96","29,372","108,998,400"
2024-03-14,"3,720","3,720","3,645","3,695","3,727.00","3,857.75","3,704.13","19,915","73,120,255"
2024-03-13,"3,735","3,750","3,655","3,680","3,740.00","3,870.00","3,704.00","56,300","207,160,070"
2024-03-12,"3,710","3,790","3,645","3,735","3,772.00","3,882.50","3,704.75","89,388","331,135,270"
2024-03-11,"3,780","3,780","3,730","3,740","3,801.00","3,889.00","3,705.63","40,832","153,114,810"
