시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"11,710","13,260","11,710","12,500","11,958.00","12,119.00","12,754.75","3,850,157","48,802,274,590"
2024-06-18,"11,900","12,220","11,670","11,690","11,804.00","12,113.00","12,775.67","223,266","2,636,896,710"
2024-06-17,"12,090","12,090","11,830","11,890","11,806.00","12,149.50","12,805.17","232,706","2,775,580,030"
2024-06-14,"11,700","12,050","11,640","12,040","11,868.00","12,171.50","12,832.17","577,304","6,834,824,570"
2024-06-13,"11,800","11,900","11,650","11,670","11,912.00","12,214.50","12,855.17","254,254","2,985,793,440"
2024-06-12,"11,750","11,930","11,620","11,730","12,114.00","12,289.50","12,879.17","319,588","3,761,767,000"
2024-06-11,"12,220","12,290","11,660","11,700","12,290.00","12,375.00","12,905.75","541,955","6,409,069,500"
2024-06-10,"12,410","12,570","12,040","12,200","12,588.00","12,434.50","12,930.67","228,620","2,801,120,480"
2024-06-07,"12,720","12,950","12,240","12,260","12,472.00","12,471.50","12,951.50","633,815","7,961,127,570"
2024-06-05,"12,500","12,750","12,100","12,680","12,360.00","12,513.00","12,971.92","927,365","11,458,697,150"
2024-06-04,"13,200","13,700","12,600","12,610","12,192.00","12,499.50","12,991.33","1,673,308","21,971,290,920"
2024-06-03,"11,620","14,190","11,580","13,190","12,108.00","12,483.00","13,010.92","4,228,990","56,412,905,010"
2024-05-31,"11,800","11,900","11,600","11,620","11,870.00","12,436.50","13,027.25","145,446","1,698,079,270"
2024-05-30,"11,910","11,910","11,620","11,700","12,020.00","12,478.00","13,056.92","175,759","2,054,573,940"
2024-05-29,"12,130","12,190","11,820","11,840","12,160.00","12,532.50","13,084.67","172,655","2,061,505,050"
2024-05-28,"12,100","12,380","12,060","12,190","12,212.00","12,579.50","13,111.33","146,951","1,792,420,620"
2024-05-27,"12,420","12,440","11,930","12,000","12,250.00","12,606.50","13,137.00","285,939","3,447,553,010"
2024-05-24,"12,380","12,550","12,150","12,370","12,334.00","12,643.00","13,161.33","162,388","2,002,707,890"
2024-05-23,"12,100","12,550","12,010","12,400","12,326.00","12,649.50","13,183.58","175,834","2,174,223,980"
2024-05-22,"12,430","12,430","12,030","12,100","12,426.00","12,636.00","13,206.42","238,930","2,905,548,920"
2024-05-21,"12,450","12,510","12,280","12,380","12,640.00","12,636.00","13,233.42","133,791","1,655,273,480"
2024-05-20,"12,390","12,670","12,340","12,420","12,852.00","12,617.00","13,256.83","139,191","1,741,650,770"
2024-05-17,"12,700","12,900","12,320","12,330","12,946.00","12,558.50","13,278.17","415,201","5,183,190,870"
2024-05-16,"13,270","13,270","12,850","12,900","13,068.00","12,513.50","13,297.50","262,736","3,399,777,450"
2024-05-14,"13,400","13,400","12,950","13,170","13,106.00","12,461.00","13,317.08","270,407","3,557,938,900"
2024-05-13,"12,900","13,700","12,830","13,440","12,954.00","12,406.00","13,328.08","530,990","7,080,887,660"
2024-05-10,"13,050","13,090","12,730","12,890","12,722.00","12,336.50","13,333.75","221,406","2,844,789,950"
2024-05-09,"13,140","13,330","12,820","12,940","12,596.00","12,305.50","13,343.00","291,052","3,802,012,860"
2024-05-08,"12,410","13,360","12,350","13,090","12,498.00","12,268.50","13,355.75","747,679","9,789,431,980"
2024-05-07,"12,320","12,430","12,220","12,410","12,438.00","12,238.00","13,366.58","149,087","1,843,448,870"
2024-05-03,"12,350","12,390","12,210","12,280","12,512.00","12,244.00","13,387.58","69,756","856,207,430"
2024-05-02,"12,370","12,540","12,240","12,260","12,602.00","12,245.50","13,413.75","123,607","1,521,863,780"
2024-04-30,"12,720","12,840","12,450","12,450","12,696.00","12,242.50","13,442.83","197,846","2,496,645,590"
2024-04-29,"12,990","13,000","12,600","12,790","12,706.00","12,240.00","13,470.42","199,630","2,546,496,670"
2024-04-26,"12,750","13,000","12,600","12,780","12,574.00","12,214.50","13,493.08","166,294","2,136,829,970"
2024-04-25,"12,730","13,140","12,590","12,730","12,438.00","12,196.50","13,512.58","291,848","3,753,796,750"
2024-04-24,"12,700","12,830","12,400","12,730","12,292.00","12,181.50","13,533.17","265,863","3,364,695,420"
2024-04-23,"12,270","12,930","12,230","12,500","11,996.00","12,184.00","13,552.75","444,362","5,618,378,700"
2024-04-22,"12,150","12,500","12,050","12,130","11,782.00","12,192.50","13,576.92","230,199","2,816,464,830"
2024-04-19,"11,910","12,150","11,570","12,100","11,726.00","12,231.50","13,605.92","147,409","1,749,738,920"
2024-04-18,"11,130","12,050","11,130","12,000","11,720.00","12,276.50","13,639.75","210,314","2,455,543,170"
2024-04-17,"11,430","11,580","11,170","11,250","11,730.00","12,342.50","13,676.83","173,732","1,960,006,350"
2024-04-16,"11,760","11,810","11,300","11,430","11,934.00","12,437.50","13,717.67","237,335","2,712,299,860"
2024-04-15,"11,920","11,990","11,760","11,850","12,088.00","12,541.00","13,759.83","115,574","1,365,916,590"
2024-04-12,"12,020","12,230","11,970","12,070","12,214.00","12,584.00","13,796.92","85,847","1,033,816,200"
2024-04-11,"12,200","12,250","11,890","12,050","12,306.00","12,635.00","13,839.42","108,464","1,305,854,580"
2024-04-09,"12,170","12,410","12,150","12,270","12,358.00","12,625.00","13,882.08","69,270","848,714,560"
2024-04-08,"12,580","12,580","12,150","12,200","12,344.00","12,595.50","13,920.42","119,702","1,473,389,990"
2024-04-05,"12,490","12,640","12,340","12,480","12,384.00","12,567.00","13,958.50","108,347","1,351,308,320"
2024-04-04,"12,380","12,540","11,950","12,530","12,344.00","12,518.50","13,996.92","298,060","3,629,530,400"
2024-04-03,"12,120","12,390","12,090","12,310","12,322.00","12,476.00","14,035.00","115,197","1,412,238,730"
2024-04-02,"12,420","12,420","12,180","12,200","12,346.00","12,459.50","14,075.33","119,815","1,466,782,630"
2024-04-01,"12,300","12,430","12,120","12,400","12,462.00","12,464.50","14,116.58","104,432","1,283,547,350"
2024-03-29,"12,500","12,500","12,260","12,280","12,516.00","12,484.00","14,158.00","107,009","1,320,140,110"
2024-03-28,"12,430","12,610","12,330","12,420","12,642.00","12,523.00","14,201.17","127,685","1,591,781,850"
2024-03-27,"12,910","12,910","12,330","12,430","12,758.00","12,536.50","14,247.58","237,904","2,962,126,010"
2024-03-26,"12,600","12,930","12,600","12,780","12,936.00","12,526.00","14,292.75","161,889","2,066,492,360"
2024-03-25,"12,860","12,890","12,550","12,670","13,010.00","12,507.50","14,337.83","176,885","2,239,308,410"
2024-03-22,"12,970","13,130","12,830","12,910","13,176.00","12,494.00","14,384.25","135,797","1,755,009,040"
2024-03-21,"13,370","13,390","12,880","13,000","13,136.00","12,472.00","14,432.58","391,029","5,086,778,010"
2024-03-20,"13,270","13,700","13,140","13,320","13,154.00","12,454.00","14,481.83","352,657","4,745,169,020"
2024-03-19,"13,500","13,700","13,110","13,150","12,860.00","12,417.00","14,529.00","319,032","4,242,929,540"
2024-03-18,"12,820","13,630","12,820","13,500","12,566.00","12,412.00","14,578.17","593,835","7,935,098,580"
2024-03-15,"13,180","13,370","12,710","12,710","12,192.00","12,388.00","14,622.83","519,143","6,750,826,740"
2024-03-14,"11,950","13,190","11,850","13,090","11,952.00","12,402.00","14,673.92","891,360","11,427,685,520"
2024-03-13,"11,690","12,010","11,690","11,850","11,670.00","12,397.00","14,721.25","194,826","2,321,369,450"
2024-03-12,"11,690","11,800","11,530","11,680","11,696.00","12,466.00","14,779.58","105,814","1,229,442,500"
2024-03-11,"11,440","11,970","11,440","11,630","11,820.00","12,553.50","14,841.42","231,086","2,701,754,500"
2024-03-08,"11,690","11,730","11,440","11,510","12,052.00","12,617.00","14,903.25","206,451","2,378,480,770"
2024-03-07,"11,980","12,060","11,530","11,680","12,362.00","12,676.50","14,966.92","254,930","2,999,167,050"
2024-03-06,"12,250","12,290","11,950","11,980","12,564.00","12,732.50","15,033.00","224,054","2,709,917,150"
2024-03-05,"12,780","12,870","12,290","12,300","12,612.00","12,773.00","15,098.17","255,806","3,190,578,570"
2024-03-04,"13,120","13,260","12,750","12,790","12,634.00","12,793.50","15,165.67","263,806","3,419,590,700"
2024-02-29,"12,690","13,320","12,620","13,060","12,556.00","12,783.50","15,224.50","627,351","8,211,290,600"
2024-02-28,"12,210","12,740","12,210","12,690","12,438.00","12,764.50","15,286.92","196,788","2,458,516,070"
2024-02-27,"12,450","12,490","12,210","12,220","12,428.00","12,763.50","15,345.58","121,793","1,498,682,070"
2024-02-26,"12,470","12,470","12,330","12,410","12,500.00","12,787.50","15,408.33","85,853","1,063,306,680"
2024-02-23,"12,530","12,530","12,360","12,400","12,628.00","12,803.50","15,469.33","74,187","921,152,530"
2024-02-22,"12,650","12,660","12,410","12,470","12,752.00","12,816.00","15,522.50","186,830","2,332,121,170"
2024-02-21,"12,620","12,750","12,550","12,640","12,856.00","12,835.50","15,578.75","121,137","1,530,084,170"
2024-02-20,"12,900","13,050","12,550","12,580","12,926.00","12,853.50","15,631.08","322,649","4,105,684,060"
2024-02-19,"13,000","13,060","12,900","13,050","13,056.00","12,879.50","15,684.58","132,353","1,717,363,210"
2024-02-16,"13,070","13,160","12,950","13,020","13,132.00","12,882.00","15,733.08","99,790","1,299,088,270"
2024-02-15,"13,050","13,230","12,960","12,990","13,108.00","12,881.50","15,784.50","131,475","1,716,513,170"
2024-02-14,"13,000","13,210","12,890","12,990","13,050.00","12,916.00","15,837.25","145,414","1,886,803,160"
