시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"7,900","7,960","7,620","7,750","7,656.00","6,855.00","6,321.00","614,986","4,794,426,200"
2024-06-18,"7,560","8,200","7,450","7,800","7,636.00","6,758.50","6,303.17","3,192,685","25,260,510,340"
2024-06-17,"7,550","8,050","7,230","7,600","7,704.00","6,660.50","6,285.58","2,327,907","18,075,175,000"
2024-06-14,"7,510","7,930","7,410","7,530","7,868.00","6,570.00","6,269.42","1,452,503","11,133,334,100"
2024-06-13,"7,450","7,980","7,370","7,600","8,040.00","6,484.50","6,253.42","2,576,336","19,815,636,480"
2024-06-12,"7,780","8,010","7,360","7,650","7,916.00","6,395.00","6,236.08","1,898,249","14,567,488,990"
2024-06-11,"8,140","8,220","7,650","8,140","7,616.00","6,304.00","6,219.50","3,855,115","30,770,997,210"
2024-06-10,"8,500","8,670","8,050","8,420","7,424.00","6,191.00","6,198.58","5,978,703","50,246,967,050"
2024-06-07,"6,650","9,070","6,550","8,390","6,908.00","6,059.00","6,174.17","19,446,734","162,543,480,510"
2024-06-05,"6,250","7,390","6,090","6,980","6,364.00","5,933.00","6,149.58","7,479,547","51,264,669,930"
2024-06-04,"7,070","7,750","6,000","6,150","6,102.00","5,875.50","6,137.92","3,648,287","25,284,392,270"
2024-06-03,"5,840","7,340","5,800","7,180","6,018.00","5,855.50","6,132.17","4,565,190","31,736,605,850"
2024-05-31,"5,660","5,850","5,650","5,840","5,722.00","5,786.50","6,119.42","115,594","669,509,470"
2024-05-30,"5,630","5,680","5,620","5,670","5,684.00","5,784.50","6,119.50","15,017","85,011,360"
2024-05-29,"5,700","5,730","5,640","5,670","5,712.00","5,791.00","6,121.58","43,485","246,383,350"
2024-05-28,"5,670","5,760","5,670","5,730","5,746.00","5,795.50","6,122.83","24,646","141,275,870"
2024-05-27,"5,650","5,700","5,620","5,700","5,764.00","5,795.50","6,124.25","32,647","184,387,640"
2024-05-24,"5,790","5,790","5,600","5,650","5,792.00","5,799.00","6,125.58","57,126","325,037,900"
2024-05-23,"5,840","5,860","5,750","5,810","5,820.00","5,799.00","6,128.50","34,510","200,189,130"
2024-05-22,"5,800","5,920","5,790","5,840","5,822.00","5,790.50","6,130.08","37,755","221,261,400"
2024-05-21,"5,810","5,860","5,780","5,820","5,816.00","5,778.50","6,132.25","45,952","267,131,130"
2024-05-20,"5,800","5,900","5,780","5,840","5,818.00","5,772.00","6,133.75","60,277","352,296,220"
2024-05-17,"5,790","5,880","5,760","5,790","5,826.00","5,761.50","6,134.83","36,225","210,355,380"
2024-05-16,"5,860","5,860","5,760","5,820","5,824.00","5,755.00","6,133.58","38,113","221,122,820"
2024-05-14,"5,800","5,860","5,800","5,810","5,834.00","5,749.00","6,133.25","25,033","145,808,610"
2024-05-13,"5,880","5,930","5,780","5,830","5,838.00","5,745.00","6,132.67","65,584","382,595,520"
2024-05-10,"5,870","6,210","5,860","5,880","5,822.00","5,739.50","6,130.25","262,255","1,570,371,160"
2024-05-09,"5,850","5,890","5,770","5,780","5,806.00","5,732.00","6,125.58","19,643","114,467,250"
2024-05-08,"5,780","5,890","5,780","5,870","5,810.00","5,731.00","6,123.08","32,825","191,847,150"
2024-05-07,"5,770","5,850","5,740","5,830","5,796.00","5,735.00","6,121.00","32,595","189,046,840"
2024-05-03,"5,820","5,840","5,720","5,750","5,782.00","5,743.50","6,119.92","29,494","169,850,380"
2024-05-02,"5,800","5,820","5,740","5,800","5,778.00","5,755.50","6,119.42","19,569","113,136,780"
2024-04-30,"5,840","5,840","5,750","5,800","5,772.00","5,771.00","6,119.42","49,372","285,490,610"
2024-04-29,"5,760","5,830","5,760","5,800","5,742.00","5,794.50","6,118.67","27,729","160,643,340"
2024-04-26,"5,760","5,840","5,700","5,760","5,710.00","5,807.00","6,117.33","29,770","171,386,370"
