시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"124,500","127,500","123,200","123,500","127,420.00","117,025.00","118,704.17","115,282","14,369,426,100"
2024-06-18,"126,200","130,900","124,800","126,000","130,440.00","116,275.00","118,739.17","255,315","32,403,718,600"
2024-06-17,"126,000","130,800","123,900","125,400","133,540.00","115,450.00","118,749.17","341,070","43,412,430,200"
2024-06-14,"135,100","135,300","125,600","126,400","132,520.00","114,700.00","118,750.00","450,001","57,826,321,500"
2024-06-13,"140,300","140,500","132,600","135,800","131,180.00","113,925.00","118,725.00","651,213","87,651,225,440"
2024-06-12,"140,000","144,400","135,000","138,600","127,680.00","112,715.00","118,588.33","503,662","70,163,775,900"
2024-06-11,"122,000","149,800","121,300","141,500","123,180.00","111,205.00","118,456.67","2,617,886","370,785,217,200"
2024-06-10,"120,000","122,700","117,000","120,300","116,980.00","109,720.00","118,298.33","157,373","18,927,157,400"
2024-06-07,"120,800","121,900","116,400","119,700","114,800.00","109,310.00","118,339.17","146,316","17,407,243,800"
2024-06-05,"115,100","119,800","114,900","118,300","112,000.00","109,035.00","118,364.17","200,696","23,747,178,500"
2024-06-04,"110,500","117,300","110,100","116,100","108,620.00","108,820.00","118,393.33","222,691","25,735,178,000"
2024-06-03,"110,000","113,400","107,800","110,500","106,040.00","108,855.00","118,442.50","100,178","11,091,459,400"
2024-05-31,"105,300","109,500","105,200","109,400","105,160.00","109,130.00","118,579.17","138,281","14,883,932,500"
2024-05-30,"100,200","107,400","100,200","105,700","103,640.00","109,530.00","118,720.83","165,199","17,368,704,600"
2024-05-29,"102,000","102,800","100,900","101,400","103,380.00","110,195.00","118,902.50","74,647","7,583,270,700"
2024-05-28,"105,300","105,400","103,200","103,200","104,380.00","110,865.00","119,106.67","55,970","5,824,716,500"
2024-05-27,"101,600","106,500","100,200","106,100","105,440.00","111,410.00","119,271.67","106,869","10,997,274,300"
2024-05-24,"103,400","104,100","101,400","101,800","106,120.00","112,055.00","119,407.50","93,336","9,531,876,300"
2024-05-23,"105,200","106,900","104,000","104,400","107,840.00","112,810.00","119,587.50","78,998","8,305,016,700"
2024-05-22,"109,600","110,100","105,700","106,400","109,140.00","113,500.00","119,753.33","91,490","9,814,427,000"
2024-05-21,"109,500","110,400","107,100","108,500","110,180.00","113,820.00","119,870.00","76,785","8,295,633,600"
2024-05-20,"110,900","112,400","108,600","109,500","110,160.00","114,185.00","119,967.50","67,068","7,412,332,100"
2024-05-17,"111,900","112,800","110,300","110,400","110,620.00","114,275.00","120,056.67","72,732","8,105,489,400"
2024-05-16,"112,500","113,200","110,000","110,900","110,960.00","114,445.00","120,110.00","72,471","8,032,823,200"
2024-05-14,"109,300","113,000","108,500","111,600","111,620.00","114,640.00","120,187.50","71,827","7,998,313,900"
2024-05-13,"111,700","112,500","108,400","108,400","112,100.00","114,780.00","120,266.67","69,455","7,600,282,300"
2024-05-10,"112,900","113,600","111,200","111,800","113,780.00","115,300.00","120,375.83","37,849","4,239,479,800"
2024-05-09,"113,300","114,000","112,000","112,100","114,620.00","115,715.00","120,444.17","53,500","6,029,629,800"
2024-05-08,"113,500","115,000","112,300","114,200","115,680.00","116,160.00","120,519.17","42,725","4,856,136,800"
2024-05-07,"117,400","118,800","113,900","114,000","116,640.00","116,540.00","120,605.00","103,321","11,896,298,400"
2024-05-03,"117,200","119,600","116,100","116,800","116,800.00","117,015.00","120,712.50","67,642","7,960,834,700"
2024-05-02,"116,200","118,800","115,900","116,000","116,260.00","117,375.00","120,822.50","48,713","5,691,302,500"
2024-04-30,"121,100","121,300","116,500","117,400","116,860.00","118,000.00","121,030.83","87,496","10,334,154,300"
2024-04-29,"115,000","119,000","114,200","119,000","116,760.00","118,635.00","121,090.83","92,619","10,798,265,900"
2024-04-26,"115,500","116,900","112,900","114,800","116,600.00","119,235.00","121,147.50","62,496","7,152,164,800"
2024-04-25,"117,800","118,900","113,800","114,100","116,200.00","120,110.00","121,155.83","75,750","8,810,076,400"
2024-04-24,"120,100","122,000","117,500","119,000","116,540.00","121,185.00","121,199.17","114,756","13,649,149,400"
2024-04-23,"118,200","119,200","116,300","116,900","115,000.00","122,070.00","121,245.00","71,573","8,416,740,700"
2024-04-22,"114,300","118,600","114,100","118,200","114,380.00","123,345.00","121,285.83","112,262","13,100,921,300"
2024-04-19,"115,400","116,000","111,800","112,800","113,700.00","124,440.00","121,257.50","80,361","9,114,242,900"
2024-04-18,"111,800","116,900","111,800","115,800","114,020.00","125,775.00","121,331.67","76,795","8,809,570,400"
2024-04-17,"113,800","115,100","111,000","111,300","114,620.00","126,955.00","121,460.83","99,126","11,151,562,600"
2024-04-16,"112,100","117,000","112,100","113,800","116,380.00","128,660.00","121,568.33","87,943","10,046,025,400"
2024-04-15,"113,300","117,400","112,100","114,800","117,820.00","130,350.00","121,640.83","126,657","14,547,169,500"
2024-04-12,"119,200","120,400","114,400","114,400","119,220.00","131,765.00","121,744.17","135,202","15,727,573,500"
2024-04-11,"117,900","121,900","117,900","118,800","121,040.00","133,000.00","121,893.33","69,572","8,338,047,100"
2024-04-09,"122,300","124,500","120,000","120,100","122,080.00","134,050.00","122,021.67","91,106","11,119,264,900"
2024-04-08,"121,800","122,500","116,000","121,000","123,760.00","135,185.00","122,139.17","149,693","17,761,843,600"
2024-04-05,"122,800","125,400","121,300","121,800","125,580.00","135,840.00","122,269.17","102,422","12,600,358,500"
2024-04-04,"125,400","126,800","121,700","123,500","127,420.00","136,305.00","122,387.50","149,443","18,472,634,700"
2024-04-03,"125,100","127,600","123,500","124,000","129,180.00","136,855.00","122,415.00","155,592","19,435,358,900"
2024-04-02,"130,100","132,000","128,000","128,500","131,500.00","136,940.00","122,391.67","102,808","13,277,573,400"
2024-04-01,"130,900","131,700","128,800","130,100","133,140.00","136,965.00","122,396.67","107,544","13,987,984,900"
2024-03-29,"131,100","132,700","129,700","131,000","135,600.00","137,295.00","122,367.50","117,479","15,373,775,700"
2024-03-28,"135,500","136,700","130,700","132,300","137,420.00","137,720.00","122,330.00","166,021","22,004,715,500"
2024-03-27,"138,000","138,400","133,300","135,600","138,860.00","138,040.00","122,344.17","101,888","13,819,248,900"
2024-03-26,"143,200","143,300","130,000","136,700","139,620.00","138,260.00","122,320.00","258,038","35,693,965,600"
2024-03-25,"142,100","143,600","140,100","142,400","141,360.00","138,150.00","122,297.50","133,750","19,021,539,500"
2024-03-22,"140,200","144,400","137,900","140,100","142,400.00","137,945.00","122,298.33","154,347","21,852,452,300"
2024-03-21,"141,000","142,900","138,600","139,500","143,000.00","137,840.00","122,331.67","126,241","17,711,130,600"
2024-03-20,"145,500","146,500","139,400","139,400","142,920.00","137,565.00","122,435.83","189,226","26,776,834,000"
2024-03-19,"150,700","151,600","144,000","145,400","143,000.00","135,840.00","122,555.83","268,654","39,362,024,800"
2024-03-18,"145,700","151,000","145,300","147,600","142,480.00","133,730.00","122,683.33","464,253","68,940,481,400"
2024-03-15,"138,000","145,500","134,600","143,100","139,780.00","131,690.00","122,755.00","412,239","58,403,325,300"
2024-03-14,"139,900","144,000","139,100","139,100","137,380.00","129,865.00","122,741.67","221,372","31,270,865,400"
2024-03-13,"140,900","141,500","138,200","139,800","136,460.00","127,965.00","122,752.50","217,362","30,353,062,300"
2024-03-12,"134,300","145,000","134,300","142,800","133,640.00","125,995.00","122,803.33","752,175","106,811,160,400"
2024-03-11,"131,400","137,500","129,200","134,100","130,880.00","123,830.00","122,820.83","210,527","28,083,810,700"
2024-03-08,"135,200","135,700","130,500","131,100","131,400.00","122,015.00","122,945.83","178,413","23,696,452,900"
2024-03-07,"126,600","137,200","123,800","134,500","133,080.00","120,340.00","123,080.00","479,006","63,516,248,300"
