시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"274,500","276,500","265,000","267,000","268,300.00","229,430.00","155,283.33","401,889","108,616,934,500"
2024-06-18,"269,500","280,000","267,000","273,500","270,100.00","225,550.00","153,660.83","829,928","226,410,883,000"
2024-06-17,"269,500","279,500","264,000","267,500","272,100.00","221,375.00","151,985.00","992,296","269,513,078,500"
2024-06-14,"267,500","275,500","259,500","265,000","269,200.00","217,480.00","150,320.83","1,011,279","269,883,367,000"
2024-06-13,"285,500","291,000","263,500","268,500","270,000.00","213,130.00","148,690.83","1,888,940","519,233,707,000"
2024-06-12,"286,500","287,500","270,000","276,000","263,900.00","208,430.00","147,033.33","1,383,564","384,770,665,000"
2024-06-11,"250,500","285,500","250,500","283,500","255,400.00","202,850.00","145,334.17","2,972,232","810,946,478,500"
2024-06-10,"265,000","270,000","249,000","253,000","238,500.00","197,185.00","143,577.50","1,736,891","448,217,258,000"
2024-06-07,"245,000","269,000","240,500","269,000","225,080.00","193,030.00","142,085.00","2,857,943","734,686,553,000"
2024-06-05,"230,500","242,500","228,000","238,000","207,280.00","188,285.00","140,455.00","2,086,713","492,293,678,500"
2024-06-04,"199,800","238,500","199,600","233,500","196,100.00","185,250.00","139,085.00","4,791,829","1,063,275,619,600"
2024-06-03,"184,000","199,000","180,500","199,000","186,600.00","182,435.00","137,760.00","1,469,329","280,900,772,000"
2024-05-31,"181,900","185,900","171,200","185,900","184,760.00","181,525.00","136,755.83","5,071,763","928,438,505,500"
2024-05-30,"180,900","188,500","178,800","180,000","186,200.00","181,075.00","135,895.00","886,508","161,893,309,800"
2024-05-29,"184,000","187,600","182,100","182,100","187,380.00","180,900.00","135,061.67","646,508","119,165,657,900"
2024-05-28,"188,800","192,300","185,200","186,000","189,420.00","180,480.00","134,199.17","772,435","145,211,664,800"
2024-05-27,"193,500","194,800","188,000","189,800","190,100.00","179,865.00","133,307.50","784,527","149,693,728,500"
2024-05-24,"183,400","194,900","181,100","193,100","190,140.00","179,290.00","132,335.00","1,202,683","228,472,808,600"
2024-05-23,"192,300","195,200","184,900","185,900","189,440.00","178,330.00","131,343.33","944,616","179,284,872,400"
2024-05-22,"198,400","201,000","190,800","192,300","187,860.00","177,350.00","130,403.33","2,008,231","393,417,750,600"
2024-05-21,"192,400","192,400","187,300","189,400","184,300.00","176,155.00","129,413.33","665,018","126,284,880,400"
2024-05-20,"189,400","194,200","187,600","190,000","179,300.00","175,495.00","128,432.50","1,219,942","232,906,949,700"
2024-05-17,"174,900","190,000","172,700","189,600","175,340.00","174,035.00","127,415.00","3,198,012","591,838,274,900"
2024-05-16,"179,900","187,600","176,500","178,000","171,400.00","172,970.00","126,411.67","1,914,494","347,567,763,300"
2024-05-14,"165,700","175,900","163,900","174,500","170,620.00","172,635.00","125,512.50","1,352,421","232,606,673,500"
2024-05-13,"169,900","169,900","159,400","164,400","171,180.00","172,845.00","124,660.83","1,299,020","211,738,975,200"
2024-05-10,"172,200","173,700","168,900","170,200","173,740.00","173,300.00","123,836.67","544,365","92,825,254,600"
2024-05-09,"173,700","174,700","169,800","169,900","175,860.00","173,450.00","122,930.83","610,465","104,653,432,500"
2024-05-08,"179,800","180,700","169,400","174,100","177,260.00","173,070.00","122,054.17","1,027,934","178,756,968,600"
2024-05-07,"179,800","183,900","175,800","177,300","177,740.00","172,415.00","121,121.67","852,416","153,138,536,200"
2024-05-03,"181,800","185,900","176,800","177,200","177,020.00","171,875.00","120,190.00","961,336","173,902,382,100"
2024-05-02,"176,400","182,100","175,500","180,800","176,320.00","171,545.00","119,301.67","851,089","152,946,919,100"
2024-04-30,"176,600","180,000","172,200","176,900","175,820.00","171,005.00","118,394.17","1,006,664","177,824,192,200"
2024-04-29,"174,000","181,500","171,500","176,500","175,220.00","171,475.00","117,493.33","1,008,109","177,674,644,000"
2024-04-26,"180,400","191,600","173,300","173,700","173,180.00","172,520.00","116,590.83","2,896,505","528,826,435,600"
