시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"3,960","4,070","3,850","3,925","3,780.00","2,946.25","2,395.32","5,177,592","20,409,015,400"
2024-06-18,"3,965","4,465","3,850","4,460","3,702.00","2,874.00","2,383.37","35,797,984","152,455,688,605"
2024-06-17,"3,330","3,440","3,230","3,435","3,354.00","2,774.00","2,367.41","2,503,678","8,364,002,445"
2024-06-14,"3,605","3,640","3,430","3,430","3,208.00","2,726.25","2,359.20","3,980,367","14,030,804,125"
2024-06-13,"3,480","3,850","3,340","3,650","3,062.00","2,684.75","2,351.07","27,020,680","96,673,065,070"
2024-06-12,"2,745","3,535","2,740","3,535","2,869.00","2,632.25","2,341.24","30,519,564","99,156,822,485"
2024-06-11,"2,705","2,820","2,690","2,720","2,708.00","2,589.50","2,332.87","523,936","1,444,844,300"
2024-06-10,"2,695","2,750","2,645","2,705","2,733.00","2,597.50","2,331.82","227,237","613,777,235"
2024-06-07,"2,690","2,735","2,660","2,700","2,741.00","2,609.00","2,330.37","272,131","732,148,135"
2024-06-05,"2,670","2,800","2,650","2,685","2,726.00","2,626.00","2,328.45","581,959","1,587,337,195"
2024-06-04,"2,785","2,825","2,720","2,730","2,694.00","2,623.00","2,327.66","599,186","1,652,377,095"
2024-06-03,"2,750","2,845","2,650","2,845","2,649.00","2,621.00","2,327.32","1,016,351","2,785,277,725"
2024-05-31,"2,800","2,950","2,705","2,745","2,558.00","2,618.50","2,325.07","4,532,909","12,757,672,255"
2024-05-30,"2,490","2,670","2,470","2,625","2,489.00","2,620.75","2,324.66","1,593,069","4,141,442,680"
2024-05-29,"2,500","2,575","2,410","2,525","2,440.00","2,614.25","2,326.03","1,160,662","2,921,711,075"
2024-05-28,"2,510","2,790","2,465","2,505","2,442.00","2,608.00","2,328.07","7,916,981","20,887,224,895"
2024-05-27,"2,395","2,460","2,350","2,390","2,437.00","2,601.75","2,330.95","545,674","1,324,913,330"
2024-05-24,"2,320","2,430","2,255","2,400","2,451.00","2,605.25","2,335.16","630,635","1,473,646,300"
2024-05-23,"2,480","2,485","2,350","2,380","2,467.00","2,580.00","2,338.74","1,020,672","2,457,255,030"
2024-05-22,"2,660","2,815","2,510","2,535","2,511.00","2,556.05","2,341.20","7,840,408","20,986,352,180"
2024-05-21,"2,460","2,605","2,385","2,480","2,524.00","2,524.10","2,342.41","1,660,536","4,152,128,055"
2024-05-20,"2,480","2,550","2,450","2,460","2,564.00","2,497.35","2,344.82","784,060","1,960,540,925"
2024-05-17,"2,530","2,535","2,405","2,480","2,648.00","2,471.60","2,347.16","1,267,525","3,119,830,035"
2024-05-16,"2,605","2,680","2,530","2,600","2,739.00","2,444.35","2,349.07","1,138,922","2,962,860,925"
2024-05-14,"2,710","2,735","2,570","2,600","2,827.00","2,406.75","2,350.66","1,892,401","5,020,520,045"
2024-05-13,"2,895","2,895","2,680","2,680","2,832.00","2,370.55","2,351.16","1,115,948","3,076,578,420"
2024-05-10,"2,895","2,950","2,880","2,880","2,834.00","2,331.60","2,350.87","943,937","2,737,924,455"
2024-05-09,"2,880","2,985","2,875","2,935","2,817.00","2,283.30","2,347.78","1,659,127","4,844,994,890"
2024-05-08,"2,600","3,315","2,565","3,040","2,788.00","2,232.30","2,345.12","34,894,024","106,191,373,380"
2024-05-07,"2,740","2,900","2,620","2,625","2,679.00","2,175.25","2,342.62","1,603,335","4,338,998,740"
2024-05-03,"2,710","2,760","2,660","2,690","2,634.00","2,142.00","2,344.16","2,284,485","6,182,181,485"
2024-05-02,"2,705","2,880","2,695","2,795","2,572.00","2,107.30","2,345.70","3,190,284","8,894,212,230"
2024-04-30,"2,900","3,185","2,690","2,790","2,505.00","2,070.55","2,347.41","25,663,252","77,054,549,595"
2024-04-29,"2,630","2,650","2,445","2,495","2,326.00","2,033.30","2,350.37","7,790,097","20,040,922,095"
2024-04-26,"2,365","2,435","2,345","2,400","2,207.20","2,008.20","2,354.20","2,778,654","6,633,898,380"
2024-04-25,"2,610","2,740","2,365","2,380","2,106.40","1,988.95","2,358.95","14,538,912","37,087,495,985"
2024-04-24,"1,972","2,460","1,972","2,460","2,019.40","1,972.20","2,358.16","15,829,442","37,986,239,799"
2024-04-23,"1,903","1,942","1,894","1,895","1,916.40","1,951.45","2,357.62","90,685","173,060,405"
2024-04-22,"1,896","1,970","1,870","1,901","1,924.40","1,960.95","2,361.70","120,740","231,670,032"
2024-04-19,"1,940","1,940","1,810","1,896","1,913.80","1,973.40","2,366.19","261,947","489,201,978"
2024-04-18,"1,991","1,991","1,935","1,945","1,909.80","1,988.35","2,372.10","184,767","359,971,938"
2024-04-17,"1,935","1,996","1,935","1,945","1,901.00","1,998.85","2,378.64","229,386","449,249,197"
2024-04-16,"1,900","2,205","1,900","1,935","1,894.80","2,001.60","2,384.39","2,734,201","5,636,533,017"
2024-04-15,"1,860","1,860","1,798","1,848","1,890.80","2,008.85","2,390.52","217,273","395,445,143"
2024-04-12,"1,881","1,903","1,861","1,876","1,901.00","2,011.70","2,398.87","109,649","206,441,296"
2024-04-11,"1,923","1,923","1,862","1,901","1,917.80","2,012.90","2,408.69","200,828","379,102,485"
2024-04-09,"1,903","1,965","1,900","1,914","1,936.80","2,013.35","2,418.93","253,956","489,356,626"
2024-04-08,"1,981","2,275","1,915","1,915","1,966.00","2,013.90","2,429.03","2,890,126","6,115,314,980"
2024-04-05,"1,938","1,958","1,891","1,899","1,992.00","2,015.40","2,441.57","173,604","332,302,493"
2024-04-04,"1,998","2,005","1,937","1,960","2,010.80","2,017.30","2,455.87","115,226","225,983,250"
2024-04-03,"2,045","2,045","1,970","1,996","2,021.80","2,017.45","2,469.03","173,463","344,762,600"
2024-04-02,"2,040","2,125","2,005","2,060","2,031.60","2,018.15","2,480.65","170,785","353,435,315"
2024-04-01,"2,000","2,055","1,999","2,045","2,028.60","2,016.90","2,494.11","78,006","157,603,750"
2024-03-29,"2,045","2,045","1,992","1,993","2,036.60","2,020.65","2,508.32","139,873","280,225,511"
2024-03-28,"2,070","2,070","2,010","2,015","2,068.00","2,025.00","2,518.17","141,511","286,711,710"
2024-03-27,"2,135","2,295","2,020","2,045","2,104.00","2,029.75","2,530.71","456,289","977,098,305"
2024-03-26,"2,085","2,090","2,035","2,045","2,126.00","2,033.00","2,542.58","121,147","248,501,960"
2024-03-25,"2,150","2,150","2,085","2,085","2,117.00","2,036.75","2,554.17","113,787","239,228,370"
2024-03-22,"2,195","2,195","2,130","2,150","2,116.00","2,039.00","2,566.17","213,660","459,469,395"
2024-03-21,"2,155","2,250","2,100","2,195","2,067.00","2,039.75","2,574.58","486,387","1,047,840,260"
2024-03-20,"2,030","2,320","2,020","2,155","2,008.00","2,038.75","2,586.46","2,960,771","6,545,655,210"
2024-03-19,"2,080","2,085","1,990","2,000","1,959.00","2,042.50","2,592.75","222,287","450,080,521"
2024-03-18,"1,923","2,325","1,908","2,080","1,944.00","2,055.50","2,600.71","2,924,952","6,250,454,179"
2024-03-15,"1,900","1,934","1,782","1,905","1,917.00","2,065.00","2,608.83","97,033","183,869,980"
2024-03-14,"1,960","1,960","1,877","1,900","1,923.40","2,083.25","2,619.79","77,855","147,299,147"
2024-03-13,"1,920","1,957","1,881","1,910","1,936.00","2,100.50","2,631.46","167,792","319,349,384"
2024-03-12,"1,976","1,976","1,913","1,925","1,956.00","2,117.00","2,639.21","144,945","280,273,614"
2024-03-11,"1,935","1,988","1,889","1,945","1,978.00","2,125.75","2,644.75","85,638","165,633,810"
2024-03-08,"1,965","1,994","1,912","1,937","2,013.00","2,133.75","2,649.83","140,834","273,633,750"
2024-03-07,"1,995","2,015","1,947","1,963","2,041.60","2,140.15","2,654.57","173,447","341,933,621"
2024-03-06,"2,030","2,050","1,980","2,010","2,071.00","2,147.00","2,659.50","150,351","301,531,193"
2024-03-05,"2,120","2,130","2,025","2,035","2,091.00","2,152.75","2,664.83","151,503","311,714,165"
2024-03-04,"2,070","2,120","2,060","2,120","2,108.00","2,158.25","2,670.13","125,998","262,825,570"
2024-02-29,"2,085","2,135","2,070","2,080","2,110.00","2,159.25","2,675.08","83,960","175,171,595"
2024-02-28,"2,110","2,140","2,080","2,110","2,127.00","2,165.00","2,680.17","48,187","102,073,300"
2024-02-27,"2,150","2,150","2,070","2,110","2,140.00","2,168.25","2,688.42","127,574","266,060,235"
2024-02-26,"2,140","2,155","2,120","2,120","2,164.00","2,178.00","2,690.71","67,812","144,703,840"
2024-02-23,"2,150","2,170","2,100","2,130","2,192.00","2,185.75","2,691.88","118,151","250,976,820"
2024-02-22,"2,225","2,225","2,135","2,165","2,220.00","2,194.50","2,692.13","186,475","402,552,465"
2024-02-21,"2,205","2,255","2,175","2,175","2,241.00","2,213.75","2,692.17","167,339","368,854,245"
2024-02-20,"2,270","2,290","2,215","2,230","2,255.00","2,234.00","2,692.96","105,362","235,093,955"
2024-02-19,"2,270","2,270","2,230","2,260","2,257.00","2,249.25","2,692.00","101,419","227,449,630"
2024-02-16,"2,300","2,300","2,210","2,270","2,225.00","2,260.75","2,691.42","131,267","295,011,295"
2024-02-15,"2,265","2,280","2,215","2,270","2,192.00","2,272.50","2,690.50","257,084","580,698,895"
2024-02-14,"2,215","2,275","2,180","2,245","2,151.00","2,293.25","2,690.58","131,822","294,657,435"
2024-02-13,"2,100","2,270","2,100","2,240","2,122.00","2,319.50","2,689.71","214,568","471,950,385"
2024-02-08,"2,090","2,135","2,090","2,100","2,099.00","2,347.50","2,689.50","83,350","175,591,795"
2024-02-07,"2,050","2,125","2,050","2,105","2,108.00","2,386.50","2,690.92","89,409","187,042,910"
2024-02-06,"2,060","2,085","2,020","2,065","2,115.00","2,415.00","2,692.13","122,740","251,910,210"
2024-02-05,"2,105","2,160","2,065","2,100","2,141.00","2,448.25","2,694.75","181,544","378,026,630"
2024-02-02,"2,150","2,215","2,100","2,125","2,156.00","2,475.75","2,695.75","181,718","392,442,905"
2024-02-01,"2,120","2,180","2,100","2,145","2,192.00","2,503.00","2,697.46","145,259","309,755,565"
2024-01-31,"2,180","2,250","2,130","2,140","2,218.00","2,526.50","2,699.08","122,380","264,975,960"
2024-01-30,"2,230","2,230","2,115","2,195","2,251.00","2,554.50","2,700.46","145,860","315,449,940"
2024-01-29,"2,340","2,400","2,160","2,175","2,322.00","2,580.25","2,702.21","317,813","708,430,190"
2024-01-26,"2,255","2,355","2,250","2,305","2,403.00","2,606.50","2,704.79","175,942","407,183,570"
2024-01-25,"2,305","2,330","2,170","2,275","2,449.00","2,625.75","2,707.00","379,055","847,514,275"
2024-01-24,"2,545","2,545","2,305","2,305","2,492.00","2,640.75","2,708.58","650,937","1,561,050,670"
2024-01-23,"2,580","2,600","2,505","2,550","2,532.00","2,649.50","2,709.71","211,177","536,928,475"
2024-01-22,"2,560","2,615","2,500","2,580","2,559.00","2,645.50","2,707.67","213,796","547,121,415"
2024-01-19,"2,510","2,625","2,495","2,535","2,597.00","2,640.50","2,706.58","286,215","736,283,375"
2024-01-18,"2,490","2,565","2,415","2,490","2,650.00","2,638.25","2,708.21","286,414","715,382,670"
2024-01-17,"2,665","2,695","2,465","2,505","2,728.00","2,641.00","2,711.46","678,631","1,723,783,490"
2024-01-16,"2,745","2,745","2,665","2,685","2,762.00","2,638.25","2,714.29","371,927","1,003,272,265"
2024-01-15,"2,795","2,795","2,670","2,770","2,771.00","2,626.75","2,716.25","514,919","1,401,856,040"
