시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"2,935","2,980","2,920","2,960","2,919.00","2,847.75","2,686.13","928,865","2,734,322,040"
2024-06-18,"3,150","3,330","2,955","3,005","2,904.00","2,843.50","2,685.00","27,577,694","87,422,001,280"
2024-06-17,"2,860","2,900","2,820","2,875","2,843.00","2,832.25","2,683.58","722,783","2,066,265,340"
2024-06-14,"2,850","2,910","2,780","2,885","2,812.00","2,829.25","2,683.00","1,613,200","4,610,187,200"
2024-06-13,"2,815","2,900","2,800","2,870","2,779.00","2,825.75","2,682.04","2,207,536","6,284,792,705"
2024-06-12,"2,720","3,155","2,700","2,885","2,746.00","2,822.25","2,681.33","19,235,374","57,398,440,260"
2024-06-11,"2,715","2,760","2,700","2,700","2,726.00","2,818.50","2,680.75","274,776","748,668,095"
2024-06-10,"2,715","2,740","2,690","2,720","2,755.00","2,824.75","2,681.67","171,584","466,281,345"
2024-06-07,"2,710","2,750","2,680","2,720","2,780.00","2,832.50","2,682.46","175,291","476,821,525"
2024-06-05,"2,755","2,775","2,700","2,705","2,799.00","2,850.50","2,682.79","374,821","1,019,828,075"
2024-06-04,"2,815","2,845","2,750","2,785","2,839.00","2,868.50","2,683.88","520,910","1,444,109,680"
2024-06-03,"2,830","2,860","2,805","2,845","2,862.00","2,877.75","2,684.21","381,607","1,081,464,335"
2024-05-31,"2,850","2,990","2,845","2,845","2,864.00","2,889.00","2,684.46","1,991,603","5,824,448,710"
2024-05-30,"2,905","2,910","2,810","2,815","2,865.00","2,897.00","2,685.04","548,264","1,560,160,830"
2024-05-29,"2,910","2,930","2,845","2,905","2,878.00","2,897.75","2,686.25","694,832","2,008,695,535"
2024-05-28,"3,165","3,195","2,900","2,900","2,887.00","2,892.25","2,686.79","4,942,837","15,072,541,965"
2024-05-27,"2,835","2,855","2,795","2,855","2,882.00","2,887.00","2,687.71","733,874","2,174,359,520"
2024-05-24,"2,820","2,875","2,785","2,850","2,867.00","2,889.00","2,688.54","407,097","1,151,333,300"
2024-05-23,"2,905","2,950","2,845","2,880","2,860.00","2,874.50","2,690.17","689,865","2,001,029,635"
2024-05-22,"2,935","2,990","2,875","2,950","2,847.00","2,861.00","2,691.13","1,789,271","5,253,887,785"
2024-05-21,"2,780","3,055","2,750","2,875","2,817.00","2,835.00","2,691.88","2,590,115","7,523,097,930"
2024-05-20,"2,815","2,860","2,780","2,780","2,804.00","2,820.50","2,693.42","580,883","1,632,033,670"
2024-05-17,"2,790","2,900","2,710","2,815","2,813.00","2,812.00","2,695.29","1,052,941","2,978,998,150"
2024-05-16,"2,825","2,835","2,765","2,815","2,825.00","2,812.25","2,696.46","442,278","1,238,847,385"
2024-05-14,"2,790","2,855","2,785","2,800","2,878.00","2,804.50","2,698.63","420,372","1,181,008,285"
2024-05-13,"2,805","2,855","2,740","2,810","2,931.00","2,791.50","2,700.04","801,886","2,245,472,050"
2024-05-10,"2,845","2,890","2,805","2,825","2,963.00","2,783.50","2,700.88","797,392","2,256,742,065"
2024-05-09,"3,020","3,035","2,875","2,875","3,012.00","2,772.50","2,700.71","1,262,072","3,736,358,205"
2024-05-08,"3,005","3,170","2,940","3,080","3,038.00","2,757.00","2,700.88","4,520,470","13,922,392,605"
2024-05-07,"3,090","3,320","3,020","3,065","2,988.00","2,713.25","2,700.13","7,129,747","22,505,486,100"
2024-05-03,"3,000","3,035","2,940","2,970","2,934.00","2,674.00","2,699.75","1,342,361","4,011,438,080"
2024-05-02,"3,020","3,075","2,920","3,070","2,899.00","2,639.00","2,700.79","2,322,632","6,999,327,285"
2024-04-30,"3,355","3,485","3,000","3,005","2,864.00","2,602.25","2,700.96","19,892,116","65,171,721,175"
2024-04-29,"2,970","2,975","2,810","2,830","2,775.00","2,572.25","2,701.33","3,652,170","10,699,409,400"
2024-04-26,"2,795","2,860","2,740","2,795","2,731.00","2,549.50","2,702.83","1,951,338","5,465,671,345"
2024-04-25,"2,865","2,945","2,795","2,795","2,658.00","2,527.25","2,703.46","3,329,724","9,554,300,145"
2024-04-24,"2,715","3,130","2,700","2,895","2,616.00","2,504.00","2,702.83","32,757,320","97,979,799,350"
2024-04-23,"2,585","2,665","2,530","2,560","2,559.00","2,473.50","2,703.25","1,959,390","5,088,402,020"
2024-04-22,"2,430","2,845","2,425","2,610","2,611.00","2,459.50","2,706.21","14,048,522","37,394,254,000"
2024-04-19,"2,585","2,650","2,350","2,430","2,621.00","2,445.75","2,709.21","1,805,228","4,471,503,625"
2024-04-18,"2,710","2,720","2,580","2,585","2,643.00","2,441.25","2,715.17","2,244,430","5,912,082,710"
2024-04-17,"2,690","2,785","2,610","2,610","2,656.00","2,428.75","2,720.21","3,770,181","10,178,555,820"
2024-04-16,"2,925","3,285","2,780","2,820","2,655.00","2,413.00","2,724.04","42,121,916","130,114,298,965"
2024-04-15,"2,520","2,660","2,440","2,660","2,604.00","2,387.75","2,728.08","3,245,767","8,818,956,905"
2024-04-12,"2,655","2,665","2,515","2,540","2,513.00","2,373.00","2,733.92","919,578","2,375,429,105"
2024-04-11,"2,525","2,660","2,480","2,650","2,461.00","2,365.00","2,743.71","1,416,054","3,670,599,485"
2024-04-09,"2,600","2,730","2,530","2,605","2,385.00","2,350.75","2,751.46","3,639,601","9,562,314,445"
2024-04-08,"2,380","2,775","2,375","2,565","2,331.00","2,339.50","2,757.54","14,915,526","39,309,366,510"
2024-04-05,"2,250","2,270","2,200","2,205","2,299.00","2,330.00","2,764.33","274,476","609,654,515"
2024-04-04,"2,270","2,295","2,250","2,280","2,333.00","2,337.75","2,776.13","183,837","417,004,250"
2024-04-03,"2,320","2,335","2,250","2,270","2,347.00","2,340.75","2,783.46","325,774","744,792,290"
