시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"167,700","168,400","165,100","165,200","167,580.00","173,260.00","195,169.17","369,885","61,493,720,800"
2024-06-18,"166,700","169,400","166,300","166,800","168,220.00","174,160.00","195,646.67","663,328","111,206,072,840"
2024-06-17,"168,800","169,400","166,000","166,100","168,900.00","175,020.00","196,115.00","876,593","146,203,435,500"
2024-06-14,"169,300","171,100","168,700","169,900","169,820.00","176,080.00","196,614.17","677,657","115,036,163,600"
2024-06-13,"170,000","173,000","169,900","169,900","170,920.00","177,010.00","197,056.67","982,883","168,109,184,300"
2024-06-12,"170,000","170,900","167,700","168,400","172,360.00","177,735.00","197,420.00","977,784","165,167,249,000"
2024-06-11,"171,000","171,500","170,000","170,200","174,040.00","178,530.00","197,795.83","606,686","103,483,659,700"
2024-06-10,"173,100","175,000","170,700","170,700","174,540.00","179,450.00","198,190.00","744,709","127,603,569,100"
2024-06-07,"177,500","178,500","174,900","175,400","174,440.00","180,330.00","198,580.00","638,712","112,293,692,900"
2024-06-05,"177,400","178,200","175,600","177,100","173,440.00","181,105.00","198,889.17","467,925","82,836,744,100"
2024-06-04,"172,600","177,400","172,600","176,800","173,080.00","181,990.00","199,192.50","758,259","133,081,540,000"
2024-06-03,"172,000","175,500","171,800","172,700","173,200.00","182,880.00","199,494.17","661,878","114,848,270,100"
2024-05-31,"170,500","172,000","170,000","170,200","174,460.00","183,685.00","199,809.17","1,117,529","190,517,554,300"
2024-05-30,"173,500","174,900","170,400","170,400","176,220.00","184,395.00","200,107.50","947,416","162,366,552,400"
2024-05-29,"178,100","179,800","175,100","175,300","178,560.00","185,110.00","200,420.83","898,094","158,971,448,400"
2024-05-28,"178,500","178,700","177,400","177,400","180,020.00","185,420.00","200,689.17","563,865","100,260,866,000"
2024-05-27,"180,000","180,100","177,400","179,000","181,180.00","185,685.00","200,940.00","558,709","99,947,488,100"
2024-05-24,"180,300","181,100","179,000","179,000","182,180.00","185,920.00","201,165.00","730,052","131,152,430,000"
2024-05-23,"181,900","183,000","180,100","182,100","183,840.00","185,975.00","201,385.83","406,392","73,885,306,700"
2024-05-22,"182,800","183,300","182,300","182,600","185,120.00","185,915.00","201,580.83","316,154","57,762,672,500"
2024-05-21,"182,100","184,500","182,100","183,200","185,480.00","185,905.00","201,788.33","469,119","85,861,213,625"
2024-05-20,"187,900","188,000","183,600","184,000","185,700.00","185,780.00","201,965.83","569,690","105,146,796,000"
2024-05-17,"188,600","189,800","187,000","187,300","186,620.00","185,560.00","202,120.00","394,214","74,044,120,100"
