시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"45,550","46,400","45,000","46,350","43,240.00","42,492.50","46,477.50","426,895","19,526,668,350"
2024-06-18,"44,200","46,450","43,550","45,400","42,560.00","42,267.50","46,588.75","1,793,233","81,738,581,450"
2024-06-17,"40,550","44,750","40,550","43,650","42,020.00","42,092.50","46,715.42","1,422,659","61,634,821,200"
2024-06-14,"40,750","40,950","40,200","40,200","41,840.00","42,022.50","46,858.33","366,777","14,860,987,150"
2024-06-13,"43,500","43,850","40,500","40,600","42,490.00","42,170.00","47,033.33","1,685,959","69,500,216,200"
2024-06-12,"42,600","43,600","42,350","42,950","43,000.00","42,280.00","47,199.17","251,624","10,795,840,200"
2024-06-11,"42,750","43,100","42,050","42,700","42,960.00","42,277.50","47,343.75","219,402","9,345,511,100"
2024-06-10,"42,900","43,400","42,150","42,750","42,750.00","42,297.50","47,478.75","209,538","8,952,401,750"
2024-06-07,"43,450","44,000","42,900","43,450","42,310.00","42,327.50","47,614.17","206,394","8,952,167,950"
2024-06-05,"43,250","44,150","42,500","43,150","41,610.00","42,377.50","47,751.25","406,745","17,676,060,750"
2024-06-04,"41,250","43,150","41,250","42,750","41,070.00","42,360.00","47,880.83","361,924","15,414,928,650"
2024-06-03,"40,600","42,150","40,600","41,650","40,690.00","42,372.50","48,014.58","358,205","14,862,907,200"
2024-05-31,"39,900","40,800","39,850","40,550","40,590.00","42,422.50","48,163.33","227,745","9,214,642,650"
2024-05-30,"40,250","40,300","39,800","39,950","41,020.00","42,465.00","48,322.08","227,557","9,094,586,950"
2024-05-29,"40,850","40,950","40,350","40,450","41,970.00","42,545.00","48,505.00","294,130","11,915,614,200"
2024-05-28,"41,250","41,450","40,800","40,850","42,660.00","42,602.50","48,652.08","260,957","10,695,417,100"
2024-05-27,"42,650","42,650","40,450","41,150","42,860.00","42,562.50","48,815.83","690,148","28,275,291,500"
2024-05-24,"44,300","44,450","42,650","42,700","43,010.00","42,547.50","48,972.92","342,851","14,884,214,100"
2024-05-23,"44,350","46,150","43,750","44,700","42,920.00","42,437.50","49,087.08","649,628","29,313,246,050"
