시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"367,500","372,000","365,500","369,500","372,700.00","377,875.00","419,266.67","219,985","80,943,984,000"
2024-06-18,"373,500","375,500","368,000","368,000","374,200.00","379,075.00","420,320.83","314,133","116,237,087,000"
2024-06-17,"376,000","376,500","370,500","371,000","376,600.00","380,725.00","421,333.33","389,824","145,188,041,500"
2024-06-14,"375,500","381,500","370,500","380,000","377,800.00","382,075.00","422,241.67","515,401","193,937,259,000"
2024-06-13,"381,000","382,500","375,000","375,000","379,100.00","383,200.00","422,916.67","470,089","177,931,588,500"
2024-06-12,"379,000","380,500","375,500","377,000","380,300.00","384,525.00","423,566.67","249,898","94,307,429,500"
2024-06-11,"376,500","385,000","376,500","380,000","379,900.00","385,625.00","424,325.00","344,972","131,216,259,000"
2024-06-10,"383,000","383,500","377,000","377,000","378,700.00","386,675.00","425,050.00","350,671","132,820,451,500"
2024-06-07,"387,000","387,500","381,500","386,500","377,100.00","387,725.00","425,837.50","380,682","146,588,917,000"
2024-06-05,"376,500","385,500","374,000","381,000","373,700.00","388,575.00","426,341.67","420,191","160,177,851,000"
2024-06-04,"370,000","378,000","369,500","375,000","372,300.00","389,850.00","426,929.17","243,871","91,443,639,500"
2024-06-03,"370,000","384,000","368,500","374,000","373,900.00","391,275.00","427,641.67","377,722","141,879,021,000"
2024-05-31,"370,500","379,500","368,500","369,000","376,800.00","392,525.00","428,483.33","523,294","194,205,686,000"
2024-05-30,"370,500","376,000","367,000","369,500","379,300.00","394,325.00","429,358.33","432,926","160,109,408,500"
2024-05-29,"379,000","381,000","373,000","374,000","382,900.00","396,200.00","430,304.17","450,870","169,304,890,000"
2024-05-28,"389,000","390,500","382,500","383,000","386,200.00","397,225.00","431,212.50","253,275","97,441,391,000"
2024-05-27,"380,500","390,500","375,500","388,500","388,300.00","397,700.00","432,004.17","520,982","198,604,031,000"
2024-05-24,"382,000","384,000","380,000","381,500","390,800.00","398,075.00","432,666.67","357,992","136,442,069,000"
2024-05-23,"390,000","392,000","385,000","387,500","394,100.00","398,575.00","433,425.00","292,191","113,352,459,500"
2024-05-22,"394,000","396,000","390,500","390,500","397,100.00","398,950.00","434,154.17","227,064","88,986,025,500"
2024-05-21,"399,000","399,500","392,000","393,500","399,300.00","398,750.00","434,833.33","340,790","134,263,611,000"
2024-05-20,"399,000","405,000","398,500","401,000","400,400.00","398,575.00","435,504.17","253,949","101,859,329,000"
2024-05-17,"400,500","402,500","398,000","398,000","400,400.00","397,075.00","436,095.83","220,887","88,148,961,980"
2024-05-16,"406,000","407,500","401,500","402,500","400,400.00","396,200.00","436,641.67","237,901","96,052,732,000"
2024-05-14,"399,500","403,000","399,000","401,500","400,600.00","395,600.00","437,179.17","211,204","84,680,688,500"
2024-05-13,"402,000","402,500","396,500","399,000","401,600.00","395,275.00","437,783.33","209,352","83,462,578,000"
2024-05-10,"402,000","404,000","399,000","401,000","402,500.00","395,325.00","438,387.50","193,446","77,627,466,000"
2024-05-09,"403,500","404,000","398,000","398,000","402,100.00","395,450.00","438,812.50","303,018","121,211,977,000"
2024-05-08,"405,000","406,500","401,000","403,500","403,500.00","395,700.00","439,225.00","205,380","82,751,465,000"
2024-05-07,"410,000","411,500","404,000","406,500","404,200.00","395,250.00","439,700.00","243,946","99,242,554,000"
2024-05-03,"402,000","407,500","399,000","403,500","401,800.00","395,000.00","440,116.67","277,160","111,879,831,500"
2024-05-02,"404,000","407,500","399,000","399,000","399,600.00","394,750.00","440,625.00","245,698","98,836,530,500"
2024-04-30,"412,000","412,000","404,000","405,000","399,000.00","395,275.00","441,650.00","328,307","133,538,281,500"
2024-04-29,"393,500","409,000","392,000","407,000","396,300.00","395,925.00","441,925.00","450,439","181,013,968,500"
2024-04-26,"395,000","395,500","389,500","394,500","393,900.00","396,675.00","442,095.83","255,838","100,443,522,000"
2024-04-25,"392,500","398,500","391,000","392,500","392,300.00","398,000.00","442,162.50","298,528","117,530,747,000"
2024-04-24,"399,500","403,500","395,500","396,000","391,800.00","399,775.00","442,320.83","362,468","144,362,187,000"
2024-04-23,"395,000","397,500","389,500","391,500","386,800.00","401,425.00","442,629.17","252,536","99,274,511,500"
2024-04-22,"397,500","398,500","390,500","395,000","384,600.00","403,450.00","442,891.67","333,838","131,653,849,000"
2024-04-19,"386,500","389,500","377,000","386,500","383,700.00","405,125.00","443,112.50","489,889","188,126,376,500"
2024-04-18,"373,000","395,000","373,000","390,000","385,400.00","407,200.00","443,604.17","702,664","272,979,585,000"
2024-04-17,"380,500","384,000","371,000","371,000","387,400.00","409,025.00","444,304.17","532,497","200,043,398,500"
2024-04-16,"386,000","389,000","380,500","380,500","393,900.00","412,050.00","444,987.50","483,959","184,967,504,000"
2024-04-15,"387,000","392,000","386,000","390,500","398,400.00","415,000.00","445,591.67","392,019","152,495,861,200"
2024-04-12,"404,500","405,000","394,500","395,000","399,200.00","417,225.00","446,312.50","322,166","128,029,411,500"
2024-04-11,"395,500","406,000","393,500","400,000","400,500.00","419,575.00","447,187.50","473,313","189,311,115,000"
2024-04-09,"406,500","411,000","401,000","403,500","400,200.00","421,975.00","448,045.83","372,690","151,099,329,500"
2024-04-08,"390,500","404,500","380,500","403,000","401,400.00","424,300.00","448,908.33","940,103","369,532,067,000"
2024-04-05,"396,000","400,000","393,000","394,500","404,400.00","426,000.00","449,816.67","424,303","167,888,552,500"
2024-04-04,"401,000","405,000","393,000","401,500","409,900.00","428,500.00","450,845.83","637,428","253,843,522,000"
2024-04-03,"400,000","404,500","398,500","398,500","413,800.00","430,575.00","451,725.00","719,857","287,963,752,000"
2024-04-02,"414,000","417,000","409,500","409,500","419,700.00","432,625.00","452,512.50","521,651","214,952,147,000"
2024-04-01,"422,000","424,500","416,500","418,000","423,600.00","434,500.00","453,383.33","403,197","168,723,596,000"
2024-03-29,"420,000","426,000","417,500","422,000","426,400.00","436,500.00","454,158.33","368,605","155,275,345,000"
2024-03-28,"429,500","430,000","421,000","421,000","427,700.00","436,975.00","454,900.00","509,919","215,878,423,500"
2024-03-27,"429,000","432,000","425,500","428,000","429,100.00","437,800.00","455,850.00","338,183","144,876,690,000"
2024-03-26,"433,500","435,500","428,000","429,000","428,800.00","437,750.00","456,725.00","384,054","165,567,091,000"
2024-03-25,"430,000","435,000","429,500","432,000","429,300.00","437,925.00","457,641.67","354,232","153,121,713,000"
2024-03-22,"427,500","436,000","427,500","428,500","430,800.00","438,100.00","458,783.33","441,565","190,091,537,000"
2024-03-21,"430,500","435,000","428,000","428,000","432,100.00","438,500.00","460,020.83","505,623","218,269,372,635"
2024-03-20,"431,000","433,000","425,000","426,500","434,900.00","439,000.00","461,404.17","496,417","212,169,478,500"
2024-03-19,"440,500","441,500","423,000","431,500","439,200.00","439,675.00","462,791.67","733,681","315,961,794,500"
2024-03-18,"436,500","439,500","432,000","439,500","442,900.00","440,325.00","464,220.83","423,126","184,744,352,000"
2024-03-15,"439,500","441,500","435,000","435,000","442,400.00","440,450.00","465,425.00","566,617","247,464,584,000"
2024-03-14,"448,000","448,500","442,000","442,000","444,300.00","440,725.00","466,408.33","463,835","205,963,490,000"
2024-03-13,"449,000","452,500","444,000","448,000","444,500.00","440,275.00","467,133.33","393,813","176,509,120,250"
2024-03-12,"441,500","451,500","439,000","450,000","442,800.00","439,775.00","467,950.00","471,093","209,895,987,000"
2024-03-11,"444,500","445,500","436,000","437,000","442,200.00","439,925.00","468,950.00","392,589","172,295,816,000"
2024-03-08,"447,000","456,500","444,000","444,500","446,400.00","440,550.00","470,166.67","489,844","219,695,386,500"
2024-03-07,"443,500","449,000","439,000","443,000","443,800.00","440,175.00","471,195.83","402,186","178,116,142,000"
2024-03-06,"444,000","449,000","438,500","439,500","442,700.00","440,350.00","472,337.50","475,291","210,061,505,500"
2024-03-05,"453,000","471,000","447,000","447,000","440,200.00","440,825.00","473,650.00","923,980","422,827,961,500"
2024-03-04,"434,000","460,000","434,000","458,000","437,300.00","440,325.00","474,841.67","1,057,367","478,421,362,500"
2024-02-29,"435,500","437,000","431,500","431,500","432,800.00","438,725.00","475,691.67","427,024","184,865,090,000"
2024-02-28,"430,000","441,500","430,000","437,500","433,800.00","438,575.00","476,920.83","510,943","223,113,649,000"
2024-02-27,"435,000","438,500","425,500","427,000","433,900.00","437,850.00","478,108.33","426,286","183,377,629,500"
2024-02-26,"435,500","443,000","432,000","432,500","436,500.00","437,125.00","479,408.33","401,741","175,107,630,000"
2024-02-23,"437,000","440,500","434,000","435,500","438,900.00","435,500.00","480,745.83","368,549","160,941,398,500"
2024-02-22,"441,500","442,500","435,500","436,500","440,200.00","433,725.00","481,925.00","321,302","140,661,068,500"
2024-02-21,"436,000","442,500","434,000","438,000","441,000.00","432,050.00","483,112.50","348,308","152,371,364,000"
2024-02-20,"443,000","443,000","433,500","440,000","440,000.00","430,075.00","484,054.17","445,525","195,160,390,500"
2024-02-19,"437,500","450,500","436,000","444,500","439,600.00","428,800.00","485,054.17","517,344","229,358,943,000"
2024-02-16,"450,000","452,000","441,000","442,000","441,300.00","427,675.00","485,941.67","459,341","205,097,982,500"
2024-02-15,"438,500","444,000","435,000","440,500","442,800.00","426,525.00","486,833.33","516,334","227,185,711,000"
2024-02-14,"429,000","437,000","425,000","433,000","442,100.00","426,375.00","487,770.83","605,227","260,372,038,500"
2024-02-13,"450,000","451,500","435,000","438,000","444,800.00","426,825.00","488,712.50","1,113,501","490,423,045,000"
2024-02-08,"459,000","462,000","452,000","453,000","447,000.00","427,350.00","489,870.83","755,443","344,717,998,000"
2024-02-07,"444,000","459,000","444,000","449,500","443,800.00","427,275.00","490,904.17","753,430","341,019,077,000"
2024-02-06,"442,500","443,500","431,500","437,000","439,100.00","427,325.00","492,141.67","529,324","230,802,469,500"
2024-02-05,"450,000","451,500","437,500","446,500","437,400.00","428,500.00","493,475.00","557,374","248,126,899,500"
2024-02-02,"446,500","450,500","437,000","449,000","432,700.00","429,650.00","494,729.17","631,354","281,552,806,500"
2024-02-01,"422,500","440,000","417,000","437,000","425,400.00","431,200.00","495,662.50","685,759","294,493,594,500"
2024-01-31,"426,000","437,000","424,500","426,000","418,000.00","432,825.00","496,970.83","448,818","193,146,916,500"
2024-01-30,"430,000","449,500","428,000","428,500","412,800.00","435,150.00","498,354.17","1,035,095","453,683,314,500"
2024-01-29,"417,500","429,500","407,000","423,000","407,700.00","438,125.00","499,658.33","811,428","341,435,142,250"
2024-01-26,"391,500","418,000","391,500","412,500","402,800.00","441,950.00","501,308.33","682,506","279,226,416,000"
2024-01-25,"395,000","403,500","387,000","400,000","403,200.00","445,950.00","503,220.83","740,145","291,373,500,000"
2024-01-24,"401,500","408,000","398,000","400,000","407,600.00","449,625.00","505,045.83","535,634","215,310,621,000"
2024-01-23,"398,000","409,500","396,000","403,000","411,400.00","453,650.00","506,662.50","713,222","287,527,565,500"
2024-01-22,"412,000","416,000","398,500","398,500","418,300.00","457,825.00","508,554.17","997,443","402,373,838,500"
2024-01-19,"424,000","429,000","408,000","414,500","427,000.00","462,700.00","510,716.67","713,744","296,544,563,500"
2024-01-18,"417,000","432,000","415,000","422,000","433,800.00","466,775.00","512,612.50","667,276","283,338,003,000"
2024-01-17,"434,000","438,500","418,000","419,000","439,700.00","470,150.00","513,687.50","783,683","332,886,855,500"
2024-01-16,"438,000","444,000","434,000","437,500","446,000.00","473,200.00","514,341.67","424,725","186,073,383,500"
2024-01-15,"442,500","446,500","439,500","442,000","450,600.00","474,375.00","514,858.33","415,046","183,519,450,500"
2024-01-12,"448,500","453,500","441,500","448,500","456,100.00","474,925.00","515,241.67","472,056","210,943,022,000"
2024-01-11,"451,500","459,000","451,000","451,500","462,400.00","475,900.00","515,487.50","466,466","211,569,310,500"
2024-01-10,"456,500","458,500","450,000","450,500","466,000.00","476,675.00","515,450.00","507,557","229,516,270,000"
