시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"4,350","4,370","4,200","4,250","4,261.00","3,780.25","3,235.75","729,168","3,125,176,985"
2024-06-18,"4,580","5,030","4,305","4,385","4,269.00","3,743.00","3,226.13","10,589,532","50,471,211,955"
2024-06-17,"4,215","4,600","4,135","4,360","4,125.00","3,696.50","3,215.38","7,526,462","33,078,229,080"
2024-06-14,"4,075","4,630","3,990","4,170","3,960.00","3,652.25","3,204.67","14,701,528","64,057,171,080"
2024-06-13,"4,245","4,290","4,100","4,140","3,819.00","3,609.75","3,195.71","3,544,302","14,814,791,360"
2024-06-12,"3,680","4,730","3,625","4,290","3,675.00","3,570.50","3,187.04","26,147,172","113,206,119,190"
2024-06-11,"3,540","4,170","3,540","3,665","3,508.00","3,521.75","3,177.54","10,625,950","42,145,418,610"
2024-06-10,"3,430","3,770","3,370","3,535","3,489.00","3,506.50","3,172.83","1,534,533","5,562,989,895"
2024-06-07,"3,415","3,565","3,400","3,465","3,527.00","3,497.75","3,168.83","168,426","583,761,340"
2024-06-05,"3,475","3,510","3,400","3,420","3,543.00","3,505.25","3,164.88","120,672","415,853,320"
2024-06-04,"3,585","3,595","3,450","3,455","3,572.00","3,492.00","3,161.63","203,853","713,892,260"
2024-06-03,"3,650","3,680","3,570","3,570","3,619.00","3,476.50","3,158.04","262,655","948,474,575"
2024-05-31,"3,545","3,725","3,505","3,725","3,639.00","3,456.25","3,153.54","292,383","1,061,051,600"
2024-05-30,"3,535","3,620","3,480","3,545","3,636.00","3,426.50","3,147.67","157,979","559,905,585"
2024-05-29,"3,690","3,690","3,540","3,565","3,623.00","3,406.25","3,143.38","245,617","882,278,205"
2024-05-28,"3,675","3,740","3,625","3,690","3,613.00","3,383.75","3,138.46","342,591","1,257,067,270"
2024-05-27,"3,700","3,735","3,635","3,670","3,576.00","3,354.00","3,132.63","642,327","2,372,202,655"
2024-05-24,"3,435","3,800","3,425","3,710","3,533.00","3,323.50","3,127.08","2,202,344","8,079,178,800"
2024-05-23,"3,515","3,555","3,465","3,480","3,486.00","3,290.50","3,121.54","232,601","816,813,390"
2024-05-22,"3,495","3,595","3,485","3,515","3,454.00","3,269.75","3,118.21","401,063","1,418,060,360"
2024-05-21,"3,455","3,525","3,395","3,505","3,422.00","3,247.25","3,115.00","293,206","1,017,918,585"
2024-05-20,"3,480","3,595","3,450","3,455","3,384.00","3,224.50","3,112.08","821,829","2,885,614,160"
