시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"24,800","25,200","24,250","24,850","23,700.00","23,737.50","19,360.58","773,198","19,108,389,450"
2024-06-18,"24,200","25,000","23,700","25,000","23,180.00","23,647.50","19,333.50","2,860,175","70,295,010,900"
2024-06-17,"22,450","23,850","22,400","23,350","22,330.00","23,540.00","19,308.50","1,234,538","28,870,135,000"
2024-06-14,"22,500","23,200","21,700","22,800","22,450.00","23,545.00","19,296.00","1,712,796","38,379,542,100"
2024-06-13,"22,550","22,900","21,750","22,500","22,720.00","23,575.00","19,291.00","1,813,709","40,726,790,750"
2024-06-12,"24,200","24,500","22,150","22,250","22,990.00","23,645.00","19,286.83","7,640,823","178,943,382,050"
2024-06-11,"22,450","22,700","20,200","20,750","23,350.00","23,680.00","19,286.00","5,474,787","115,501,328,500"
2024-06-10,"24,450","25,100","23,750","23,950","24,130.00","23,742.50","19,300.17","1,580,953","38,474,039,100"
2024-06-07,"24,200","24,500","23,750","24,150","24,630.00","23,640.00","19,283.50","855,955","20,707,539,500"
2024-06-05,"24,250","24,400","23,300","23,850","24,800.00","23,517.50","19,261.42","1,081,423","25,734,457,550"
2024-06-04,"24,500","25,050","23,800","24,050","24,930.00","23,410.00","19,244.33","1,273,711","30,789,974,450"
2024-06-03,"26,200","26,350","23,700","24,650","24,710.00","23,242.50","19,222.25","3,004,175","74,486,621,100"
2024-05-31,"25,300","26,850","24,900","26,450","24,460.00","22,892.00","19,199.75","3,214,431","84,247,505,900"
2024-05-30,"24,650","25,850","24,250","25,000","23,830.00","22,442.00","19,159.75","3,025,767","76,011,468,900"
2024-05-29,"23,300","25,600","23,150","24,500","23,510.00","22,035.50","19,131.83","6,915,363","171,226,806,100"
2024-05-28,"23,300","23,600","22,650","22,950","23,330.00","21,645.00","19,104.75","877,432","20,193,558,450"
2024-05-27,"23,900","24,250","22,950","23,400","23,350.00","21,325.00","19,089.75","1,164,549","27,358,483,650"
2024-05-24,"23,100","23,700","22,750","23,300","23,240.00","20,980.00","19,064.75","725,417","16,859,081,500"
2024-05-23,"23,200","24,500","22,850","23,400","23,270.00","20,615.50","19,040.17","1,563,528","37,136,659,500"
2024-05-22,"23,050","24,300","22,750","23,600","23,270.00","20,243.50","19,016.83","1,871,997","44,526,683,500"
2024-05-21,"22,850","23,400","22,400","23,050","23,330.00","19,863.00","18,994.75","1,017,562","23,388,894,000"
2024-05-20,"23,450","23,750","22,550","22,850","23,310.00","19,522.50","18,978.92","1,621,926","37,194,503,700"
2024-05-17,"23,450","23,750","22,850","23,450","23,140.00","19,186.50","18,965.58","1,172,834","27,347,173,750"
2024-05-16,"24,000","24,400","23,250","23,400","22,830.00","18,819.00","18,942.25","1,930,918","45,643,221,050"
2024-05-14,"22,900","24,550","21,850","23,900","22,490.00","18,483.50","18,921.83","4,727,413","112,075,286,550"
2024-05-13,"22,400","23,200","21,600","22,950","22,050.00","18,141.00","18,897.25","3,438,496","77,670,605,650"
2024-05-10,"22,150","22,300","21,550","22,000","21,600.00","17,841.00","18,880.58","2,094,227","45,996,594,650"
2024-05-09,"22,400","22,750","21,650","21,900","20,728.00","17,594.00","18,865.17","3,885,341","86,094,277,300"
2024-05-08,"21,500","21,950","21,050","21,700","19,838.00","17,361.50","18,855.58","2,969,261","64,325,712,100"
2024-05-07,"21,400","21,850","20,750","21,700","18,872.00","17,154.50","18,846.83","5,818,336","124,176,793,050"
2024-05-03,"19,210","21,200","18,900","20,700","17,870.00","16,944.50","18,833.50","14,934,588","302,865,747,230"
2024-05-02,"17,430","17,720","17,270","17,640","17,040.00","16,776.00","18,827.33","254,362","4,457,459,190"
2024-04-30,"16,880","17,740","16,880","17,450","16,812.00","16,782.50","18,847.83","464,869","8,106,787,650"
2024-04-29,"16,770","16,870","16,700","16,870","16,524.00","16,798.50","18,867.00","118,515","1,990,047,470"
2024-04-26,"16,650","16,720","16,520","16,690","16,342.00","16,808.00","18,890.75","120,820","2,007,505,000"
2024-04-25,"16,450","16,800","16,380","16,550","16,202.00","16,819.50","18,906.50","162,438","2,705,012,430"
2024-04-24,"16,120","16,630","16,080","16,500","16,140.00","16,832.00","18,924.42","165,384","2,703,004,780"
2024-04-23,"16,020","16,070","15,960","16,010","16,066.00","16,853.00","18,944.25","109,773","1,757,017,020"
2024-04-22,"16,010","16,120","15,940","15,960","16,084.00","16,903.00","18,965.25","102,634","1,640,457,570"
2024-04-19,"16,230","16,230","15,830","15,990","16,230.00","16,975.00","18,986.08","216,513","3,462,255,400"
2024-04-18,"16,140","16,250","16,040","16,240","16,442.00","17,054.50","19,016.17","139,263","2,249,854,150"
2024-04-17,"16,100","16,390","16,030","16,130","16,584.00","17,123.50","19,044.17","161,995","2,618,580,770"
2024-04-16,"16,600","16,600","16,010","16,100","16,770.00","17,181.50","19,065.67","359,615","5,823,329,630"
2024-04-15,"16,940","16,990","16,620","16,690","17,000.00","17,236.00","19,089.42","165,929","2,774,604,480"
2024-04-12,"17,150","17,540","17,050","17,050","17,174.00","17,255.50","19,109.92","200,921","3,477,127,300"
2024-04-11,"16,900","17,130","16,800","16,950","17,264.00","17,254.00","19,136.58","122,140","2,070,407,030"
2024-04-09,"17,160","17,250","16,980","17,060","17,340.00","17,269.00","19,164.50","156,551","2,672,740,380"
2024-04-08,"17,600","17,610","17,090","17,250","17,482.00","17,279.50","19,188.25","188,698","3,247,304,550"
2024-04-05,"17,320","17,570","17,270","17,560","17,586.00","17,279.00","19,214.50","143,460","2,500,643,230"
2024-04-04,"17,390","17,710","17,300","17,500","17,486.00","17,255.50","19,237.75","232,748","4,063,034,900"
2024-04-03,"17,560","17,600","17,320","17,330","17,370.00","17,218.50","19,261.50","244,647","4,264,735,040"
2024-04-02,"17,620","17,790","17,370","17,770","17,264.00","17,187.50","19,281.00","351,589","6,188,857,310"
2024-04-01,"17,120","17,810","17,100","17,770","17,094.00","17,146.00","19,297.58","651,560","11,434,216,260"
2024-03-29,"16,900","17,070","16,500","17,060","16,942.00","17,112.50","19,316.58","414,184","6,940,711,270"
2024-03-28,"16,830","16,930","16,750","16,920","17,010.00","17,113.00","19,342.33","634,815","10,397,500,560"
2024-03-27,"16,910","16,930","16,740","16,800","17,142.00","17,122.50","19,375.08","341,451","5,743,232,030"
2024-03-26,"17,040","17,150","16,910","16,920","17,306.00","17,137.50","19,405.50","197,797","3,361,990,010"
2024-03-25,"17,400","17,430","16,950","17,010","17,380.00","17,172.00","19,442.00","283,177","4,847,099,030"
2024-03-22,"17,470","17,500","17,330","17,400","17,416.00","17,198.00","19,477.33","208,824","3,631,307,010"
2024-03-21,"17,650","17,730","17,430","17,580","17,352.00","17,209.00","19,508.58","252,495","4,436,280,420"
2024-03-20,"17,310","17,780","17,220","17,620","17,240.00","17,201.00","19,546.25","387,782","6,805,540,790"
2024-03-19,"17,190","17,420","17,080","17,290","17,166.00","17,202.00","19,585.67","198,546","3,431,905,410"
