시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"14,300","14,430","13,390","13,700","16,092.00","14,718.00","12,096.08","1,394,494","19,247,021,910"
2024-06-18,"17,080","17,470","14,060","14,880","16,740.00","14,663.00","12,048.58","5,564,580","83,298,943,940"
2024-06-17,"17,020","17,470","16,850","16,900","17,122.00","14,551.50","11,990.58","719,438","12,330,403,540"
2024-06-14,"17,390","17,440","16,770","17,420","17,064.00","14,312.50","11,915.58","1,124,155","19,220,713,880"
2024-06-13,"16,750","17,890","16,550","17,560","16,832.00","14,040.00","11,836.75","3,346,519","58,144,873,030"
2024-06-12,"16,620","17,290","16,300","16,940","16,500.00","13,744.00","11,758.58","1,733,293","29,141,099,930"
2024-06-11,"16,570","17,000","16,060","16,790","16,334.00","13,462.00","11,690.17","1,951,812","32,373,459,570"
2024-06-10,"16,980","17,420","16,350","16,610","16,278.00","13,234.50","11,622.42","5,297,722","89,828,880,190"
2024-06-07,"16,900","17,990","15,860","16,260","15,616.00","12,994.00","11,558.00","7,267,865","123,680,927,730"
2024-06-05,"16,560","16,850","15,380","15,900","14,886.00","12,793.50","11,499.00","3,299,199","53,791,523,710"
2024-06-04,"16,320","16,820","15,860","16,110","14,182.00","12,660.50","11,438.17","4,487,245","73,791,813,570"
2024-06-03,"15,500","17,290","14,620","16,510","13,398.00","12,520.00","11,372.83","18,242,096","295,947,382,830"
2024-05-31,"12,480","13,300","12,350","13,300","12,484.00","12,369.00","11,305.17","910,095","11,999,621,910"
2024-05-30,"13,300","14,220","12,550","12,610","12,202.00","12,368.50","11,264.33","2,540,412","33,657,235,700"
2024-05-29,"12,210","12,570","12,060","12,380","12,104.00","12,409.50","11,229.00","270,396","3,427,942,630"
2024-05-28,"11,890","12,290","11,890","12,190","12,098.00","12,478.00","11,196.42","128,144","1,557,432,380"
2024-05-27,"11,890","11,950","11,570","11,940","12,180.00","12,579.50","11,168.08","158,901","1,865,239,600"
2024-05-24,"11,950","12,230","11,820","11,890","12,322.00","12,676.00","11,136.92","127,682","1,531,110,950"
2024-05-23,"12,390","12,470","11,740","12,120","12,368.00","12,781.00","11,108.92","184,768","2,230,826,640"
2024-05-22,"12,600","12,750","12,350","12,350","12,338.00","12,874.00","11,079.00","140,990","1,765,314,800"
2024-05-21,"12,610","12,870","12,320","12,600","12,196.00","12,926.00","11,045.17","291,551","3,674,439,270"
2024-05-20,"12,120","13,600","11,890","12,650","11,936.00","12,979.50","11,008.58","1,740,125","22,412,233,190"
2024-05-17,"11,970","12,240","11,730","12,120","11,854.00","13,022.00","10,971.92","142,867","1,717,526,990"
2024-05-16,"11,770","12,140","11,600","11,970","11,790.00","13,064.50","10,936.83","216,197","2,589,623,060"
