시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"6,430","6,580","6,350","6,480","6,250.00","6,205.50","5,983.25","1,386,989","8,985,203,790"
2024-06-18,"6,270","6,730","6,270","6,370","6,180.00","6,157.00","5,982.83","7,216,881","46,907,993,630"
2024-06-17,"6,210","6,360","6,100","6,100","6,124.00","6,109.50","5,982.00","1,467,124","9,124,207,950"
2024-06-14,"6,190","6,590","6,130","6,210","6,134.00","6,063.00","5,983.67","6,135,282","39,010,206,430"
2024-06-13,"6,140","6,180","6,050","6,090","6,112.00","6,015.00","5,983.33","1,078,364","6,581,433,080"
2024-06-12,"6,090","6,290","6,090","6,130","6,108.00","5,976.00","5,985.42","1,739,401","10,781,894,380"
2024-06-11,"6,270","6,270","5,960","6,090","6,114.00","5,920.50","5,991.08","1,313,100","7,996,517,510"
2024-06-10,"6,100","6,300","6,050","6,150","6,188.00","5,873.00","5,997.00","1,509,029","9,337,323,700"
2024-06-07,"6,110","6,280","6,070","6,100","6,266.00","5,863.00","5,998.75","1,958,075","12,054,106,550"
2024-06-05,"6,160","6,260","6,030","6,070","6,376.00","5,878.00","5,999.17","2,123,377","13,027,854,600"
2024-06-04,"6,360","6,470","6,000","6,160","6,484.00","5,894.50","6,002.00","3,681,560","22,614,256,250"
2024-06-03,"6,680","6,880","6,330","6,460","6,642.00","5,908.00","5,999.17","4,902,142","32,495,679,310"
2024-05-31,"6,630","6,920","6,540","6,540","6,704.00","5,910.00","5,994.92","8,417,207","56,759,397,400"
2024-05-30,"7,230","7,800","6,600","6,650","6,462.00","5,894.50","5,989.75","44,912,172","329,134,092,050"
2024-05-29,"6,950","7,320","6,610","6,610","6,216.00","5,824.00","5,985.42","12,159,639","85,045,585,320"
2024-05-28,"7,050","7,150","6,670","6,950","5,980.00","5,736.75","5,982.42","20,975,788","145,407,802,110"
2024-05-27,"5,450","6,920","5,400","6,770","5,692.00","5,633.25","5,973.58","33,870,532","220,085,785,630"
2024-05-24,"5,490","5,730","5,300","5,330","5,422.00","5,549.75","5,960.08","1,889,339","10,506,610,150"
2024-05-23,"5,370","5,510","5,200","5,420","5,390.00","5,516.50","5,961.17","733,538","3,986,174,270"
2024-05-22,"5,580","5,620","5,370","5,430","5,356.00","5,486.50","5,962.08","647,581","3,545,278,510"
2024-05-21,"5,400","5,510","5,270","5,510","5,332.00","5,456.50","5,964.08","652,519","3,536,657,690"
2024-05-20,"5,430","5,620","5,340","5,420","5,234.00","5,435.00","5,967.25","2,814,192","15,478,404,370"
