시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"18,010","18,270","17,870","18,260","17,762.00","17,932.00","17,683.17","1,010,534","18,282,399,080"
2024-06-18,"17,680","18,440","17,650","17,930","17,530.00","17,869.50","17,684.58","2,961,650","53,516,439,660"
2024-06-17,"18,410","18,410","17,410","17,540","17,444.00","17,850.50","17,681.33","2,627,826","46,673,003,520"
2024-06-14,"17,100","18,100","17,100","18,050","17,618.00","17,782.50","17,663.25","4,096,729","72,859,068,910"
2024-06-13,"17,120","17,430","17,030","17,030","17,908.00","17,706.00","17,648.92","2,710,262","46,600,741,330"
2024-06-12,"17,490","17,630","17,020","17,100","18,320.00","17,755.00","17,637.67","2,488,083","42,888,106,200"
2024-06-11,"18,490","18,790","17,390","17,500","18,700.00","17,828.00","17,628.00","4,220,525","75,710,515,960"
2024-06-10,"19,330","19,500","18,160","18,410","19,026.00","17,870.00","17,613.00","3,807,339","70,827,968,270"
2024-06-07,"19,150","19,720","19,010","19,500","18,944.00","17,814.50","17,590.83","3,978,760","77,073,107,410"
2024-06-05,"19,230","19,500","18,950","19,090","18,680.00","17,653.00","17,558.75","2,942,135","56,456,449,230"
2024-06-04,"18,940","19,310","18,510","19,000","18,498.00","17,488.50","17,534.17","2,966,892","56,030,969,670"
2024-06-03,"18,980","19,440","18,690","19,130","18,300.00","17,304.00","17,509.83","8,479,182","162,452,212,310"
2024-05-31,"18,420","18,540","17,870","18,000","17,984.00","17,127.50","17,490.25","3,622,592","65,654,971,660"
2024-05-30,"18,000","18,280","17,940","18,180","17,740.00","17,020.00","17,472.50","1,611,780","29,213,416,890"
2024-05-29,"17,990","18,260","17,550","18,180","17,424.00","16,912.00","17,450.08","2,344,311","42,029,606,790"
2024-05-28,"17,890","18,150","17,740","18,010","17,148.00","16,757.00","17,427.33","2,847,063","51,194,677,130"
2024-05-27,"17,560","18,130","17,400","17,550","16,948.00","16,599.00","17,406.17","4,627,511","81,913,457,710"
2024-05-24,"16,440","16,960","16,120","16,780","16,948.00","16,469.00","17,387.83","2,383,668","39,349,773,510"
2024-05-23,"16,640","16,950","16,580","16,600","16,828.00","16,375.50","17,378.58","1,549,150","25,859,973,840"
2024-05-22,"17,320","17,450","16,740","16,800","16,812.00","16,351.50","17,376.33","2,689,977","45,599,999,680"
2024-05-21,"17,120","17,390","16,720","17,010","17,054.00","16,286.50","17,371.25","2,453,722","41,883,665,410"
2024-05-20,"16,630","18,280","16,600","17,550","17,364.00","16,169.00","17,363.58","11,217,606","197,480,631,770"
2024-05-17,"16,460","16,640","16,110","16,180","17,522.00","16,026.50","17,349.92","3,064,009","49,863,827,980"
2024-05-16,"18,030","18,290","16,510","16,520","17,746.00","15,945.00","17,344.25","7,336,929","123,677,030,850"
2024-05-14,"18,560","18,910","17,120","18,010","17,696.00","15,893.00","17,336.67","5,163,491","94,293,095,570"
2024-05-13,"18,700","18,910","17,870","18,560","17,254.00","15,761.50","17,318.83","4,790,346","88,092,831,460"
2024-05-10,"17,600","18,730","17,590","18,340","16,604.00","15,613.50","17,294.42","8,446,319","154,452,377,950"
2024-05-09,"16,400","17,630","16,310","17,300","16,056.00","15,486.50","17,278.00","7,256,919","124,124,149,260"
2024-05-08,"15,910","16,570","15,850","16,270","15,766.00","15,374.00","17,271.75","3,188,841","51,934,112,660"
2024-05-07,"15,480","15,830","15,480","15,800","15,716.00","15,329.50","17,272.75","1,621,133","25,479,205,550"
2024-05-03,"15,620","15,750","15,230","15,310","15,572.00","15,323.00","17,277.75","1,681,130","25,832,291,890"
2024-05-02,"15,600","15,950","15,520","15,600","15,480.00","15,355.00","17,281.75","854,863","13,376,142,810"
2024-04-30,"15,850","16,090","15,660","15,850","15,350.00","15,360.00","17,291.33","1,321,253","21,000,954,630"
2024-04-29,"15,290","16,100","15,150","16,020","15,162.00","15,361.00","17,284.50","3,793,248","59,730,091,160"
2024-04-26,"14,870","15,160","14,770","15,080","15,182.00","15,346.00","17,274.75","1,226,288","18,342,510,360"
2024-04-25,"14,810","15,080","14,670","14,850","15,266.00","15,379.50","17,272.92","1,467,795","21,799,277,270"
