시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"14,220","14,480","13,730","14,100","13,592.00","11,540.00","11,645.75","1,259,446","17,790,318,190"
2024-06-18,"14,680","14,980","14,040","14,100","13,110.00","11,351.00","11,626.25","3,637,221","52,758,031,590"
2024-06-17,"13,500","14,930","13,220","14,500","12,488.00","11,167.00","11,608.92","14,379,890","206,412,056,460"
2024-06-14,"12,900","13,110","12,500","12,690","11,748.00","10,957.00","11,587.25","2,120,980","27,244,301,590"
2024-06-13,"11,790","12,760","11,790","12,570","11,382.00","10,847.00","11,573.08","2,830,213","35,127,108,700"
2024-06-12,"11,240","12,370","11,060","11,690","11,074.00","10,746.50","11,558.17","2,454,374","29,047,667,530"
2024-06-11,"10,850","11,010","10,800","10,990","10,868.00","10,695.50","11,551.33","212,611","2,318,043,310"
2024-06-10,"10,690","10,950","10,690","10,800","10,842.00","10,677.00","11,552.50","141,376","1,526,647,990"
2024-06-07,"11,060","11,100","10,770","10,860","10,766.00","10,673.00","11,555.58","117,331","1,273,876,740"
2024-06-05,"10,790","11,060","10,660","11,030","10,686.00","10,678.50","11,556.42","268,899","2,931,131,530"
2024-06-04,"10,820","10,890","10,640","10,660","10,600.00","10,671.50","11,558.08","124,546","1,333,753,840"
2024-06-03,"10,430","10,920","10,430","10,860","10,644.00","10,686.50","11,562.25","260,267","2,808,401,640"
2024-05-31,"10,460","10,650","10,400","10,420","10,608.00","10,694.00","11,566.75","115,135","1,209,982,130"
2024-05-30,"10,550","10,640","10,450","10,460","10,668.00","10,719.50","11,575.83","108,977","1,143,771,410"
2024-05-29,"10,880","10,940","10,600","10,600","10,784.00","10,749.00","11,586.58","157,199","1,678,561,160"
2024-05-28,"10,770","11,380","10,770","10,880","10,894.00","10,754.00","11,597.17","460,378","5,121,188,480"
2024-05-27,"10,740","11,010","10,500","10,680","10,782.00","10,747.50","11,608.33","301,801","3,250,080,870"
2024-05-24,"10,900","11,150","10,600","10,720","10,730.00","10,755.50","11,625.00","262,149","2,850,888,820"
2024-05-23,"11,380","11,390","11,000","11,040","10,646.00","10,759.00","11,641.25","501,614","5,591,343,440"
2024-05-22,"10,440","11,340","10,360","11,150","10,536.00","10,733.00","11,649.00","818,536","8,962,447,450"
2024-05-21,"10,390","10,400","10,290","10,320","10,418.00","10,685.50","11,656.33","79,516","820,284,860"
2024-05-20,"10,300","10,560","10,200","10,420","10,488.00","10,690.50","11,669.00","145,396","1,506,657,460"
2024-05-17,"10,520","10,570","10,260","10,300","10,528.00","10,688.00","11,678.08","150,371","1,555,708,620"
2024-05-16,"10,640","10,650","10,490","10,490","10,612.00","10,694.50","11,689.00","125,355","1,321,664,510"
2024-05-14,"10,670","10,750","10,530","10,560","10,708.00","10,708.00","11,701.17","126,906","1,345,406,120"
2024-05-13,"10,640","10,770","10,590","10,670","10,774.00","10,716.00","11,708.75","135,653","1,446,038,780"
2024-05-10,"10,770","10,810","10,590","10,620","10,832.00","10,725.00","11,711.25","116,972","1,244,801,510"
2024-05-09,"10,950","10,990","10,700","10,720","10,910.00","10,725.50","11,708.33","147,461","1,592,474,840"
2024-05-08,"10,830","11,040","10,800","10,970","10,952.00","10,712.00","11,704.25","119,161","1,302,802,580"
2024-05-07,"11,030","11,100","10,850","10,890","10,968.00","10,681.00","11,701.25","97,817","1,067,288,440"
2024-05-03,"11,080","11,170","10,800","10,960","10,930.00","10,669.50","11,697.67","133,100","1,458,005,310"
2024-05-02,"10,910","11,160","10,870","11,010","10,888.00","10,660.00","11,695.67","140,165","1,542,278,170"
2024-04-30,"11,070","11,300","10,920","10,930","10,854.00","10,659.50","11,696.58","220,171","2,437,214,610"
2024-04-29,"10,720","11,050","10,710","11,050","10,826.00","10,654.00","11,695.83","308,975","3,390,199,870"
2024-04-26,"10,770","10,870","10,600","10,700","10,720.00","10,637.00","11,690.67","119,218","1,273,974,760"
2024-04-25,"10,740","10,900","10,670","10,750","10,620.00","10,640.00","11,685.75","186,617","2,014,076,180"
2024-04-24,"10,900","10,910","10,670","10,840","10,554.00","10,648.00","11,680.08","166,528","1,796,262,190"
2024-04-23,"10,660","10,970","10,650","10,790","10,460.00","10,663.00","11,676.67","342,807","3,719,109,030"
2024-04-22,"10,200","10,700","10,160","10,520","10,388.00","10,684.00","11,674.08","199,301","2,097,250,560"
