시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"101,000","102,700","95,400","96,000","99,540.00","95,550.00","96,640.83","539,897","52,629,597,100"
2024-06-18,"105,900","106,700","99,600","100,900","100,380.00","95,385.00","96,763.33","568,723","58,029,204,400"
2024-06-17,"101,300","105,600","100,300","104,400","99,640.00","95,080.00","96,824.17","862,812","89,296,982,200"
2024-06-14,"98,400","100,900","95,600","98,900","98,340.00","94,455.00","96,868.33","562,572","55,617,299,900"
2024-06-13,"101,100","101,200","97,400","97,500","97,040.00","94,130.00","96,967.50","412,987","40,838,742,600"
2024-06-12,"98,100","100,400","96,000","100,200","96,060.00","93,820.00","97,080.83","482,885","47,806,625,500"
2024-06-11,"99,000","102,000","96,500","97,200","94,940.00","93,400.00","97,181.67","865,201","85,910,891,000"
2024-06-10,"92,100","100,300","91,700","97,900","94,380.00","93,130.00","97,300.00","1,591,152","155,392,895,400"
2024-06-07,"93,000","94,300","92,400","92,400","93,140.00","92,820.00","97,411.67","177,253","16,496,462,100"
2024-06-05,"94,200","95,500","92,600","92,600","93,080.00","92,835.00","97,574.17","169,386","15,822,081,300"
2024-06-04,"94,400","95,100","93,500","94,600","93,020.00","92,875.00","97,771.67","141,164","13,316,545,300"
2024-06-03,"92,400","94,500","92,000","94,400","92,840.00","92,795.00","97,960.00","193,139","18,089,498,000"
2024-05-31,"92,500","92,900","91,700","91,700","92,680.00","92,720.00","98,133.33","215,496","19,831,113,800"
2024-05-30,"92,100","92,800","91,500","92,100","92,960.00","92,780.00","98,329.17","115,463","10,634,016,900"
2024-05-29,"93,000","93,500","92,200","92,300","93,240.00","92,850.00","98,542.50","200,295","18,526,751,100"
2024-05-28,"93,700","94,400","92,700","93,700","93,580.00","92,840.00","98,745.00","168,080","15,699,010,500"
2024-05-27,"93,200","95,000","93,100","93,600","93,380.00","92,775.00","98,948.33","197,158","18,486,448,000"
2024-05-24,"92,900","93,900","92,000","93,100","93,620.00","92,750.00","99,160.83","148,909","13,846,906,300"
2024-05-23,"93,700","95,900","93,300","93,500","93,380.00","92,700.00","99,373.33","243,920","23,068,950,300"
2024-05-22,"93,300","94,900","92,900","94,000","93,160.00","92,650.00","99,583.33","235,320","22,113,181,600"
2024-05-21,"94,800","94,800","92,500","92,700","92,620.00","92,465.00","99,779.17","256,485","23,881,897,500"
2024-05-20,"92,600","95,500","92,500","94,800","92,440.00","92,390.00","100,004.17","461,613","43,626,785,600"
2024-05-17,"92,700","92,700","91,600","91,900","91,840.00","92,205.00","100,216.67","190,608","17,571,907,800"
2024-05-16,"91,700","92,600","91,300","92,400","91,800.00","92,395.00","100,455.83","228,040","20,938,918,800"
2024-05-14,"92,000","92,200","90,400","91,300","91,860.00","92,590.00","100,691.67","308,132","28,134,292,400"
2024-05-13,"91,900","93,000","91,600","91,800","92,280.00","92,805.00","100,974.17","207,684","19,145,798,500"
2024-05-10,"92,400","92,500","91,000","91,800","92,520.00","93,040.00","101,231.67","342,391","31,385,955,900"
