시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"6,090","6,130","5,630","5,700","5,846.00","5,017.75","3,216.96","3,573,167","20,880,341,870"
2024-06-18,"6,030","6,330","5,840","6,080","5,724.00","4,942.00","3,194.21","9,264,951","56,358,870,870"
2024-06-17,"6,290","6,490","5,740","6,040","5,478.00","4,839.75","3,168.25","22,421,670","137,179,192,910"
2024-06-14,"5,140","6,460","4,920","6,320","5,232.00","4,737.00","3,142.29","71,598,496","425,627,690,990"
2024-06-13,"5,090","5,230","4,980","5,090","4,950.00","4,600.50","3,113.75","6,012,243","30,572,591,335"
2024-06-12,"4,815","5,140","4,725","5,090","4,752.00","4,497.25","3,095.63","11,639,424","57,830,094,545"
2024-06-11,"4,800","5,170","4,765","4,850","4,593.00","4,386.00","3,077.75","8,372,596","41,265,294,405"
2024-06-10,"4,910","5,570","4,620","4,810","4,537.00","4,283.75","3,061.92","27,350,752","139,223,183,685"
2024-06-07,"4,140","5,170","4,065","4,910","4,510.00","4,185.00","3,046.38","36,860,108","175,305,227,700"
2024-06-05,"4,340","4,340","4,090","4,100","4,489.00","4,082.00","3,030.04","2,434,340","10,122,682,065"
2024-06-04,"4,610","4,635","4,240","4,295","4,662.00","4,016.00","3,020.00","2,630,011","11,423,645,430"
2024-06-03,"4,675","4,930","4,510","4,570","4,867.00","3,940.00","3,008.29","4,736,869","22,284,948,195"
2024-05-31,"4,820","4,905","4,625","4,675","5,017.00","3,851.25","2,994.54","3,198,871","15,111,728,870"
2024-05-30,"4,920","4,990","4,670","4,805","5,092.00","3,755.75","2,979.50","3,843,099","18,532,934,750"
2024-05-29,"5,300","5,300","4,950","4,965","4,962.00","3,654.00","2,963.25","3,484,103","17,804,736,320"
2024-05-28,"5,300","5,460","5,250","5,320","4,811.00","3,543.50","2,945.29","5,098,367","27,206,292,160"
2024-05-27,"5,080","5,530","4,960","5,320","4,584.00","3,415.00","2,924.67","21,637,556","114,712,207,570"
2024-05-24,"4,110","5,370","4,075","5,050","4,327.00","3,286.75","2,903.58","45,475,136","227,112,291,330"
2024-05-23,"4,200","4,200","4,065","4,155","4,114.00","3,170.75","2,885.08","1,103,257","4,534,611,195"
2024-05-22,"4,235","4,235","4,140","4,210","4,001.00","3,100.50","2,874.04","1,135,891","4,750,946,165"
2024-05-21,"4,065","4,190","4,020","4,185","3,764.00","3,024.75","2,862.96","1,549,487","6,344,390,220"
2024-05-20,"4,070","4,475","4,000","4,035","3,500.00","2,951.00","2,852.75","10,274,438","43,773,367,170"
2024-05-17,"4,000","4,600","3,750","3,985","3,254.00","2,884.25","2,842.38","27,793,056","119,358,241,970"
2024-05-16,"3,045","3,635","3,025","3,590","3,024.00","2,820.25","2,831.71","12,372,796","42,644,882,205"
2024-05-14,"2,870","3,080","2,840","3,025","2,876.00","2,779.00","2,824.71","1,983,612","5,942,652,795"
2024-05-13,"2,805","2,930","2,800","2,865","2,827.00","2,765.25","2,822.46","546,251","1,580,018,360"
2024-05-10,"2,850","2,855","2,795","2,805","2,809.00","2,754.75","2,821.25","90,039","253,565,380"
2024-05-09,"2,850","2,860","2,810","2,835","2,807.00","2,745.50","2,819.88","80,372","227,660,375"
2024-05-08,"2,800","2,880","2,800","2,850","2,793.00","2,735.25","2,818.63","228,730","648,737,835"
