시간,시가,고가,저가,종가,거래량,거래대금
"06/18,14:20","5,010","5,010","5,010","5,010",20,"100,200"
"06/18,14:19","4,990","5,010","4,990","5,000",664,"3,315,060"
"06/18,14:18","4,990","4,990","4,985","4,990","1,795","8,956,355"
"06/18,14:17","5,010","5,010","4,985","4,990","2,012","10,051,400"
"06/18,14:16","5,020","5,020","5,000","5,010","1,858","9,318,820"
"06/18,14:15","5,010","5,020","4,995","5,020","4,589","22,982,580"
"06/18,14:14","5,020","5,020","4,995","4,995","6,872","34,399,955"
"06/18,14:13","5,020","5,040","5,010","5,020","15,652","78,626,420"
"06/18,14:12","4,950","5,050","4,950","5,020","69,513","348,483,855"
"06/18,14:11","4,945","4,945","4,945","4,945","1,580","7,813,100"
"06/18,14:10","4,945","4,950","4,945","4,950","5,309","26,258,150"
"06/18,14:09","4,970","4,970","4,945","4,950","4,883","24,189,730"
"06/18,14:08","4,980","4,980","4,960","4,960","6,247","31,066,690"
"06/18,14:07","4,970","4,980","4,965","4,980","2,025","10,068,540"
"06/18,14:06","4,965","4,970","4,950","4,970","1,551","7,686,810"
"06/18,14:05","4,965","4,965","4,950","4,965","2,703","13,396,385"
"06/18,14:04","4,955","4,955","4,950","4,955","3,662","18,134,935"
"06/18,14:03","4,965","4,965","4,950","4,950","2,889","14,329,955"
"06/18,14:02","4,970","4,970","4,965","4,965","1,727","8,582,000"
"06/18,14:01","4,950","4,970","4,950","4,965","6,937","34,393,505"
"06/18,14:00","4,940","4,950","4,940","4,950","2,121","10,487,185"
"06/18,13:59","4,955","4,955","4,940","4,940","2,154","10,648,130"
"06/18,13:58","4,955","4,955","4,945","4,955",474,"2,345,840"
"06/18,13:57","4,935","4,955","4,935","4,955","1,116","5,513,700"
"06/18,13:56","4,940","4,960","4,925","4,935","8,508","41,965,960"
"06/18,13:55","4,935","4,955","4,925","4,925","8,474","41,834,520"
"06/18,13:54","4,950","4,950","4,935","4,935","2,373","11,724,100"
"06/18,13:53","4,970","4,970","4,945","4,950",766,"3,799,690"
"06/18,13:52","4,930","4,970","4,930","4,970","3,468","17,116,870"
"06/18,13:51","4,975","4,975","4,935","4,935","1,549","7,659,430"
"06/18,13:50","4,950","4,980","4,930","4,975","8,974","44,404,505"
"06/18,13:49","4,935","4,950","4,935","4,950","3,365","16,625,610"
"06/18,13:48","4,975","4,975","4,925","4,930","16,374","80,933,960"
"06/18,13:47","4,980","4,985","4,975","4,975","1,382","6,882,185"
"06/18,13:46","4,980","4,990","4,980","4,985","4,850","24,181,145"
"06/18,13:45","4,955","4,980","4,950","4,980","2,222","11,009,220"
"06/18,13:44","4,970","4,970","4,955","4,955","2,840","14,087,615"
"06/18,13:43","4,980","4,980","4,950","4,970","16,291","80,755,140"
"06/18,13:42","4,995","5,010","4,965","4,980","9,685","48,258,225"
"06/18,13:41","5,000","5,000","4,990","4,990","3,359","16,776,560"
"06/18,13:40","5,010","5,010","4,995","4,995","3,244","16,211,195"
"06/18,13:39","5,000","5,010","5,000","5,010","2,571","12,866,330"
"06/18,13:38","5,010","5,020","5,000","5,010","2,116","10,602,270"
"06/18,13:37","5,010","5,010","5,000","5,010","3,349","16,765,030"
"06/18,13:36","5,010","5,020","5,000","5,010","7,972","39,937,480"
"06/18,13:35","4,990","5,020","4,990","5,020","34,591","173,397,220"
"06/18,13:34","4,985","4,995","4,985","4,990","4,191","20,910,795"
"06/18,13:33","4,985","4,990","4,985","4,985",625,"3,116,125"
"06/18,13:32","4,980","4,995","4,975","4,985","2,061","10,262,390"
"06/18,13:31","4,985","4,995","4,975","4,975","6,022","30,005,085"
"06/18,13:30","4,970","4,985","4,970","4,985",753,"3,750,900"
"06/18,13:29","4,975","4,985","4,975","4,985","1,591","7,917,390"
"06/18,13:28","4,985","4,985","4,975","4,980","5,085","25,326,950"
"06/18,13:27","4,985","4,990","4,980","4,985",664,"3,310,040"
"06/18,13:26","4,975","4,990","4,975","4,985","2,875","14,325,245"
"06/18,13:25","4,980","4,985","4,975","4,975","3,448","17,163,245"
"06/18,13:24","4,990","4,990","4,980","4,980","6,297","31,374,140"
"06/18,13:23","4,975","4,995","4,975","4,995","5,481","27,309,040"
"06/18,13:22","4,985","4,995","4,965","4,975","6,946","34,564,250"
"06/18,13:21","5,020","5,020","4,990","4,995","18,022","90,156,990"
"06/18,13:20","4,970","5,020","4,965","5,020","34,621","172,989,685"
"06/18,13:19","4,920","4,970","4,920","4,965","20,108","99,420,530"
"06/18,13:18","4,930","4,930","4,915","4,920","12,654","62,260,885"
"06/18,13:17","4,940","4,945","4,930","4,930","11,065","54,611,095"
"06/18,13:16","4,940","4,945","4,935","4,940","7,586","37,482,135"
"06/18,13:15","4,915","4,940","4,905","4,940","38,959","191,567,760"
"06/18,13:14","4,960","4,965","4,910","4,915","52,620","259,813,395"
