시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"258,500","265,000","256,000","264,500","269,100.00","266,850.00","291,858.33","179,797","46,945,412,500"
2024-06-18,"266,500","269,500","258,000","258,500","272,300.00","266,775.00","292,658.33","263,228","69,027,957,500"
2024-06-17,"268,000","271,500","263,000","263,500","277,800.00","267,400.00","293,550.00","325,863","86,723,640,000"
2024-06-14,"285,500","285,500","272,500","273,000","280,100.00","268,050.00","294,358.33","410,260","113,479,523,000"
2024-06-13,"286,000","288,000","279,000","286,000","281,900.00","268,425.00","295,000.00","385,378","109,390,113,500"
2024-06-12,"287,000","289,500","278,500","280,500","279,800.00","267,850.00","295,329.17","321,117","90,845,754,000"
2024-06-11,"275,000","294,000","275,000","286,000","276,100.00","267,625.00","295,833.33","702,289","201,788,706,500"
2024-06-10,"279,500","281,000","271,500","275,000","269,900.00","267,350.00","296,283.33","337,058","93,137,406,500"
2024-06-07,"279,000","283,500","273,000","282,000","265,000.00","267,725.00","296,850.00","469,137","131,095,737,500"
2024-06-05,"264,500","282,000","261,500","275,500","258,600.00","267,750.00","297,287.50","624,645","172,003,341,000"
2024-06-04,"252,500","266,500","252,000","262,000","254,500.00","267,975.00","297,645.83","311,557","81,372,655,000"
2024-06-03,"254,000","265,500","250,500","255,000","255,500.00","268,900.00","298,154.17","335,620","86,379,511,000"
2024-05-31,"251,000","261,500","249,500","250,500","259,500.00","270,150.00","298,929.17","480,824","121,358,830,500"
2024-05-30,"252,500","260,500","250,000","250,000","260,300.00","271,800.00","299,458.33","327,148","82,914,731,500"
2024-05-29,"263,000","266,000","254,000","255,000","262,600.00","273,600.00","300,079.17","364,095","93,753,112,500"
2024-05-28,"273,500","274,500","265,500","267,000","264,000.00","274,900.00","300,683.33","237,625","63,878,480,500"
2024-05-27,"256,000","276,000","250,500","275,000","263,200.00","275,575.00","300,995.83","504,623","133,616,682,500"
2024-05-24,"258,000","260,000","252,500","254,500","262,400.00","276,675.00","301,204.17","255,098","65,153,326,000"
2024-05-23,"258,500","266,000","255,500","261,500","266,800.00","277,700.00","301,612.50","204,587","53,464,745,000"
2024-05-22,"266,000","269,500","261,000","262,000","270,600.00","278,475.00","301,983.33","183,023","48,324,724,500"
2024-05-21,"268,500","269,000","262,000","263,000","273,100.00","278,050.00","302,329.17","258,794","68,337,584,500"
2024-05-20,"277,000","277,000","270,500","271,000","275,700.00","277,825.00","302,666.67","219,723","59,818,590,000"
2024-05-17,"280,000","283,000","276,500","276,500","277,600.00","276,725.00","302,912.50","153,552","42,773,553,500"
2024-05-16,"278,500","283,000","276,500","280,500","278,800.00","275,750.00","302,991.67","252,686","70,705,192,000"
2024-05-14,"277,000","281,000","274,500","274,500","279,200.00","274,925.00","303,100.00","160,805","44,602,870,000"
2024-05-13,"280,500","282,500","275,500","276,000","280,300.00","274,600.00","303,291.67","164,151","45,533,997,500"
2024-05-10,"282,500","287,000","280,500","280,500","281,200.00","274,925.00","303,454.17","176,598","49,969,836,500"
2024-05-09,"283,000","283,000","276,500","282,500","281,100.00","274,900.00","303,404.17","249,792","69,840,482,000"
2024-05-08,"278,000","283,000","276,500","282,500","281,300.00","274,850.00","303,358.33","194,680","54,395,146,000"
2024-05-07,"284,000","284,500","278,500","280,000","282,000.00","274,075.00","303,433.33","252,888","70,987,140,500"
2024-05-03,"282,000","288,500","277,000","280,500","282,200.00","273,800.00","303,600.00","296,566","83,849,215,000"
2024-05-02,"281,000","282,500","277,500","280,000","282,200.00","273,325.00","303,854.17","199,762","55,808,845,500"
