시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"9,900","10,090","9,500","9,960","10,378.00","8,146.50","5,213.63","935,206","9,238,522,140"
2024-06-18,"9,830","10,450","9,300","9,890","10,526.00","7,917.00","5,175.29","3,933,154","38,705,608,750"
2024-06-17,"10,800","10,800","9,700","9,820","10,426.00","7,697.50","5,137.13","3,323,576","33,102,506,070"
2024-06-14,"11,000","11,620","10,470","11,000","10,242.00","7,448.00","5,099.46","4,679,971","51,919,064,950"
2024-06-13,"11,010","12,380","10,700","11,220","9,848.00","7,113.00","5,049.38","11,602,729","134,545,854,620"
2024-06-12,"9,560","11,710","9,310","10,700","8,994.00","6,767.50","4,998.29","16,282,989","173,823,043,160"
2024-06-11,"8,930","10,510","8,800","9,390","8,260.00","6,440.00","4,952.21","14,757,028","143,504,809,420"
2024-06-10,"9,790","9,910","8,570","8,900","7,744.00","6,177.75","4,918.04","11,844,279","107,225,615,020"
2024-06-07,"7,030","9,030","7,030","9,030","7,304.00","5,938.75","4,887.71","18,886,948","154,589,733,490"
2024-06-05,"7,060","7,240","6,800","6,950","6,834.00","5,697.75","4,856.21","1,884,632","13,193,672,080"
2024-06-04,"6,840","7,180","6,660","7,030","6,812.00","5,562.25","4,844.54","2,203,682","15,369,740,360"
2024-06-03,"6,700","7,100","6,620","6,810","6,826.00","5,423.75","4,832.13","1,739,770","11,951,983,050"
2024-05-31,"6,940","7,440","6,600","6,700","6,846.00","5,300.25","4,823.63","3,510,391","24,400,074,710"
2024-05-30,"6,800","7,000","6,540","6,680","6,846.00","5,180.50","4,818.63","1,787,126","12,119,730,510"
2024-05-29,"7,060","7,100","6,770","6,840","6,666.00","5,067.75","4,809.63","1,924,371","13,342,444,980"
2024-05-28,"6,720","7,200","6,710","7,100","6,402.00","4,942.25","4,798.13","3,088,333","21,732,911,510"
2024-05-27,"6,920","7,390","6,710","6,910","6,056.00","4,804.50","4,784.38","10,756,965","75,962,217,220"
2024-05-24,"6,500","7,510","6,140","6,700","5,774.00","4,679.25","4,774.13","26,886,972","188,039,515,970"
2024-05-23,"5,420","5,790","5,310","5,780","5,400.00","4,565.50","4,763.29","2,236,111","12,532,900,510"
2024-05-22,"5,370","5,620","5,240","5,520","5,104.00","4,501.50","4,759.63","1,775,353","9,719,509,730"
2024-05-21,"5,560","5,580","5,270","5,370","4,862.00","4,454.75","4,761.13","1,810,895","9,789,585,940"
