시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"25,400","26,700","25,350","26,200","24,610.00","24,092.50","22,482.08","218,075","5,693,034,600"
2024-06-18,"25,300","27,400","25,250","25,550","24,120.00","24,157.50","22,430.42","1,418,459","37,502,599,150"
2024-06-17,"23,150","24,750","23,100","23,900","23,590.00","24,215.00","22,385.83","420,898","10,139,926,700"
2024-06-14,"24,500","24,900","22,550","22,850","23,450.00","24,407.50","22,345.08","448,812","10,385,494,150"
2024-06-13,"26,000","26,400","24,500","24,550","23,630.00","24,667.50","22,313.83","761,779","19,310,784,800"
2024-06-12,"23,300","24,400","23,200","23,750","23,160.00","24,710.00","22,268.17","321,632","7,688,056,300"
2024-06-11,"23,500","23,500","22,600","22,900","22,950.00","24,762.50","22,234.33","111,686","2,553,165,000"
2024-06-10,"23,750","23,750","22,900","23,200","22,850.00","24,885.00","22,200.33","201,465","4,676,647,300"
2024-06-07,"22,000","23,950","22,000","23,750","22,700.00","25,087.50","22,168.50","368,651","8,610,726,300"
2024-06-05,"23,200","23,350","21,700","22,200","22,590.00","25,265.00","22,121.75","257,701","5,780,451,450"
2024-06-04,"22,400","23,150","21,850","22,700","23,030.00","25,540.00","22,092.17","219,553","4,976,978,650"
2024-06-03,"22,500","22,700","21,600","22,400","23,430.00","25,822.50","22,056.33","282,824","6,248,997,750"
2024-05-31,"22,300","23,450","22,250","22,450","23,990.00","26,165.00","22,042.17","291,734","6,579,721,650"
2024-05-30,"24,450","24,650","23,050","23,200","24,350.00","26,507.50","22,033.83","319,330","7,479,488,550"
2024-05-29,"25,000","26,000","24,250","24,400","24,970.00","26,910.00","22,000.83","295,878","7,424,148,750"
2024-05-28,"25,100","25,600","24,400","24,700","25,570.00","27,237.50","21,956.58","228,731","5,688,896,900"
2024-05-27,"24,100","25,450","23,800","25,200","26,130.00","27,477.50","21,920.33","347,754","8,620,380,000"
2024-05-24,"25,950","25,950","24,200","24,250","26,430.00","27,585.00","21,877.42","531,903","13,110,977,500"
2024-05-23,"28,100","28,400","26,300","26,300","27,130.00","27,732.50","21,847.00","404,744","10,993,639,150"
2024-05-22,"28,000","28,000","26,600","27,400","27,480.00","27,790.00","21,799.92","381,686","10,431,939,300"
2024-05-21,"27,650","27,700","26,300","27,500","27,080.00","27,877.50","21,760.75","474,424","12,878,232,400"
2024-05-20,"27,700","27,700","25,950","26,700","26,540.00","28,047.50","21,711.17","540,688","14,355,656,800"
2024-05-17,"28,200","28,250","27,150","27,750","26,270.00","28,117.50","21,671.58","410,159","11,363,155,000"
2024-05-16,"26,900","29,500","26,700","28,050","26,170.00","27,812.50","21,630.33","2,329,863","65,844,072,900"
2024-05-14,"24,750","25,700","24,300","25,400","26,020.00","27,555.00","21,593.25","497,890","12,475,733,800"
2024-05-13,"25,600","25,700","24,650","24,800","26,480.00","27,355.00","21,582.00","334,992","8,369,009,700"
2024-05-10,"27,400","27,400","25,000","25,350","27,190.00","27,125.00","21,566.17","681,228","17,364,472,850"
2024-05-09,"27,600","28,100","26,750","27,250","27,970.00","26,867.50","21,515.58","349,533","9,546,545,200"
2024-05-08,"27,650","28,000","26,850","27,300","28,380.00","26,410.00","21,455.08","308,062","8,378,557,250"
2024-05-07,"29,000","29,350","27,650","27,700","29,170.00","25,946.50","21,392.83","545,469","15,442,574,000"
2024-05-03,"29,650","30,100","27,900","28,350","29,820.00","25,496.50","21,330.75","466,210","13,443,497,500"
2024-05-02,"28,600","29,550","28,150","29,250","30,050.00","24,976.50","21,269.08","444,594","12,836,678,950"
2024-04-30,"31,100","31,150","28,650","29,300","29,670.00","24,357.50","21,192.83","1,067,201","31,383,564,600"
2024-04-29,"31,800","32,050","29,800","31,250","29,250.00","23,874.00","21,117.00","982,290","30,444,694,750"
2024-04-26,"30,400","32,350","29,550","30,950","28,490.00","23,256.50","21,006.00","2,394,461","73,894,531,850"
2024-04-25,"28,400","31,800","28,100","29,500","28,130.00","22,751.50","20,881.17","6,008,434","180,153,452,450"
2024-04-24,"27,900","29,050","27,100","27,350","28,410.00","22,233.00","20,761.33","995,195","28,014,464,950"
2024-04-23,"28,050","29,900","26,600","27,200","28,560.00","21,787.50","20,675.50","2,402,709","68,158,945,700"
2024-04-22,"28,200","28,450","26,550","27,450","27,450.00","21,354.00","20,589.67","1,154,120","31,771,942,600"
2024-04-19,"30,350","30,700","27,850","29,150","26,540.00","20,944.50","20,509.83","1,607,103","46,809,582,950"
2024-04-18,"29,650","30,950","28,200","30,900","24,990.00","20,507.00","20,420.83","6,810,689","203,220,240,800"
2024-04-17,"23,900","28,100","23,300","28,100","22,850.00","19,947.50","20,315.83","3,953,300","106,154,813,550"
2024-04-16,"22,350","22,900","21,300","21,650","21,270.00","19,557.50","20,215.75","537,808","11,851,596,450"
2024-04-15,"21,150","23,250","21,000","22,900","20,560.00","19,545.00","20,174.00","1,182,263","26,636,500,000"
2024-04-12,"20,350","21,750","19,950","21,400","19,586.00","19,475.00","20,135.67","616,204","13,000,945,460"
2024-04-11,"19,890","20,450","19,150","20,200","19,046.00","19,405.00","20,118.83","425,923","8,474,534,990"
