시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"49,800","53,000","49,050","52,400","47,040.00","43,607.50","27,643.83","574,847","29,543,262,050"
2024-06-18,"45,550","49,700","45,450","49,700","45,370.00","42,960.00","27,295.83","1,095,432","52,913,238,800"
2024-06-17,"43,500","45,950","42,900","45,700","44,180.00","42,525.00","26,967.50","866,448","39,129,028,650"
2024-06-14,"43,800","44,500","42,300","43,500","44,330.00","42,100.00","26,670.83","692,561","30,080,634,000"
2024-06-13,"45,800","45,800","43,150","43,900","44,470.00","41,772.50","26,393.75","1,208,697","53,215,720,600"
2024-06-12,"43,750","44,350","41,650","44,050","44,570.00","41,330.00","26,117.58","588,482","25,410,822,700"
2024-06-11,"46,400","46,400","43,300","43,750","44,270.00","40,737.50","25,829.75","763,652","33,933,879,000"
2024-06-10,"43,750","47,200","43,300","46,450","44,190.00","40,100.00","25,541.08","994,892","45,814,423,650"
2024-06-07,"43,300","47,400","42,550","44,200","43,560.00","39,425.00","25,231.75","1,517,975","68,626,522,800"
2024-06-05,"43,700","44,900","41,600","44,400","42,800.00","38,862.50","24,938.67","1,225,395","53,270,596,100"
2024-06-04,"43,500","45,000","42,350","42,550","42,270.00","38,387.50","24,644.58","760,310","33,054,841,400"
2024-06-03,"42,900","43,950","40,850","43,350","42,460.00","38,047.50","24,367.92","1,061,422","44,822,213,150"
2024-05-31,"40,550","43,700","37,500","43,300","41,970.00","37,585.00","24,088.83","2,619,582","111,311,898,700"
2024-05-30,"41,050","41,750","39,950","40,400","41,100.00","37,157.50","23,810.50","579,348","23,552,924,300"
2024-05-29,"43,850","44,850","41,500","41,750","40,960.00","36,807.50","23,553.50","849,363","36,297,802,450"
2024-05-28,"40,900","45,200","40,550","43,500","40,550.00","36,325.00","23,286.83","1,916,853","83,046,502,300"
2024-05-27,"38,950","40,900","38,550","40,900","39,740.00","35,730.00","23,006.42","1,107,599","43,855,786,700"
2024-05-24,"39,400","40,450","38,050","38,950","39,760.00","35,395.00","22,748.08","1,047,881","40,667,049,750"
2024-05-23,"41,200","41,800","39,050","39,700","39,410.00","35,032.50","22,502.25","1,394,570","56,534,471,100"
2024-05-22,"39,350","41,650","38,500","39,700","38,860.00","34,752.50","22,249.42","1,068,794","42,868,596,550"
2024-05-21,"40,800","42,650","38,950","39,450","37,930.00","34,537.50","21,999.83","1,446,871","58,140,444,200"
2024-05-20,"37,250","41,800","35,600","41,000","36,480.00","34,502.50","21,752.17","2,142,150","83,808,376,050"
2024-05-17,"36,650","37,500","35,100","37,200","34,480.00","34,312.50","21,492.08","826,930","30,281,753,900"
2024-05-16,"36,700","39,100","34,150","36,950","33,630.00","34,257.50","21,262.58","2,875,394","105,539,076,100"
2024-05-14,"32,750","35,400","32,600","35,050","32,830.00","34,335.00","21,036.00","2,043,247","70,403,828,850"
2024-05-13,"31,400","32,500","31,250","32,200","32,800.00","34,512.50","20,820.00","821,596","26,127,620,850"
2024-05-10,"33,500","33,500","30,500","31,000","33,510.00","34,837.50","20,627.33","1,478,107","46,318,128,750"
2024-05-09,"33,300","33,400","32,100","32,950","34,130.00","34,977.50","20,444.67","809,586","26,505,772,800"
2024-05-08,"35,200","35,350","32,100","32,950","34,490.00","34,992.50","20,246.75","1,484,172","49,225,015,950"
2024-05-07,"37,300","38,900","34,000","34,900","34,580.00","35,100.00","20,045.92","1,558,203","57,034,286,900"
2024-05-03,"35,150","35,850","34,150","35,750","34,020.00","35,107.50","19,831.42","617,093","21,708,200,600"
2024-05-02,"34,000","34,400","32,400","34,100","33,190.00","34,962.50","19,610.33","653,664","21,685,722,900"
2024-04-30,"33,450","35,500","32,800","34,750","33,210.00","34,857.50","19,402.67","551,513","19,070,267,000"
2024-04-29,"32,350","34,100","32,350","33,400","32,600.00","34,780.00","19,188.08","592,825","19,759,552,200"
2024-04-26,"32,900","32,950","31,150","32,100","32,740.00","34,840.00","18,985.42","594,523","19,109,345,150"
2024-04-25,"33,200","34,100","31,600","31,600","33,400.00","35,002.50","18,791.08","705,035","22,923,830,400"
2024-04-24,"33,250","34,600","32,550","34,200","34,830.00","35,182.50","18,599.83","977,565","32,897,331,600"
2024-04-23,"34,950","35,100","31,700","31,700","35,430.00","35,122.50","18,386.33","1,189,481","38,854,870,250"
2024-04-22,"33,600","34,300","31,500","34,100","36,310.00","35,087.50","18,192.17","1,729,202","57,002,712,450"
2024-04-19,"37,100","37,650","32,400","35,400","37,190.00","34,947.50","17,980.33","1,944,619","67,638,667,500"
2024-04-18,"36,400","38,800","35,800","38,750","37,830.00","34,707.50","17,758.17","1,429,664","53,911,520,550"
2024-04-17,"36,600","38,500","35,900","37,200","37,820.00","34,205.00","17,506.58","1,293,054","48,163,471,300"
2024-04-16,"37,500","38,200","34,300","36,100","37,140.00","33,780.00","17,264.42","1,591,002","56,727,607,950"
2024-04-15,"37,900","39,100","36,150","38,500","36,570.00","33,490.00","17,032.17","1,067,814","40,230,164,350"
2024-04-12,"38,600","39,000","37,250","38,600","35,890.00","33,080.00","16,774.92","1,347,342","51,262,978,950"
2024-04-11,"33,650","39,100","33,350","38,700","35,180.00","32,600.00","16,518.92","2,637,442","97,864,810,200"
2024-04-09,"33,500","35,250","33,450","33,800","34,010.00","32,072.50","16,263.50","882,259","30,086,542,500"
2024-04-08,"35,950","35,950","33,000","33,250","33,650.00","31,725.00","16,043.33","1,019,489","34,590,623,100"
2024-04-05,"34,950","37,850","33,050","35,100","33,640.00","31,257.50","15,828.33","1,833,928","65,308,791,400"
2024-04-04,"33,550","36,350","33,000","35,050","33,540.00","30,702.50","15,593.75","1,734,206","60,591,999,800"
2024-04-03,"31,200","33,200","30,750","32,850","33,600.00","30,147.50","15,358.25","1,299,312","41,737,887,250"
2024-04-02,"33,600","33,950","31,400","32,000","34,070.00","29,680.00","15,140.25","1,246,356","40,188,823,550"
2024-04-01,"34,450","34,600","32,150","33,200","34,270.00","29,177.50","14,929.92","1,541,608","51,000,618,500"
2024-03-29,"35,300","35,600","33,700","34,600","33,830.00","28,602.50","14,708.00","1,183,764","41,151,798,800"
2024-03-28,"35,350","36,000","34,200","35,350","33,170.00","27,900.00","14,474.17","1,134,283","39,965,013,000"
2024-03-27,"33,050","36,000","32,800","35,200","32,220.00","27,170.00","14,235.75","2,254,381","78,854,049,050"
2024-03-26,"31,500","33,400","31,300","33,000","30,920.00","26,477.50","13,998.17","1,288,150","41,874,871,100"
2024-03-25,"31,300","32,950","30,400","31,000","30,060.00","25,865.00","13,779.83","993,260","31,416,917,850"
2024-03-22,"30,700","31,600","30,000","31,300","29,920.00","25,375.00","13,577.33","974,336","30,267,948,250"
2024-03-21,"30,450","31,800","29,600","30,600","29,720.00","24,925.00","13,372.00","2,207,515","67,838,506,550"
2024-03-20,"28,800","30,000","27,400","28,700","29,400.00","24,420.00","13,174.25","1,228,871","35,071,365,500"
2024-03-19,"29,350","30,000","27,950","28,700","29,290.00","24,002.50","12,993.75","1,452,224","41,663,519,400"
2024-03-18,"30,300","31,700","29,700","30,300","28,920.00","23,645.00","12,814.25","924,592","28,281,630,900"
2024-03-15,"28,600","30,850","27,800","30,300","27,640.00","23,040.00","12,623.33","1,230,532","35,920,895,300"
2024-03-14,"27,600","29,500","27,200","29,000","26,380.00","22,460.50","12,430.83","924,440","26,336,577,100"
2024-03-13,"26,350","29,000","26,200","28,150","25,370.00","21,955.50","12,247.50","2,092,644","58,391,815,850"
2024-03-12,"26,000","28,000","25,200","26,850","24,440.00","21,482.50","12,072.33","3,360,798","90,473,580,250"
2024-03-11,"23,350","24,100","21,850","23,900","23,460.00","21,010.00","11,908.67","984,145","22,708,974,600"
2024-03-08,"24,400","24,850","23,200","24,000","23,020.00","20,583.50","11,769.00","717,644","17,365,877,650"
2024-03-07,"23,400","24,500","23,000","23,950","22,330.00","20,163.00","11,629.50","825,802","19,728,665,750"
2024-03-06,"21,450","23,850","21,300","23,500","21,690.00","19,737.50","11,491.17","809,620","18,455,615,400"
2024-03-05,"21,950","22,200","20,950","21,950","21,260.00","19,330.00","11,359.33","450,434","9,688,263,350"
2024-03-04,"21,400","22,500","20,900","21,700","21,020.00","18,997.00","11,241.08","794,970","17,254,262,000"
2024-02-29,"20,750","21,250","20,400","20,550","20,920.00","18,708.50","11,125.83","271,959","5,665,375,900"
2024-02-28,"21,350","21,600","20,400","20,750","21,270.00","18,505.00","11,017.50","394,498","8,280,268,350"
2024-02-27,"20,250","21,800","19,980","21,350","21,220.00","18,269.50","10,907.33","763,543","15,934,355,310"
2024-02-26,"21,550","21,550","20,200","20,750","21,020.00","17,991.00","10,791.08","566,787","11,782,220,800"
2024-02-23,"22,000","22,550","20,500","21,200","21,180.00","17,755.00","10,679.83","1,099,867","23,796,576,450"
2024-02-22,"21,550","22,900","20,950","22,300","20,580.00","17,508.50","10,565.67","3,194,782","70,770,002,200"
2024-02-21,"19,930","21,400","19,840","20,500","19,862.00","17,153.50","10,442.83","1,578,813","32,599,481,660"
2024-02-20,"20,750","21,050","19,910","20,350","19,542.00","16,928.50","10,333.50","1,987,470","40,269,435,520"
2024-02-19,"18,210","21,800","18,070","21,550","19,210.00","16,641.00","10,223.83","7,745,873","159,588,823,220"
2024-02-16,"18,720","19,770","17,560","18,200","18,380.00","16,204.50","10,105.58","1,689,652","31,373,980,380"
2024-02-15,"19,380","19,440","18,360","18,710","17,814.00","15,906.00","10,017.17","1,027,859","19,412,216,810"
2024-02-14,"18,390","19,700","17,560","18,900","17,190.00","15,594.00","9,923.50","2,415,346","45,159,279,260"
2024-02-13,"18,200","19,970","18,090","18,690","16,498.00","15,234.00","9,827.00","5,859,501","111,737,150,520"
2024-02-08,"15,490","17,640","15,490","17,400","15,830.00","14,860.50","9,734.50","3,200,495","53,478,356,970"
2024-02-07,"15,440","15,540","15,150","15,370","15,408.00","14,555.50","9,652.83","693,527","10,613,991,390"
2024-02-06,"15,500","15,950","15,260","15,590","15,520.00","14,356.00","9,589.33","840,317","13,122,838,870"
2024-02-05,"15,470","15,840","15,050","15,440","15,698.00","14,143.50","9,525.08","981,527","15,000,095,190"
2024-02-02,"15,350","16,250","15,260","15,350","15,818.00","13,936.50","9,461.25","1,163,648","18,217,861,440"
2024-02-01,"15,710","15,950","14,810","15,290","15,904.00","13,748.00","9,399.75","1,991,383","30,301,604,160"
2024-01-31,"16,200","16,240","15,720","15,930","16,052.00","13,571.50","9,338.75","914,181","14,575,582,620"
2024-01-30,"15,960","16,750","15,800","16,480","16,120.00","13,351.00","9,273.83","1,107,128","18,057,703,960"
2024-01-29,"15,670","16,640","15,500","16,040","15,864.00","13,108.50","9,205.42","1,363,426","21,886,140,410"
2024-01-26,"15,520","16,070","15,350","15,780","15,856.00","12,879.00","9,142.92","1,288,122","20,224,283,410"
2024-01-25,"16,450","17,170","15,920","16,030","15,620.00","12,660.00","9,083.08","2,470,394","40,717,478,890"
2024-01-24,"15,340","16,490","15,120","16,270","14,978.00","12,413.00","9,022.00","3,821,589","60,679,160,160"
2024-01-23,"15,660","15,800","14,710","15,200","14,170.00","12,137.00","8,958.67","2,734,396","41,766,297,770"
2024-01-22,"15,050","16,400","15,020","16,000","13,624.00","11,927.00","8,900.17","5,986,864","93,444,790,280"
2024-01-19,"13,040","14,750","12,890","14,600","12,764.00","11,662.00","8,834.75","7,009,894","98,956,692,690"
2024-01-18,"12,200","12,940","12,160","12,820","12,088.00","11,464.00","8,783.17","1,302,552","16,498,392,180"
2024-01-17,"12,530","12,690","12,080","12,230","11,784.00","11,338.00","8,747.25","971,864","12,003,682,920"
2024-01-16,"11,760","12,650","11,760","12,470","11,614.00","11,231.50","8,718.75","2,782,740","34,419,498,980"
2024-01-15,"11,160","11,730","11,150","11,700","11,388.00","11,120.50","8,686.25","738,359","8,511,160,960"
2024-01-12,"11,320","11,480","11,110","11,220","11,308.00","11,073.50","8,661.83","399,303","4,506,990,630"
2024-01-11,"11,400","11,440","11,190","11,300","11,380.00","10,988.00","8,641.25","476,443","5,386,158,980"
2024-01-10,"11,430","11,490","11,150","11,380","11,472.00","10,878.50","8,617.08","427,987","4,828,081,860"
2024-01-09,"11,470","11,800","11,220","11,340","11,500.00","10,776.00","8,594.17","414,011","4,728,664,140"
2024-01-08,"11,540","11,870","11,270","11,300","11,558.00","10,660.50","8,568.83","557,461","6,376,593,030"
2024-01-05,"11,820","11,880","11,550","11,580","11,588.00","10,551.00","8,542.75","353,473","4,128,487,550"
2024-01-04,"11,400","11,900","11,320","11,760","11,552.00","10,439.50","8,511.75","863,117","10,026,029,620"
2024-01-03,"11,350","11,650","11,050","11,520","11,418.00","10,344.50","8,481.58","712,237","8,055,664,980"
