시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"23,100","23,550","22,500","22,650","22,172.00","21,909.80","26,147.85","564,502","12,939,579,600"
2024-06-18,"21,721","23,343","21,721","22,949","22,045.20","21,956.70","26,199.49","1,978,578","45,018,389,900"
2024-06-17,"21,475","22,016","21,328","21,721","21,907.60","21,932.15","26,252.73","534,135","11,597,809,300"
2024-06-14,"22,114","22,360","21,328","21,524","22,015.60","22,145.90","26,298.60","1,056,724","22,886,557,500"
2024-06-13,"22,311","22,507","21,868","22,016","22,055.00","22,376.90","26,350.20","809,490","17,916,935,700"
2024-06-12,"22,163","22,802","21,819","22,016","21,858.40","22,610.30","26,396.07","830,110","18,424,009,400"
2024-06-11,"22,605","22,605","22,114","22,261","21,622.40","22,816.70","26,441.53","577,920","12,904,687,500"
2024-06-10,"21,524","22,900","21,328","22,261","21,357.20","23,013.30","26,481.67","1,365,432","30,398,814,650"
2024-06-07,"21,328","22,016","21,180","21,721","21,062.40","23,271.35","26,523.03","943,437","20,466,090,350"
2024-06-05,"21,328","21,623","20,935","21,033","20,944.40","23,566.20","26,561.12","936,169","19,860,390,400"
2024-06-04,"21,082","21,672","20,738","20,836","21,062.40","23,885.65","26,606.98","851,416","18,040,200,450"
2024-06-03,"21,033","21,229","20,787","20,935","21,357.40","24,195.25","26,652.85","548,257","11,492,193,000"
2024-05-31,"21,131","21,279","20,738","20,787","21,603.00","24,517.10","26,705.27","618,628","12,924,985,600"
2024-05-30,"21,426","21,573","20,836","21,131","21,897.80","24,826.70","26,773.25","869,154","18,306,668,350"
2024-05-29,"22,458","22,458","21,475","21,623","22,261.40","25,136.30","26,842.46","1,119,070","24,411,682,800"
2024-05-28,"22,212","22,556","22,114","22,311","22,546.40","25,436.05","26,898.97","843,356","18,853,279,800"
2024-05-27,"22,311","22,458","21,573","22,163","22,801.80","25,701.40","26,956.30","1,484,178","32,555,380,100"
2024-05-24,"22,458","22,753","22,163","22,261","22,860.80","25,984.00","27,009.54","933,132","20,925,280,500"
2024-05-23,"23,392","23,638","22,753","22,949","23,607.80","26,170.75","27,062.38","815,471","18,789,102,850"
2024-05-22,"23,539","23,539","22,753","23,048","24,246.80","26,337.85","27,106.61","1,079,566","24,938,318,500"
2024-05-21,"22,704","23,883","22,311","23,588","24,974.00","26,519.65","27,157.39","2,751,740","64,226,722,300"
2024-05-20,"22,556","23,195","22,114","22,458","25,485.20","26,782.60","27,201.63","4,395,162","99,237,638,700"
2024-05-17,"26,046","26,340","25,849","25,996","26,232.20","27,079.90","27,261.83","828,148","21,301,780,450"
2024-05-16,"26,930","27,078","25,849","26,144","26,517.40","27,224.90","27,292.95","2,002,982","52,751,042,100"
2024-05-14,"26,291","26,684","26,046","26,684","26,812.20","27,426.40","27,329.81","767,604","20,277,881,050"
2024-05-13,"26,537","26,684","25,702","26,144","26,959.80","27,615.60","27,374.86","835,042","21,832,885,200"
2024-05-10,"27,422","27,667","26,046","26,193","27,136.60","27,856.40","27,416.63","1,636,629","43,355,904,450"
2024-05-09,"27,618","28,110","27,274","27,422","27,372.40","28,045.60","27,454.71","943,136","26,081,327,200"
2024-05-08,"27,176","27,766","27,028","27,618","27,283.80","28,180.70","27,498.12","765,271","20,927,704,800"
2024-05-07,"27,667","27,913","27,274","27,422","27,224.80","28,387.10","27,526.38","1,154,621","31,865,604,050"
2024-05-03,"27,864","27,864","26,979","27,028","27,264.00","28,652.45","27,560.78","796,454","21,739,693,550"
