시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"30,000","30,850","29,950","30,150","30,890.00","31,085.00","30,458.33","851,390","25,841,490,600"
2024-06-18,"29,950","30,200","29,350","29,650","31,640.00","30,980.00","30,495.83","1,720,896","51,038,834,100"
2024-06-17,"30,350","30,950","30,150","30,250","32,180.00","31,087.50","30,540.42","1,178,883","35,848,663,450"
2024-06-14,"33,100","33,150","31,000","31,050","32,080.00","31,122.50","30,579.58","2,667,604","84,261,245,500"
2024-06-13,"34,200","34,300","32,550","33,350","31,750.00","31,070.00","30,590.83","2,734,231","90,979,268,000"
2024-06-12,"32,700","34,300","32,050","33,900","30,970.00","30,865.00","30,571.25","4,165,796","140,081,428,850"
2024-06-11,"30,700","32,600","30,050","32,350","30,130.00","30,617.50","30,556.25","4,022,195","126,987,169,150"
2024-06-10,"29,500","30,400","29,350","29,750","29,830.00","30,440.00","30,548.33","1,206,210","36,031,009,300"
2024-06-07,"29,600","30,200","28,850","29,400","30,170.00","30,397.50","30,562.08","1,256,740","36,881,465,800"
2024-06-05,"29,500","29,950","29,200","29,450","30,730.00","30,367.50","30,580.00","985,222","29,066,956,100"
2024-06-04,"30,500","31,000","28,850","29,700","31,170.00","30,295.00","30,602.50","2,338,489","69,394,772,750"
2024-06-03,"31,600","32,350","30,600","30,850","31,710.00","30,135.00","30,626.25","1,380,441","42,938,024,850"
2024-05-31,"32,250","33,450","31,450","31,450","32,110.00","29,890.00","30,640.42","2,678,080","86,376,511,000"
2024-05-30,"32,250","33,000","30,350","32,200","31,870.00","29,597.50","30,643.75","3,202,679","102,238,561,350"
2024-05-29,"32,200","32,300","31,000","31,650","31,880.00","29,302.50","30,653.75","2,290,167","72,204,481,550"
2024-05-28,"34,150","34,550","31,950","32,400","31,310.00","28,877.50","30,660.83","3,658,066","121,514,284,900"
2024-05-27,"31,700","34,300","31,650","32,850","30,440.00","28,447.50","30,663.33","8,590,020","285,818,166,850"
2024-05-24,"31,700","32,500","30,050","30,250","30,230.00","28,037.50","30,666.67","3,811,845","118,177,561,550"
2024-05-23,"31,250","33,900","31,150","32,250","30,370.00","27,752.50","30,696.25","13,437,653","438,385,420,900"
2024-05-22,"29,100","30,100","28,500","28,800","29,920.00","27,395.00","30,715.00","3,144,895","92,009,840,250"
2024-05-21,"31,800","31,850","28,050","28,050","30,010.00","27,200.00","30,758.33","4,379,428","128,894,363,050"
2024-05-20,"31,300","32,700","30,850","31,800","30,190.00","27,072.50","30,810.42","3,498,469","112,077,996,250"
2024-05-17,"30,600","31,500","29,550","30,950","29,590.00","26,687.50","30,820.42","2,823,079","86,733,317,700"
2024-05-16,"29,900","31,300","29,650","30,000","29,180.00","26,365.00","30,827.08","3,128,502","95,398,903,850"
2024-05-14,"29,100","29,450","28,500","29,250","28,940.00","26,100.00","30,852.08","925,738","26,881,224,150"
2024-05-13,"29,400","29,850","28,800","28,950","28,690.00","25,922.50","30,886.25","1,349,973","39,507,124,000"
2024-05-10,"29,300","29,650","28,200","28,800","28,200.00","25,822.50","30,902.92","1,377,330","39,703,453,300"
2024-05-09,"29,000","29,300","28,550","28,900","27,630.00","25,747.50","30,916.25","1,450,770","41,921,778,400"
2024-05-08,"28,250","28,950","27,750","28,800","26,970.00","25,647.50","30,929.17","1,864,751","52,975,986,950"
2024-05-07,"27,400","28,250","26,900","28,000","26,470.00","25,565.00","30,951.67","2,400,501","66,565,641,750"
2024-05-03,"26,200","27,650","25,950","26,500","25,500.00","25,522.50","30,982.92","1,928,258","51,824,510,150"
2024-05-02,"25,400","26,250","25,100","25,950","24,960.00","25,572.50","31,027.92","874,755","22,616,742,200"
2024-04-30,"26,300","26,300","25,400","25,600","24,700.00","25,662.50","31,087.92","1,304,639","33,523,744,200"
2024-04-29,"23,350","26,600","23,300","26,300","24,490.00","25,835.00","31,130.83","3,856,197","97,895,759,600"
2024-04-26,"23,600","23,750","23,000","23,150","24,250.00","25,937.50","31,162.92","1,304,757","30,228,569,800"
2024-04-25,"24,500","24,750","23,600","23,800","24,600.00","26,162.50","31,225.83","1,234,964","29,807,557,900"
2024-04-24,"25,150","25,550","24,550","24,650","24,940.00","26,327.50","31,266.25","932,315","23,197,196,100"
2024-04-23,"25,400","25,450","24,550","24,550","24,830.00","26,455.00","31,291.67","677,148","16,772,678,000"
2024-04-22,"25,550","25,600","25,000","25,100","24,820.00","26,590.00","31,316.25","455,611","11,500,855,350"
2024-04-19,"25,300","26,100","24,700","24,900","24,740.00","26,715.00","31,338.75","1,358,441","34,072,866,350"
2024-04-18,"24,600","26,000","24,600","25,500","24,900.00","26,847.50","31,372.92","1,090,783","27,812,672,500"
2024-04-17,"24,500","24,750","24,100","24,100","25,190.00","26,925.00","31,401.25","524,347","12,762,053,350"
2024-04-16,"24,200","25,050","24,200","24,500","25,830.00","27,072.50","31,431.25","675,151","16,613,352,500"
2024-04-15,"25,250","25,350","24,650","24,700","26,310.00","27,230.00","31,476.25","834,166","20,818,715,900"
2024-04-12,"26,850","26,900","25,650","25,700","26,800.00","27,367.50","31,524.58","1,378,114","35,908,621,550"
2024-04-11,"27,050","27,300","26,700","26,950","27,090.00","27,472.50","31,571.25","719,799","19,344,299,150"
2024-04-09,"27,000","27,650","27,000","27,300","27,200.00","27,470.00","31,607.08","516,788","14,145,021,600"
2024-04-08,"27,250","27,250","26,750","26,900","27,290.00","27,467.50","31,635.00","396,852","10,702,123,400"
2024-04-05,"27,050","27,650","27,050","27,150","27,720.00","27,472.50","31,664.17","511,043","13,943,546,350"
2024-04-04,"27,700","27,750","27,100","27,150","27,960.00","27,482.50","31,690.42","642,066","17,514,783,000"
2024-04-03,"27,750","28,000","27,300","27,500","28,060.00","27,457.50","31,708.33","781,561","21,616,092,800"
2024-04-02,"28,600","28,800","27,700","27,750","27,980.00","27,427.50","31,704.58","1,329,765","37,163,147,600"
2024-04-01,"28,750","29,100","28,250","29,050","27,870.00","27,402.50","31,698.33","1,518,983","43,700,070,400"
2024-03-29,"27,850","28,600","27,800","28,350","27,510.00","27,330.00","31,683.33","1,398,808","39,514,653,150"
2024-03-28,"28,200","29,250","27,550","27,650","27,360.00","27,300.00","31,679.17","4,018,173","114,199,461,700"
2024-03-27,"27,150","27,400","27,000","27,100","27,340.00","27,315.00","31,696.67","461,724","12,546,001,750"
2024-03-26,"27,250","27,650","27,100","27,200","27,330.00","27,325.00","31,716.67","620,861","16,946,853,950"
2024-03-25,"27,600","27,600","27,150","27,250","27,300.00","27,305.00","31,737.92","580,568","15,834,529,600"
2024-03-22,"27,600","28,050","27,500","27,600","27,380.00","27,287.50","31,761.67","784,096","21,744,202,450"
2024-03-21,"27,550","28,100","27,350","27,550","27,350.00","27,372.50","31,786.67","881,630","24,355,320,400"
2024-03-20,"27,300","27,550","27,000","27,050","27,400.00","27,635.00","31,820.83","452,820","12,306,539,900"
2024-03-19,"27,650","27,700","27,050","27,050","27,370.00","27,930.00","31,862.08","545,394","14,891,967,200"
2024-03-18,"27,550","27,650","27,100","27,650","27,410.00","28,240.00","31,907.92","455,440","12,506,094,600"
2024-03-15,"27,600","27,600","27,050","27,450","27,280.00","28,537.50","31,949.58","715,543","19,574,399,200"
2024-03-14,"26,900","27,800","26,800","27,800","27,260.00","28,777.50","31,988.33","871,964","23,847,358,100"
2024-03-13,"27,300","27,300","26,900","26,900","27,030.00","28,987.50","32,024.17","685,184","18,501,102,700"
2024-03-12,"27,150","27,350","27,000","27,250","27,030.00","29,255.00","32,076.25","494,684","13,435,070,250"
2024-03-11,"27,400","27,450","26,950","27,000","27,030.00","29,485.00","32,126.25","534,057","14,489,935,350"
2024-03-08,"27,050","27,350","26,900","27,350","27,150.00","29,715.00","32,179.58","790,138","21,439,905,300"
2024-03-07,"26,900","27,100","26,500","26,650","27,230.00","29,960.00","32,230.83","678,458","18,114,697,750"
2024-03-06,"27,200","27,450","26,800","26,900","27,490.00","30,287.50","32,292.50","827,642","22,367,008,200"
2024-03-05,"27,300","27,700","27,150","27,250","27,570.00","30,677.50","32,367.08","636,334","17,419,638,850"
2024-03-04,"28,000","28,100","27,400","27,600","27,480.00","31,065.00","32,450.42","722,389","20,056,219,300"
2024-02-29,"27,700","27,950","27,450","27,750","27,340.00","31,352.50","32,522.92","920,770","25,481,683,650"
2024-02-28,"27,600","28,250","27,450","27,950","27,650.00","31,627.50","32,595.42","1,658,587","46,262,933,300"
2024-02-27,"26,950","27,300","26,800","27,300","28,620.00","31,860.00","32,672.08","1,292,909","35,073,546,350"
2024-02-26,"26,750","27,650","26,650","26,800","29,750.00","32,142.50","32,744.17","2,495,943","67,600,400,000"
2024-02-23,"28,800","28,800","26,500","26,900","31,040.00","32,450.00","32,820.83","6,545,619","177,102,508,750"
2024-02-22,"32,950","33,100","28,900","29,300","32,380.00","32,792.50","32,890.83","4,885,784","147,306,269,000"
2024-02-21,"32,900","33,150","32,550","32,800","32,970.00","32,972.50","32,945.83","486,652","15,973,270,450"
2024-02-20,"33,450","33,650","32,850","32,950","32,810.00","32,942.50","32,970.83","579,253","19,228,016,950"
2024-02-19,"33,300","33,850","32,900","33,250","32,670.00","32,925.00","33,003.75","621,708","20,683,730,400"
2024-02-16,"32,600","34,150","32,600","33,600","32,390.00","32,922.50","33,041.25","1,359,706","45,539,454,650"
2024-02-15,"32,750","32,750","32,050","32,250","31,990.00","32,950.00","33,054.17","514,452","16,647,573,550"
2024-02-14,"31,600","32,150","31,400","32,000","31,990.00","33,225.00","33,078.75","577,862","18,350,093,950"
2024-02-13,"32,600","32,850","32,200","32,250","32,230.00","33,485.00","33,106.25","629,246","20,431,809,800"
2024-02-08,"32,500","32,600","31,600","31,850","32,720.00","33,710.00","33,144.58","819,718","26,246,084,750"
2024-02-07,"32,000","32,200","31,000","31,600","33,350.00","33,992.50","33,199.17","1,782,214","56,002,257,800"
2024-02-06,"32,800","33,200","32,250","32,250","33,700.00","34,340.00","33,252.92","819,274","26,603,560,300"
2024-02-05,"34,550","34,650","32,800","33,200","33,900.00","34,577.50","33,296.67","1,058,349","35,289,721,000"
2024-02-02,"35,250","35,850","34,650","34,700","33,780.00","34,697.50","33,328.33","837,462","29,361,278,650"
2024-02-01,"33,400","35,000","32,850","35,000","33,430.00","34,777.50","33,352.92","1,014,891","35,019,859,850"
2024-01-31,"33,300","33,900","32,750","33,350","33,020.00","34,857.50","33,378.33","639,514","21,402,409,500"
2024-01-30,"33,000","34,100","32,950","33,250","33,100.00","35,062.50","33,415.83","777,968","26,093,289,500"
2024-01-29,"33,000","33,100","32,550","32,600","33,030.00","35,330.00","33,461.25","421,000","13,778,790,850"
2024-01-26,"32,750","33,100","32,400","32,950","32,950.00","35,675.00","33,515.00","460,852","15,116,257,550"
2024-01-25,"33,200","33,350","32,550","32,950","32,880.00","35,957.50","33,555.83","569,270","18,701,950,400"
2024-01-24,"33,750","34,150","33,250","33,750","32,930.00","36,232.50","33,586.67","768,656","25,877,850,850"
2024-01-23,"32,650","33,550","32,600","32,900","33,010.00","36,472.50","33,625.83","841,747","27,895,280,800"
2024-01-22,"32,700","32,900","31,650","32,200","33,980.00","36,765.00","33,698.33","771,241","24,826,424,500"
2024-01-19,"33,400","34,100","32,450","32,600","34,980.00","37,040.00","33,788.75","1,316,582","43,431,082,200"
2024-01-18,"34,100","34,600","32,800","33,200","35,810.00","37,142.50","33,877.08","1,408,701","47,162,142,200"
2024-01-17,"37,000","37,050","34,100","34,150","36,670.00","37,232.50","33,968.33","2,041,632","70,954,327,750"
2024-01-16,"37,000","38,500","37,000","37,750","37,550.00","37,272.50","34,054.17","863,341","32,748,870,600"
2024-01-15,"36,750","37,950","36,750","37,200","37,400.00","37,005.00","34,110.00","627,403","23,523,150,950"
2024-01-12,"37,550","38,000","36,750","36,750","37,080.00","36,695.00","34,166.67","618,701","22,970,172,900"
2024-01-11,"38,650","38,900","37,500","37,500","36,990.00","36,462.50","34,218.33","1,051,976","40,031,121,400"
2024-01-10,"37,750","39,300","37,600","38,550","36,810.00","36,157.50","34,276.67","2,410,753","93,323,183,500"
2024-01-09,"36,700","38,100","36,450","37,000","36,590.00","35,800.00","34,330.83","1,441,041","53,721,822,350"
2024-01-08,"36,300","36,850","35,600","35,600","36,910.00","35,527.50","34,380.00","655,553","23,581,597,400"
2024-01-05,"36,400","36,950","36,050","36,300","37,690.00","35,355.00","34,439.58","714,593","26,124,661,400"
2024-01-04,"36,650","36,900","35,550","36,600","38,150.00","35,167.50","34,486.67","1,083,258","39,302,976,900"
2024-01-03,"38,050","38,450","37,450","37,450","38,520.00","34,965.00","34,523.33","867,468","32,720,524,350"
2024-01-02,"39,500","39,500","38,300","38,600","38,740.00","34,685.00","34,554.17","753,499","29,125,850,900"
2023-12-28,"38,600","39,750","38,300","39,500","38,770.00","34,425.00","34,583.33","1,435,804","56,358,409,950"
2023-12-27,"38,750","39,200","37,650","38,600","38,410.00","34,075.00","34,605.00","1,022,244","39,107,290,950"
2023-12-26,"38,000","38,700","37,700","38,450","37,620.00","33,780.00","34,641.25","916,700","34,980,051,900"
2023-12-22,"39,200","39,200","38,000","38,550","36,930.00","33,520.00","34,673.33","1,725,903","66,831,049,750"
2023-12-21,"36,700","39,150","36,550","38,750","36,210.00","33,282.50","34,700.00","3,150,545","119,493,791,900"
2023-12-20,"36,700","38,250","36,350","37,700","34,940.00","33,070.00","34,729.58","6,081,344","228,275,203,100"
2023-12-19,"34,500","35,200","34,150","34,650","33,600.00","32,885.00","34,772.50","1,060,440","36,835,754,450"
2023-12-18,"35,500","35,900","34,100","35,000","33,090.00","32,867.50","34,841.67","1,882,164","65,844,158,550"
2023-12-15,"33,650","37,700","33,650","34,950","32,370.00","32,767.50","34,910.42","10,737,122","384,728,080,000"
2023-12-14,"32,250","32,750","31,950","32,400","31,660.00","32,607.50","34,995.83","1,420,540","45,926,018,350"
2023-12-13,"31,700","31,700","30,800","31,000","31,490.00","32,637.50","35,100.00","908,669","28,231,643,350"
2023-12-12,"31,600","32,750","31,600","32,100","31,720.00","32,755.00","35,227.08","752,427","24,221,918,200"
2023-12-11,"31,550","31,650","31,200","31,400","31,810.00","32,697.50","35,358.33","395,697","12,407,335,050"
2023-12-08,"31,750","32,000","31,250","31,400","32,040.00","32,647.50","35,487.92","347,363","10,939,562,200"
2023-12-07,"31,950","32,050","31,100","31,550","32,130.00","32,600.00","35,612.08","675,508","21,241,673,200"
2023-12-06,"32,250","32,800","31,950","32,150","32,500.00","32,597.50","35,744.58","494,236","16,002,800,100"
2023-12-05,"32,200","32,650","32,050","32,550","32,570.00","32,577.50","35,870.00","466,451","15,103,947,100"
2023-12-04,"32,350","32,550","31,700","32,550","32,600.00","32,545.00",,"502,431","16,219,781,400"
2023-12-01,"33,400","33,400","31,800","31,850","32,740.00","32,575.00",,"799,280","25,817,460,250"
2023-11-30,"32,000","33,400","31,800","33,400","33,130.00","32,520.00",,"2,419,158","80,095,162,400"
2023-11-29,"32,750","32,900","32,050","32,500","33,350.00","32,357.50",,"791,448","25,689,955,293"
2023-11-28,"33,450","33,550","32,650","32,700","33,650.00","32,267.50",,"832,647","27,428,710,850"
2023-11-27,"33,600","34,500","33,200","33,250","33,970.00","32,065.00",,"625,463","21,088,760,850"
2023-11-24,"34,200","34,650","33,800","33,800","33,920.00","31,787.50",,"430,817","14,682,172,450"
2023-11-23,"34,350","35,300","34,200","34,500","33,510.00","31,472.50",,"746,479","25,839,514,300"
