시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"332,500","337,500","332,000","336,000","343,100.00","348,150.00","386,425.00","65,419","21,874,750,500"
2024-06-18,"340,000","343,500","331,000","331,000","346,200.00","349,575.00","387,175.00","213,956","71,557,265,500"
2024-06-17,"345,000","346,000","336,500","336,500","351,300.00","351,625.00","387,933.33","273,382","92,696,426,500"
2024-06-14,"363,000","363,000","349,000","349,000","354,600.00","353,625.00","388,645.83","302,758","107,112,248,000"
2024-06-13,"356,000","363,000","349,000","363,000","356,600.00","355,250.00","389,258.33","412,793","148,120,968,000"
2024-06-12,"356,500","361,000","350,500","351,500","354,300.00","356,375.00","389,650.00","163,853","58,053,960,500"
2024-06-11,"354,000","365,000","353,000","356,500","351,300.00","357,875.00","390,258.33","219,013","78,774,192,000"
2024-06-10,"355,500","358,500","350,000","353,000","346,400.00","359,225.00","390,858.33","180,618","63,843,939,000"
2024-06-07,"355,000","360,000","352,500","359,000","342,000.00","361,000.00","391,504.17","208,870","74,451,560,000"
2024-06-05,"339,000","359,500","338,000","351,500","335,800.00","362,700.00","392,066.67","395,864","139,132,029,000"
2024-06-04,"329,500","340,000","329,000","336,500","333,900.00","364,700.00","392,675.00","146,087","49,055,602,000"
2024-06-03,"330,500","341,000","329,500","332,000","338,600.00","367,425.00","393,454.17","194,056","64,774,809,000"
2024-05-31,"331,500","335,500","328,000","331,000","345,100.00","370,275.00","394,270.83","264,516","87,510,775,500"
2024-05-30,"342,000","343,500","326,000","328,000","350,100.00","373,175.00","395,083.33","401,661","132,809,640,500"
2024-05-29,"356,500","361,000","342,000","342,000","356,900.00","375,700.00","396,137.50","386,788","134,975,298,500"
2024-05-28,"363,500","363,500","359,000","360,000","361,300.00","377,200.00","397,012.50","136,480","49,256,435,500"
2024-05-27,"357,000","366,000","355,500","364,500","362,200.00","377,825.00","397,637.50","157,232","56,613,586,500"
2024-05-24,"358,500","359,000","355,500","356,000","363,700.00","378,850.00","398,220.83","213,011","76,007,017,500"
2024-05-23,"364,000","366,000","360,000","362,000","367,800.00","379,550.00","398,941.67","157,841","57,243,528,000"
2024-05-22,"366,500","369,500","364,000","364,000","371,700.00","380,375.00","399,662.50","130,152","47,644,214,500"
2024-05-21,"367,500","370,000","364,000","364,500","376,000.00","380,525.00","400,312.50","224,181","81,927,835,500"
2024-05-20,"379,000","379,500","370,000","372,000","379,400.00","381,150.00","401,000.00","159,484","59,566,472,000"
2024-05-17,"381,500","384,000","376,000","376,500","381,700.00","380,775.00","401,600.00","175,717","66,453,267,500"
2024-05-16,"389,000","390,000","381,500","381,500","384,100.00","380,250.00","402,062.50","140,797","54,059,039,000"
2024-05-14,"382,500","388,000","382,500","385,500","386,400.00","379,825.00","402,570.83","119,763","46,251,109,500"
2024-05-13,"384,000","384,500","379,000","381,500","387,600.00","379,125.00","403,120.83","125,868","47,895,710,500"
2024-05-10,"390,500","390,500","383,500","383,500","389,500.00","379,050.00","403,583.33","115,093","44,349,447,000"
2024-05-09,"390,000","393,000","383,000","388,500","390,600.00","378,575.00","403,850.00","239,286","92,714,412,000"
2024-05-08,"391,000","395,000","387,500","393,000","390,700.00","377,800.00","404,037.50","144,291","56,706,670,000"
2024-05-07,"394,500","397,000","390,500","391,500","387,800.00","376,950.00","404,337.50","117,367","46,117,610,000"
2024-05-03,"391,000","394,000","387,000","391,000","383,900.00","376,350.00","404,720.83","121,565","47,535,663,000"
2024-05-02,"385,000","392,000","381,000","389,000","380,200.00","375,600.00","405,154.17","121,266","47,206,312,000"
2024-04-30,"382,500","390,000","382,500","389,000","379,400.00","375,800.00","406,025.00","276,918","107,267,320,500"
2024-04-29,"375,000","378,500","372,000","378,500","375,600.00","376,125.00","406,133.33","150,391","56,430,267,500"
2024-04-26,"373,000","375,000","367,500","372,000","375,600.00","376,950.00","406,241.67","143,701","53,424,779,000"
2024-04-25,"380,000","381,000","372,000","372,500","374,600.00","378,425.00","406,287.50","176,196","66,250,146,500"
2024-04-24,"380,500","389,500","378,000","385,000","375,500.00","380,250.00","406,395.83","241,390","92,436,714,000"
2024-04-23,"377,000","379,000","370,000","370,000","371,400.00","381,300.00","406,562.50","121,904","45,336,732,000"
2024-04-22,"373,000","378,500","369,000","378,500","370,600.00","383,525.00","406,812.50","144,221","54,047,288,000"
2024-04-19,"372,000","372,000","364,500","367,000","369,500.00","385,275.00","406,987.50","143,664","52,758,029,500"
2024-04-18,"364,000","378,500","364,000","377,000","370,400.00","387,600.00","407,341.67","156,443","58,520,994,500"
2024-04-17,"366,000","372,000","364,000","364,500","371,000.00","389,125.00","407,937.50","99,287","36,407,569,000"
2024-04-16,"368,000","372,500","366,000","366,000","372,900.00","391,050.00","408,537.50","119,203","43,793,110,500"
2024-04-15,"367,000","377,000","365,500","373,000","374,300.00","393,125.00","409,125.00","106,708","39,636,358,000"
2024-04-12,"380,000","381,500","371,500","371,500","374,900.00","394,400.00","409,787.50","172,629","64,775,696,500"
2024-04-11,"368,500","380,000","365,000","380,000","376,500.00","396,625.00","410,566.67","341,170","128,017,844,000"
2024-04-09,"376,500","382,500","372,500","374,000","375,700.00","398,550.00","411,358.33","180,102","67,938,886,000"
2024-04-08,"374,000","375,500","358,000","373,000","379,500.00","400,825.00","412,191.67","307,183","112,264,110,000"
2024-04-05,"375,500","380,000","373,000","376,000","384,000.00","402,200.00","413,116.67","152,154","57,173,514,500"
2024-04-04,"379,500","384,000","376,000","379,500","387,800.00","403,525.00","414,095.83","175,633","66,477,243,000"
2024-04-03,"391,500","391,500","376,000","376,000","392,200.00","404,525.00","415,033.33","365,852","138,818,646,000"
2024-04-02,"395,500","400,000","392,500","393,000","398,800.00","405,075.00","415,720.83","163,860","64,638,395,000"
2024-04-01,"395,000","398,500","392,500","395,500","401,400.00","404,800.00","416,312.50","105,333","41,677,657,500"
2024-03-29,"401,500","402,500","393,000","395,000","405,200.00","404,950.00","416,912.50","200,531","79,387,161,500"
2024-03-28,"410,000","411,000","401,000","401,500","408,900.00","405,275.00","417,420.83","183,993","74,156,758,000"
2024-03-27,"406,000","412,500","404,500","409,000","411,300.00","405,225.00","418,045.83","138,182","56,390,178,000"
2024-03-26,"417,000","417,500","405,500","406,000","411,000.00","404,950.00","418,600.00","198,659","81,704,470,000"
2024-03-25,"416,500","417,000","412,000","414,500","410,400.00","405,125.00","419,183.33","162,037","67,133,840,000"
2024-03-22,"410,500","415,500","409,000","413,500","409,000.00","404,500.00","419,820.83","136,480","56,360,760,000"
2024-03-21,"409,500","414,000","409,000","413,500","406,000.00","404,250.00","420,433.33","154,423","63,626,982,500"
2024-03-20,"405,000","410,000","404,000","407,500","406,500.00","403,925.00","421,150.00","114,805","46,744,160,500"
2024-03-19,"412,000","412,000","402,000","403,000","408,700.00","403,750.00","421,891.67","118,968","48,166,724,000"
2024-03-18,"402,000","408,500","401,000","407,500","412,000.00","403,475.00","422,758.33","134,399","54,536,608,500"
2024-03-15,"407,000","410,000","398,500","398,500","410,600.00","403,600.00","423,645.83","247,909","99,449,775,500"
2024-03-14,"416,500","417,000","405,000","416,000","411,400.00","403,450.00","424,558.33","306,911","126,501,488,000"
2024-03-13,"419,500","422,000","415,000","418,500","408,100.00","402,050.00","425,212.50","212,299","88,794,540,500"
2024-03-12,"404,500","420,000","404,500","419,500","401,800.00","400,800.00","425,887.50","381,220","157,984,496,000"
2024-03-11,"402,500","407,000","399,000","400,500","395,400.00","399,525.00","426,625.00","104,044","41,874,912,500"
2024-03-08,"403,500","406,500","399,500","402,500","395,000.00","398,800.00","427,529.17","162,446","65,465,823,000"
2024-03-07,"391,000","402,000","387,500","399,500","394,800.00","397,525.00","428,483.33","199,901","79,268,613,500"
2024-03-06,"386,500","391,000","386,000","387,000","395,000.00","397,000.00","429,545.83","118,343","45,882,336,500"
2024-03-05,"396,000","398,500","387,000","387,500","398,300.00","397,025.00","430,787.50","240,864","94,084,574,500"
2024-03-04,"401,000","406,000","398,500","398,500","402,700.00","396,725.00","431,975.00","170,895","68,614,996,747"
2024-02-29,"399,000","407,000","394,000","401,500","403,400.00","395,850.00","433,004.17","355,999","142,735,468,500"
2024-02-28,"403,500","408,500","399,500","400,500","404,800.00","394,525.00","434,191.67","133,998","53,952,605,500"
2024-02-27,"413,500","417,000","400,500","403,500","406,100.00","393,375.00","435,462.50","138,018","56,293,439,000"
2024-02-26,"402,500","414,000","402,000","409,500","406,200.00","392,250.00","436,700.00","142,484","58,161,625,000"
2024-02-23,"411,500","411,500","402,000","402,000","403,800.00","390,175.00","437,895.83","146,754","59,600,924,500"
