시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"103,600","105,000","102,700","102,800","106,340.00","104,225.00","116,633.33","169,980","17,610,660,100"
2024-06-18,"109,800","110,200","102,400","103,100","106,620.00","104,370.00","116,933.33","718,167","75,352,316,700"
2024-06-17,"112,100","114,800","107,900","108,800","106,720.00","104,620.00","117,220.00","760,092","84,240,715,600"
2024-06-14,"104,600","113,300","104,400","111,900","105,220.00","104,565.00","117,468.33","922,260","100,852,054,600"
2024-06-13,"105,200","106,400","102,800","105,100","103,600.00","104,455.00","117,682.50","524,507","54,975,112,000"
2024-06-12,"103,600","106,800","103,300","104,200","103,300.00","104,720.00","117,899.17","376,204","39,467,096,100"
2024-06-11,"102,200","105,400","100,700","103,600","103,320.00","105,050.00","118,144.17","440,537","45,633,834,900"
2024-06-10,"102,800","102,800","101,100","101,300","103,860.00","105,430.00","118,404.17","384,598","39,085,261,600"
2024-06-07,"104,700","105,700","103,300","103,800","103,600.00","105,935.00","118,690.00","315,977","32,887,758,000"
2024-06-05,"103,100","106,100","101,400","103,600","103,280.00","106,395.00","118,942.50","474,895","49,318,616,000"
2024-06-04,"106,300","107,600","104,000","104,300","102,980.00","106,825.00","119,202.50","409,559","43,044,514,900"
2024-06-03,"101,000","111,900","101,000","106,300","103,120.00","107,090.00","119,460.00","1,320,915","142,792,271,400"
2024-05-31,"103,100","105,900","99,600","100,000","102,880.00","107,225.00","119,705.83","908,750","92,134,328,800"
2024-05-30,"101,300","103,400","100,200","102,200","103,220.00","107,780.00","119,992.50","361,181","36,511,507,100"
2024-05-29,"103,600","104,000","101,600","102,100","103,620.00","108,305.00","120,333.33","324,736","33,244,402,600"
2024-05-28,"105,200","106,000","103,700","105,000","104,280.00","108,535.00","120,668.33","163,498","17,133,528,900"
2024-05-27,"101,500","105,400","101,500","105,100","104,420.00","108,660.00","120,970.83","297,670","30,857,471,900"
2024-05-24,"103,200","103,800","101,300","101,700","105,020.00","108,905.00","121,261.67","453,820","46,394,021,000"
2024-05-23,"104,100","105,400","103,600","104,200","106,220.00","109,240.00","121,593.33","233,166","24,324,637,600"
2024-05-22,"106,400","106,400","104,100","105,400","107,320.00","109,560.00","121,914.17","253,684","26,658,611,700"
2024-05-21,"107,500","108,000","105,400","105,700","108,320.00","109,480.00","122,221.67","256,072","27,207,604,700"
2024-05-20,"107,800","109,600","107,400","108,100","109,340.00","109,505.00","122,525.83","177,298","19,188,229,300"
2024-05-17,"109,100","110,200","107,400","107,700","109,960.00","109,340.00","122,796.67","237,202","25,600,711,800"
2024-05-16,"111,800","112,100","108,700","109,700","110,700.00","109,145.00","123,033.33","307,111","33,783,468,000"
2024-05-14,"111,000","112,500","110,100","110,400","111,360.00","108,925.00","123,275.83","174,816","19,372,599,500"
2024-05-13,"111,600","111,600","109,700","110,800","111,720.00","108,825.00","123,520.00","160,093","17,701,229,500"
2024-05-10,"112,500","112,900","110,000","111,200","111,480.00","108,815.00","123,715.83","163,644","18,256,547,600"
2024-05-09,"112,900","113,700","111,300","111,400","111,040.00","109,130.00","123,880.83","336,743","37,745,186,100"
2024-05-08,"111,900","113,000","111,500","113,000","110,980.00","109,500.00","124,046.67","210,373","23,632,708,600"
2024-05-07,"110,800","112,200","110,000","112,200","110,920.00","109,755.00","124,238.33","254,931","28,349,381,300"
2024-05-03,"110,000","110,300","109,000","109,600","109,820.00","110,140.00","124,461.67","160,242","17,580,531,800"
2024-05-02,"109,200","111,100","108,600","109,000","109,400.00","110,530.00","124,752.50","223,560","24,449,169,200"
2024-04-30,"113,200","113,300","108,200","111,100","109,600.00","111,170.00","125,140.00","545,936","60,087,891,700"
2024-04-29,"108,000","113,600","107,400","112,700","109,060.00","111,485.00","125,356.67","548,435","61,156,878,600"
2024-04-26,"107,500","108,000","105,900","106,700","108,640.00","111,650.00","125,480.83","247,709","26,383,024,600"
2024-04-25,"109,200","109,500","107,400","107,500","108,060.00","112,235.00","125,595.00","207,953","22,484,267,700"
2024-04-24,"110,700","113,200","109,200","110,000","107,800.00","112,895.00","125,717.50","322,770","35,774,769,900"
2024-04-23,"110,400","110,400","107,500","108,400","106,760.00","113,425.00","125,850.00","187,000","20,300,704,500"
2024-04-22,"104,800","110,600","104,800","110,600","105,840.00","114,055.00","125,982.50","440,984","47,813,664,800"
2024-04-19,"105,000","105,300","103,200","103,800","104,780.00","114,525.00","126,100.00","345,437","35,961,134,300"
2024-04-18,"104,800","107,500","104,700","106,200","105,700.00","115,335.00","126,343.33","226,720","24,084,115,200"
2024-04-17,"103,600","107,700","103,600","104,800","106,580.00","116,010.00","126,633.33","351,798","37,255,285,200"
2024-04-16,"103,300","105,000","102,600","103,800","109,120.00","117,025.00","126,929.17","336,311","34,865,416,300"
2024-04-15,"109,000","110,000","105,200","105,300","112,120.00","118,115.00","127,239.17","490,834","52,460,882,800"
2024-04-12,"110,000","110,800","108,000","108,400","114,680.00","118,850.00","127,561.67","439,283","47,908,453,700"
2024-04-11,"116,300","116,900","110,500","110,600","116,980.00","119,465.00","127,885.00","852,391","96,227,669,300"
2024-04-09,"119,000","121,200","117,500","117,500","118,340.00","119,925.00","128,210.00","349,338","41,679,446,100"
2024-04-08,"117,800","119,300","114,200","118,800","119,200.00","120,095.00","128,472.50","485,400","56,527,141,000"
2024-04-05,"118,800","119,900","116,800","118,100","118,920.00","120,085.00","128,708.33","359,226","42,368,126,000"
2024-04-04,"118,500","120,200","117,500","119,900","118,500.00","120,130.00","128,947.50","347,444","41,355,148,900"
2024-04-03,"121,400","124,500","116,800","117,400","118,200.00","120,075.00","129,138.33","798,593","95,296,143,500"
2024-04-02,"117,500","122,500","117,200","121,800","118,860.00","119,990.00","129,295.83","512,554","61,620,217,100"
2024-04-01,"116,300","118,500","115,200","117,400","118,620.00","119,770.00","129,436.67","260,572","30,498,859,300"
2024-03-29,"118,700","118,900","116,000","116,000","119,340.00","119,750.00","129,620.83","444,662","52,001,765,700"
2024-03-28,"121,600","121,600","118,000","118,400","120,140.00","119,805.00","129,830.00","439,918","52,659,623,700"
2024-03-27,"120,500","121,900","120,400","120,700","120,460.00","119,865.00","130,083.33","242,007","29,286,733,000"
2024-03-26,"120,900","122,800","120,400","120,600","120,260.00","119,760.00","130,324.17","362,055","43,956,990,500"
2024-03-25,"120,500","122,400","120,300","121,000","121,160.00","119,770.00","130,612.50","341,937","41,391,113,700"
2024-03-22,"119,200","121,400","119,100","120,000","122,080.00","119,880.00","130,921.67","396,268","47,674,149,500"
