시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"67,000","67,500","62,000","63,000","66,400.00","51,910.00","52,461.25","1,854,095","118,441,557,700"
2024-06-18,"69,500","71,900","65,600","66,600","64,740.00","51,112.50","52,431.25","4,951,911","343,175,285,400"
2024-06-17,"69,400","70,100","66,100","68,400","62,160.00","50,162.50","52,386.25","3,441,271","235,327,960,000"
2024-06-14,"67,600","72,800","66,400","68,300","57,890.00","49,030.00","52,303.75","11,494,763","797,736,109,400"
2024-06-13,"55,800","67,900","53,800","65,700","53,760.00","47,932.50","52,201.25","14,677,664","908,721,677,000"
2024-06-12,"53,200","56,100","52,500","54,700","50,140.00","46,972.50","52,113.75","3,964,952","215,905,370,600"
2024-06-11,"46,950","55,300","46,950","53,700","48,420.00","46,540.00","52,131.25","5,446,535","284,558,500,150"
2024-06-10,"47,150","48,000","46,600","47,050","47,920.00","46,200.00","52,157.92","676,682","31,890,226,050"
2024-06-07,"48,200","50,500","47,400","47,650","47,120.00","46,152.50","52,240.00","1,904,710","92,507,319,350"
2024-06-05,"46,050","49,550","45,650","47,600","46,200.00","46,112.50","52,314.58","2,787,983","133,503,705,500"
2024-06-04,"49,600","54,200","46,000","46,100","45,380.00","46,092.50","52,381.25","5,628,047","281,984,430,500"
2024-06-03,"43,100","53,500","42,950","51,200","45,340.00","46,095.00","52,442.08","9,276,270","470,545,651,500"
2024-05-31,"43,100","44,000","42,850","43,050","44,400.00","45,845.00","52,472.92","470,047","20,289,906,700"
2024-05-30,"43,200","44,100","43,050","43,050","44,770.00","46,007.50","52,578.33","297,277","12,916,691,850"
2024-05-29,"45,450","45,650","43,500","43,500","45,220.00","46,220.00","52,696.25","695,699","30,710,545,950"
2024-05-28,"46,500","46,500","45,450","45,900","45,720.00","46,315.00","52,817.08","296,878","13,599,927,000"
2024-05-27,"44,900","46,500","44,350","46,500","45,950.00","46,257.50","52,914.58","348,400","15,836,099,950"
2024-05-24,"44,600","45,300","44,300","44,900","46,170.00","46,212.50","53,004.58","255,833","11,447,350,350"
2024-05-23,"45,600","45,750","44,500","45,300","46,340.00","46,207.50","53,121.25","378,971","17,095,779,550"
2024-05-22,"47,500","47,750","46,000","46,000","46,550.00","46,185.00","53,228.75","363,520","16,866,786,800"
2024-05-21,"47,900","48,650","46,850","47,050","46,650.00","46,017.50","53,327.92","500,434","23,787,865,100"
2024-05-20,"46,100","48,600","45,200","47,600","46,450.00","45,855.00","53,426.67","964,855","45,893,553,050"
2024-05-17,"46,150","46,350","45,750","45,750","46,310.00","45,575.00","53,523.33","243,014","11,172,233,450"
2024-05-16,"47,100","47,400","46,100","46,350","46,380.00","45,462.50","53,627.92","343,774","15,985,992,200"
2024-05-14,"46,500","46,900","46,150","46,500","46,480.00","45,402.50","53,739.17","191,178","8,902,219,200"
2024-05-13,"46,900","47,100","46,000","46,050","46,620.00","45,400.00","53,845.83","224,558","10,414,850,050"
2024-05-10,"46,800","47,700","46,500","46,900","46,640.00","45,472.50","53,957.92","330,252","15,536,647,350"
2024-05-09,"46,900","47,200","46,100","46,100","46,500.00","45,560.00","54,051.25","321,386","14,933,149,500"
2024-05-08,"47,150","47,150","46,350","46,850","46,540.00","45,710.00","54,137.08","236,901","11,061,541,450"
2024-05-07,"46,800","47,200","46,350","47,200","46,630.00","45,802.50","54,239.17","278,870","13,059,662,300"
2024-05-03,"46,500","46,900","46,100","46,150","46,270.00","45,962.50","54,320.00","200,192","9,294,546,250"
2024-05-02,"46,200","47,100","45,950","46,200","45,990.00","46,160.00","54,419.58","291,737","13,548,723,600"
2024-04-30,"47,450","47,500","46,300","46,300","45,870.00","46,470.00","54,577.92","440,456","20,599,940,550"
2024-04-29,"45,400","47,400","44,950","47,300","45,570.00","46,795.00","54,640.42","548,969","25,507,748,900"
2024-04-26,"45,250","46,450","44,200","45,400","45,080.00","47,075.00","54,691.25","519,443","23,660,066,650"
2024-04-25,"45,150","45,600","44,550","44,750","44,530.00","47,465.00","54,744.58","302,266","13,586,597,800"
2024-04-24,"46,000","46,950","45,300","45,600","44,340.00","47,957.50","54,789.17","442,417","20,276,895,200"
2024-04-23,"45,000","45,650","44,200","44,800","43,620.00","48,447.50","54,858.33","427,076","19,163,559,100"
