시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"39,000","39,400","38,200","38,250","38,220.00","36,087.50","31,717.08","483,402","18,730,236,100"
2024-06-18,"38,550","39,700","37,850","38,300","38,150.00","35,925.00","31,625.83","901,468","34,889,398,950"
2024-06-17,"38,700","39,400","37,600","37,750","38,010.00","35,707.50","31,535.00","562,744","21,540,124,550"
2024-06-14,"38,750","39,400","37,550","38,400","38,180.00","35,557.50","31,445.00","665,590","25,592,372,950"
2024-06-13,"38,900","39,600","38,400","38,400","38,690.00","35,415.00","31,355.83","1,327,046","51,846,032,650"
2024-06-12,"38,400","39,150","37,600","37,900","38,090.00","35,222.50","31,262.50","1,096,235","42,084,667,600"
2024-06-11,"39,300","39,300","37,500","37,600","37,310.00","35,032.50","31,169.58","1,115,773","42,797,685,500"
2024-06-10,"40,550","40,700","37,850","38,600","36,770.00","34,905.00","31,078.33","2,101,914","82,234,737,650"
2024-06-07,"35,950","41,000","35,850","40,950","35,770.00","34,747.50","30,982.50","5,293,508","209,888,940,900"
2024-06-05,"34,350","35,550","34,000","35,400","34,500.00","34,495.00","30,862.08","545,295","19,041,437,400"
2024-06-04,"34,900","35,150","33,950","34,000","34,280.00","34,417.50","30,782.08","283,110","9,808,461,000"
2024-06-03,"33,850","35,150","33,500","34,900","34,340.00","34,410.00","30,711.25","411,160","14,214,049,900"
2024-05-31,"34,400","34,600","33,000","33,600","34,080.00","34,357.50","30,635.42","334,073","11,290,807,250"
2024-05-30,"34,300","35,200","34,150","34,600","33,940.00","34,277.50","30,572.92","382,238","13,248,630,450"
2024-05-29,"35,350","35,350","33,500","34,300","33,820.00","34,135.00","30,508.33","581,949","19,997,010,600"
2024-05-28,"33,500","34,700","33,200","34,300","33,760.00","34,025.00","30,449.17","449,131","15,352,358,100"
2024-05-27,"32,750","33,600","32,200","33,600","33,900.00","33,887.50","30,396.25","367,064","12,030,906,300"
2024-05-24,"33,150","33,300","32,450","32,900","33,970.00","33,782.50","30,347.50","335,288","11,013,036,650"
2024-05-23,"34,400","34,400","33,700","34,000","34,340.00","33,667.50","30,302.92","160,555","5,454,382,400"
2024-05-22,"35,100","35,100","34,000","34,000","34,650.00","33,502.50","30,245.83","260,988","8,981,962,650"
2024-05-21,"34,100","35,400","34,100","35,000","34,760.00","33,377.50","30,190.83","415,705","14,440,258,700"
2024-05-20,"34,150","34,700","32,850","33,950","34,580.00","33,287.50","30,124.58","530,656","17,903,492,950"
2024-05-17,"35,950","35,950","34,700","34,750","34,800.00","33,232.50","30,066.67","348,396","12,245,705,650"
2024-05-16,"35,100","36,050","34,700","35,550","34,940.00","33,090.00","30,000.42","631,462","22,408,902,150"
2024-05-14,"34,150","34,850","33,800","34,550","35,010.00","32,992.50","29,923.33","360,870","12,428,463,100"
2024-05-13,"35,650","36,850","33,700","34,100","34,870.00","32,922.50","29,854.17","1,463,895","51,148,150,950"
2024-05-10,"35,250","35,900","33,800","35,050","34,820.00","32,885.00","29,786.67","978,674","34,096,446,250"
2024-05-09,"35,900","36,100","34,900","35,450","34,580.00","32,762.50","29,710.42","468,673","16,631,840,150"
2024-05-08,"33,900","35,950","33,300","35,900","33,890.00","32,625.00","29,633.33","852,842","29,910,271,550"
2024-05-07,"34,500","35,000","33,750","33,850","33,060.00","32,535.00","29,550.42","479,439","16,441,905,050"
2024-05-03,"33,950","34,200","33,150","33,850","32,710.00","32,537.50","29,483.33","338,683","11,443,796,950"
2024-05-02,"31,700","34,000","31,450","33,850","32,250.00","32,507.50","29,420.00","526,350","17,470,443,100"
2024-04-30,"31,600","32,250","31,350","32,000","31,780.00","32,492.50","29,359.17","154,842","4,934,044,950"
2024-04-29,"32,550","32,600","31,400","31,750","31,500.00","32,590.00","29,305.42","296,445","9,401,300,600"
2024-04-26,"31,950","32,350","31,700","32,100","31,290.00","32,682.50","29,250.42","192,152","6,150,754,750"
2024-04-25,"30,850","32,500","30,700","31,550","31,170.00","32,682.50","29,184.17","279,762","8,911,542,800"
2024-04-24,"31,300","31,850","31,200","31,500","31,500.00","32,702.50","29,117.50","236,053","7,429,927,500"
2024-04-23,"31,000","31,100","30,100","30,600","31,770.00","32,727.50","29,056.67","213,417","6,542,824,000"
2024-04-22,"30,800","31,150","30,150","30,700","32,030.00","32,790.00","29,002.08","419,478","12,801,643,950"
2024-04-19,"32,650","32,650","30,550","31,500","32,610.00","32,855.00","28,947.50","518,059","16,261,433,600"
2024-04-18,"32,550","33,250","31,900","33,200","32,940.00","32,930.00","28,892.92","375,449","12,287,712,900"
2024-04-17,"32,150","33,150","32,150","32,850","32,970.00","32,807.50","28,824.17","260,334","8,538,772,100"
2024-04-16,"32,750","33,050","31,150","31,900","32,920.00","32,615.00","28,751.67","475,188","15,167,173,250"
2024-04-15,"32,400","33,600","32,000","33,600","33,080.00","32,497.50","28,690.00","310,967","10,172,531,550"
2024-04-12,"33,850","34,100","33,000","33,150","33,180.00","32,257.50","28,618.75","286,710","9,581,366,450"
2024-04-11,"31,800","33,650","31,800","33,350","33,330.00","32,052.50","28,564.17","463,615","15,204,741,500"
2024-04-09,"32,500","32,950","31,800","32,600","33,310.00","31,880.00","28,514.17","312,591","10,110,849,000"
2024-04-08,"34,750","34,800","32,500","32,700","33,500.00","31,757.50","28,473.33","500,794","16,695,037,500"
2024-04-05,"33,350","35,200","33,150","34,100","33,750.00","31,610.00","28,439.58","623,251","21,341,533,600"
2024-04-04,"33,950","35,250","33,650","33,900","33,650.00","31,435.00","28,395.83","684,824","23,482,521,500"
2024-04-03,"32,950","33,700","32,400","33,250","33,290.00","31,255.00","28,352.50","421,464","13,906,981,650"
2024-04-02,"35,000","35,400","33,350","33,550","33,030.00","31,052.50","28,310.83","683,549","23,310,465,350"
2024-04-01,"33,850","34,500","33,200","33,950","32,720.00","30,787.50","28,270.83","544,335","18,437,393,350"
2024-03-29,"32,050","34,500","31,900","33,600","32,300.00","30,532.50","28,222.08","1,029,703","34,573,308,300"
2024-03-28,"31,550","32,700","31,550","32,100","31,980.00","30,255.00","28,168.33","300,901","9,652,713,550"
2024-03-27,"31,550","32,250","31,300","31,950","32,160.00","29,985.00","28,132.08","289,818","9,212,806,100"
2024-03-26,"32,200","33,050","31,700","32,000","31,920.00","29,705.00","28,095.42","518,949","16,777,535,700"
2024-03-25,"31,800","32,100","31,350","31,850","31,320.00","29,460.00","28,062.92","281,497","8,946,976,800"
2024-03-22,"33,000","33,050","31,750","32,000","30,860.00","29,240.00","28,032.50","447,427","14,417,383,850"
2024-03-21,"31,600","33,350","31,450","33,000","30,220.00","29,040.00","28,000.00","1,454,947","47,239,440,950"
2024-03-20,"29,050","31,150","28,900","30,750","29,430.00","28,785.00","27,965.42","666,504","20,301,337,500"
2024-03-19,"29,300","29,300","28,700","29,000","29,260.00","28,617.50","27,953.33","131,507","3,811,355,950"
2024-03-18,"28,850","29,550","28,850","29,550","29,490.00","28,545.00","27,960.83","229,844","6,739,623,350"
2024-03-15,"28,600","29,150","28,350","28,800","29,530.00","28,432.50","27,968.33","212,276","6,094,392,200"
2024-03-14,"29,550","29,800","28,600","29,050","29,890.00","28,390.00","27,981.67","325,926","9,450,338,600"
2024-03-13,"30,600","30,650","29,350","29,900","30,140.00","28,360.00","27,973.75","319,084","9,519,942,500"
2024-03-12,"29,800","30,700","29,750","30,150","30,000.00","28,287.50","27,953.33","289,949","8,769,877,850"
2024-03-11,"30,200","30,200","29,600","29,750","29,620.00","28,175.00","27,931.25","300,415","8,938,872,900"
2024-03-08,"30,600","31,200","30,350","30,600","29,440.00","28,070.00","27,912.08","547,530","16,829,163,500"
2024-03-07,"30,500","31,150","29,800","30,300","28,930.00","27,970.00","27,889.17","1,216,258","36,944,971,450"
2024-03-06,"28,100","29,350","27,950","29,200","28,210.00","27,850.00","27,870.00","312,887","9,043,805,250"
2024-03-05,"28,900","29,050","28,100","28,250","27,640.00","27,802.50","27,865.42","188,833","5,361,288,000"
2024-03-04,"28,750","29,550","28,450","28,850","27,410.00","27,780.00","27,872.50","486,331","14,058,549,700"
2024-02-29,"26,400","28,150","26,200","28,050","27,130.00","27,755.00","27,875.00","333,416","9,122,931,550"
2024-02-28,"26,350","27,000","26,200","26,700","27,120.00","27,807.50","27,875.42","148,078","3,947,554,750"
2024-02-27,"27,050","27,300","26,100","26,350","27,360.00","27,945.00","27,886.25","302,525","8,003,389,700"
2024-02-26,"27,400","27,850","27,100","27,100","27,570.00","28,107.50","27,899.58","153,400","4,188,010,750"
2024-02-23,"28,300","28,550","27,400","27,450","27,660.00","28,282.50","27,903.33","198,028","5,517,072,900"
2024-02-22,"28,150","28,350","27,800","28,000","27,630.00","28,457.50","27,905.42","165,407","4,633,655,900"
2024-02-21,"27,150","28,000","27,000","27,900","27,620.00","28,592.50","27,907.50","244,563","6,772,013,500"
2024-02-20,"27,550","27,700","27,200","27,400","27,730.00","28,787.50","27,905.42","154,318","4,231,337,400"
2024-02-19,"27,250","27,700","27,150","27,550","27,940.00","28,990.00","27,902.50","145,978","4,007,325,600"
2024-02-16,"28,000","28,000","27,100","27,300","28,010.00","29,147.50","27,895.83","415,242","11,366,259,150"
