시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"9,930","9,940","9,610","9,650","9,806.00","9,761.00","9,094.67","238,996","2,327,985,220"
2024-06-18,"9,630","10,570","9,630","9,770","9,848.00","9,730.00","9,081.75","2,588,791","26,185,160,330"
2024-06-17,"9,750","9,980","9,530","9,620","9,894.00","9,705.50","9,068.75","417,901","4,055,497,200"
2024-06-14,"10,180","10,200","9,700","9,790","10,000.00","9,675.00","9,056.92","529,835","5,238,557,310"
2024-06-13,"9,750","10,300","9,750","10,200","10,130.00","9,639.00","9,041.42","1,096,663","11,041,730,490"
2024-06-12,"9,940","10,350","9,620","9,860","10,496.00","9,583.00","9,022.42","1,213,267","12,020,237,100"
2024-06-11,"10,250","10,460","9,850","10,000","11,024.00","9,540.00","9,007.33","1,170,020","11,815,163,350"
2024-06-10,"10,240","10,620","10,060","10,150","11,222.00","9,502.00","8,991.75","1,438,634","14,720,143,660"
2024-06-07,"11,730","12,580","10,440","10,440","10,884.00","9,458.00","8,973.83","5,138,221","58,748,934,580"
2024-06-05,"12,490","12,930","11,310","12,030","10,482.00","9,375.50","8,953.00","5,896,378","71,300,951,090"
2024-06-04,"11,250","14,100","11,250","12,500","9,812.00","9,219.00","8,920.00","17,921,380","231,139,229,390"
2024-06-03,"8,540","10,990","8,460","10,990","9,038.00","9,030.00","8,883.83","11,962,306","123,689,044,490"
2024-05-31,"8,380","8,480","8,360","8,460","8,580.00","8,904.00","8,861.67","135,829","1,143,237,860"
2024-05-30,"8,720","8,810","8,410","8,430","8,696.00","8,916.00","8,858.50","234,466","2,005,999,940"
2024-05-29,"8,790","8,970","8,640","8,680","8,858.00","8,927.50","8,856.75","319,864","2,816,484,030"
2024-05-28,"8,750","8,790","8,610","8,630","8,930.00","8,930.00","8,852.67","162,375","1,410,653,990"
2024-05-27,"9,010","9,090","8,620","8,700","9,010.00","8,937.50","8,845.75","436,684","3,836,424,210"
2024-05-24,"9,230","9,230","9,000","9,040","9,126.00","8,950.50","8,838.75","309,376","2,815,572,520"
2024-05-23,"9,150","9,450","9,100","9,240","9,120.00","8,945.50","8,829.67","826,873","7,690,062,480"
2024-05-22,"9,030","9,180","8,970","9,040","9,086.00","8,928.50","8,818.67","223,922","2,033,783,700"
2024-05-21,"9,390","9,420","9,020","9,030","9,094.00","8,968.50","8,809.50","418,450","3,857,137,540"
2024-05-20,"9,070","9,380","9,020","9,280","9,088.00","8,957.00","8,801.83","625,199","5,769,695,170"
2024-05-17,"9,140","9,250","8,960","9,010","9,080.00","8,947.00","8,792.17","307,381","2,787,730,540"
2024-05-16,"9,020","9,130","9,000","9,070","9,132.00","8,964.00","8,784.00","195,941","1,772,360,720"
2024-05-14,"9,310","9,480","9,030","9,080","9,076.00","8,996.00","8,778.83","373,752","3,415,069,410"
