시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"200,500","201,000","199,600","199,600","200,440.00","199,500.00","210,787.50","73,360","14,664,852,900"
2024-06-18,"203,000","203,000","199,800","199,900","200,340.00","198,920.00","211,115.83","216,279","43,401,138,900"
2024-06-17,"201,500","203,500","199,100","202,500","199,960.00","198,485.00","211,462.50","204,260","41,097,332,100"
2024-06-14,"199,300","201,000","198,200","200,500","199,960.00","198,055.00","211,762.50","207,259","41,377,207,300"
2024-06-13,"201,000","201,000","198,500","199,700","199,260.00","197,730.00","212,033.33","309,593","61,759,157,300"
2024-06-12,"200,500","201,500","198,300","199,100","199,020.00","197,420.00","212,315.00","200,055","39,981,608,800"
2024-06-11,"202,500","203,500","198,000","198,000","199,200.00","197,105.00","212,605.83","259,363","51,694,402,900"
2024-06-10,"197,000","204,000","197,000","202,500","199,700.00","197,230.00","212,939.17","293,388","59,043,243,500"
2024-06-07,"198,500","199,800","196,500","197,000","199,200.00","197,100.00","213,230.83","188,602","37,261,829,700"
2024-06-05,"200,500","201,000","198,500","198,500","200,600.00","197,400.00","213,493.33","214,389","42,731,828,700"
2024-06-04,"201,000","202,500","198,800","200,000","200,760.00","197,700.00","213,743.33","225,339","45,254,391,600"
2024-06-03,"201,000","204,000","199,600","200,500","200,760.00","197,875.00","213,851.67","289,503","58,195,567,300"
2024-05-31,"198,600","207,000","193,000","200,000","201,360.00","197,850.00","213,922.50","988,802","196,233,748,400"
2024-05-30,"198,000","206,500","197,300","204,000","201,460.00","197,950.00","214,018.33","388,278","78,734,774,100"
2024-05-29,"198,600","201,500","198,000","199,300","200,280.00","198,000.00","214,114.17","173,129","34,545,628,900"
2024-05-28,"203,000","203,500","197,100","200,000","197,780.00","198,110.00","214,245.00","304,764","60,755,097,500"
2024-05-27,"204,500","208,500","202,000","203,500","195,380.00","198,710.00","214,353.33","422,906","86,731,898,500"
2024-05-24,"198,100","203,000","196,900","200,500","192,920.00","199,085.00","214,424.17","361,727","72,397,390,200"
2024-05-23,"186,500","201,500","185,700","198,100","191,600.00","199,560.00","214,507.50","662,370","129,281,721,300"
2024-05-22,"187,500","189,500","186,600","186,800","190,780.00","200,280.00","214,623.33","210,132","39,433,827,000"
2024-05-21,"190,300","191,200","187,900","188,000","192,120.00","202,465.00","214,733.33","264,225","49,805,287,700"
2024-05-20,"193,800","193,900","191,000","191,200","193,080.00","204,490.00","214,826.67","209,543","40,135,446,900"
2024-05-17,"193,500","196,600","193,200","193,900","194,940.00","205,880.00","214,845.00","187,827","36,608,145,200"
2024-05-16,"194,200","197,400","192,700","194,000","196,140.00","207,335.00","214,815.00","261,386","50,802,191,700"
2024-05-14,"191,500","195,600","191,500","193,500","197,940.00","208,360.00","214,910.83","181,446","35,270,816,600"
2024-05-13,"201,000","201,000","192,000","192,800","200,140.00","209,335.00","215,056.67","499,201","97,121,162,200"
2024-05-10,"199,800","202,500","196,500","200,500","202,280.00","210,520.00","215,154.17","1,348,983","269,763,892,300"
2024-05-09,"202,500","203,000","199,700","199,900","202,180.00","211,320.00","215,170.83","300,714","60,282,559,300"
2024-05-08,"204,500","205,500","202,500","203,000","202,600.00","212,175.00","215,271.67","200,974","40,939,640,000"
2024-05-07,"204,000","204,500","201,000","204,500","203,000.00","213,225.00","215,346.67","270,690","55,099,431,000"
2024-05-03,"201,500","205,500","200,000","203,500","202,400.00","214,050.00","215,446.67","360,938","73,031,713,500"
2024-05-02,"202,500","205,500","200,000","200,000","204,100.00","215,075.00","215,546.67","385,603","78,044,444,500"
2024-04-30,"203,500","205,000","202,000","202,000","206,300.00","216,200.00","215,775.83","280,426","56,940,284,000"
2024-04-29,"201,500","206,500","201,000","205,000","207,900.00","217,425.00","215,892.50","502,131","102,427,487,500"
2024-04-26,"206,000","207,500","199,800","201,500","209,400.00","218,675.00","216,080.00","1,122,644","227,545,903,500"
2024-04-25,"212,500","217,000","207,000","212,000","215,200.00","220,050.00","216,321.67","625,138","132,188,162,500"
2024-04-24,"210,500","214,500","209,000","211,000","218,500.00","220,650.00","216,384.17","584,355","123,617,286,000"
2024-04-23,"209,000","212,500","202,500","210,000","220,100.00","220,575.00","216,455.00","1,096,822","227,113,890,500"
2024-04-22,"233,500","238,500","206,000","212,500","222,700.00","220,425.00","216,471.67","1,044,009","227,572,057,000"
