시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"132,200","135,000","130,800","133,900","127,680.00","122,315.00","111,556.67","807,178","107,223,260,400"
2024-06-18,"129,900","133,900","129,100","131,000","125,400.00","121,340.00","111,185.00","2,632,809","346,627,892,000"
2024-06-17,"124,000","129,400","123,800","129,100","123,600.00","120,535.00","110,838.33","2,654,199","337,898,780,800"
2024-06-14,"121,400","124,600","120,800","122,700","122,060.00","119,715.00","110,506.67","1,278,973","157,096,552,400"
2024-06-13,"123,100","125,400","121,600","121,700","121,740.00","119,315.00","110,210.83","2,186,257","270,419,752,300"
2024-06-12,"124,000","124,000","121,400","122,500","121,300.00","118,925.00","109,925.00","970,708","118,802,855,800"
2024-06-11,"122,700","123,200","121,300","122,000","120,600.00","118,515.00","109,632.50","1,214,447","148,563,387,100"
2024-06-10,"121,000","123,000","120,000","121,400","120,340.00","118,120.00","109,341.67","970,865","118,195,958,393"
2024-06-07,"120,500","122,300","119,500","121,100","119,600.00","117,635.00","109,050.00","976,721","117,765,134,500"
2024-06-05,"119,000","120,200","118,300","119,500","118,920.00","117,380.00","108,750.00","1,068,743","127,607,818,200"
2024-06-04,"120,700","121,700","118,100","119,000","119,420.00","117,190.00","108,458.33","820,199","97,978,013,100"
2024-06-03,"120,100","122,800","119,800","120,700","120,100.00","116,935.00","108,167.50","906,152","110,053,127,200"
2024-05-31,"119,200","120,800","117,700","117,700","120,460.00","116,880.00","107,862.50","2,011,874","238,882,889,700"
2024-05-30,"121,100","122,200","117,700","117,700","120,920.00","116,895.00","107,596.67","1,096,042","130,410,553,200"
2024-05-29,"121,200","123,000","119,200","122,000","121,480.00","116,925.00","107,331.67","1,277,990","154,821,979,400"
2024-05-28,"123,000","124,800","122,000","122,400","120,860.00","116,735.00","107,031.67","1,096,369","134,786,703,200"
2024-05-27,"120,500","124,400","118,600","122,500","119,260.00","116,445.00","106,716.67","1,644,197","200,829,138,900"
2024-05-24,"119,300","122,100","118,800","120,000","117,740.00","116,130.00","106,396.67","1,463,021","176,072,684,000"
2024-05-23,"119,000","120,900","116,200","120,500","116,280.00","115,925.00","106,098.33","1,760,819","209,433,462,500"
2024-05-22,"113,600","119,700","113,400","118,900","115,120.00","115,655.00","105,798.33","2,260,904","264,959,146,300"
2024-05-21,"114,900","115,000","113,800","114,400","114,120.00","115,230.00","105,500.00","695,579","79,501,744,302"
2024-05-20,"113,400","116,500","113,000","114,900","114,100.00","115,120.00","105,243.33","850,630","97,688,694,800"
2024-05-17,"115,100","115,900","112,500","112,700","113,940.00","115,030.00","104,989.17","1,087,425","124,212,733,936"
2024-05-16,"114,900","115,500","113,400","114,700","113,740.00","115,130.00","104,760.00","963,262","110,277,203,800"
2024-05-14,"114,500","115,200","112,500","113,900","114,000.00","115,125.00","104,508.33","788,713","89,646,763,000"
2024-05-13,"113,900","115,700","113,300","114,300","114,360.00","114,920.00","104,238.33","935,835","106,999,101,300"
2024-05-10,"113,500","114,500","112,000","114,100","114,280.00","114,790.00","103,937.50","1,422,408","160,926,727,000"
2024-05-09,"116,400","116,400","111,200","111,700","115,380.00","114,485.00","103,628.33","1,762,344","198,688,958,000"
2024-05-08,"114,700","117,200","114,700","116,000","116,640.00","114,325.00","103,339.17","792,482","91,822,114,400"
2024-05-07,"114,000","116,600","114,000","115,700","117,100.00","113,775.00","103,018.33","1,204,913","139,389,407,100"
2024-05-03,"120,300","120,800","113,600","113,900","117,600.00","113,325.00","102,695.83","1,779,155","206,670,756,300"
2024-05-02,"118,300","119,600","117,500","119,600","118,140.00","112,720.00","102,392.50","1,246,995","148,076,117,307"
2024-04-30,"118,100","119,500","117,200","118,000","117,460.00","111,975.00","102,054.17","1,264,927","149,563,697,254"
2024-04-29,"119,500","121,300","117,600","118,300","117,040.00","111,510.00","101,717.50","1,820,652","217,551,161,900"
2024-04-26,"116,600","121,500","114,500","118,200","116,400.00","111,105.00","101,385.83","2,705,868","320,236,644,700"
2024-04-25,"114,800","118,000","114,200","116,600","114,840.00","110,795.00","101,045.83","1,708,852","199,349,183,100"
2024-04-24,"114,800","116,800","114,200","116,200","113,960.00","110,645.00","100,715.00","1,178,637","136,644,853,700"
2024-04-23,"116,000","118,300","114,500","115,900","113,340.00","110,555.00","100,397.50","1,392,773","161,735,850,100"
2024-04-22,"111,600","115,500","111,600","115,100","113,100.00","110,335.00","100,095.83","1,916,502","218,334,168,400"
2024-04-19,"111,000","113,700","107,800","110,400","113,000.00","110,225.00","99,811.67","2,114,673","232,418,388,800"
2024-04-18,"114,000","114,600","110,700","112,200","112,880.00","110,490.00","99,575.00","1,665,994","186,413,191,800"
2024-04-17,"114,800","114,900","111,300","113,100","112,780.00","110,665.00","99,324.17","1,576,611","178,794,143,930"
2024-04-16,"113,500","115,200","112,200","114,700","111,760.00","110,955.00","99,073.33","1,988,405","226,910,093,100"
2024-04-15,"109,200","115,000","107,200","114,600","110,520.00","111,620.00","98,798.33","2,446,762","275,367,181,200"
2024-04-12,"111,500","111,700","108,000","109,800","108,600.00","112,140.00","98,544.17","1,226,958","134,803,616,600"
2024-04-11,"104,600","111,800","104,400","111,700","107,980.00","113,075.00","98,328.33","2,217,580","242,915,764,900"
2024-04-09,"111,100","112,500","107,800","108,000","106,000.00","113,785.00","98,083.33","1,652,638","181,799,266,500"
2024-04-08,"105,000","111,000","105,000","108,500","105,340.00","114,690.00","97,882.50","2,070,252","225,905,150,700"
2024-04-05,"105,300","108,500","104,300","105,000","105,380.00","115,575.00","97,680.00","1,944,665","206,599,919,642"
2024-04-04,"103,600","106,900","102,700","106,700","106,420.00","116,745.00","97,509.17","2,078,100","218,815,301,872"
2024-04-03,"104,300","105,400","101,800","101,800","107,480.00","117,715.00","97,324.17","1,671,419","172,306,757,200"
2024-04-02,"108,200","108,700","104,000","104,700","109,840.00","118,975.00","97,176.67","2,520,832","265,781,623,200"
2024-04-01,"110,900","111,500","108,200","108,700","111,780.00","119,890.00","97,014.17","1,112,885","121,483,453,900"
2024-03-29,"112,200","113,400","110,000","110,200","112,340.00","120,735.00","96,804.17","1,307,187","144,885,263,100"
2024-03-28,"114,200","114,300","111,800","112,000","112,880.00","121,450.00","96,568.33","1,350,186","152,134,528,500"
2024-03-27,"114,400","115,000","112,900","113,600","113,620.00","121,735.00","96,313.33","1,270,063","144,723,336,150"
2024-03-26,"111,200","115,400","111,200","114,400","114,040.00","121,685.00","96,040.83","2,021,266","230,717,515,500"
2024-03-25,"113,100","113,500","111,000","111,500","114,940.00","121,695.00","95,771.67","1,550,861","173,469,114,400"
2024-03-22,"116,200","116,800","112,100","112,900","118,240.00","122,040.00","95,510.83","2,811,721","319,502,534,600"
2024-03-21,"117,300","118,000","115,500","115,700","120,660.00","122,360.00","95,235.00","2,960,845","345,174,645,600"
2024-03-20,"119,500","120,300","115,100","115,700","123,220.00","122,415.00","94,949.17","2,379,123","278,418,556,500"
2024-03-19,"123,200","123,600","118,200","118,900","125,260.00","122,435.00","94,646.67","3,390,443","408,089,766,700"
2024-03-18,"126,200","128,200","124,700","128,000","126,700.00","122,370.00","94,317.50","1,548,673","196,553,605,300"
2024-03-15,"128,100","130,700","125,000","125,000","126,340.00","121,760.00","93,918.33","2,180,445","277,803,627,500"
2024-03-14,"125,900","129,600","125,500","128,500","127,020.00","121,185.00","93,536.67","1,913,544","244,713,323,100"
2024-03-13,"125,900","127,300","124,500","125,900","126,540.00","120,640.00","93,120.00","1,396,568","175,424,187,200"
2024-03-12,"125,100","127,600","125,100","126,100","126,760.00","120,205.00","92,718.33","1,085,368","136,973,169,200"
2024-03-11,"128,900","131,700","126,100","126,200","126,140.00","119,560.00","92,314.17","1,885,521","242,610,600,100"
2024-03-08,"126,900","130,000","126,200","128,400","126,020.00","118,985.00","91,910.83","2,324,865","298,124,768,100"
2024-03-07,"127,000","129,200","125,500","126,100","125,240.00","118,145.00","91,493.33","1,849,757","234,777,970,600"
2024-03-06,"121,700","127,900","121,700","127,000","123,560.00","117,755.00","91,100.00","2,543,361","318,464,996,128"
2024-03-05,"124,000","124,900","122,300","123,000","120,680.00","117,380.00","90,700.83","2,940,381","363,041,561,785"
2024-03-04,"124,500","126,900","124,000","125,600","119,000.00","116,545.00","90,342.50","3,032,627","379,723,551,592"
2024-02-29,"118,300","126,900","117,500","124,500","117,560.00","115,410.00","89,960.00","5,862,121","721,606,987,100"
2024-02-28,"112,600","117,800","112,000","117,700","116,520.00","114,085.00","89,590.83","1,833,765","211,155,243,200"
2024-02-27,"111,800","115,800","111,800","112,600","116,340.00","113,195.00","89,280.00","2,108,829","240,137,224,200"
2024-02-26,"116,000","116,500","112,300","114,600","117,040.00","112,285.00","89,010.00","2,748,769","314,659,065,400"
2024-02-23,"119,400","120,700","118,000","118,400","117,640.00","111,205.00","88,707.50","2,253,030","268,090,894,500"
2024-02-22,"116,800","121,900","115,300","119,300","117,120.00","109,680.00","88,371.67","3,154,400","375,395,645,200"
2024-02-21,"116,200","118,600","115,000","116,800","115,960.00","108,110.00","88,034.17","1,845,668","214,930,627,600"
2024-02-20,"115,600","118,700","113,000","116,100","116,120.00","106,630.00","87,716.67","1,952,950","225,832,797,400"
2024-02-19,"115,600","119,300","115,300","117,600","116,340.00","105,205.00","87,405.83","1,750,923","205,794,936,000"
2024-02-16,"113,500","115,900","111,500","115,800","115,460.00","103,690.00","87,076.67","2,159,137","245,807,490,032"
2024-02-15,"119,300","119,700","113,100","113,500","115,240.00","102,295.00","86,765.00","2,518,069","289,684,934,300"
2024-02-14,"115,600","118,800","114,700","117,600","114,860.00","101,110.00","86,472.50","1,530,264","179,289,243,200"
2024-02-13,"116,300","120,000","115,100","117,200","115,000.00","99,775.00","86,142.50","3,370,853","396,270,932,500"
2024-02-08,"112,700","114,700","111,300","113,200","115,460.00","98,330.00","85,821.67","2,788,161","315,724,234,100"
2024-02-07,"112,000","115,800","110,100","114,700","114,080.00","97,155.00","85,547.50","4,555,156","518,073,712,800"
2024-02-06,"115,600","118,000","110,900","111,600","111,720.00","95,945.00","85,249.17","5,169,164","585,989,846,300"
2024-02-05,"119,600","121,300","113,700","118,300","109,000.00","94,820.00","84,976.67","6,726,216","789,553,233,400"
2024-02-02,"110,000","119,900","108,700","119,500","105,320.00","93,350.00","84,643.33","8,478,816","967,704,336,100"
2024-02-01,"102,800","106,800","101,600","106,300","100,300.00","91,955.00","84,294.17","3,751,067","393,482,051,500"
2024-01-31,"99,400","103,000","98,500","102,900","97,640.00","91,285.00","84,080.00","3,793,928","384,231,079,600"
2024-01-30,"101,000","103,600","97,800","98,000","94,640.00","90,830.00","83,895.00","3,463,949","347,500,764,800"
2024-01-29,"94,700","100,000","94,400","99,900","92,620.00","90,810.00","83,745.00","3,200,604","314,718,212,200"
2024-01-26,"94,600","95,700","92,700","94,400","90,080.00","90,815.00","83,606.67","2,383,070","224,619,256,200"
2024-01-25,"87,100","93,000","86,100","93,000","88,720.00","90,945.00","83,509.17","3,397,759","309,458,422,400"
2024-01-24,"87,500","88,200","86,800","87,900","87,580.00","91,110.00","83,435.83","882,524","77,157,484,000"
2024-01-23,"87,100","88,100","86,900","87,900","87,580.00","91,495.00","83,395.83","917,374","80,275,241,000"
2024-01-22,"87,700","88,300","85,900","87,200","87,960.00","91,870.00","83,351.67","1,060,021","92,369,162,100"
2024-01-19,"88,100","88,700","87,000","87,600","88,700.00","92,260.00","83,330.00","831,282","72,744,860,400"
2024-01-18,"87,500","88,500","86,900","87,300","88,840.00","92,345.00","83,295.83","840,897","73,692,128,500"
2024-01-17,"89,000","89,500","87,500","87,900","89,320.00","92,450.00","83,272.50","961,515","84,658,481,130"
2024-01-16,"90,200","91,200","89,400","89,800","89,840.00","92,520.00","83,242.50","836,055","75,419,487,700"
2024-01-15,"88,700","91,300","88,400","90,900","89,700.00","92,390.00","83,210.83","956,800","86,319,464,200"
2024-01-12,"89,400","89,700","88,000","88,300","89,300.00","92,215.00","83,169.17","923,693","81,851,331,000"
2024-01-11,"91,400","91,800","89,700","89,700","89,960.00","92,170.00","83,155.00","1,472,306","133,580,455,000"
2024-01-10,"89,400","91,100","88,800","90,500","90,600.00","92,040.00","83,146.67","1,123,770","101,196,555,400"
2024-01-09,"89,800","89,900","88,100","89,100","91,260.00","91,835.00","83,121.67","1,384,540","123,036,253,000"
2024-01-08,"92,000","92,300","88,800","88,900","92,960.00","91,635.00","83,115.83","1,397,056","125,577,061,100"
2024-01-05,"93,500","93,700","91,200","91,600","95,180.00","91,415.00","83,112.50","1,110,042","102,161,390,500"
