시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
"06/24,13:54","3,440","3,450","3,440","3,450","3,441.00","3,440.75","3,473.33","6,535","22,518,355"
"06/24,13:53","3,445","3,450","3,440","3,445","3,438.00","3,440.25","3,473.75","2,281","7,517,770"
"06/24,13:52","3,440","3,450","3,435","3,440","3,437.00","3,440.50","3,474.17","5,436","18,707,420"
"06/24,13:51","3,435","3,440","3,435","3,435","3,437.00","3,440.50","3,474.58","6,368","21,857,045"
"06/24,13:50","3,435","3,440","3,430","3,435","3,438.00","3,440.50","3,475.33","13,035","44,767,365"
"06/24,13:49","3,435","3,440","3,435","3,435","3,440.00","3,441.00","3,476.13","7,631","26,205,875"
"06/24,13:48","3,440","3,445","3,435","3,440","3,441.00","3,442.50","3,476.88","20,144","69,108,685"
"06/24,13:47","3,440","3,445","3,435","3,440","3,441.00","3,444.00","3,477.46","4,832","16,617,005"
"06/24,13:46","3,440","3,445","3,435","3,440","3,443.00","3,445.25","3,478.42","3,997","13,704,340"
"06/24,13:45","3,440","3,445","3,435","3,445","3,443.00","3,446.75","3,479.38","12,688","43,531,610"
"06/24,13:44","3,440","3,445","3,435","3,440","3,444.00","3,447.75","3,480.46","3,924","13,490,450"
"06/24,13:43","3,450","3,455","3,435","3,440","3,444.00","3,449.00","3,481.67","12,457","42,822,860"
"06/24,13:42","3,440","3,450","3,440","3,450","3,444.00","3,450.75","3,482.79","1,524","2,151,950"
"06/24,13:41","3,450","3,455","3,440","3,440","3,442.00","3,451.50","3,483.88","5,902","20,334,955"
"06/24,13:40","3,440","3,450","3,435","3,450","3,440.00","3,452.75","3,485.08","6,324","21,741,340"
"06/24,13:39","3,440","3,440","3,435","3,440","3,438.00","3,453.50","3,486.33","6,103","20,296,845"
"06/24,13:38","3,440","3,450","3,435","3,440","3,438.00","3,453.75","3,487.50","6,483","22,305,870"
"06/24,13:37","3,430","3,450","3,430","3,440","3,440.00","3,454.25","3,488.79","10,199","34,738,900"
"06/24,13:36","3,440","3,440","3,430","3,430","3,440.00","3,454.75","3,490.21","34,063","114,848,525"
"06/24,13:35","3,440","3,445","3,440","3,440","3,441.00","3,455.25","3,491.58","3,353","9,816,975"
"06/24,13:34","3,445","3,450","3,440","3,440","3,442.00","3,455.50","3,493.04","8,893","30,565,395"
"06/24,13:33","3,445","3,450","3,440","3,450","3,447.00","3,456.00","3,494.63","9,809","33,755,875"
"06/24,13:32","3,440","3,450","3,435","3,440","3,451.00","3,456.00","3,496.04","11,756","36,865,955"
"06/24,13:31","3,445","3,450","3,435","3,435","3,456.00","3,456.75","3,497.42","46,183","158,874,980"
"06/24,13:30","3,465","3,465","3,445","3,445","3,463.00","3,457.75","3,498.63","7,282","23,226,125"
"06/24,13:29","3,470","3,470","3,450","3,465","3,467.00","3,458.25","3,499.75","15,733","54,396,870"
"06/24,13:28","3,465","3,475","3,465","3,470","3,467.00","3,458.75","3,500.88","12,401","43,024,275"
"06/24,13:27","3,475","3,475","3,465","3,465","3,468.00","3,459.00","3,502.13","10,108","35,050,640"
"06/24,13:26","3,470","3,475","3,465","3,470","3,468.00","3,459.25","3,503.38","4,994","17,327,595"
"06/24,13:25","3,465","3,470","3,460","3,465","3,467.00","3,459.25","3,504.54","2,229","7,720,465"
"06/24,13:24","3,475","3,475","3,465","3,465","3,467.00","3,460.00","3,505.75","2,491","8,636,760"
"06/24,13:23","3,470","3,475","3,465","3,475","3,463.00","3,460.25","3,507.00","11,318","39,043,030"
"06/24,13:22","3,465","3,470","3,465","3,465","3,458.00","3,460.50","3,507.92","5,216","18,082,765"
"06/24,13:21","3,465","3,475","3,465","3,465","3,455.00","3,460.75","3,508.83","12,168","35,255,005"
"06/24,13:20","3,450","3,465","3,445","3,465","3,450.00","3,460.75","3,509.75","8,379","28,933,255"
"06/24,13:19","3,455","3,460","3,445","3,445","3,446.00","3,461.00","3,510.88","4,034","13,914,970"
"06/24,13:18","3,450","3,460","3,445","3,450","3,447.00","3,461.50","3,512.21","7,083","24,453,390"
"06/24,13:17","3,440","3,465","3,435","3,450","3,447.00","3,462.00","3,513.42","18,178","62,643,455"
"06/24,13:16","3,445","3,450","3,440","3,440","3,448.00","3,462.25","3,514.50","9,147","31,259,500"
"06/24,13:15","3,450","3,460","3,445","3,445","3,451.00","3,462.75","3,515.54","25,075","86,515,315"
"06/24,13:14","3,450","3,455","3,450","3,450","3,453.00","3,463.00","3,516.46","1,985","6,844,990"
"06/24,13:13","3,450","3,455","3,450","3,450","3,458.00","3,463.25","3,517.33","4,981","17,187,870"
"06/24,13:12","3,460","3,460","3,450","3,455","3,463.00","3,462.75","3,518.29","3,625","12,521,030"
"06/24,13:11","3,455","3,465","3,455","3,455","3,466.00","3,461.75","3,519.04","7,326","25,309,775"
"06/24,13:10","3,470","3,475","3,455","3,455","3,469.00","3,460.50","3,520.08","42,403","146,236,975"
"06/24,13:09","3,475","3,480","3,470","3,475","3,474.00","3,459.25","3,521.38","11,264","39,133,395"
"06/24,13:08","3,470","3,480","3,470","3,475","3,473.00","3,458.25","3,522.67","5,492","19,086,455"
"06/24,13:07","3,470","3,475","3,465","3,470","3,474.00","3,457.25","3,523.71","4,906","16,681,805"
"06/24,13:06","3,480","3,485","3,465","3,470","3,474.00","3,457.25","3,524.75","24,322","84,416,550"
"06/24,13:05","3,470","3,480","3,470","3,480","3,473.00","3,457.50","3,526.13","10,121","35,160,435"
"06/24,13:04","3,485","3,485","3,470","3,470","3,471.00","3,456.75","3,527.67","12,820","44,234,590"
"06/24,13:03","3,470","3,485","3,470","3,480","3,468.00","3,456.25","3,529.21","34,681","120,515,625"
"06/24,13:02","3,465","3,475","3,465","3,470","3,464.00","3,456.00","3,530.54","37,330","129,463,945"
"06/24,13:01","3,470","3,470","3,460","3,465","3,461.00","3,455.75","3,531.92","20,763","71,948,610"
"06/24,13:00","3,455","3,470","3,455","3,470","3,458.00","3,455.75","3,533.17","8,305","28,094,455"
"06/24,12:59","3,460","3,460","3,455","3,455","3,454.00","3,455.75","3,534.38","5,145","16,143,085"
"06/24,12:58","3,455","3,465","3,450","3,460","3,454.00","3,457.00","3,535.75","20,569","70,905,795"
"06/24,12:57","3,450","3,460","3,445","3,455","3,450.00","3,457.75","3,536.96","11,748","40,294,550"
"06/24,12:56","3,450","3,450","3,445","3,450","3,446.00","3,458.00","3,538.75","6,625","18,415,810"
"06/24,12:55","3,450","3,455","3,450","3,450","3,442.00","3,458.75","3,540.58","9,145","31,549,230"
"06/24,12:54","3,440","3,460","3,435","3,455","3,438.00","3,460.25","3,543.21","27,706","95,488,585"
"06/24,12:53","3,435","3,445","3,430","3,440","3,438.00","3,461.75","3,545.71","36,155","113,878,170"
"06/24,12:52","3,425","3,440","3,425","3,435","3,441.00","3,464.50","3,548.50","32,919","112,005,920"
"06/24,12:51","3,435","3,440","3,425","3,430","3,448.00","3,467.75","3,551.58","49,725","164,005,460"
"06/24,12:50","3,455","3,460","3,425","3,430","3,457.00","3,472.00","3,554.25","140,029","481,541,185"
"06/24,12:49","3,460","3,460","3,455","3,455","3,464.00","3,476.75","3,556.79","33,693","116,433,695"
"06/24,12:48","3,470","3,470","3,455","3,455","3,465.00","3,480.00","3,559.46","33,286","115,006,640"
"06/24,12:47","3,475","3,475","3,465","3,470","3,469.00","3,482.75","3,562.13","6,447","22,360,605"
