시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
"06/24,14:56","145,200","145,200","145,100","145,100","145,720.00","145,805.00","145,679.17",631,"91,577,500"
"06/24,14:55","145,600","145,600","145,200","145,200","145,900.00","145,840.00","145,686.67","1,160","168,691,400"
"06/24,14:54","146,400","146,600","145,600","145,600","146,200.00","145,860.00","145,688.33","5,655","826,047,200"
"06/24,14:53","146,500","146,600","146,200","146,400","146,400.00","145,855.00","145,685.83","2,292","335,586,800"
"06/24,14:52","146,000","146,700","145,800","146,300","146,440.00","145,795.00","145,677.50","3,179","465,426,800"
"06/24,14:51","146,700","146,900","145,400","146,000","146,500.00","145,730.00","145,670.00","9,550","1,393,939,700"
"06/24,14:50","146,600","146,700","146,400","146,700","146,600.00","145,690.00","145,662.50","1,013","148,491,400"
"06/24,14:49","146,800","147,000","146,500","146,600","146,480.00","145,600.00","145,650.83","4,773","700,771,500"
"06/24,14:48","146,700","146,800","146,200","146,600","146,220.00","145,510.00","145,639.17","3,158","462,704,800"
"06/24,14:47","146,500","146,800","146,300","146,600","145,980.00","145,415.00","145,627.50","4,664","683,651,200"
"06/24,14:46","146,000","146,600","146,000","146,500","145,720.00","145,305.00","145,617.50","3,096","453,114,900"
"06/24,14:45","145,400","146,100","145,400","146,100","145,460.00","145,190.00","145,612.50","5,092","742,522,200"
"06/24,14:44","145,500","145,500","145,200","145,300","145,260.00","145,095.00","145,614.17","1,483","215,559,500"
"06/24,14:43","145,400","145,500","145,300","145,400","145,240.00","145,040.00","145,620.83","1,005","146,186,400"
"06/24,14:42","145,200","145,600","145,100","145,300","145,260.00","144,970.00","145,625.00",979,"142,213,000"
"06/24,14:41","145,200","145,200","145,100","145,200","145,280.00","144,910.00","145,634.17",667,"96,805,000"
"06/24,14:40","145,100","145,600","145,100","145,100","145,400.00","144,870.00","145,637.50","1,606","233,276,900"
"06/24,14:39","145,500","145,700","145,000","145,200","145,500.00","144,850.00","145,641.67","2,281","331,442,100"
"06/24,14:38","145,500","145,700","145,400","145,500","145,560.00","144,820.00","145,647.50","1,439","209,444,800"
"06/24,14:37","145,800","145,900","145,400","145,400","145,500.00","144,780.00","145,648.33","2,516","366,264,800"
"06/24,14:36","145,600","145,800","145,600","145,800","145,420.00","144,750.00","145,652.50","1,373","200,056,500"
"06/24,14:35","145,500","145,600","145,400","145,600","145,300.00","144,710.00","145,652.50","1,224","178,137,600"
"06/24,14:34","145,200","145,600","145,200","145,500","145,160.00","144,660.00","145,653.33","3,009","437,576,400"
"06/24,14:33","145,100","145,300","145,000","145,200","145,020.00","144,650.00","145,655.00","2,018","292,902,100"
"06/24,14:32","145,100","145,200","145,000","145,000","144,920.00","144,630.00","145,655.00",866,"125,611,600"
"06/24,14:31","144,900","145,400","144,800","145,200","144,800.00","144,630.00","145,657.50","3,114","451,744,700"
"06/24,14:30","144,800","144,900","144,800","144,900","144,600.00","144,615.00","145,656.67",454,"65,767,800"
"06/24,14:29","144,600","145,000","144,600","144,800","144,460.00","144,605.00","145,659.17","1,627","235,620,400"
"06/24,14:28","144,500","144,800","144,300","144,700","144,340.00","144,605.00","145,667.50","1,409","203,571,400"
"06/24,14:27","144,200","144,700","144,100","144,400","144,200.00","144,615.00","145,676.67",971,"140,199,000"
"06/24,14:26","144,100","144,300","144,000","144,200","144,140.00","144,615.00","145,687.50","1,022","147,316,000"
"06/24,14:25","144,200","144,300","144,100","144,200","144,180.00","144,615.00","145,700.83",717,"103,355,600"
"06/24,14:24","143,900","144,200","143,800","144,200","144,280.00","144,605.00","145,710.00",721,"103,880,300"
"06/24,14:23","144,000","144,100","143,800","144,000","144,360.00","144,610.00","145,725.00","1,744","250,956,800"
"06/24,14:22","144,300","144,400","143,800","144,100","144,500.00","144,635.00","145,741.67","6,455","929,741,600"
"06/24,14:21","144,600","144,700","144,300","144,400","144,640.00","144,665.00","145,757.50","2,939","424,631,200"
"06/24,14:20","144,700","144,700","144,500","144,700","144,760.00","144,680.00","145,769.17",773,"111,762,000"
