시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"203,000","216,500","195,600","211,000","193,400.00","171,050.00","150,882.50","804,379","166,305,693,300"
2024-06-18,"204,500","206,500","199,200","200,500","185,660.00","168,315.00","150,274.17","500,612","101,311,062,900"
2024-06-17,"179,900","206,500","177,700","206,500","179,460.00","166,115.00","149,754.17","1,396,562","273,253,963,700"
2024-06-14,"173,000","178,000","171,300","176,000","173,340.00","163,500.00","149,117.50","212,939","37,218,200,700"
2024-06-13,"172,300","175,200","170,500","173,000","171,660.00","162,800.00","148,709.17","178,877","31,016,277,800"
2024-06-12,"170,000","175,200","169,100","172,300","170,280.00","162,320.00","148,330.00","128,161","22,133,111,500"
2024-06-11,"177,400","179,100","169,500","169,500","168,880.00","162,110.00","148,007.50","233,713","40,473,620,300"
2024-06-10,"167,500","177,000","166,200","175,900","167,440.00","161,975.00","147,662.50","352,260","61,089,297,200"
2024-06-07,"168,000","172,800","167,000","167,600","164,300.00","161,425.00","147,018.33","236,086","40,096,094,600"
2024-06-05,"164,000","168,000","163,600","166,100","162,940.00","161,380.00","146,440.83","164,298","27,395,876,300"
2024-06-04,"161,400","166,200","160,700","165,300","161,820.00","161,535.00","145,867.50","176,160","28,849,431,600"
2024-06-03,"160,800","167,700","160,700","162,300","162,880.00","161,825.00","145,306.67","270,967","44,462,647,300"
2024-05-31,"163,000","164,100","156,900","160,200","162,740.00","162,655.00","144,788.33","150,822","24,109,312,000"
2024-05-30,"164,600","169,200","160,800","160,800","161,640.00","162,685.00","144,287.50","297,359","48,767,919,200"
2024-05-29,"171,000","172,000","159,800","160,500","160,320.00","163,195.00","143,760.00","384,946","62,597,861,200"
2024-05-28,"164,100","171,000","163,000","170,600","158,700.00","163,645.00","143,217.50","382,786","64,593,141,300"
2024-05-27,"155,600","164,000","154,500","161,600","155,840.00","163,315.00","142,587.50","224,686","36,040,087,400"
2024-05-24,"151,300","155,700","150,700","154,700","154,820.00","163,540.00","142,006.67","88,527","13,602,824,400"
2024-05-23,"152,400","155,100","149,900","154,200","154,720.00","164,035.00","141,480.00","109,330","16,687,752,400"
2024-05-22,"156,400","157,800","152,200","152,400","156,280.00","164,255.00","140,974.17","131,742","20,266,463,800"
2024-05-21,"156,000","158,200","154,700","156,300","158,480.00","164,750.00","140,485.83","95,069","14,881,649,000"
2024-05-20,"155,400","157,700","153,600","156,500","160,840.00","164,840.00","139,951.67","150,006","23,394,382,400"
2024-05-17,"162,100","162,300","152,200","154,200","162,900.00","164,925.00","139,422.50","347,245","54,077,342,300"
2024-05-16,"164,900","167,400","161,800","162,000","165,040.00","165,155.00","138,917.50","141,765","23,168,732,000"
2024-05-14,"167,300","168,500","162,800","163,400","165,980.00","165,265.00","138,346.67","166,805","27,441,082,900"
2024-05-13,"167,000","170,400","166,400","168,100","167,140.00","165,290.00","137,786.67","139,668","23,579,569,300"
2024-05-10,"166,900","169,800","165,200","166,800","167,740.00","165,195.00","137,200.00","145,415","24,340,719,800"
2024-05-09,"166,100","167,700","164,900","164,900","170,160.00","165,220.00","136,618.33","129,441","21,434,228,400"
2024-05-08,"169,400","169,500","164,200","166,700","169,340.00","165,240.00","136,067.50","181,059","30,051,422,100"
2024-05-07,"170,600","172,000","168,000","169,200","170,200.00","165,220.00","135,456.67","175,077","29,707,945,300"
2024-05-03,"177,700","178,700","170,500","171,100","170,260.00","165,475.00","134,800.83","329,798","57,018,817,500"
2024-05-02,"161,600","180,600","161,000","178,900","168,840.00","165,630.00","134,131.67","679,192","118,193,342,300"
2024-04-30,"169,700","171,000","159,400","160,800","166,280.00","165,770.00","133,396.67","299,640","49,249,702,500"
2024-04-29,"172,100","172,900","167,300","171,000","167,040.00","166,685.00","132,812.50","219,124","37,356,513,800"
2024-04-26,"164,100","172,100","161,500","169,500","164,560.00","167,055.00","132,125.00","313,138","52,553,664,100"
2024-04-25,"166,100","169,400","162,700","164,000","163,120.00","167,425.00","131,449.17","155,226","25,649,989,500"
2024-04-24,"164,800","168,700","162,100","166,100","161,940.00","168,325.00","130,808.33","221,346","36,551,044,400"
2024-04-23,"159,100","166,400","159,100","164,600","160,360.00","168,885.00","130,176.67","233,392","38,235,420,200"
2024-04-22,"164,100","164,100","154,200","158,600","159,200.00","169,130.00","129,520.00","211,222","33,448,764,700"
2024-04-19,"159,000","166,900","155,900","162,300","160,320.00","169,565.00","128,931.67","410,313","66,288,098,100"
2024-04-18,"158,400","158,700","155,000","158,100","160,640.00","169,685.00","128,324.17","197,314","30,989,409,400"
2024-04-17,"158,700","161,500","155,100","158,200","162,260.00","169,855.00","127,738.33","222,476","35,327,913,700"
2024-04-16,"164,000","166,700","158,500","158,800","164,080.00","170,165.00","127,182.50","211,035","34,154,658,400"
2024-04-15,"167,900","172,500","163,100","164,200","165,380.00","170,390.00","126,592.50","232,207","38,542,082,200"
2024-04-12,"167,100","168,400","163,400","163,900","165,800.00","170,280.00","125,934.17","158,426","26,110,908,900"
2024-04-11,"163,100","167,700","161,200","166,200","167,880.00","170,355.00","125,281.67","161,802","26,693,271,600"
2024-04-09,"164,600","168,800","164,500","167,300","169,480.00","170,655.00","124,591.67","172,606","28,840,396,500"
2024-04-08,"165,700","168,800","163,600","165,300","172,360.00","170,915.00","123,915.83","188,288","31,268,159,000"
2024-04-05,"174,400","176,000","165,300","166,300","175,120.00","171,535.00","123,284.17","302,194","50,949,774,300"
2024-04-04,"172,500","176,700","170,500","174,300","177,540.00","172,385.00","122,631.67","237,937","41,280,686,900"
2024-04-03,"183,500","183,700","170,800","174,200","178,060.00","172,550.00","121,938.33","355,574","62,396,748,900"
2024-04-02,"179,200","182,100","173,300","181,700","179,620.00","172,265.00","121,250.83","404,238","72,281,549,400"
2024-04-01,"180,500","181,300","177,000","179,100","178,740.00","170,795.00","120,455.00","223,379","40,032,136,100"
2024-03-29,"177,300","184,800","177,300","178,400","176,820.00","169,075.00","119,670.00","402,561","72,727,962,500"
2024-03-28,"180,300","181,800","175,000","176,900","174,600.00","167,315.00","118,894.17","414,126","73,428,773,100"
2024-03-27,"180,700","182,900","173,800","182,000","172,160.00","165,475.00","118,152.50","452,530","80,643,030,200"
2024-03-26,"170,600","177,900","170,600","177,300","168,060.00","163,230.00","117,334.17","446,366","77,873,686,000"
2024-03-25,"170,800","175,000","169,000","169,500","165,480.00","161,115.00","116,559.17","402,364","69,023,003,900"
2024-03-22,"167,000","175,000","165,900","167,300","164,240.00","159,310.00","115,851.67","710,837","121,444,257,600"
2024-03-21,"161,700","167,400","159,500","164,700","163,180.00","157,845.00","115,170.83","307,491","50,449,535,600"
2024-03-20,"165,100","166,100","160,900","161,500","163,320.00","156,490.00","114,515.00","238,634","38,859,273,900"
2024-03-19,"165,600","168,500","163,300","164,400","165,460.00","154,815.00","113,880.00","323,480","53,462,796,900"
2024-03-18,"164,700","167,500","162,500","163,300","167,080.00","153,135.00","113,215.00","293,251","48,374,450,900"
2024-03-15,"167,400","169,400","160,800","162,000","169,960.00","151,355.00","112,557.50","303,589","49,728,621,400"
2024-03-14,"172,400","176,600","164,500","165,400","174,220.00","149,615.00","111,908.33","608,756","101,851,528,100"
2024-03-13,"175,000","183,000","170,800","172,200","176,660.00","147,695.00","111,230.83","616,839","108,908,068,000"
2024-03-12,"178,700","182,000","168,000","172,500","175,920.00","144,995.00","110,496.67","527,832","90,898,743,000"
2024-03-11,"184,400","191,300","175,900","177,700","171,880.00","142,050.00","109,768.33","643,926","118,259,507,600"
2024-03-08,"178,700","186,500","176,300","183,300","165,280.00","138,835.00","108,994.17","504,913","92,265,912,500"
2024-03-07,"170,000","179,500","167,500","177,600","157,260.00","135,320.00","108,159.17","838,886","145,637,776,000"
2024-03-06,"154,100","169,500","154,100","168,500","149,760.00","131,885.00","107,397.50","1,236,603","204,091,307,100"
2024-03-05,"146,000","157,800","145,800","152,300","143,480.00","128,805.00","106,684.17","866,910","132,575,015,000"
2024-03-04,"144,700","148,200","139,900","144,700","140,020.00","126,460.00","106,110.83","301,058","43,287,311,100"
2024-02-29,"140,400","147,900","137,800","143,200","137,760.00","124,480.00","105,604.17","615,031","88,377,289,800"
2024-02-28,"137,300","142,400","137,300","140,100","136,720.00","122,600.00","105,117.50","420,752","58,777,452,700"
2024-02-27,"134,700","140,900","134,700","137,100","136,220.00","121,020.00","104,641.67","558,197","77,403,959,300"
2024-02-26,"132,800","136,300","131,300","135,000","134,400.00","119,815.00","104,192.50","292,732","39,271,949,600"
2024-02-23,"139,600","139,700","131,200","133,400","133,560.00","118,880.00","103,730.00","408,870","54,723,703,500"
2024-02-22,"135,600","148,600","134,900","138,000","132,420.00","118,160.00","103,274.17","1,152,264","162,617,555,800"
2024-02-21,"130,500","139,300","128,500","137,600","130,260.00","117,390.00","102,780.00","674,347","90,071,236,800"
2024-02-20,"130,500","134,700","127,200","128,000","128,140.00","116,705.00","102,286.67","561,579","73,443,608,600"
2024-02-19,"129,300","132,700","128,800","130,800","126,180.00","116,375.00","101,866.67","433,205","56,785,058,600"
2024-02-16,"127,200","129,400","125,800","127,700","122,740.00","115,900.00","101,421.67","241,548","30,825,442,200"
2024-02-15,"129,300","130,500","125,800","127,200","119,880.00","115,540.00","100,983.33","422,704","54,098,855,600"
2024-02-14,"117,200","132,700","115,400","127,000","117,040.00","115,210.00","100,549.17","1,071,555","135,307,570,300"
2024-02-13,"114,700","118,600","114,100","118,200","113,420.00","114,990.00","100,109.17","442,233","51,774,065,900"
2024-02-08,"114,200","118,800","113,300","113,600","111,160.00","115,385.00","99,761.67","489,058","56,496,086,300"
2024-02-07,"119,000","120,700","112,800","113,400","109,520.00","115,930.00","99,465.83","1,024,257","119,150,223,300"
2024-02-06,"108,700","114,200","107,600","113,000","107,860.00","116,450.00","99,144.17","330,331","36,789,912,900"
2024-02-05,"107,300","111,000","105,700","108,900","106,380.00","116,790.00","98,845.83","193,152","21,067,504,000"
2024-02-02,"105,200","109,400","104,700","106,900","106,300.00","117,370.00","98,584.17","208,781","22,453,544,400"
2024-02-01,"104,500","107,900","104,300","105,400","107,520.00","118,185.00","98,337.50","183,940","19,466,533,200"
2024-01-31,"104,900","108,300","104,200","105,100","109,700.00","119,220.00","98,092.50","247,494","26,251,132,700"
2024-01-30,"108,400","109,100","104,000","105,600","112,480.00","120,490.00","97,844.17","312,101","33,013,168,500"
2024-01-29,"113,200","114,300","107,600","108,500","115,880.00","121,625.00","97,601.67","325,019","35,844,100,400"
2024-01-26,"116,000","117,000","112,500","113,000","118,960.00","122,725.00","97,339.17","262,768","29,926,962,200"
