시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"235,000","243,000","231,500","233,500","226,800.00","207,295.00","167,905.83","3,710,598","878,092,367,000"
2024-06-18,"227,000","234,500","227,000","234,500","223,100.00","205,220.00","167,111.67","3,136,231","725,327,503,114"
2024-06-17,"219,000","229,500","219,000","223,000","218,700.00","203,000.00","166,324.17","2,198,340","493,039,410,000"
2024-06-14,"225,000","225,000","216,000","221,000","215,700.00","201,345.00","165,632.50","3,311,223","730,644,813,343"
2024-06-13,"226,000","226,500","219,000","222,000","213,000.00","199,945.00","164,930.00","5,777,279","1,292,420,493,649"
2024-06-12,"212,000","216,000","211,000","215,000","207,340.00","198,110.00","164,173.33","2,151,331","459,699,813,376"
2024-06-11,"210,000","215,000","206,000","212,500","203,000.00","196,550.00","163,473.33","3,070,163","647,746,581,000"
2024-06-10,"206,000","209,500","205,000","208,000","199,340.00","194,920.00","162,776.67","2,448,961","508,789,448,000"
2024-06-07,"199,500","207,500","197,300","207,500","195,580.00","193,290.00","162,105.83","4,805,326","976,785,683,968"
2024-06-05,"189,400","195,200","188,800","193,700","193,220.00","191,815.00","161,423.33","2,709,631","519,753,179,900"
2024-06-04,"196,400","196,500","192,900","193,300","194,980.00","191,110.00","160,855.83","1,996,780","387,926,318,936"
2024-06-03,"189,500","194,600","188,200","194,200","196,820.00","190,105.00","160,294.17","2,982,443","571,760,605,900"
2024-05-31,"194,400","195,200","188,200","189,200","198,280.00","189,075.00","159,768.33","5,958,829","1,131,954,708,965"
2024-05-30,"202,500","202,500","195,700","195,700","200,160.00","188,325.00","159,296.67","2,402,236","475,957,922,800"
2024-05-29,"210,000","210,000","200,500","202,500","201,020.00","187,335.00","158,781.67","3,073,139","625,798,561,849"
2024-05-28,"202,500","205,500","200,500","202,500","200,060.00","186,100.00","158,180.83","2,084,945","421,758,880,180"
2024-05-27,"203,500","209,000","199,100","201,500","197,960.00","184,505.00","157,588.33","4,774,882","978,796,178,200"
2024-05-24,"199,800","202,500","197,500","198,600","195,680.00","183,420.00","156,998.33","3,793,872","757,806,938,160"
2024-05-23,"203,500","204,000","198,200","200,000","193,940.00","182,040.00","156,410.00","4,681,849","942,514,526,000"
2024-05-22,"191,900","197,700","190,900","197,700","192,540.00","180,620.00","155,827.50","3,949,439","772,253,711,200"
