시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"295,500","301,000","279,500","295,000","287,300.00","282,875.00","177,064.17","465,091","134,758,926,500"
2024-06-18,"290,000","293,000","285,500","289,500","281,000.00","280,900.00","175,306.67","315,563","91,403,442,500"
2024-06-17,"290,000","291,500","277,500","286,500","277,600.00","279,425.00","173,598.33","386,152","109,812,445,500"
2024-06-14,"275,500","296,500","274,000","290,000","277,200.00","277,600.00","171,894.17","790,331","226,780,948,000"
2024-06-13,"266,000","276,500","262,000","275,500","271,200.00","275,900.00","170,162.50","587,056","159,381,354,000"
2024-06-12,"271,000","274,500","257,500","263,500","271,500.00","274,950.00","168,547.50","492,922","129,011,472,000"
2024-06-11,"287,000","287,000","272,500","272,500","278,600.00","274,625.00","167,019.17","461,863","128,436,162,500"
2024-06-10,"256,500","291,500","254,000","284,500","282,300.00","274,100.00","165,435.83","747,230","204,898,743,000"
2024-06-07,"277,000","278,000","257,500","260,000","285,600.00","273,325.00","163,731.67","794,916","209,899,622,500"
2024-06-05,"296,000","296,000","275,000","277,000","291,500.00","273,275.00","162,232.50","526,864","147,806,890,500"
2024-06-04,"289,000","302,000","288,000","299,000","295,300.00","272,025.00","160,598.33","405,719","119,913,816,000"
2024-06-03,"294,500","302,500","285,000","291,000","296,000.00","268,575.00","158,799.17","555,237","162,245,324,000"
2024-05-31,"289,500","301,000","277,000","301,000","296,500.00","266,000.00","157,073.33","2,566,280","763,295,692,000"
2024-05-30,"295,500","304,000","287,500","289,500","292,900.00","263,300.00","155,284.17","512,355","151,125,708,500"
2024-05-29,"306,000","309,500","291,000","296,000","286,100.00","261,025.00","153,572.50","571,078","170,973,449,619"
2024-05-28,"296,500","305,500","294,000","302,500","277,400.00","258,725.00","151,824.17","504,736","152,314,215,750"
2024-05-27,"285,000","314,000","276,000","293,500","268,000.00","255,700.00","150,012.50","1,217,611","362,407,375,500"
2024-05-24,"251,000","286,000","250,500","283,000","261,300.00","253,775.00","148,283.33","1,343,225","365,870,487,000"
2024-05-23,"253,500","259,500","246,000","255,500","254,700.00","251,625.00","146,648.33","442,364","112,745,678,250"
2024-05-22,"256,500","263,500","251,000","252,500","254,800.00","250,225.00","145,220.00","499,756","128,194,427,000"
2024-05-21,"263,000","264,500","252,000","255,500","255,600.00","249,800.00","143,820.83","447,440","114,928,776,500"
2024-05-20,"254,500","266,500","253,500","260,000","255,900.00","248,975.00","142,402.50","710,279","185,362,608,000"
2024-05-17,"256,000","258,500","247,500","250,000","256,300.00","246,625.00","140,947.50","877,160","220,502,024,840"
2024-05-16,"259,500","264,500","246,000","256,000","260,100.00","244,450.00","139,597.50","753,399","192,327,370,000"
2024-05-14,"257,000","260,500","247,000","256,500","260,700.00","243,725.00","138,187.50","402,723","102,615,611,000"
2024-05-13,"267,000","267,500","252,000","257,000","259,800.00","242,650.00","136,751.67","679,627","176,076,643,000"
2024-05-10,"272,000","272,500","259,000","262,000","254,400.00","241,400.00","135,300.83","481,723","127,202,982,000"
2024-05-09,"262,000","274,500","261,500","269,000","249,900.00","238,875.00","133,820.83","620,407","167,120,356,000"
2024-05-08,"249,000","262,500","245,500","259,000","245,500.00","235,475.00","132,275.00","637,015","162,821,507,500"
2024-05-07,"235,000","255,000","234,500","252,000","242,500.00","232,245.00","130,800.83","957,841","236,261,098,000"
2024-05-03,"242,500","243,500","229,000","230,000","242,100.00","229,580.00","129,386.67","432,784","101,245,883,500"
2024-05-02,"243,000","244,500","235,500","239,500","244,500.00","227,345.00","128,138.33","469,294","112,334,493,500"
2024-04-30,"246,000","263,000","243,000","247,000","247,600.00","224,470.00","126,784.17","812,711","206,052,566,500"
2024-04-29,"253,500","256,000","240,000","244,000","246,200.00","221,195.00","125,360.83","518,614","128,999,686,500"
2024-04-26,"249,500","256,000","246,000","250,000","242,900.00","217,965.00","123,974.17","728,543","182,908,644,000"
2024-04-25,"250,500","258,500","241,000","242,000","241,700.00","214,400.00","122,546.67","935,109","232,175,038,000"
2024-04-24,"245,000","257,000","232,500","255,000","241,100.00","211,455.00","121,155.00","1,352,522","332,222,269,500"
2024-04-23,"229,000","251,500","210,000","240,000","232,700.00","207,905.00","119,644.17","2,313,046","539,832,518,500"
2024-04-22,"237,000","248,000","217,500","227,500","226,000.00","204,380.00","118,264.17","1,016,971","231,370,827,500"
2024-04-19,"244,500","250,000","221,000","244,000","228,800.00","201,330.00","116,985.00","1,477,448","349,578,600,000"
2024-04-18,"219,000","239,000","215,500","239,000","227,000.00","197,260.00","115,572.50","1,139,513","260,028,093,000"
2024-04-17,"208,500","222,000","206,000","213,000","225,600.00","192,795.00","114,193.33","1,116,597","238,996,900,000"
2024-04-16,"234,000","237,000","200,000","206,500","225,300.00","189,600.00","112,989.17","1,323,307","280,438,061,500"
2024-04-15,"229,500","246,000","220,000","241,500","224,200.00","187,005.00","111,875.83","888,915","205,568,875,500"
2024-04-12,"238,500","265,500","224,000","235,000","214,780.00","182,330.00","110,455.00","1,268,393","308,304,891,000"
2024-04-11,"210,500","237,000","208,500","232,000","207,520.00","178,395.00","109,125.00","812,474","181,701,945,500"
2024-04-09,"206,500","225,000","205,000","211,500","198,180.00","174,145.00","107,825.00","630,433","135,120,746,500"
2024-04-08,"193,900","214,000","191,600","201,000","192,280.00","170,245.00","106,670.83","570,276","116,488,005,700"
2024-04-05,"193,100","202,000","189,000","194,400","188,380.00","166,795.00","105,592.50","451,391","87,529,364,500"
2024-04-04,"190,000","202,000","190,000","198,700","185,380.00","163,545.00","104,561.67","509,667","100,986,596,600"
2024-04-03,"181,700","188,100","178,600","185,300","181,380.00","160,045.00","103,499.17","321,583","59,208,328,700"
2024-04-02,"180,500","190,500","177,000","182,000","180,940.00","157,580.00","102,515.83","458,558","84,660,949,600"
2024-04-01,"179,400","183,900","169,300","181,500","181,340.00","154,970.00","101,550.00","372,836","66,466,125,000"
2024-03-29,"179,400","183,900","175,000","179,400","178,940.00","152,475.00","100,587.50","353,291","63,263,890,000"
2024-03-28,"181,000","185,000","177,500","178,700","176,360.00","149,725.00","99,635.00","403,342","72,348,328,000"
2024-03-27,"180,000","184,100","175,600","183,100","173,140.00","146,950.00","98,700.83","467,028","84,531,716,100"
2024-03-26,"172,100","184,100","169,200","184,000","166,460.00","144,245.00","97,720.00","514,054","91,167,438,300"
2024-03-25,"167,100","171,100","161,000","169,500","159,480.00","142,010.00","96,747.50","270,867","45,116,331,200"
2024-03-22,"163,500","171,600","162,000","166,500","156,500.00","140,240.00","95,916.67","306,616","50,694,873,000"
2024-03-21,"151,000","162,700","150,800","162,600","152,800.00","138,330.00","95,105.83","459,469","72,877,970,800"
2024-03-20,"150,900","153,700","148,100","149,700","151,540.00","136,720.00","94,344.17","233,706","35,070,281,900"
2024-03-19,"154,000","154,600","148,100","149,100","151,000.00","135,955.00","93,716.67","325,801","48,931,240,800"
2024-03-18,"149,400","157,500","149,100","154,600","147,880.00","134,680.00","93,073.33","441,460","67,610,764,600"
2024-03-15,"153,600","156,900","145,200","148,000","143,360.00","132,745.00","92,370.00","581,356","86,878,883,600"
2024-03-14,"146,000","157,600","145,600","156,300","139,640.00","131,185.00","91,695.83","866,890","133,363,661,000"
2024-03-13,"134,500","147,600","134,400","147,000","134,120.00","128,985.00","90,952.50","712,286","102,530,281,800"
2024-03-12,"130,700","133,800","128,500","133,500","131,920.00","127,015.00","90,290.00","200,678","26,246,430,600"
2024-03-11,"127,400","134,000","126,800","132,000","131,180.00","125,710.00","89,735.83","240,621","31,717,029,200"
