시간,시가,고가,저가,종가,5,20,120,거래량,거래대금
2024-06-19,"378,000","395,500","376,000","392,500","384,700.00","391,050.00","411,762.50","336,504","130,213,480,000"
2024-06-18,"383,500","386,500","375,000","375,000","384,900.00","392,000.00","412,245.83","258,029","97,762,091,000"
2024-06-17,"380,500","384,500","377,000","381,000","388,400.00","394,450.00","412,883.33","225,594","85,836,192,000"
2024-06-14,"391,500","392,500","383,000","383,500","390,800.00","396,950.00","413,479.17","322,311","124,218,244,000"
2024-06-13,"400,000","402,000","391,500","391,500","393,900.00","399,850.00","414,020.83","390,293","154,134,236,000"
2024-06-12,"391,000","401,000","391,000","393,500","393,900.00","402,200.00","414,337.50","191,642","75,831,478,500"
2024-06-11,"393,000","401,500","388,500","392,500","390,800.00","404,175.00","414,770.83","336,622","132,831,505,000"
2024-06-10,"395,500","401,500","387,000","393,000","387,700.00","406,000.00","415,216.67","327,819","128,809,684,000"
2024-06-07,"396,500","402,000","393,500","399,000","384,000.00","407,875.00","415,691.67","305,543","121,732,397,500"
2024-06-05,"380,500","399,500","379,000","391,500","380,000.00","409,775.00","416,062.50","429,783","168,284,371,160"
2024-06-04,"375,000","384,000","374,000","378,000","378,700.00","411,950.00","416,412.50","220,476","83,473,570,500"
2024-06-03,"375,000","385,000","375,000","377,000","384,000.00","414,950.00","416,962.50","255,766","97,053,541,000"
2024-05-31,"382,500","386,500","374,500","374,500","391,600.00","418,275.00","417,483.33","470,697","177,507,220,000"
2024-05-30,"381,000","388,500","379,000","379,000","396,900.00","421,250.00","418,087.50","298,981","114,091,493,000"
2024-05-29,"400,000","403,000","385,000","385,000","402,200.00","423,350.00","418,862.50","590,144","230,425,054,400"
2024-05-28,"414,500","414,500","403,500","404,500","406,900.00","424,525.00","419,583.33","199,641","81,124,549,500"
2024-05-27,"401,000","416,000","393,500","415,000","408,300.00","424,975.00","420,004.17","288,086","116,535,242,000"
2024-05-24,"401,000","404,000","398,000","401,000","410,100.00","425,325.00","420,325.00","199,162","79,770,775,500"
2024-05-23,"406,000","414,500","404,000","405,500","416,100.00","425,625.00","420,841.67","261,313","106,365,111,500"
2024-05-22,"416,000","418,500","408,500","408,500","423,300.00","426,425.00","421,420.83","205,086","84,536,312,500"
2024-05-21,"421,000","421,500","410,000","411,500","429,300.00","426,050.00","421,945.83","262,133","108,320,908,500"
2024-05-20,"429,500","431,500","423,500","424,000","433,600.00","425,750.00","422,400.00","183,645","78,203,579,000"
2024-05-17,"439,500","444,000","429,500","431,000","434,600.00","423,850.00","422,704.17","178,628","77,581,559,000"
2024-05-16,"441,500","444,000","437,000","441,500","434,500.00","421,625.00","422,812.50","216,078","95,402,006,500"
2024-05-14,"435,500","443,500","430,500","438,500","433,600.00","419,250.00","422,925.00","185,778","81,581,238,000"
2024-05-13,"429,000","435,000","422,000","433,000","432,900.00","417,375.00","423,008.33","195,554","83,854,648,000"
2024-05-10,"433,500","435,500","427,000","429,000","433,900.00","416,100.00","423,025.00","144,928","62,391,440,000"
2024-05-09,"434,000","436,000","426,000","430,500","436,800.00","415,200.00","422,925.00","242,808","104,501,453,000"
2024-05-08,"435,500","441,000","432,000","437,000","437,500.00","414,675.00","422,837.50","156,159","68,160,875,500"
2024-05-07,"444,500","446,000","431,500","435,000","434,300.00","413,850.00","422,858.33","265,531","115,887,409,500"
2024-05-03,"443,000","445,000","436,000","438,000","429,000.00","414,200.00","422,983.33","196,672","86,561,251,500"
2024-05-02,"438,000","452,500","437,500","443,500","424,100.00","413,700.00","423,216.67","467,701","208,201,654,000"
2024-04-30,"426,000","439,500","418,500","434,000","419,800.00","414,175.00","423,737.50","482,425","207,315,580,500"
2024-04-29,"412,000","421,000","411,000","421,000","414,400.00","415,175.00","423,904.17","233,608","97,463,209,000"
2024-04-26,"414,500","416,500","406,000","408,500","414,500.00","417,675.00","424,154.17","239,111","97,915,559,000"
2024-04-25,"414,000","425,000","413,500","413,500","413,000.00","421,125.00","424,295.83","252,901","105,627,123,500"
2024-04-24,"422,000","428,500","417,000","422,000","411,400.00","424,475.00","424,395.83","337,918","142,599,961,500"
2024-04-23,"417,000","422,500","407,000","407,000","404,200.00","427,025.00","424,645.83","294,568","121,708,113,500"
2024-04-22,"409,000","421,500","403,500","421,500","400,100.00","430,975.00","425,020.83","342,272","141,492,570,500"
2024-04-19,"400,000","411,500","395,000","401,000","394,600.00","433,525.00","425,033.33","335,045","134,378,995,500"
2024-04-18,"390,000","408,000","390,000","405,500","394,600.00","436,250.00","425,404.17","322,387","129,715,873,500"
2024-04-17,"388,500","399,500","386,000","386,000","395,000.00","438,625.00","426,025.00","267,059","104,634,938,000"
2024-04-16,"387,000","391,000","384,500","386,500","400,000.00","441,875.00","426,758.33","245,249","94,884,089,000"
2024-04-15,"396,500","401,000","392,500","394,000","406,700.00","444,750.00","427,537.50","274,388","108,596,416,000"
2024-04-12,"410,000","411,000","401,000","401,000","412,000.00","446,300.00","428,370.83","269,656","109,042,963,000"
2024-04-11,"403,000","415,500","401,000","407,500","420,200.00","448,550.00","429,295.83","316,145","129,718,952,500"
2024-04-09,"425,000","426,500","411,000","411,000","424,300.00","451,150.00","430,266.67","313,504","130,511,646,000"
2024-04-08,"415,500","428,500","407,000","420,000","432,700.00","453,575.00","431,125.00","461,096","192,048,185,000"
2024-04-05,"433,500","434,500","420,000","420,500","439,500.00","453,250.00","432,008.33","429,686","182,279,169,500"
2024-04-04,"434,000","448,000","432,000","442,000","449,600.00","453,525.00","432,962.50","449,367","197,143,020,500"
2024-04-03,"441,500","445,000","428,000","428,000","456,700.00","452,025.00","433,537.50","601,115","260,054,794,000"
2024-04-02,"453,000","463,500","452,500","453,000","467,200.00","448,850.00","434,054.17","369,009","168,447,917,000"
2024-04-01,"469,000","470,000","453,500","454,000","471,200.00","444,525.00","434,287.50","455,659","207,937,501,000"
2024-03-29,"477,500","478,000","460,000","471,000","477,600.00","440,550.00","434,579.17","586,778","273,673,352,000"
2024-03-28,"487,000","488,000","475,500","477,500","477,900.00","435,850.00","434,691.67","485,116","233,240,273,000"
2024-03-27,"477,000","491,500","476,500","480,500","473,500.00","431,050.00","434,979.17","577,141","278,976,575,500"
2024-03-26,"488,500","493,500","471,500","473,000","468,000.00","426,075.00","435,325.00","822,461","396,916,734,646"
2024-03-25,"478,000","494,500","475,000","486,000","463,600.00","421,975.00","435,725.00","840,495","409,179,508,728"
2024-03-22,"454,500","475,000","453,500","472,500","455,200.00","417,100.00","436,116.67","779,394","364,414,171,000"
2024-03-21,"456,000","465,000","454,000","455,500","445,700.00","413,225.00","436,662.50","537,490","246,475,541,000"
2024-03-20,"450,500","471,500","445,500","453,000","443,800.00","410,450.00","437,558.33","910,857","419,149,151,280"
2024-03-19,"451,500","454,500","438,500","451,000","445,100.00","407,550.00","438,433.33","655,915","293,146,862,500"
2024-03-18,"425,000","448,000","424,500","444,000","446,800.00","404,725.00","439,400.00","569,305","249,578,732,000"
2024-03-15,"437,000","438,000","422,000","425,000","440,700.00","402,750.00","440,541.67","785,190","335,613,221,500"
2024-03-14,"454,500","465,000","441,500","446,000","440,900.00","400,800.00","441,866.67","799,779","359,865,003,500"
2024-03-13,"453,500","468,500","447,000","459,500","434,100.00","397,825.00","442,800.00","1,060,664","486,393,254,000"
2024-03-12,"421,500","461,000","421,500","459,500","415,100.00","394,400.00","443,620.83","1,470,069","650,697,201,000"
2024-03-11,"421,000","424,500","411,000","413,500","396,500.00","390,675.00","444,566.67","533,937","222,433,320,500"
2024-03-08,"420,500","442,500","418,000","426,000","388,700.00","389,100.00","446,029.17","1,764,503","761,622,730,500"
2024-03-07,"369,000","417,000","368,000","412,000","378,900.00","386,500.00","447,437.50","1,771,829","710,120,281,000"
2024-03-06,"365,000","369,000","363,000","364,500","372,800.00","385,250.00","449,029.17","220,362","80,463,893,000"
2024-03-05,"371,000","371,500","366,000","366,500","376,100.00","386,675.00","451,125.00","296,735","109,258,515,000"
2024-03-04,"377,500","383,000","373,500","374,500","381,000.00","387,225.00","453,154.17","302,231","113,942,353,425"
2024-02-29,"381,000","382,500","376,000","377,000","383,800.00","387,125.00","455,000.00","246,129","93,137,018,000"
2024-02-28,"384,500","393,000","381,500","381,500","387,400.00","387,000.00","456,975.00","191,287","73,751,954,000"
2024-02-27,"391,000","393,500","381,000","381,000","391,100.00","386,875.00","458,845.83","260,974","100,688,259,000"
2024-02-26,"388,000","394,000","386,000","391,000","393,900.00","385,850.00","460,637.50","183,001","71,531,879,500"
2024-02-23,"396,000","397,000","388,000","388,500","394,600.00","383,675.00","462,370.83","239,275","93,697,201,000"
2024-02-22,"402,000","402,000","395,000","395,000","397,800.00","381,950.00","464,091.67","204,188","81,240,046,000"
2024-02-21,"393,000","401,000","391,000","400,000","396,000.00","380,125.00","465,750.00","178,105","70,717,279,500"
2024-02-20,"394,000","396,000","386,000","395,000","393,300.00","378,025.00","467,300.00","231,525","90,759,569,000"
2024-02-19,"400,000","404,500","394,000","394,500","392,500.00","376,975.00","468,991.67","346,748","138,081,747,900"
2024-02-16,"394,000","408,500","394,000","404,500","390,600.00","376,075.00","470,620.83","521,244","209,968,977,848"
2024-02-15,"393,000","393,000","385,500","386,000","386,100.00","374,800.00","472,225.00","258,465","100,364,086,500"
2024-02-14,"385,000","390,000","380,000","386,500","383,700.00","375,250.00","474,075.00","205,747","79,107,738,500"
2024-02-13,"391,000","393,000","386,000","391,000","383,800.00","375,925.00","475,862.50","253,552","98,922,526,500"
2024-02-08,"393,000","394,500","385,000","385,000","384,200.00","376,775.00","477,687.50","368,228","143,383,852,000"
2024-02-07,"378,000","395,000","378,000","382,000","382,700.00","378,350.00","479,754.17","454,296","176,295,445,500"
2024-02-06,"382,500","385,000","374,000","374,000","380,800.00","380,075.00","481,754.17","348,821","131,255,940,500"
2024-02-05,"396,000","399,000","387,000","387,000","380,900.00","382,975.00","483,920.83","327,198","128,098,457,500"
2024-02-02,"377,000","395,000","376,500","393,000","379,300.00","385,425.00","485,812.50","380,372","148,303,469,500"
2024-02-01,"369,000","379,500","366,000","377,500","372,800.00","388,025.00","487,679.17","305,271","113,497,807,500"
2024-01-31,"371,000","385,000","368,500","372,500","366,800.00","391,400.00","489,825.00","352,675","132,805,151,000"
2024-01-30,"383,500","390,000","373,500","374,500","363,100.00","395,100.00","492,045.83","524,836","200,823,483,000"
2024-01-29,"363,500","384,000","360,500","379,000","359,900.00","399,725.00","494,341.67","557,298","209,918,942,500"
2024-01-26,"342,500","366,000","342,000","360,500","355,700.00","404,375.00","496,766.67","597,180","214,790,818,000"
2024-01-25,"351,000","353,500","345,000","347,500","358,400.00","409,125.00","499,304.17","436,330","152,060,259,500"
2024-01-24,"358,500","361,500","350,000","354,000","364,200.00","414,100.00","501,933.33","519,692","184,633,739,000"
2024-01-23,"354,000","362,500","354,000","358,500","369,200.00","418,925.00","504,500.00","533,096","191,107,576,570"
2024-01-22,"374,000","376,000","358,000","358,000","376,500.00","423,550.00","507,370.83","571,765","206,904,334,700"
2024-01-19,"380,000","384,500","373,500","374,000","384,900.00","428,750.00","510,320.83","329,271","124,203,791,000"
2024-01-18,"372,000","388,500","367,500","376,500","391,700.00","432,575.00","513,137.50","477,618","180,130,270,500"
2024-01-17,"395,000","397,500","379,000","379,000","399,700.00","436,325.00","515,716.67","511,751","196,659,584,500"
2024-01-16,"398,500","405,500","395,000","395,000","407,200.00","440,000.00","518,266.67","312,693","124,760,195,500"
